"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","CellType","Condition"
"R-HSA-72766","Translation","321/4572","368/11230",0.872282608695652,2.142548927308,18.4669670114298,3.28195780575755e-79,5.46445974658632e-76,3.05049341314097e-76,"ELOB/MRPL33/SEM1/RPS4Y1/FAU/RPS28/RPL36A/RPL39/MRPL57/RPL38/RPL18/RPL35/RPL37/MT-ND1/RPL24/EIF4A1/RPL41/RPS21/RPS13/RPL7/RPL35A/RPL34/MT-ND2/SEC61B/ELOC/RPS3A/RPL23/RPS14/RPL31/PPA1/RPL37A/RPL13A/RPL22/RPS27/SPCS3/RPL36/RPS18/TRAM1/RPSA/RPL11/RPS23/MT-ND3/RPL17/RPL32/SEC61G/RPS25/MRPL2/MRPL17/RPL8/PSMA2/RPS20/TRMT112/SPCS1/PABPC1/RPL13/RPS4X/RPS29/RPL30/SRPRA/RPL21/MRPL23/RPS11/PSMA7/MRPL39/MRPL55/RPL14/RPS15/PSMD12/RPL27/RPL22L1/RPS24/RPL9/DDOST/EIF4B/RPL26/SRP54/RPL29/MRPL19/RPLP1/MRPL12/MT-CO3/PSMA6/RPL19/MT-CYB/MRPL27/RBX1/RPS16/SSR2/RPS3/MRPS18A/SEC11A/EIF1AX/RPS5/PSMD11/RPL5/UBB/MT-ND5/GFM2/MRPS12/PSMC6/MRPL20/RPL23A/RPN1/LARS2/EEF2/PSMA4/EIF3A/PSMD14/RPS17/MRPS14/GADD45GIP1/WARS2/MRPL51/RPS9/PSMD6/RPL6/GFM1/PSMC5/PSMC2/MRPL47/EIF3I/MRPL37/MRPL58/RPS7/LTN1/MRPL4/EIF4H/RPS27A/EEF1A1/MT-ND4L/MRPL13/MRPL35/RPL26L1/RPS15A/EEF1E1/PSMB2/HBS1L/PSMB1/EIF5/PSMB5/PSMB4/MRPL40/MRPS5/EIF2S3/RPL7A/MRPS15/MRPL16/MRPL41/EIF4A2/MRPS28/ETF1/RPS2/MRPS22/MRPL52/EIF3K/RPL27A/PSMC1/UBC/MRPL18/RPL36AL/AIMP1/NDUFAB1/RPLP2/RPS10/MT-ATP6/UFD1/SRP72/RPL15/TCF25/MRPL42/SRP14/RPS12/MRRF/MRPS35/MT-CO2/RPN2/SPCS2/SSR1/EIF3J/PSMB3/MRPS21/RPL3/MRPL44/EIF2B2/MRPL3/PPA2/PSMA5/PSMB6/MRPS18B/MRPL43/RPL10/MRPL34/EIF2S1/RPS26/MRPL48/SSR4/MALSU1/PSMD8/MTIF3/MRPL22/AURKAIP1/MRPL54/SEC11C/AIMP2/PSMD1/MRPS33/PSMA3/RPS6/MRPL30/GSPT1/NEMF/PSMA1/EIF3H/SEC61A1/MRPL21/MRPL36/FARS2/MRPS6/MRPL1/MRPL11/MRPS25/MRPL28/MT-ND4/MRPS23/RPL18A/RPL28/NPLOC4/EIF2B4/IARS2/UBE2D3/EIF3F/MTRF1L/MRPS10/RPS19/MRPS7/FARSA/PSMC4/MRPL49/PTCD3/RPS27L/TUFM/FARSB/DAP3/MRPS26/SRP19/MRPS18C/EIF4E/PSMD3/MRPS30/RPS8/MRPL15/MRPL53/MRPS27/MRPS17/ASCC2/PELO/RCHY1/ASCC3/EIF3M/MTFMT/RARS2/UBE2D2/UBE2D1/ERAL1/RPL12/MRPS31/MRPS9/EIF3E/EIF3D/EIF2S2/MRPL50/ABCE1/EIF3B/OXA1L/MT-ND6/RPL4/PSMD7/SRP9/ADRM1/APEH/PSMD13/RPL39L/SRP68/TSFM/MRPL32/MRPL24/EEF1B2/EIF2B1/CUL2/TRIP4/MRPS16/EEF1D/NARS2/UBA52/MRPL46/MRPL9/RPL10A/EIF5B/MRPL10/MRPL14/PSMB7/SRPRB/RPLP0/MRPS34/VCP/KLHDC10/EIF2B5/SSR3/CHCHD1/PSMC3/CARS2/EIF3L/EIF3G/PSMD2/EIF4G1/MRPS2/MT-CO1/MRPS11/MT-ATP8/MIEF1/EIF2B3",321,"dC_IC_A","AKI_vs_Normal"
"R-HSA-72203","Processing of Capped Intron-Containing Pre-mRNA","246/4572","294/11230",0.836734693877551,2.05523416715768,15.1930516923228,2.93750295325321e-53,2.4454712085833e-50,1.36516584616978e-50,"U2AF1/SF3B6/SNU13/SRSF5/ZC3H11A/UBL5/HSPA8/SNRPN/PCBP2/LSM8/POLR2L/RANBP2/XAB2/MTREX/SF1/POLR2K/SAP18/PRPF40A/SNRPA1/LSM3/FUS/SNRNP25/SF3B5/LSM5/SRSF7/POLR2C/POLR2B/DDX39A/SNRPE/SNRPG/SNRPB/UBB/PAPOLA/LUC7L3/MAGOH/SYF2/PPWD1/SNRPB2/THOC7/WDR33/POLR2J/POLR2I/HNRNPA3/HNRNPD/SNRPC/HNRNPA1/RBM39/HNRNPA2B1/SRSF11/WBP11/HNRNPH2/RBMX/SLU7/PUF60/C9orf78/RPS27A/DDX42/DDX5/PRPF31/RBM5/POLR2H/IK/SART1/SNRPD2/SF3A1/NSRP1/CWF19L2/NUP160/GTF2F2/NKAP/HNRNPC/POLR2F/SYMPK/PRPF8/CSTF1/PPIE/MFAP1/TCERG1/U2AF1L4/TXNL4A/CASC3/BUD31/RBM8A/NUP88/LSM4/UBC/SRSF9/PPIG/SRSF10/HNRNPK/CWC15/PRPF18/NUP37/FAM32A/DHX15/TRA2B/CSTF3/HNRNPF/PPP1CB/SNW1/SF3B4/RBM42/AAAS/THOC2/PRPF19/METTL14/RBBP6/CDC5L/SRSF1/SF3B1/RBM25/SF3A2/PRPF38A/RBM17/SNRPF/HNRNPL/PRPF6/PAPOLG/SNRNP27/CCDC12/FYTTD1/RBM7/SNRNP200/LSM7/XRN2/CHTOP/PABPN1/DDX23/SRSF2/HNRNPU/PCF11/SRSF3/PCBP1/SRSF8/CPSF7/SNRNP40/SRRM2/NCBP2/CPSF6/U2SURP/NXT1/AQR/SNRPD1/RBM22/SF3B3/TPR/LENG1/HNRNPH1/POLR2A/FAM50A/PQBP1/SNRPD3/GCFC2/SRSF4/CCAR1/NCBP1/SDE2/POLR2E/HNRNPR/NXF1/EIF4E/DHX9/PPIL2/SRRT/SNRPA/ACIN1/RNPC3/PLRG1/USP39/GLE1/THOC3/PPIL4/SARNP/DDX41/ALYREF/PPIH/SMNDC1/ZMAT5/DDX46/NUP50/SMU1/CPSF1/SNRNP35/YJU2/RBMX2/POLR2G/HNRNPM/WDR70/CWC27/THOC6/PPIL3/EIF4A3/U2AF2/DNAJC8/PTBP1/SF3A3/GTF2F1/POLDIP3/POM121/SEC13/WBP4/NUP205/NUP54/HTATSF1/PPIL1/BCAS2/NUP214/SRRM1/WTAP/PHF5A/CDC40/YBX1/CTNNBL1/CPSF2/PRKRIP1/PDCD7/RBM10/UBA52/PPP1R8/PRCC/NUP35/PNN/NUP153/ZMAT2/NUP62/LSM6/SF3B2/METTL3/SRSF6/SLBP/CRNKL1/RNPS1/NUP98/SEH1L/CWC22/LSM2/ZCRB1/NUDT21/CHERP/FIP1L1/PPP1CA/SNRNP70/PPP1R10/CWC25/MAGOHB/RAE1",246,"dC_IC_A","AKI_vs_Normal"
"R-HSA-9948299","Ribosome-associated quality control","140/4572","145/11230",0.96551724137931,2.37155700365041,13.7746880046191,2.54261862714876e-48,1.41115333806756e-45,7.87765700972757e-46,"ELOB/SEM1/RPS4Y1/FAU/RPS28/RPL36A/RPL39/RPL38/RPL18/RPL35/RPL37/RPL24/RPL41/RPS21/RPS13/RPL7/RPL35A/RPL34/ELOC/RPS3A/RPL23/RPS14/RPL31/RPL37A/RPL13A/RPL22/RPS27/RPL36/RPS18/RPSA/RPL11/RPS23/RPL17/RPL32/RPS25/RPL8/PSMA2/RPS20/RPL13/RPS4X/RPS29/RPL30/RPL21/RPS11/PSMA7/RPL14/RPS15/PSMD12/RPL27/RPL22L1/RPS24/RPL9/RPL26/RPL29/RPLP1/PSMA6/RPL19/RBX1/RPS16/RPS3/RPS5/PSMD11/RPL5/UBB/PSMC6/RPL23A/PSMA4/PSMD14/RPS17/RPS9/PSMD6/RPL6/PSMC5/PSMC2/RPS7/LTN1/RPS27A/RPL26L1/RPS15A/PSMB2/HBS1L/PSMB1/PSMB5/PSMB4/RPL7A/RPS2/RPL27A/PSMC1/UBC/RPL36AL/RPLP2/RPS10/UFD1/RPL15/TCF25/RPS12/PSMB3/RPL3/PSMA5/PSMB6/RPL10/RPS26/PSMD8/PSMD1/PSMA3/RPS6/NEMF/PSMA1/RPL18A/RPL28/NPLOC4/UBE2D3/RPS19/PSMC4/RPS27L/PSMD3/RPS8/ASCC2/PELO/RCHY1/ASCC3/UBE2D2/UBE2D1/RPL12/ABCE1/RPL4/PSMD7/ADRM1/PSMD13/RPL39L/CUL2/TRIP4/UBA52/RPL10A/PSMB7/RPLP0/VCP/KLHDC10/PSMC3/PSMD2",140,"dC_IC_A","AKI_vs_Normal"
"R-HSA-72172","mRNA Splicing","187/4572","213/11230",0.877934272300469,2.156430856941,14.1198328233275,3.81408367980746e-47,1.58761233171986e-44,8.86272602439471e-45,"U2AF1/SF3B6/SNU13/SRSF5/UBL5/HSPA8/SNRPN/PCBP2/LSM8/POLR2L/XAB2/MTREX/SF1/POLR2K/SAP18/PRPF40A/SNRPA1/LSM3/FUS/SNRNP25/SF3B5/LSM5/SRSF7/POLR2C/POLR2B/SNRPE/SNRPG/SNRPB/LUC7L3/MAGOH/SYF2/PPWD1/SNRPB2/POLR2J/POLR2I/HNRNPA3/HNRNPD/SNRPC/HNRNPA1/RBM39/HNRNPA2B1/SRSF11/WBP11/HNRNPH2/RBMX/SLU7/PUF60/C9orf78/DDX42/DDX5/PRPF31/RBM5/POLR2H/IK/SART1/SNRPD2/SF3A1/NSRP1/CWF19L2/GTF2F2/NKAP/HNRNPC/POLR2F/PRPF8/PPIE/MFAP1/TCERG1/U2AF1L4/TXNL4A/CASC3/BUD31/RBM8A/LSM4/SRSF9/PPIG/SRSF10/HNRNPK/CWC15/PRPF18/FAM32A/DHX15/TRA2B/HNRNPF/SNW1/SF3B4/RBM42/PRPF19/CDC5L/SRSF1/SF3B1/RBM25/SF3A2/PRPF38A/RBM17/SNRPF/HNRNPL/PRPF6/SNRNP27/CCDC12/RBM7/SNRNP200/LSM7/DDX23/SRSF2/HNRNPU/SRSF3/PCBP1/SRSF8/SNRNP40/SRRM2/NCBP2/U2SURP/AQR/SNRPD1/RBM22/SF3B3/LENG1/HNRNPH1/POLR2A/FAM50A/PQBP1/SNRPD3/GCFC2/SRSF4/CCAR1/NCBP1/SDE2/POLR2E/HNRNPR/DHX9/PPIL2/SRRT/SNRPA/ACIN1/RNPC3/PLRG1/USP39/PPIL4/DDX41/ALYREF/PPIH/SMNDC1/ZMAT5/DDX46/SMU1/SNRNP35/YJU2/RBMX2/POLR2G/HNRNPM/WDR70/CWC27/PPIL3/EIF4A3/U2AF2/DNAJC8/PTBP1/SF3A3/GTF2F1/WBP4/HTATSF1/PPIL1/BCAS2/SRRM1/PHF5A/CDC40/YBX1/CTNNBL1/PRKRIP1/PDCD7/RBM10/PPP1R8/PRCC/PNN/ZMAT2/LSM6/SF3B2/SRSF6/CRNKL1/RNPS1/CWC22/LSM2/ZCRB1/CHERP/SNRNP70/CWC25/MAGOHB",187,"dC_IC_A","AKI_vs_Normal"
"R-HSA-1428517","Aerobic respiration and respiratory electron transport","216/4572","258/11230",0.837209302325581,2.05639992675334,14.2248295883734,6.68813197801179e-47,2.22714794867793e-44,1.24328853401777e-44,"PDK4/ATP5F1E/ATP5MG/UQCR11/ATP5MC3/ATP5ME/ATP5F1B/COX7A1/ATP5MC2/ATP5PF/ATP5MC1/ATP5PO/ATP5F1D/COA3/LDHA/NDUFB8/ATP5MF/NDUFB1/NDUFA3/ATP5F1C/COX6C/ATP5F1A/COX7B/COX8A/COX17/ATP5PD/MPC1/NDUFB11/NDUFB7/COX5B/NDUFB6/NDUFS6/NDUFA1/MT-ND1/UQCRQ/NDUFA13/PNKD/ME2/MT-ND2/ATP5PB/PET100/DLAT/UQCRB/NDUFC2/TMEM126A/NDUFS8/COX6B1/COX7C/ISCU/ETFB/MT-ND3/MPC2/NDUFB9/UQCR10/UQCRH/NDUFA11/NDUFB5/UCP2/SDHD/COX6A1/NDUFV1/COX7A2/ACAT1/NDUFA5/CYC1/PDPR/ISCA1/NDUFB2/NDUFAF4/NDUFA12/NDUFC1/UQCRC1/FH/MT-CO3/NDUFS5/MT-CYB/COX5A/NDUFB10/UQCRC2/OGDH/NDUFS7/LYRM4/GSTZ1/NDUFA2/UBB/NDUFAF5/MT-ND5/COX7A2L/NDUFAF8/UQCC3/TMEM177/UQCC2/NDUFA6/FAHD1/PKM/RMND5B/COX14/NDUFS1/COX16/NDUFS2/SURF1/ETFA/HAGH/GOT1/HSPA9/COX4I1/NDUFV2/DLD/RPS27A/LDHB/NDUFA7/LYRM2/SDHAF3/NNT/NDUFV3/PYURF/LETM1/NDUFAF1/GLO1/COQ10B/MDH1/PDP1/CS/SLC25A11/NDUFAF7/LYRM7/COX20/FOXRED1/ACO2/SDHA/UBC/NDUFAB1/MT-ATP6/COX11/NDUFA8/MT-CO2/NDUFAF6/DMAC1/MDH2/HCCS/SDHC/SLC25A12/SUCLA2/RAB5IF/IDH3G/ETFDH/UQCRFS1/PDHA1/SFXN4/HIGD1A/IDH3B/TMEM126B/ARMC8/SUCLG2/TACO1/NFS1/NDUFA10/HIGD2A/MT-ND4/COQ10A/SDHAF2/NDUFB3/ISCA2/NDUFAF2/SDHB/D2HGDH/TIMMDC1/NDUFA9/PDHB/TTC19/BCS1L/RMND5A/PDK2/SUCLG1/NDUFS3/NDUFB4/PET117/SCO1/GOT2/PDHX/RANBP9/ACAD9/GID8/WDR26/NDUFS4/COX15/DLST/NDUFAF3/DMAC2/OXA1L/MT-ND6/MKLN1/SMIM20/COA5/VDAC1/MAEA/TRAP1/SLC25A13/NEK1/UBA52/CMC1/TMEM223/IDH3A/COX19/COA1/IDH2/TMEM186/HSCB/FXN/SDHAF4/UQCC1/ME3/MT-CO1/MT-ATP8/SDHAF1/TIMM21",216,"dC_IC_A","AKI_vs_Normal"
"R-HSA-72163","mRNA Splicing - Major Pathway","181/4572","205/11230",0.882926829268293,2.16869385229285,13.9939445056705,1.81749004315475e-46,5.04353486975444e-44,2.81551527737833e-44,"U2AF1/SF3B6/SNU13/SRSF5/UBL5/HSPA8/SNRPN/PCBP2/LSM8/POLR2L/XAB2/MTREX/SF1/POLR2K/SAP18/PRPF40A/SNRPA1/LSM3/FUS/SF3B5/LSM5/SRSF7/POLR2C/POLR2B/SNRPE/SNRPG/SNRPB/LUC7L3/MAGOH/SYF2/PPWD1/SNRPB2/POLR2J/POLR2I/HNRNPA3/HNRNPD/SNRPC/HNRNPA1/RBM39/HNRNPA2B1/SRSF11/WBP11/HNRNPH2/RBMX/SLU7/PUF60/C9orf78/DDX42/DDX5/PRPF31/RBM5/POLR2H/IK/SART1/SNRPD2/SF3A1/NSRP1/CWF19L2/GTF2F2/NKAP/HNRNPC/POLR2F/PRPF8/PPIE/MFAP1/TCERG1/U2AF1L4/TXNL4A/CASC3/BUD31/RBM8A/LSM4/SRSF9/PPIG/SRSF10/HNRNPK/CWC15/PRPF18/FAM32A/DHX15/TRA2B/HNRNPF/SNW1/SF3B4/RBM42/PRPF19/CDC5L/SRSF1/SF3B1/RBM25/SF3A2/PRPF38A/RBM17/SNRPF/HNRNPL/PRPF6/SNRNP27/CCDC12/RBM7/SNRNP200/LSM7/DDX23/SRSF2/HNRNPU/SRSF3/PCBP1/SRSF8/SNRNP40/SRRM2/NCBP2/U2SURP/AQR/SNRPD1/RBM22/SF3B3/LENG1/HNRNPH1/POLR2A/FAM50A/PQBP1/SNRPD3/GCFC2/SRSF4/CCAR1/NCBP1/SDE2/POLR2E/HNRNPR/DHX9/PPIL2/SRRT/SNRPA/ACIN1/PLRG1/USP39/PPIL4/DDX41/ALYREF/PPIH/SMNDC1/DDX46/SMU1/YJU2/RBMX2/POLR2G/HNRNPM/WDR70/CWC27/PPIL3/EIF4A3/U2AF2/DNAJC8/PTBP1/SF3A3/GTF2F1/WBP4/HTATSF1/PPIL1/BCAS2/SRRM1/PHF5A/CDC40/YBX1/CTNNBL1/PRKRIP1/RBM10/PPP1R8/PRCC/PNN/ZMAT2/LSM6/SF3B2/SRSF6/CRNKL1/RNPS1/CWC22/LSM2/CHERP/SNRNP70/CWC25/MAGOHB",181,"dC_IC_A","AKI_vs_Normal"
"R-HSA-611105","Respiratory electron transport","143/4572","157/11230",0.910828025477707,2.23722631804782,12.936538408756,1.2008382022316e-40,2.85627943816517e-38,1.59449643995565e-38,"UQCR11/COX7A1/COA3/NDUFB8/NDUFB1/NDUFA3/COX6C/COX7B/COX8A/COX17/NDUFB11/NDUFB7/COX5B/NDUFB6/NDUFS6/NDUFA1/MT-ND1/UQCRQ/NDUFA13/PNKD/MT-ND2/PET100/UQCRB/NDUFC2/TMEM126A/NDUFS8/COX6B1/COX7C/ISCU/ETFB/MT-ND3/NDUFB9/UQCR10/UQCRH/NDUFA11/NDUFB5/SDHD/COX6A1/NDUFV1/COX7A2/NDUFA5/CYC1/NDUFB2/NDUFAF4/NDUFA12/NDUFC1/UQCRC1/MT-CO3/NDUFS5/MT-CYB/COX5A/NDUFB10/UQCRC2/NDUFS7/LYRM4/NDUFA2/NDUFAF5/MT-ND5/COX7A2L/NDUFAF8/UQCC3/TMEM177/UQCC2/NDUFA6/COX14/NDUFS1/COX16/NDUFS2/SURF1/ETFA/GOT1/HSPA9/COX4I1/NDUFV2/NDUFA7/LYRM2/NDUFV3/PYURF/LETM1/NDUFAF1/COQ10B/MDH1/SLC25A11/NDUFAF7/LYRM7/COX20/FOXRED1/SDHA/NDUFAB1/COX11/NDUFA8/MT-CO2/NDUFAF6/DMAC1/MDH2/HCCS/SDHC/SLC25A12/RAB5IF/ETFDH/UQCRFS1/SFXN4/HIGD1A/TMEM126B/TACO1/NFS1/NDUFA10/HIGD2A/MT-ND4/COQ10A/NDUFB3/NDUFAF2/SDHB/TIMMDC1/NDUFA9/TTC19/BCS1L/NDUFS3/NDUFB4/PET117/SCO1/GOT2/ACAD9/NDUFS4/COX15/NDUFAF3/DMAC2/OXA1L/MT-ND6/SMIM20/COA5/TRAP1/SLC25A13/CMC1/TMEM223/COX19/COA1/TMEM186/HSCB/FXN/UQCC1/MT-CO1/TIMM21",143,"dC_IC_A","AKI_vs_Normal"
"R-HSA-72613","Eukaryotic Translation Initiation","115/4572","120/11230",0.958333333333333,2.35391149023039,12.355935254005,8.40645760669605e-39,1.55519465723877e-36,8.68175680317265e-37,"RPS4Y1/FAU/RPS28/RPL36A/RPL39/RPL38/RPL18/RPL35/RPL37/RPL24/EIF4A1/RPL41/RPS21/RPS13/RPL7/RPL35A/RPL34/RPS3A/RPL23/RPS14/RPL31/RPL37A/RPL13A/RPL22/RPS27/RPL36/RPS18/RPSA/RPL11/RPS23/RPL17/RPL32/RPS25/RPL8/RPS20/PABPC1/RPL13/RPS4X/RPS29/RPL30/RPL21/RPS11/RPL14/RPS15/RPL27/RPL22L1/RPS24/RPL9/EIF4B/RPL26/RPL29/RPLP1/RPL19/RPS16/RPS3/EIF1AX/RPS5/RPL5/RPL23A/EIF3A/RPS17/RPS9/RPL6/EIF3I/RPS7/EIF4H/RPS27A/RPL26L1/RPS15A/EIF5/EIF2S3/RPL7A/EIF4A2/RPS2/EIF3K/RPL27A/RPL36AL/RPLP2/RPS10/RPL15/RPS12/EIF3J/RPL3/EIF2B2/RPL10/EIF2S1/RPS26/RPS6/EIF3H/RPL18A/RPL28/EIF2B4/EIF3F/RPS19/RPS27L/EIF4E/RPS8/EIF3M/RPL12/EIF3E/EIF3D/EIF2S2/EIF3B/RPL4/RPL39L/EIF2B1/UBA52/RPL10A/EIF5B/RPLP0/EIF2B5/EIF3L/EIF3G/EIF4G1/EIF2B3",115,"dC_IC_A","AKI_vs_Normal"
"R-HSA-72737","Cap-dependent Translation Initiation","115/4572","120/11230",0.958333333333333,2.35391149023039,12.355935254005,8.40645760669605e-39,1.55519465723877e-36,8.68175680317265e-37,"RPS4Y1/FAU/RPS28/RPL36A/RPL39/RPL38/RPL18/RPL35/RPL37/RPL24/EIF4A1/RPL41/RPS21/RPS13/RPL7/RPL35A/RPL34/RPS3A/RPL23/RPS14/RPL31/RPL37A/RPL13A/RPL22/RPS27/RPL36/RPS18/RPSA/RPL11/RPS23/RPL17/RPL32/RPS25/RPL8/RPS20/PABPC1/RPL13/RPS4X/RPS29/RPL30/RPL21/RPS11/RPL14/RPS15/RPL27/RPL22L1/RPS24/RPL9/EIF4B/RPL26/RPL29/RPLP1/RPL19/RPS16/RPS3/EIF1AX/RPS5/RPL5/RPL23A/EIF3A/RPS17/RPS9/RPL6/EIF3I/RPS7/EIF4H/RPS27A/RPL26L1/RPS15A/EIF5/EIF2S3/RPL7A/EIF4A2/RPS2/EIF3K/RPL27A/RPL36AL/RPLP2/RPS10/RPL15/RPS12/EIF3J/RPL3/EIF2B2/RPL10/EIF2S1/RPS26/RPS6/EIF3H/RPL18A/RPL28/EIF2B4/EIF3F/RPS19/RPS27L/EIF4E/RPS8/EIF3M/RPL12/EIF3E/EIF3D/EIF2S2/EIF3B/RPL4/RPL39L/EIF2B1/UBA52/RPL10A/EIF5B/RPLP0/EIF2B5/EIF3L/EIF3G/EIF4G1/EIF2B3",115,"dC_IC_A","AKI_vs_Normal"
"R-HSA-72187","mRNA 3'-end processing","137/4572","152/11230",0.901315789473684,2.2138618363494,12.485677911745,1.01327471435003e-37,1.56780240213747e-35,8.75213858756051e-36,"U2AF1/SF3B6/SRSF5/ZC3H11A/SNRPN/PCBP2/POLR2L/POLR2K/PRPF40A/SNRPA1/FUS/SF3B5/SRSF7/POLR2C/POLR2B/DDX39A/SNRPE/SNRPG/SNRPB/UBB/PAPOLA/MAGOH/SNRPB2/THOC7/WDR33/POLR2J/POLR2I/HNRNPA3/HNRNPD/SNRPC/HNRNPA1/RBM39/HNRNPA2B1/SRSF11/HNRNPH2/RBMX/SLU7/PUF60/RPS27A/DDX42/DDX5/RBM5/POLR2H/SNRPD2/SF3A1/GTF2F2/HNRNPC/POLR2F/SYMPK/CSTF1/TCERG1/U2AF1L4/CASC3/RBM8A/UBC/SRSF9/SRSF10/HNRNPK/DHX15/TRA2B/CSTF3/HNRNPF/PPP1CB/SF3B4/THOC2/RBBP6/SRSF1/SF3B1/RBM25/SF3A2/RBM17/SNRPF/HNRNPL/PAPOLG/FYTTD1/XRN2/CHTOP/PABPN1/SRSF2/HNRNPU/PCF11/SRSF3/PCBP1/SRSF8/CPSF7/SRRM2/NCBP2/CPSF6/U2SURP/SNRPD1/SF3B3/HNRNPH1/POLR2A/SNRPD3/SRSF4/CCAR1/NCBP1/POLR2E/HNRNPR/DHX9/SRRT/SNRPA/THOC3/SARNP/ALYREF/SMNDC1/DDX46/CPSF1/POLR2G/HNRNPM/THOC6/EIF4A3/U2AF2/DNAJC8/PTBP1/SF3A3/GTF2F1/POLDIP3/HTATSF1/SRRM1/PHF5A/CDC40/YBX1/CPSF2/RBM10/UBA52/PPP1R8/SF3B2/SRSF6/RNPS1/NUDT21/CHERP/FIP1L1/PPP1CA/SNRNP70/PPP1R10/MAGOHB",137,"dC_IC_A","AKI_vs_Normal"
"R-HSA-1799339","SRP-dependent cotranslational protein targeting to membrane","109/4572","113/11230",0.964601769911504,2.36930837185175,12.1226743436556,1.12994767721619e-37,1.56780240213747e-35,8.75213858756051e-36,"RPS4Y1/FAU/RPS28/RPL36A/RPL39/RPL38/RPL18/RPL35/RPL37/RPL24/RPL41/RPS21/RPS13/RPL7/RPL35A/RPL34/SEC61B/RPS3A/RPL23/RPS14/RPL31/RPL37A/RPL13A/RPL22/RPS27/SPCS3/RPL36/RPS18/TRAM1/RPSA/RPL11/RPS23/RPL17/RPL32/SEC61G/RPS25/RPL8/RPS20/SPCS1/RPL13/RPS4X/RPS29/RPL30/SRPRA/RPL21/RPS11/RPL14/RPS15/RPL27/RPL22L1/RPS24/RPL9/DDOST/RPL26/SRP54/RPL29/RPLP1/RPL19/RPS16/SSR2/RPS3/SEC11A/RPS5/RPL5/RPL23A/RPN1/RPS17/RPS9/RPL6/RPS7/RPS27A/RPL26L1/RPS15A/RPL7A/RPS2/RPL27A/RPL36AL/RPLP2/RPS10/SRP72/RPL15/SRP14/RPS12/RPN2/SPCS2/SSR1/RPL3/RPL10/RPS26/SSR4/SEC11C/RPS6/SEC61A1/RPL18A/RPL28/RPS19/RPS27L/SRP19/RPS8/RPL12/RPL4/SRP9/RPL39L/SRP68/UBA52/RPL10A/SRPRB/RPLP0/SSR3",109,"dC_IC_A","AKI_vs_Normal"
"R-HSA-72706","GTP hydrolysis and joining of the 60S ribosomal subunit","109/4572","113/11230",0.964601769911504,2.36930837185175,12.1226743436556,1.12994767721619e-37,1.56780240213747e-35,8.75213858756051e-36,"RPS4Y1/FAU/RPS28/RPL36A/RPL39/RPL38/RPL18/RPL35/RPL37/RPL24/EIF4A1/RPL41/RPS21/RPS13/RPL7/RPL35A/RPL34/RPS3A/RPL23/RPS14/RPL31/RPL37A/RPL13A/RPL22/RPS27/RPL36/RPS18/RPSA/RPL11/RPS23/RPL17/RPL32/RPS25/RPL8/RPS20/RPL13/RPS4X/RPS29/RPL30/RPL21/RPS11/RPL14/RPS15/RPL27/RPL22L1/RPS24/RPL9/EIF4B/RPL26/RPL29/RPLP1/RPL19/RPS16/RPS3/EIF1AX/RPS5/RPL5/RPL23A/EIF3A/RPS17/RPS9/RPL6/EIF3I/RPS7/EIF4H/RPS27A/RPL26L1/RPS15A/EIF5/EIF2S3/RPL7A/EIF4A2/RPS2/EIF3K/RPL27A/RPL36AL/RPLP2/RPS10/RPL15/RPS12/EIF3J/RPL3/RPL10/EIF2S1/RPS26/RPS6/EIF3H/RPL18A/RPL28/EIF3F/RPS19/RPS27L/EIF4E/RPS8/EIF3M/RPL12/EIF3E/EIF3D/EIF2S2/EIF3B/RPL4/RPL39L/UBA52/RPL10A/EIF5B/RPLP0/EIF3L/EIF3G/EIF4G1",109,"dC_IC_A","AKI_vs_Normal"
"R-HSA-156827","L13a-mediated translational silencing of Ceruloplasmin expression","108/4572","112/11230",0.964285714285714,2.36853205849269,12.0615301914866,2.71524855352637e-37,3.47760680124723e-35,1.94134775122573e-35,"RPS4Y1/FAU/RPS28/RPL36A/RPL39/RPL38/RPL18/RPL35/RPL37/RPL24/EIF4A1/RPL41/RPS21/RPS13/RPL7/RPL35A/RPL34/RPS3A/RPL23/RPS14/RPL31/RPL37A/RPL13A/RPL22/RPS27/RPL36/RPS18/RPSA/RPL11/RPS23/RPL17/RPL32/RPS25/RPL8/RPS20/PABPC1/RPL13/RPS4X/RPS29/RPL30/RPL21/RPS11/RPL14/RPS15/RPL27/RPL22L1/RPS24/RPL9/EIF4B/RPL26/RPL29/RPLP1/RPL19/RPS16/RPS3/EIF1AX/RPS5/RPL5/RPL23A/EIF3A/RPS17/RPS9/RPL6/EIF3I/RPS7/EIF4H/RPS27A/RPL26L1/RPS15A/EIF2S3/RPL7A/EIF4A2/RPS2/EIF3K/RPL27A/RPL36AL/RPLP2/RPS10/RPL15/RPS12/EIF3J/RPL3/RPL10/EIF2S1/RPS26/RPS6/EIF3H/RPL18A/RPL28/EIF3F/RPS19/RPS27L/EIF4E/RPS8/EIF3M/RPL12/EIF3E/EIF3D/EIF2S2/EIF3B/RPL4/RPL39L/UBA52/RPL10A/RPLP0/EIF3L/EIF3G/EIF4G1",108,"dC_IC_A","AKI_vs_Normal"
