"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","CellType","Condition"
"R-HSA-72766","Translation","316/4686","368/11230",0.858695652173913,2.05786431368183,17.4601919794879,4.11800966901009e-71,6.86884012790883e-68,3.89693757098955e-68,"ELOB/MRPL57/SEM1/MRPS6/PSMA2/ELOC/SRPRA/RPS17/MRPS17/UFD1/MRPL58/TRAM1/RPS4Y1/EIF4A1/MRPL27/RPLP0/MRPL20/RPL22L1/NDUFAB1/RPS27L/EIF4H/DDOST/CHCHD1/RPL22/SEC61G/EIF2S3/MRPL30/RPL24/RBX1/MT-CYB/SRP14/MT-ATP8/MRPL15/RPS10/GSPT1/MRPL33/EEF2/MRPL47/MRPS33/TRMT112/MRPS12/RPL35/EIF4E/RPS20/MRPL28/SSR4/SEC61B/RPL21/RPS23/RPL5/MRPL41/AURKAIP1/EIF3K/MT-ND4/RPL9/RPL23A/MT-ND6/RPL30/GADD45GIP1/PSMA1/EIF1AX/MRPL21/RPL6/RPL41/MRPS18C/MRPL40/RPS16/MRPL54/EIF3M/MRPL4/RPN1/SSR1/RPL11/MRPS7/RPN2/MRPL35/AIMP2/RPS19/SSR2/RPL32/RPS4X/RPL7/MT-CO3/MRPL13/MRPL51/RPL10A/MRPL18/SPCS2/MT-ND3/MRPS16/RPL31/EEF1E1/EEF1B2/RPS27A/PSMB5/RPL17/RPL36AL/PSMC4/MRPS21/MRPL22/PSMC3/MRPL12/EEF1A1/MTIF3/MRPL42/RPS24/PSMA5/RPL37A/APEH/EIF4A2/MRPL55/MT-ND2/RPS7/SRP54/RPL36/RPS14/RPS13/CARS2/MRPL52/EIF3J/RPS15/PSMC5/MRPL24/GFM1/MRPS22/ABCE1/EIF3F/MT-ND4L/TUFM/PSMA7/RPL15/MRPS31/RPS28/EIF3A/RPL34/RPS6/PSMC6/RPL28/MT-ND1/EIF3B/PPA1/RPL36A/MALSU1/IARS2/MRPS18B/SRP19/RPS3A/RPLP1/MT-CO1/UBE2D2/RPL39/PSMA6/PSMB1/UBC/PABPC1/EIF2S2/RPS5/PELO/RPS29/TCF25/MRPS25/FARSA/EIF3L/SPCS3/ETF1/MT-ATP6/PSMD11/RPS21/RPL39L/MT-ND5/PSMC1/RPL14/PSMC2/RPS15A/MTIF2/EIF5B/EIF4EBP1/SEC11A/MRPL17/RPS25/PSMB2/PSMD12/SEC61A1/PTCD3/MRPL34/EIF3G/SRPRB/MRRF/RPL26L1/PPA2/RPL38/FARSB/CUL2/MRPL2/EIF3D/MRPS18A/RPL13/RPL13A/SSR3/MT-CO2/RARS2/MRPS15/PSMA3/MRPL1/MRPS23/MRPS5/MRPL11/PSMB3/MRPL3/RPL27/HBS1L/MRPL14/RPL26/PSMD7/RPL37/MRPS35/MRPL46/SRP68/PSMD1/MRPS34/VCP/RPL23/UBA52/EIF4B/EIF2S1/RPS3/MRPL32/EIF2B2/MRPS11/EIF3H/MRPS28/RPS12/ERAL1/MRPS10/MRPS30/MRPL49/RPL18A/MRPL23/RPS2/EEF1D/UBE2D1/RPS8/RPS18/RPS9/MRPS2/RPL7A/AIMP1/EIF4G1/MRPL19/RPL3/MRPS27/SEC11C/RPL29/RPL4/PSMB7/SRP9/MTRF1L/MRPL43/UBB/PSMA4/MRPS9/RPS27/PSMB4/MRPL16/MRPL9/ADRM1/MRPL37/PSMB6/MRPL53/RPL35A/RPL18/PSMD2/EIF2B1/MRPL50/RPL27A/MRPL36/PSMD6/SRP72/RPSA/FAU/NEMF/LTN1/SPCS1/UBE2D3/MRPL10/KLHDC10/EIF2B4/RPL10/RPL8/MRPS14/MRPL44/PSMD14/RCHY1/EIF3E/GFM2/PSMD13/EIF2B5/MRPL39/MIEF1/PSMD3/FARS2/MRPS26/DAP3/RPS26/EIF3I/PSMD8/MRPL48/TSFM/EIF5/RPLP2/NPLOC4/RPS11/OXA1L/YARS2/RPL12/RPL19",316,"PC","HCKD_vs_Normal"
"R-HSA-72203","Processing of Capped Intron-Containing Pre-mRNA","253/4686","294/11230",0.860544217687075,2.06229440132861,15.6185008205325,2.6602627595853e-57,2.21865914149414e-54,1.2587243267722e-54,"SNU13/SNRPN/SF3B6/LSM8/U2AF1/SRSF8/ZC3H11A/MTREX/NUP58/HNRNPH1/SRSF10/PPP1CB/RANBP2/DDX5/BUD31/CWC22/CCAR1/ZCRB1/LSM2/MAGOH/SAP18/SNRPG/LSM5/LSM3/SNRPE/SRSF3/EIF4E/PNN/NXT1/UBL5/HSPA8/POLR2L/HNRNPK/PRCC/SRSF7/TRA2B/SNRPD2/GTF2F1/PAPOLA/DDX42/POLR2J/SF1/NUP50/SNRPB2/LSM7/MAGOHB/SNRNP70/POLR2I/SNRPB/CTNNBL1/DNAJC8/PRPF38A/RPS27A/RBM8A/PABPN1/SNRNP200/CPSF7/SNRNP25/BCAS2/PPP1CA/SNRPD1/SF3A1/POLR2F/PPIG/HNRNPM/NUP35/NUP153/PRPF8/HNRNPD/PRPF6/SYF2/XRN2/POLR2G/SDE2/POLR2D/PCBP2/THOC2/SF3A3/UBC/NUP160/SLBP/ZMAT2/HNRNPA1/RNPS1/SF3B2/IK/NUP133/HNRNPF/RBM42/SNRPD3/HNRNPA3/SRSF6/SRSF5/PRPF18/HNRNPH2/SRSF2/DDX23/NUP98/C9orf78/NUP214/HNRNPL/SRRM1/PRPF40A/NXF1/POLR2E/PRKRIP1/LUC7L3/FAM32A/POLR2C/LSM6/RBM10/PPIL4/SF3B1/NSRP1/NUP155/PLRG1/XAB2/POLR2B/ZMAT5/CPSF1/WBP11/HNRNPC/RBM5/THOC1/SNRNP35/SNRNP40/SNRPA1/SRRT/SYMPK/RBM7/SNRNP27/PAPOLG/TPR/UBA52/MFAP1/SNRPF/SF3B5/CCDC12/SF3A2/NUP37/SMU1/SRSF4/RBM22/ACIN1/WTAP/FAM50A/WBP4/TXNL4A/WDR33/ZNF830/POLR2H/PCF11/HNRNPU/SMNDC1/PRPF31/SRSF11/PRPF19/POM121/LSM4/DDX39A/NUDT21/PPIE/CWC25/TCERG1/SEC13/DHX15/WDR70/RNPC3/CPSF6/CPSF3/ALYREF/NUP88/CASC3/POLR2A/RBMX2/UBB/DHX9/PPIL2/SNRPA/POLDIP3/DHX16/FIP1L1/SNRPC/EIF4A3/PPIL3/AQR/DDX41/PCBP1/RBMX/CWC15/PPP1R8/PTBP1/CHTOP/PPWD1/CDC40/U2AF2/SNW1/PPP1R10/HTATSF1/METTL3/SRSF9/SF3B4/HNRNPA2B1/POLR2K/SRSF1/CRNKL1/RBM25/NUP43/HNRNPR/THOC7/UPF3B/FUS/NKAP/RAE1/CDC5L/RBBP6/GCFC2/SARNP/METTL14/PRPF3/CSTF3/USP39/PUF60/SLU7/CHERP/CPSF2/PRPF4/U2SURP/U2AF1L4/THOC6/GTF2F2/RBM17/CSTF1/RBM39/NUP54/PPIL1/NCBP2/PHF5A/CWF19L2/THOC3/PDCD7/PPIH/SRRM2/CWC27/CSTF2T/PQBP1/YBX1/LENG1/FYTTD1/DDX46/AAAS/CPSF4/SF3B3",253,"PC","HCKD_vs_Normal"
"R-HSA-72172","mRNA Splicing","190/4686","213/11230",0.892018779342723,2.13772319505309,14.1855042095267,2.01166120941299e-48,1.11848363243362e-45,6.34555588513081e-46,"SNU13/SNRPN/SF3B6/LSM8/U2AF1/SRSF8/MTREX/HNRNPH1/SRSF10/DDX5/BUD31/CWC22/CCAR1/ZCRB1/LSM2/MAGOH/SAP18/SNRPG/LSM5/LSM3/SNRPE/SRSF3/PNN/UBL5/HSPA8/POLR2L/HNRNPK/PRCC/SRSF7/TRA2B/SNRPD2/GTF2F1/DDX42/POLR2J/SF1/SNRPB2/LSM7/MAGOHB/SNRNP70/POLR2I/SNRPB/CTNNBL1/DNAJC8/PRPF38A/RBM8A/SNRNP200/SNRNP25/BCAS2/SNRPD1/SF3A1/POLR2F/PPIG/HNRNPM/PRPF8/HNRNPD/PRPF6/SYF2/POLR2G/SDE2/POLR2D/PCBP2/SF3A3/ZMAT2/HNRNPA1/RNPS1/SF3B2/IK/HNRNPF/RBM42/SNRPD3/HNRNPA3/SRSF6/SRSF5/PRPF18/HNRNPH2/SRSF2/DDX23/C9orf78/HNRNPL/SRRM1/PRPF40A/POLR2E/PRKRIP1/LUC7L3/FAM32A/POLR2C/LSM6/RBM10/PPIL4/SF3B1/NSRP1/PLRG1/XAB2/POLR2B/ZMAT5/WBP11/HNRNPC/RBM5/SNRNP35/SNRNP40/SNRPA1/SRRT/RBM7/SNRNP27/MFAP1/SNRPF/SF3B5/CCDC12/SF3A2/SMU1/SRSF4/RBM22/ACIN1/FAM50A/WBP4/TXNL4A/ZNF830/POLR2H/HNRNPU/SMNDC1/PRPF31/SRSF11/PRPF19/LSM4/PPIE/CWC25/TCERG1/DHX15/WDR70/RNPC3/ALYREF/CASC3/POLR2A/RBMX2/DHX9/PPIL2/SNRPA/DHX16/SNRPC/EIF4A3/PPIL3/AQR/DDX41/PCBP1/RBMX/CWC15/PPP1R8/PTBP1/PPWD1/CDC40/U2AF2/SNW1/HTATSF1/SRSF9/SF3B4/HNRNPA2B1/POLR2K/SRSF1/CRNKL1/RBM25/HNRNPR/UPF3B/FUS/NKAP/CDC5L/GCFC2/PRPF3/USP39/PUF60/SLU7/CHERP/PRPF4/U2SURP/U2AF1L4/GTF2F2/RBM17/RBM39/PPIL1/NCBP2/PHF5A/CWF19L2/PDCD7/PPIH/SRRM2/CWC27/PQBP1/YBX1/LENG1/DDX46/SF3B3",190,"PC","HCKD_vs_Normal"
"R-HSA-72163","mRNA Splicing - Major Pathway","184/4686","205/11230",0.897560975609756,2.15100506958975,14.073914413242,7.31558190936778e-48,3.05059765620636e-45,1.73071266750569e-45,"SNU13/SNRPN/SF3B6/LSM8/U2AF1/SRSF8/MTREX/HNRNPH1/SRSF10/DDX5/BUD31/CWC22/CCAR1/LSM2/MAGOH/SAP18/SNRPG/LSM5/LSM3/SNRPE/SRSF3/PNN/UBL5/HSPA8/POLR2L/HNRNPK/PRCC/SRSF7/TRA2B/SNRPD2/GTF2F1/DDX42/POLR2J/SF1/SNRPB2/LSM7/MAGOHB/SNRNP70/POLR2I/SNRPB/CTNNBL1/DNAJC8/PRPF38A/RBM8A/SNRNP200/BCAS2/SNRPD1/SF3A1/POLR2F/PPIG/HNRNPM/PRPF8/HNRNPD/PRPF6/SYF2/POLR2G/SDE2/POLR2D/PCBP2/SF3A3/ZMAT2/HNRNPA1/RNPS1/SF3B2/IK/HNRNPF/RBM42/SNRPD3/HNRNPA3/SRSF6/SRSF5/PRPF18/HNRNPH2/SRSF2/DDX23/C9orf78/HNRNPL/SRRM1/PRPF40A/POLR2E/PRKRIP1/LUC7L3/FAM32A/POLR2C/LSM6/RBM10/PPIL4/SF3B1/NSRP1/PLRG1/XAB2/POLR2B/WBP11/HNRNPC/RBM5/SNRNP40/SNRPA1/SRRT/RBM7/SNRNP27/MFAP1/SNRPF/SF3B5/CCDC12/SF3A2/SMU1/SRSF4/RBM22/ACIN1/FAM50A/WBP4/TXNL4A/ZNF830/POLR2H/HNRNPU/SMNDC1/PRPF31/SRSF11/PRPF19/LSM4/PPIE/CWC25/TCERG1/DHX15/WDR70/ALYREF/CASC3/POLR2A/RBMX2/DHX9/PPIL2/SNRPA/DHX16/SNRPC/EIF4A3/PPIL3/AQR/DDX41/PCBP1/RBMX/CWC15/PPP1R8/PTBP1/PPWD1/CDC40/U2AF2/SNW1/HTATSF1/SRSF9/SF3B4/HNRNPA2B1/POLR2K/SRSF1/CRNKL1/RBM25/HNRNPR/UPF3B/FUS/NKAP/CDC5L/GCFC2/PRPF3/USP39/PUF60/SLU7/CHERP/PRPF4/U2SURP/U2AF1L4/GTF2F2/RBM17/RBM39/PPIL1/NCBP2/PHF5A/CWF19L2/PPIH/SRRM2/CWC27/PQBP1/YBX1/LENG1/DDX46/SF3B3",184,"PC","HCKD_vs_Normal"
"R-HSA-9948299","Ribosome-associated quality control","137/4686","145/11230",0.944827586206897,2.26427951197257,12.9660977157644,1.86712649826102e-42,6.22873399819876e-40,3.53378257249822e-40,"ELOB/SEM1/PSMA2/ELOC/RPS17/UFD1/RPS4Y1/RPLP0/RPL22L1/RPS27L/RPL22/RPL24/RBX1/RPS10/RPL35/RPS20/RPL21/RPS23/RPL5/RPL9/RPL23A/RPL30/PSMA1/RPL6/RPL41/RPS16/RPL11/RPS19/RPL32/RPS4X/RPL7/RPL10A/RPL31/RPS27A/PSMB5/RPL17/RPL36AL/PSMC4/PSMC3/RPS24/PSMA5/RPL37A/RPS7/RPL36/RPS14/RPS13/RPS15/PSMC5/ABCE1/PSMA7/RPL15/RPS28/RPL34/RPS6/PSMC6/RPL28/RPL36A/RPS3A/RPLP1/UBE2D2/RPL39/PSMA6/PSMB1/UBC/RPS5/PELO/RPS29/TCF25/PSMD11/RPS21/RPL39L/PSMC1/RPL14/PSMC2/RPS15A/RPS25/PSMB2/PSMD12/RPL26L1/RPL38/CUL2/RPL13/RPL13A/PSMA3/PSMB3/RPL27/HBS1L/RPL26/PSMD7/RPL37/PSMD1/VCP/RPL23/UBA52/RPS3/RPS12/RPL18A/RPS2/UBE2D1/RPS8/RPS18/RPS9/RPL7A/RPL3/RPL29/RPL4/PSMB7/UBB/PSMA4/RPS27/PSMB4/ADRM1/PSMB6/RPL35A/RPL18/PSMD2/RPL27A/PSMD6/RPSA/FAU/NEMF/LTN1/UBE2D3/KLHDC10/RPL10/RPL8/PSMD14/RCHY1/PSMD13/PSMD3/RPS26/PSMD8/RPLP2/NPLOC4/RPS11/RPL12/RPL19",137,"PC","HCKD_vs_Normal"
"R-HSA-72187","mRNA 3'-end processing","142/4686","152/11230",0.934210526315789,2.23883572567783,13.0123241177924,2.56467581625972e-42,6.53677042063693e-40,3.70854260264584e-40,"SNRPN/SF3B6/U2AF1/SRSF8/ZC3H11A/HNRNPH1/SRSF10/PPP1CB/DDX5/CCAR1/MAGOH/SNRPG/SNRPE/SRSF3/POLR2L/HNRNPK/SRSF7/TRA2B/SNRPD2/GTF2F1/PAPOLA/DDX42/POLR2J/SNRPB2/MAGOHB/SNRNP70/POLR2I/SNRPB/DNAJC8/RPS27A/RBM8A/PABPN1/CPSF7/PPP1CA/SNRPD1/SF3A1/POLR2F/HNRNPM/HNRNPD/XRN2/POLR2G/POLR2D/PCBP2/THOC2/SF3A3/UBC/HNRNPA1/RNPS1/SF3B2/HNRNPF/SNRPD3/HNRNPA3/SRSF6/SRSF5/HNRNPH2/SRSF2/HNRNPL/SRRM1/PRPF40A/POLR2E/POLR2C/RBM10/SF3B1/POLR2B/CPSF1/HNRNPC/RBM5/THOC1/SNRPA1/SRRT/SYMPK/PAPOLG/UBA52/SNRPF/SF3B5/SF3A2/SRSF4/WDR33/POLR2H/PCF11/HNRNPU/SMNDC1/SRSF11/DDX39A/NUDT21/TCERG1/DHX15/CPSF6/CPSF3/ALYREF/CASC3/POLR2A/UBB/DHX9/SNRPA/POLDIP3/FIP1L1/SNRPC/EIF4A3/PCBP1/RBMX/PPP1R8/PTBP1/CHTOP/CDC40/U2AF2/PPP1R10/HTATSF1/SRSF9/SF3B4/HNRNPA2B1/POLR2K/SRSF1/RBM25/HNRNPR/THOC7/UPF3B/FUS/RBBP6/SARNP/CSTF3/PUF60/SLU7/CHERP/CPSF2/U2SURP/U2AF1L4/THOC6/GTF2F2/RBM17/CSTF1/RBM39/NCBP2/PHF5A/THOC3/SRRM2/CSTF2T/YBX1/FYTTD1/DDX46/CPSF4/SF3B3",142,"PC","HCKD_vs_Normal"
"R-HSA-1428517","Aerobic respiration and respiratory electron transport","213/4686","258/11230",0.825581395348837,1.9785059901339,13.4549001712515,2.74324897748552e-42,6.53677042063693e-40,3.70854260264584e-40,"ATP5F1D/ATP5MC2/ATP5ME/ATP5F1E/ATP5PF/ATP5MG/UQCR11/ATP5MC3/ATP5F1B/ATP5MF/ATP5PD/NDUFB8/ATP5MC1/ATP5PO/ATP5F1C/NDUFAF8/ATP5F1A/ATP5PB/RAB5IF/DMAC1/SDHAF3/NDUFA7/UQCC3/COX8A/SDHAF4/COX7C/COX7B/PDK4/MPC1/UQCRH/COX6C/NDUFB1/NDUFC1/COX16/DMAC2/COA3/PKM/GLO1/UCP2/LDHB/COX5B/NDUFAB1/NDUFA3/TMEM126A/NDUFB4/MPC2/UQCRC2/COX20/NDUFV3/CYC1/CMC1/UQCRB/LDHA/NDUFAF4/NDUFA12/UQCRFS1/HIGD2A/NDUFB2/UQCR10/MT-CYB/MT-ATP8/UQCRQ/NDUFS3/NDUFA6/COA5/NDUFS5/NDUFB7/COX5A/MT-ND4/ACAT1/MT-ND6/NDUFB3/COX7A2/NDUFS8/ISCA1/ISCA2/SDHAF2/SDHA/NDUFS4/GOT1/NDUFB9/NDUFB6/IDH2/NDUFA1/MT-CO3/MT-ND3/SUCLG1/PET117/NDUFA5/NDUFS7/DLAT/RPS27A/COX17/NDUFAF3/COX4I1/HSCB/NNT/MAEA/ACO2/ARMC8/ETFB/MT-ND2/NDUFA2/MKLN1/COX6B1/SDHC/UQCC2/NDUFV1/NDUFV2/NDUFA11/PDHA1/MT-ND1/NDUFC2/ISCU/IDH3A/NFS1/SDHB/COX15/MT-CO1/UBC/VDAC1/NDUFA9/FAHD1/RANBP9/MT-ATP6/COQ10A/SUCLA2/SCO1/MT-ND5/BCS1L/ACAD9/SLC25A12/GID8/NDUFA8/UQCC1/MDH2/NDUFB10/LETM1/NDUFA13/OGDH/LYRM4/LYRM7/COX7A2L/ETFA/MT-CO2/TRAP1/COX7A1/DLST/FXN/SDHAF1/IDH3B/PDK2/NDUFS6/NDUFB5/COX14/NDUFAF2/PNKD/COX11/TACO1/UBA52/TMEM186/ETFDH/COX6A1/PYURF/PET100/D2HGDH/SLC25A11/LYRM2/SMIM20/WDR26/IDH3G/COA1/GSTZ1/ME3/SDHD/NDUFA10/DLD/TTC19/UBB/HSPA9/NDUFAF1/SUCLG2/NDUFS2/ME2/PDP1/TMEM126B/CS/NEK1/HAGH/SFXN4/TIMMDC1/UQCRC1/SLC25A13/SURF1/HIGD1A/RMND5B/SIRT3/TMEM223/MDH1/COQ10B/PDHX/RMND5A/NDUFAF6/GOT2/NDUFB11/NDUFS1/TMEM177/NDUFAF5/HCCS/COX19/PDHB/OXA1L/FH",213,"PC","HCKD_vs_Normal"
"R-HSA-9770562","mRNA Polyadenylation","121/4686","127/11230",0.952755905511811,2.28327973087871,12.3070244393094,1.05517359633468e-38,2.2000369483578e-36,1.24815929355905e-36,"SNRPN/SF3B6/U2AF1/SRSF8/HNRNPH1/SRSF10/PPP1CB/DDX5/CCAR1/SNRPG/SNRPE/SRSF3/POLR2L/HNRNPK/SRSF7/TRA2B/SNRPD2/GTF2F1/PAPOLA/DDX42/POLR2J/SNRPB2/SNRNP70/POLR2I/SNRPB/DNAJC8/RPS27A/PABPN1/CPSF7/PPP1CA/SNRPD1/SF3A1/POLR2F/HNRNPM/HNRNPD/XRN2/POLR2G/POLR2D/PCBP2/SF3A3/UBC/HNRNPA1/SF3B2/HNRNPF/SNRPD3/HNRNPA3/SRSF6/SRSF5/HNRNPH2/SRSF2/HNRNPL/PRPF40A/POLR2E/POLR2C/RBM10/SF3B1/POLR2B/CPSF1/HNRNPC/RBM5/SNRPA1/SRRT/SYMPK/PAPOLG/UBA52/SNRPF/SF3B5/SF3A2/SRSF4/WDR33/POLR2H/PCF11/HNRNPU/SMNDC1/SRSF11/NUDT21/TCERG1/DHX15/CPSF6/CPSF3/POLR2A/UBB/DHX9/SNRPA/FIP1L1/SNRPC/PCBP1/RBMX/PPP1R8/PTBP1/CDC40/U2AF2/PPP1R10/HTATSF1/SRSF9/SF3B4/HNRNPA2B1/POLR2K/SRSF1/RBM25/HNRNPR/FUS/RBBP6/CSTF3/PUF60/CHERP/CPSF2/U2SURP/U2AF1L4/GTF2F2/RBM17/CSTF1/RBM39/NCBP2/PHF5A/SRRM2/CSTF2T/YBX1/DDX46/CPSF4/SF3B3",121,"PC","HCKD_vs_Normal"
"R-HSA-72613","Eukaryotic Translation Initiation","115/4686","120/11230",0.958333333333333,2.29664603784322,12.0838428479489,1.35863605862821e-37,2.26620494579185e-35,1.28569875442817e-35,"RPS17/RPS4Y1/EIF4A1/RPLP0/RPL22L1/RPS27L/EIF4H/RPL22/EIF2S3/RPL24/RPS10/RPL35/EIF4E/RPS20/RPL21/RPS23/RPL5/EIF3K/RPL9/RPL23A/RPL30/EIF1AX/RPL6/RPL41/RPS16/EIF3M/RPL11/RPS19/RPL32/RPS4X/RPL7/RPL10A/RPL31/RPS27A/RPL17/RPL36AL/RPS24/RPL37A/EIF4A2/RPS7/RPL36/RPS14/RPS13/EIF3J/RPS15/EIF3F/RPL15/RPS28/EIF3A/RPL34/RPS6/RPL28/EIF3B/RPL36A/RPS3A/RPLP1/RPL39/PABPC1/EIF2S2/RPS5/RPS29/EIF3L/RPS21/RPL39L/RPL14/RPS15A/EIF5B/EIF4EBP1/RPS25/EIF3G/RPL26L1/RPL38/EIF3D/RPL13/RPL13A/RPL27/RPL26/RPL37/RPL23/UBA52/EIF4B/EIF2S1/RPS3/EIF2B2/EIF3H/RPS12/RPL18A/RPS2/RPS8/RPS18/RPS9/RPL7A/EIF4G1/RPL3/RPL29/RPL4/RPS27/RPL35A/RPL18/EIF2B1/RPL27A/RPSA/FAU/EIF2B4/RPL10/RPL8/EIF3E/EIF2B5/RPS26/EIF3I/EIF5/RPLP2/RPS11/RPL12/RPL19",115,"PC","HCKD_vs_Normal"
"R-HSA-72737","Cap-dependent Translation Initiation","115/4686","120/11230",0.958333333333333,2.29664603784322,12.0838428479489,1.35863605862821e-37,2.26620494579185e-35,1.28569875442817e-35,"RPS17/RPS4Y1/EIF4A1/RPLP0/RPL22L1/RPS27L/EIF4H/RPL22/EIF2S3/RPL24/RPS10/RPL35/EIF4E/RPS20/RPL21/RPS23/RPL5/EIF3K/RPL9/RPL23A/RPL30/EIF1AX/RPL6/RPL41/RPS16/EIF3M/RPL11/RPS19/RPL32/RPS4X/RPL7/RPL10A/RPL31/RPS27A/RPL17/RPL36AL/RPS24/RPL37A/EIF4A2/RPS7/RPL36/RPS14/RPS13/EIF3J/RPS15/EIF3F/RPL15/RPS28/EIF3A/RPL34/RPS6/RPL28/EIF3B/RPL36A/RPS3A/RPLP1/RPL39/PABPC1/EIF2S2/RPS5/RPS29/EIF3L/RPS21/RPL39L/RPL14/RPS15A/EIF5B/EIF4EBP1/RPS25/EIF3G/RPL26L1/RPL38/EIF3D/RPL13/RPL13A/RPL27/RPL26/RPL37/RPL23/UBA52/EIF4B/EIF2S1/RPS3/EIF2B2/EIF3H/RPS12/RPL18A/RPS2/RPS8/RPS18/RPS9/RPL7A/EIF4G1/RPL3/RPL29/RPL4/RPS27/RPL35A/RPL18/EIF2B1/RPL27A/RPSA/FAU/EIF2B4/RPL10/RPL8/EIF3E/EIF2B5/RPS26/EIF3I/EIF5/RPLP2/RPS11/RPL12/RPL19",115,"PC","HCKD_vs_Normal"
"R-HSA-168255","Influenza Infection","141/4686","157/11230",0.898089171974522,2.15227089229063,12.3033054210186,5.97574526882377e-37,9.06140282581641e-35,5.140856456146e-35,"RPS17/CALR/TGFB1/RPS4Y1/NUP58/RPLP0/RPL22L1/RANBP2/DNAJC3/HSPA1A/RPS27L/XPO1/RAN/RPL22/RPL24/RPS10/CLTC/RPL35/RPS20/CANX/RPL21/RPS23/RPL5/POLR2L/RPL9/RPL23A/RPL30/RPL6/RPL41/GTF2F1/RPS16/GRSF1/POLR2J/NUP50/RPL11/RPS19/HSP90AA1/RPL32/RPS4X/RPL7/RPL10A/RPL31/POLR2I/RPS27A/PABPN1/RPL17/KPNA2/RPL36AL/RPS24/RPL37A/RPS7/RPL36/ISG15/RPS14/POLR2F/RPS13/NUP35/RPS15/NUP153/RPL15/RPS28/RPL34/RPS6/RPL28/RPL36A/POLR2G/POLR2D/RPS3A/RPLP1/KPNA1/RPL39/RPS5/HSPA1B/RPS29/NUP160/RPS21/RPL39L/NUP133/RPL14/RPS15A/NUP98/RPS25/NUP214/RPL26L1/RPL38/POLR2E/POLR2C/RPL13/RPL13A/NUP155/IPO5/RPL27/POLR2B/RPL26/EIF2AK2/RPL37/RPL23/TPR/UBA52/RPS3/NUP37/RPS12/KPNB1/CLTA/POLR2H/RPL18A/RPS2/RPS8/RPS18/RPS9/POM121/RPL7A/KPNA4/RPL3/SEC13/RPL29/RPL4/NUP88/POLR2A/RPS27/RPL35A/RPL18/RPL27A/RPSA/FAU/POLR2K/NUP43/RAE1/RPL10/RPL8/PARP1/GTF2F2/NUP54/KPNA3/RPS26/RPLP2/RPS11/AAAS/CPSF4/RPL12/RPL19",141,"PC","HCKD_vs_Normal"
"R-HSA-1799339","SRP-dependent cotranslational protein targeting to membrane","109/4686","113/11230",0.964601769911504,2.3116683474405,11.8582197750858,1.59662898489354e-36,2.04859780523263e-34,1.16224247564315e-34,"SRPRA/RPS17/TRAM1/RPS4Y1/RPLP0/RPL22L1/RPS27L/DDOST/RPL22/SEC61G/RPL24/SRP14/RPS10/RPL35/RPS20/SSR4/SEC61B/RPL21/RPS23/RPL5/RPL9/RPL23A/RPL30/RPL6/RPL41/RPS16/RPN1/SSR1/RPL11/RPN2/RPS19/SSR2/RPL32/RPS4X/RPL7/RPL10A/SPCS2/RPL31/RPS27A/RPL17/RPL36AL/RPS24/RPL37A/RPS7/SRP54/RPL36/RPS14/RPS13/RPS15/RPL15/RPS28/RPL34/RPS6/RPL28/RPL36A/SRP19/RPS3A/RPLP1/RPL39/RPS5/RPS29/SPCS3/RPS21/RPL39L/RPL14/RPS15A/SEC11A/RPS25/SEC61A1/SRPRB/RPL26L1/RPL38/RPL13/RPL13A/SSR3/RPL27/RPL26/RPL37/SRP68/RPL23/UBA52/RPS3/RPS12/RPL18A/RPS2/RPS8/RPS18/RPS9/RPL7A/RPL3/SEC11C/RPL29/RPL4/SRP9/RPS27/RPL35A/RPL18/RPL27A/SRP72/RPSA/FAU/SPCS1/RPL10/RPL8/RPS26/RPLP2/RPS11/RPL12/RPL19",109,"PC","HCKD_vs_Normal"
"R-HSA-72706","GTP hydrolysis and joining of the 60S ribosomal subunit","109/4686","113/11230",0.964601769911504,2.3116683474405,11.8582197750858,1.59662898489354e-36,2.04859780523263e-34,1.16224247564315e-34,"RPS17/RPS4Y1/EIF4A1/RPLP0/RPL22L1/RPS27L/EIF4H/RPL22/EIF2S3/RPL24/RPS10/RPL35/EIF4E/RPS20/RPL21/RPS23/RPL5/EIF3K/RPL9/RPL23A/RPL30/EIF1AX/RPL6/RPL41/RPS16/EIF3M/RPL11/RPS19/RPL32/RPS4X/RPL7/RPL10A/RPL31/RPS27A/RPL17/RPL36AL/RPS24/RPL37A/EIF4A2/RPS7/RPL36/RPS14/RPS13/EIF3J/RPS15/EIF3F/RPL15/RPS28/EIF3A/RPL34/RPS6/RPL28/EIF3B/RPL36A/RPS3A/RPLP1/RPL39/EIF2S2/RPS5/RPS29/EIF3L/RPS21/RPL39L/RPL14/RPS15A/EIF5B/RPS25/EIF3G/RPL26L1/RPL38/EIF3D/RPL13/RPL13A/RPL27/RPL26/RPL37/RPL23/UBA52/EIF4B/EIF2S1/RPS3/EIF3H/RPS12/RPL18A/RPS2/RPS8/RPS18/RPS9/RPL7A/EIF4G1/RPL3/RPL29/RPL4/RPS27/RPL35A/RPL18/RPL27A/RPSA/FAU/RPL10/RPL8/EIF3E/RPS26/EIF3I/EIF5/RPLP2/RPS11/RPL12/RPL19",109,"PC","HCKD_vs_Normal"
