"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","CellType","Condition"
"R-HSA-72766","Translation","320/4866","368/11230",0.869565217391304,2.00682642649082,17.1717724140008,3.65402562346047e-70,6.08760668868514e-67,3.28093037559135e-67,"RPL6/RPL38/RPL37A/RPS13/RPS2/RPL36AL/RPL27/RPS6/RPS14/RPL24/RPL5/RPL22/RPL9/RPS4X/NDUFAB1/RPL37/RPL11/RPS24/RPS23/RPL32/RPL23A/RPS18/RPL30/RPS7/RPL7A/RPL35A/RPL4/RPSA/RPL41/RPL19/RPL27A/EEF1B2/RPS3A/RPL26/MT-CYB/RPL8/RPL14/RPL23/RPS8/RPLP1/RPL13/RPL15/EEF1A1/RPL18/FAU/RPS27A/RPS25/RPL10A/RPL35/UBA52/RPL29/RPS3/RPS15/RPLP2/RPS5/RPS11/RPS16/RPS15A/RPL36/EIF3K/RPS21/RPL34/RPS12/RPL18A/RPL10/RPL3/RPL28/RPS29/RPL13A/RPS28/RPS27/RPL21/UBC/SEC61B/RPS9/RPS19/MRPL54/PSMD8/RPL12/RPL7/MT-ATP8/MT-ND2/TRMT112/SSR1/RPLP0/MT-ATP6/PSMB7/MT-ND1/RPL31/EEF1D/MT-ND6/EIF3G/MRPL21/MRPL41/UBB/MRPL22/PSMB1/RPS4Y1/MRPL51/SRP14/GADD45GIP1/MRPL34/PSMB6/RPL39/PSMA7/MRPS7/PSMB5/PSMB4/MT-ND3/RPS10/RPS20/AURKAIP1/MRPL27/RBX1/UBE2D3/MRPL20/MRPL40/CHCHD1/TCF25/EIF1AX/MT-ND5/EIF4A1/MRPS21/SSR4/PSMB3/MRPS12/RPS26/MT-CO2/EIF2S2/MT-ND4/EIF3A/MRPS22/MRPS33/MT-CO1/MRPL3/MRPL16/EIF3H/EIF3D/SEM1/SSR2/EIF3L/RPL17/TRAM1/SEC11C/PSMC4/MRPL18/EIF4E/SEC11A/MRPL14/EIF3F/IARS2/EIF3I/ELOB/MRPS35/RPL26L1/MRPL1/RPN2/EIF4EBP1/MRPS18C/RPS17/SPCS3/PSMC6/PSMA3/ETF1/PSMD6/PABPC1/MRPL47/MRPS25/MRPL15/MRPL52/EIF4H/MRPS27/EIF3E/MRPL24/MRPL12/TUFM/EIF4B/EEF2/PSMC1/MT-ND4L/MRPL2/EIF3M/PPA2/MRPS23/MRPL11/MRPL36/MRPS5/RPL22L1/MTIF3/MT-CO3/UFD1/RPL36A/ADRM1/SRP9/MRPS6/SPCS2/PPA1/MRPS14/ANKZF1/UBE2D2/MRPL19/MRPL28/MRPS31/MRPL4/EIF2S3/SRP19/ELOC/MRPS18A/NPLOC4/PSMA5/MRPL57/VCP/MRPS2/RPS27L/MALSU1/PSMD11/MRPL32/EIF2B5/RCHY1/SRP54/PSMD13/PSMB2/MRPS26/CARS2/SPCS1/MRRF/PSMD7/PSMA2/MRPS28/KLHDC10/EEF1E1/MIEF1/PTCD3/SRP72/PSMC5/MRPL43/GSPT1/MRPL50/AIMP1/ASCC2/EIF5B/SEC61A1/EIF3B/MRPL23/APEH/DAP3/MRPL17/ASCC3/MRPS15/EIF2B4/MTRF1L/SRPRA/MRPS16/AIMP2/PSMC2/SSR3/MRPS18B/PSMC3/MRPS10/EIF4A2/MRPL48/SRP68/GFM1/EIF4G1/MRPL42/MTIF2/PSMD3/ABCE1/TARS2/RPN1/NEMF/PSMA4/MRPS30/MRPL35/FARSA/PSMA1/MRPS34/MRPS9/PSMD2/GFM2/MRPL44/FARS2/UBE2D1/MRPL13/EIF2B3/EIF2S1/MRPL37/RPL39L/PELO/PSMD12/EIF5/MRPS17/CUL2/ZNF598/MRPS11/MRPL49/SRPRB/OXA1L/TRIP4/MRPL46/FARSB/RARS2/DDOST/EIF2B1/EIF2B2/MRPL55/PSMD1/LTN1/HBS1L/MRPL10/TSFM/MRPL9/MRPL39/MRPL33/SEC61G/MRPL53/PSMD14/EIF3J/MTFMT/ERAL1",320,"CCD_IC_A","HCKD_vs_Normal"
"R-HSA-72203","Processing of Capped Intron-Containing Pre-mRNA","252/4866","294/11230",0.857142857142857,1.97815747754095,14.8608859569907,1.26982280237408e-52,1.05776239437761e-49,5.7008360548689e-50,"HSPA8/RPS27A/SRSF5/HNRNPH1/UBA52/UBC/SNRPF/UBL5/DDX5/UBB/WTAP/PPP1CB/RBM8A/SLBP/BUD31/PABPN1/FAM50A/HNRNPA1/SNRPB/DHX9/SRSF7/POLR2H/POLR2K/SNRPD1/SYF2/LSM7/SRRM1/CCAR1/PNN/U2AF1/SNRPN/ZCRB1/SNRPE/LSM3/LENG1/RANBP2/EIF4E/SNU13/SNRNP25/SNRPD2/LUC7L3/HTATSF1/DDX42/CHTOP/SNRNP70/SF3B5/RBM5/SNRPD3/SNRPG/RNPS1/SYMPK/TXNL4A/THOC7/SRSF4/PCF11/TPR/SRSF11/SRSF10/SRSF3/CPSF2/ZC3H11A/SNRPC/MAGOH/PPIE/SRRM2/SMNDC1/LSM5/SRSF6/POLR2J/WDR33/PUF60/BCAS2/CSTF1/DHX15/GCFC2/LSM8/SAP18/NUP37/HNRNPH2/LSM4/PAPOLA/DDX23/POLR2G/LSM6/NUP133/NUP214/HNRNPD/FUS/POLR2B/RBM25/RBM39/DNAJC8/PPP1CA/U2SURP/XRN2/HNRNPC/SNRPA1/SRSF2/POLR2L/POLR2C/POLR2F/SNRPB2/HNRNPU/SNW1/CDC40/TRA2B/RBM22/HNRNPR/NSRP1/SEH1L/SRSF9/PPIL4/DDX46/HNRNPM/POLR2I/NUDT21/SNRNP35/HNRNPA3/ZMAT2/PLRG1/PPIL2/SF1/NUP107/XAB2/DHX38/FYTTD1/PPWD1/PCBP2/HNRNPA2B1/RBM7/SEC13/ISY1/SLU7/SF3A1/RBM42/PRPF8/ALYREF/WBP11/SF3B6/SNRPA/NCBP2/EIF4A3/PPP1R10/IK/HNRNPF/POLR2A/POLR2E/POM121/UPF3B/METTL14/HNRNPK/CDC5L/SF3B3/TCERG1/WBP4/GTF2F2/CSTF3/PRPF40A/ZMAT5/THOC6/C9orf78/PRKRIP1/RBBP6/NUP54/THOC2/RBMX/SRSF1/PPIG/NUP153/LSM2/CPSF3/SF3A3/RBMX2/CHERP/PRCC/CPSF1/NUP93/SNRNP40/FIP1L1/RBM10/PPIH/SRRT/PDCD7/PRPF4/PRPF31/NUP155/SF3B2/SMU1/SNRNP200/USP39/DDX39A/NUP160/PRPF6/GPKOW/GTF2F1/PPP1R8/CPSF7/THOC1/YBX1/PHF5A/CWF19L2/HNRNPL/CCDC12/RBM17/RNPC3/PRPF38A/NUP50/SARNP/PPIL1/CSTF2T/CWC15/PPIL3/MFAP1/AAAS/NUP35/SART1/ZRSR2/PRPF18/FAM32A/SF3A2/NXT1/DDX41/CPSF6/U2AF2/CWC22/SNRNP27/NKAP/MAGOHB/ACIN1/SF3B4/NUP205/SNIP1/CASC3/CPSF4/DHX8/SF3B1/CTNNBL1/AQR/NUP88/METTL3/PQBP1/U2AF1L4/PCBP1/POLDIP3/TFIP11/RAE1/CRNKL1/PTBP1/SRSF8/NUP98/CWC25/CWC27",252,"CCD_IC_A","HCKD_vs_Normal"
"R-HSA-9948299","Ribosome-associated quality control","141/4866","145/11230",0.972413793103448,2.24418555210681,13.1853849607499,3.74082931758196e-46,2.07740721436385e-43,1.11962365189383e-43,"RPL6/RPL38/RPL37A/RPS13/RPS2/RPL36AL/RPL27/RPS6/RPS14/RPL24/RPL5/RPL22/RPL9/RPS4X/RPL37/RPL11/RPS24/RPS23/RPL32/RPL23A/RPS18/RPL30/RPS7/RPL7A/RPL35A/RPL4/RPSA/RPL41/RPL19/RPL27A/RPS3A/RPL26/RPL8/RPL14/RPL23/RPS8/RPLP1/RPL13/RPL15/RPL18/FAU/RPS27A/RPS25/RPL10A/RPL35/UBA52/RPL29/RPS3/RPS15/RPLP2/RPS5/RPS11/RPS16/RPS15A/RPL36/RPS21/RPL34/RPS12/RPL18A/RPL10/RPL3/RPL28/RPS29/RPL13A/RPS28/RPS27/RPL21/UBC/RPS9/RPS19/PSMD8/RPL12/RPL7/RPLP0/PSMB7/RPL31/UBB/PSMB1/RPS4Y1/PSMB6/RPL39/PSMA7/PSMB5/PSMB4/RPS10/RPS20/RBX1/UBE2D3/TCF25/PSMB3/RPS26/SEM1/RPL17/PSMC4/ELOB/RPL26L1/RPS17/PSMC6/PSMA3/PSMD6/PSMC1/RPL22L1/UFD1/RPL36A/ADRM1/ANKZF1/UBE2D2/ELOC/NPLOC4/PSMA5/VCP/RPS27L/PSMD11/RCHY1/PSMD13/PSMB2/PSMD7/PSMA2/KLHDC10/PSMC5/ASCC2/ASCC3/PSMC2/PSMC3/PSMD3/ABCE1/NEMF/PSMA4/PSMA1/PSMD2/UBE2D1/RPL39L/PELO/PSMD12/CUL2/ZNF598/TRIP4/PSMD1/LTN1/HBS1L/PSMD14",141,"CCD_IC_A","HCKD_vs_Normal"
"R-HSA-72172","mRNA Splicing","190/4866","213/11230",0.892018779342723,2.05864588820772,13.6395596603708,1.58742649185496e-45,6.61163133857592e-43,3.56335473040074e-43,"HSPA8/SRSF5/HNRNPH1/SNRPF/UBL5/DDX5/RBM8A/BUD31/FAM50A/HNRNPA1/SNRPB/DHX9/SRSF7/POLR2H/POLR2K/SNRPD1/SYF2/LSM7/SRRM1/CCAR1/PNN/U2AF1/SNRPN/ZCRB1/SNRPE/LSM3/LENG1/SNU13/SNRNP25/SNRPD2/LUC7L3/HTATSF1/DDX42/SNRNP70/SF3B5/RBM5/SNRPD3/SNRPG/RNPS1/TXNL4A/SRSF4/SRSF11/SRSF10/SRSF3/SNRPC/MAGOH/PPIE/SRRM2/SMNDC1/LSM5/SRSF6/POLR2J/PUF60/BCAS2/DHX15/GCFC2/LSM8/SAP18/HNRNPH2/LSM4/DDX23/POLR2G/LSM6/HNRNPD/FUS/POLR2B/RBM25/RBM39/DNAJC8/U2SURP/HNRNPC/SNRPA1/SRSF2/POLR2L/POLR2C/POLR2F/SNRPB2/HNRNPU/SNW1/CDC40/TRA2B/RBM22/HNRNPR/NSRP1/SRSF9/PPIL4/DDX46/HNRNPM/POLR2I/SNRNP35/HNRNPA3/ZMAT2/PLRG1/PPIL2/SF1/XAB2/DHX38/PPWD1/PCBP2/HNRNPA2B1/RBM7/ISY1/SLU7/SF3A1/RBM42/PRPF8/ALYREF/WBP11/SF3B6/SNRPA/NCBP2/EIF4A3/IK/HNRNPF/POLR2A/POLR2E/UPF3B/HNRNPK/CDC5L/SF3B3/TCERG1/WBP4/GTF2F2/PRPF40A/ZMAT5/C9orf78/PRKRIP1/RBMX/SRSF1/PPIG/LSM2/SF3A3/RBMX2/CHERP/PRCC/SNRNP40/RBM10/PPIH/SRRT/PDCD7/PRPF4/PRPF31/SF3B2/SMU1/SNRNP200/USP39/PRPF6/GPKOW/GTF2F1/PPP1R8/YBX1/PHF5A/CWF19L2/HNRNPL/CCDC12/RBM17/RNPC3/PRPF38A/PPIL1/CWC15/PPIL3/MFAP1/SART1/ZRSR2/PRPF18/FAM32A/SF3A2/DDX41/U2AF2/CWC22/SNRNP27/NKAP/MAGOHB/ACIN1/SF3B4/SNIP1/CASC3/DHX8/SF3B1/CTNNBL1/AQR/PQBP1/U2AF1L4/PCBP1/TFIP11/CRNKL1/PTBP1/SRSF8/CWC25/CWC27",190,"CCD_IC_A","HCKD_vs_Normal"
"R-HSA-72163","mRNA Splicing - Major Pathway","183/4866","205/11230",0.892682926829268,2.06017864124387,13.395477205966,5.49039174596611e-44,1.82939852975591e-41,9.85958770380861e-42,"HSPA8/SRSF5/HNRNPH1/SNRPF/UBL5/DDX5/RBM8A/BUD31/FAM50A/HNRNPA1/SNRPB/DHX9/SRSF7/POLR2H/POLR2K/SNRPD1/SYF2/LSM7/SRRM1/CCAR1/PNN/U2AF1/SNRPN/SNRPE/LSM3/LENG1/SNU13/SNRPD2/LUC7L3/HTATSF1/DDX42/SNRNP70/SF3B5/RBM5/SNRPD3/SNRPG/RNPS1/TXNL4A/SRSF4/SRSF11/SRSF10/SRSF3/SNRPC/MAGOH/PPIE/SRRM2/SMNDC1/LSM5/SRSF6/POLR2J/PUF60/BCAS2/DHX15/GCFC2/LSM8/SAP18/HNRNPH2/LSM4/DDX23/POLR2G/LSM6/HNRNPD/FUS/POLR2B/RBM25/RBM39/DNAJC8/U2SURP/HNRNPC/SNRPA1/SRSF2/POLR2L/POLR2C/POLR2F/SNRPB2/HNRNPU/SNW1/CDC40/TRA2B/RBM22/HNRNPR/NSRP1/SRSF9/PPIL4/DDX46/HNRNPM/POLR2I/HNRNPA3/ZMAT2/PLRG1/PPIL2/SF1/XAB2/DHX38/PPWD1/PCBP2/HNRNPA2B1/RBM7/ISY1/SLU7/SF3A1/RBM42/PRPF8/ALYREF/WBP11/SF3B6/SNRPA/NCBP2/EIF4A3/IK/HNRNPF/POLR2A/POLR2E/UPF3B/HNRNPK/CDC5L/SF3B3/TCERG1/WBP4/GTF2F2/PRPF40A/C9orf78/PRKRIP1/RBMX/SRSF1/PPIG/LSM2/SF3A3/RBMX2/CHERP/PRCC/SNRNP40/RBM10/PPIH/SRRT/PRPF4/PRPF31/SF3B2/SMU1/SNRNP200/USP39/PRPF6/GPKOW/GTF2F1/PPP1R8/YBX1/PHF5A/CWF19L2/HNRNPL/CCDC12/RBM17/PRPF38A/PPIL1/CWC15/PPIL3/MFAP1/SART1/PRPF18/FAM32A/SF3A2/DDX41/U2AF2/CWC22/SNRNP27/NKAP/MAGOHB/ACIN1/SF3B4/SNIP1/CASC3/DHX8/SF3B1/CTNNBL1/AQR/PQBP1/U2AF1L4/PCBP1/TFIP11/CRNKL1/PTBP1/SRSF8/CWC25/CWC27",183,"CCD_IC_A","HCKD_vs_Normal"
"R-HSA-1428517","Aerobic respiration and respiratory electron transport","216/4866","258/11230",0.837209302325581,1.93215381527256,13.244819456907,9.77337147430083e-42,2.7137394793642e-39,1.46257646799625e-39,"UQCRB/COX6C/NDUFAB1/COX5B/NDUFS5/COX8A/NDUFB4/NDUFA12/COX7C/MT-CYB/COX7A2L/RPS27A/COX4I1/MPC1/COX7B/NDUFB3/ISCU/UBA52/COX5A/NDUFA1/UQCRQ/NDUFC1/NDUFV2/NDUFS4/UQCR10/NDUFB1/COX7A1/ETFB/COX6B1/NDUFB11/NDUFB9/UBC/NDUFA6/NDUFS8/ACAT1/NDUFB7/MT-ATP8/MT-ND2/NDUFA3/COX7A2/NDUFC2/UQCRFS1/MT-ATP6/IDH2/ATP5PD/NDUFS6/UQCRC2/COX17/COX6A1/MDH2/MT-ND1/MT-ND6/COA3/NDUFA2/CMC1/UBB/ATP5PF/UQCC2/NDUFA5/CYC1/SUCLG1/NDUFB10/NDUFB2/LDHB/NDUFS7/PDK4/UQCRC1/NDUFB5/PDHB/MT-ND3/NDUFA8/NDUFS3/UQCRH/DMAC1/MPC2/NDUFV1/NDUFA10/VDAC1/MT-ND5/NDUFB6/ATP5PO/HSPA9/NDUFV3/SDHC/NDUFB8/ATP5MC3/NDUFAF3/MT-CO2/MT-ND4/UCP2/MT-CO1/NDUFAF4/HIGD2A/MDH1/NDUFS2/PET100/ACO2/FH/SURF1/NDUFA9/ISCA1/ATP5F1A/ATP5F1D/ATP5MF/HAGH/NDUFAF8/ATP5F1E/ADHFE1/ATP5F1B/PDP1/ATP5MC2/NDUFA11/SLC25A11/HIGD1A/ISCA2/ATP5ME/SDHA/TIMMDC1/UQCR11/ATP5MG/SDHD/MKLN1/PDHA1/COX11/MT-CO3/TACO1/NNT/ATP5MC1/SDHAF1/GLO1/ATP5F1C/OGDH/ETFA/IDH3G/SUCLG2/LDHA/NDUFS1/COX16/COX20/RMND5A/SDHB/PYURF/ATP5PB/GID8/COA5/ARMC8/COQ10B/GOT2/COA1/LETM1/SFXN4/LYRM7/DLAT/SCO2/COX14/NDUFAF6/DLD/PKM/TMEM223/FXN/SMIM20/SUCLA2/COX15/PDK2/TRAP1/GOT1/LYRM2/GSTZ1/NDUFA7/FAHD1/FOXRED1/COX19/TMEM126B/PET117/RANBP9/TTC19/PNKD/COQ10A/PDHX/DLST/NDUFAF2/ME3/NFS1/RAB5IF/MAEA/ME2/ETFDH/UQCC3/UQCC1/NDUFA13/TMEM177/LYRM4/RMND5B/OXA1L/D2HGDH/NDUFAF1/IDH3B/SLC25A13/TMEM126A/ACAD9/SCO1/WDR26/CS/SDHAF2/HSCB/NEK1/SLC25A12/BCS1L/HCCS/SDHAF3/PDPR/IDH3A/TMEM186/SIRT3/TIMM21/NDUFAF5",216,"CCD_IC_A","HCKD_vs_Normal"
"R-HSA-72187","mRNA 3'-end processing","140/4866","152/11230",0.921052631578947,2.12565167542778,12.2176208461689,1.23625848836493e-37,2.94229520230853e-35,1.58575712868464e-35,"RPS27A/SRSF5/HNRNPH1/UBA52/UBC/SNRPF/DDX5/UBB/PPP1CB/RBM8A/PABPN1/HNRNPA1/SNRPB/DHX9/SRSF7/POLR2H/POLR2K/SNRPD1/SRRM1/CCAR1/U2AF1/SNRPN/SNRPE/SNRPD2/HTATSF1/DDX42/CHTOP/SNRNP70/SF3B5/RBM5/SNRPD3/SNRPG/RNPS1/SYMPK/THOC7/SRSF4/PCF11/SRSF11/SRSF10/SRSF3/CPSF2/ZC3H11A/SNRPC/MAGOH/SRRM2/SMNDC1/SRSF6/POLR2J/WDR33/PUF60/CSTF1/DHX15/HNRNPH2/PAPOLA/POLR2G/HNRNPD/FUS/POLR2B/RBM25/RBM39/DNAJC8/PPP1CA/U2SURP/XRN2/HNRNPC/SNRPA1/SRSF2/POLR2L/POLR2C/POLR2F/SNRPB2/HNRNPU/CDC40/TRA2B/HNRNPR/SRSF9/DDX46/HNRNPM/POLR2I/NUDT21/HNRNPA3/DHX38/FYTTD1/PCBP2/HNRNPA2B1/SLU7/SF3A1/ALYREF/SF3B6/SNRPA/NCBP2/EIF4A3/PPP1R10/HNRNPF/POLR2A/POLR2E/UPF3B/HNRNPK/SF3B3/TCERG1/GTF2F2/CSTF3/PRPF40A/THOC6/RBBP6/THOC2/RBMX/SRSF1/CPSF3/SF3A3/CHERP/CPSF1/FIP1L1/RBM10/SRRT/SF3B2/DDX39A/GTF2F1/PPP1R8/CPSF7/THOC1/YBX1/PHF5A/HNRNPL/RBM17/SARNP/CSTF2T/SF3A2/CPSF6/U2AF2/MAGOHB/SF3B4/CASC3/CPSF4/SF3B1/U2AF1L4/PCBP1/POLDIP3/PTBP1/SRSF8",140,"CCD_IC_A","HCKD_vs_Normal"
"R-HSA-72613","Eukaryotic Translation Initiation","116/4866","120/11230",0.966666666666667,2.23092204411563,11.8537469180542,3.04567318572313e-37,5.63787947490526e-35,3.03854880400214e-35,"RPL6/RPL38/RPL37A/RPS13/RPS2/RPL36AL/RPL27/RPS6/RPS14/RPL24/RPL5/RPL22/RPL9/RPS4X/RPL37/RPL11/RPS24/RPS23/RPL32/RPL23A/RPS18/RPL30/RPS7/RPL7A/RPL35A/RPL4/RPSA/RPL41/RPL19/RPL27A/RPS3A/RPL26/RPL8/RPL14/RPL23/RPS8/RPLP1/RPL13/RPL15/RPL18/FAU/RPS27A/RPS25/RPL10A/RPL35/UBA52/RPL29/RPS3/RPS15/RPLP2/RPS5/RPS11/RPS16/RPS15A/RPL36/EIF3K/RPS21/RPL34/RPS12/RPL18A/RPL10/RPL3/RPL28/RPS29/RPL13A/RPS28/RPS27/RPL21/RPS9/RPS19/RPL12/RPL7/RPLP0/RPL31/EIF3G/RPS4Y1/RPL39/RPS10/RPS20/EIF1AX/EIF4A1/RPS26/EIF2S2/EIF3A/EIF3H/EIF3D/EIF3L/RPL17/EIF4E/EIF3F/EIF3I/RPL26L1/EIF4EBP1/RPS17/PABPC1/EIF4H/EIF3E/EIF4B/EIF3M/RPL22L1/RPL36A/EIF2S3/RPS27L/EIF2B5/EIF5B/EIF3B/EIF2B4/EIF4A2/EIF4G1/EIF2B3/EIF2S1/RPL39L/EIF5/EIF2B1/EIF2B2/EIF3J",116,"CCD_IC_A","HCKD_vs_Normal"
"R-HSA-72737","Cap-dependent Translation Initiation","116/4866","120/11230",0.966666666666667,2.23092204411563,11.8537469180542,3.04567318572313e-37,5.63787947490526e-35,3.03854880400214e-35,"RPL6/RPL38/RPL37A/RPS13/RPS2/RPL36AL/RPL27/RPS6/RPS14/RPL24/RPL5/RPL22/RPL9/RPS4X/RPL37/RPL11/RPS24/RPS23/RPL32/RPL23A/RPS18/RPL30/RPS7/RPL7A/RPL35A/RPL4/RPSA/RPL41/RPL19/RPL27A/RPS3A/RPL26/RPL8/RPL14/RPL23/RPS8/RPLP1/RPL13/RPL15/RPL18/FAU/RPS27A/RPS25/RPL10A/RPL35/UBA52/RPL29/RPS3/RPS15/RPLP2/RPS5/RPS11/RPS16/RPS15A/RPL36/EIF3K/RPS21/RPL34/RPS12/RPL18A/RPL10/RPL3/RPL28/RPS29/RPL13A/RPS28/RPS27/RPL21/RPS9/RPS19/RPL12/RPL7/RPLP0/RPL31/EIF3G/RPS4Y1/RPL39/RPS10/RPS20/EIF1AX/EIF4A1/RPS26/EIF2S2/EIF3A/EIF3H/EIF3D/EIF3L/RPL17/EIF4E/EIF3F/EIF3I/RPL26L1/EIF4EBP1/RPS17/PABPC1/EIF4H/EIF3E/EIF4B/EIF3M/RPL22L1/RPL36A/EIF2S3/RPS27L/EIF2B5/EIF5B/EIF3B/EIF2B4/EIF4A2/EIF4G1/EIF2B3/EIF2S1/RPL39L/EIF5/EIF2B1/EIF2B2/EIF3J",116,"CCD_IC_A","HCKD_vs_Normal"
"R-HSA-168255","Influenza Infection","143/4866","157/11230",0.910828025477707,2.10205481424469,12.1593925709308,5.46974517130601e-37,9.11259545539581e-35,4.91125540118319e-35,"RPL6/RPL38/RPL37A/RPS13/RPS2/RPL36AL/RPL27/RPS6/RPS14/RPL24/RPL5/RPL22/RPL9/RPS4X/RPL37/RPL11/RPS24/RPS23/RPL32/RPL23A/RPS18/RPL30/RPS7/RPL7A/RPL35A/RPL4/RPSA/RPL41/RPL19/RPL27A/RPS3A/RPL26/RPL8/RPL14/RPL23/RPS8/RPLP1/RPL13/HSP90AA1/RPL15/RPL18/FAU/RPS27A/RPS25/RPL10A/RPL35/UBA52/RPL29/RPS3/RPS15/RPLP2/RPS5/RPS11/RPS16/RPS15A/RPL36/RPS21/RPL34/RPS12/RPL18A/RPL10/RPL3/RPL28/RPS29/RPL13A/HSPA1A/RPS28/RPS27/RPL21/RPS9/RPS19/RPL12/RPL7/RPLP0/RAN/RPL31/RPS4Y1/RPL39/PABPN1/RPS10/RPS20/CLTA/POLR2H/POLR2K/CANX/RPS26/CLTC/RPL17/GRSF1/RANBP2/RPL26L1/HSPA1B/IPO5/RPS17/KPNA3/CALR/TPR/POLR2J/NUP37/XPO1/RPL22L1/RPL36A/POLR2G/NUP133/NUP214/POLR2B/EIF2AK2/KPNA5/POLR2L/POLR2C/RPS27L/POLR2F/SEH1L/POLR2I/KPNA1/NUP107/TGFB1/ISG15/SEC13/KPNB1/POLR2A/POLR2E/POM121/KPNA4/GTF2F2/DNAJC3/NUP54/NUP153/NUP93/NUP155/NUP160/RPL39L/GTF2F1/NUP50/AAAS/NUP35/KPNA2/NUP205/CPSF4/PARP1/NUP88/RAE1/NUP98",143,"CCD_IC_A","HCKD_vs_Normal"
"R-HSA-611105","Respiratory electron transport","142/4866","157/11230",0.904458598726115,2.08735513022899,11.997205330963,7.05255916424042e-36,1.06814214251132e-33,5.75677795894458e-34,"UQCRB/COX6C/NDUFAB1/COX5B/NDUFS5/COX8A/NDUFB4/NDUFA12/COX7C/MT-CYB/COX7A2L/COX4I1/COX7B/NDUFB3/ISCU/COX5A/NDUFA1/UQCRQ/NDUFC1/NDUFV2/NDUFS4/UQCR10/NDUFB1/COX7A1/ETFB/COX6B1/NDUFB11/NDUFB9/NDUFA6/NDUFS8/NDUFB7/MT-ND2/NDUFA3/COX7A2/NDUFC2/UQCRFS1/NDUFS6/UQCRC2/COX17/COX6A1/MDH2/MT-ND1/MT-ND6/COA3/NDUFA2/CMC1/UQCC2/NDUFA5/CYC1/NDUFB10/NDUFB2/NDUFS7/UQCRC1/NDUFB5/MT-ND3/NDUFA8/NDUFS3/UQCRH/DMAC1/NDUFV1/NDUFA10/MT-ND5/NDUFB6/HSPA9/NDUFV3/SDHC/NDUFB8/NDUFAF3/MT-CO2/MT-ND4/MT-CO1/NDUFAF4/HIGD2A/MDH1/NDUFS2/PET100/SURF1/NDUFA9/NDUFAF8/NDUFA11/SLC25A11/HIGD1A/SDHA/TIMMDC1/UQCR11/SDHD/COX11/MT-CO3/TACO1/ETFA/NDUFS1/COX16/COX20/SDHB/PYURF/COA5/COQ10B/GOT2/COA1/LETM1/SFXN4/LYRM7/SCO2/COX14/NDUFAF6/TMEM223/FXN/SMIM20/COX15/TRAP1/GOT1/LYRM2/NDUFA7/FOXRED1/COX19/TMEM126B/PET117/TTC19/PNKD/COQ10A/NDUFAF2/NFS1/RAB5IF/ETFDH/UQCC3/UQCC1/NDUFA13/TMEM177/LYRM4/OXA1L/NDUFAF1/SLC25A13/TMEM126A/ACAD9/SCO1/HSCB/SLC25A12/BCS1L/HCCS/TMEM186/TIMM21/NDUFAF5",142,"CCD_IC_A","HCKD_vs_Normal"
"R-HSA-1799339","SRP-dependent cotranslational protein targeting to membrane","109/4866","113/11230",0.964601769911504,2.22615657133296,11.454677242782,9.12662254897728e-35,1.16961178204586e-32,6.3036510399009e-33,"RPL6/RPL38/RPL37A/RPS13/RPS2/RPL36AL/RPL27/RPS6/RPS14/RPL24/RPL5/RPL22/RPL9/RPS4X/RPL37/RPL11/RPS24/RPS23/RPL32/RPL23A/RPS18/RPL30/RPS7/RPL7A/RPL35A/RPL4/RPSA/RPL41/RPL19/RPL27A/RPS3A/RPL26/RPL8/RPL14/RPL23/RPS8/RPLP1/RPL13/RPL15/RPL18/FAU/RPS27A/RPS25/RPL10A/RPL35/UBA52/RPL29/RPS3/RPS15/RPLP2/RPS5/RPS11/RPS16/RPS15A/RPL36/RPS21/RPL34/RPS12/RPL18A/RPL10/RPL3/RPL28/RPS29/RPL13A/RPS28/RPS27/RPL21/SEC61B/RPS9/RPS19/RPL12/RPL7/SSR1/RPLP0/RPL31/RPS4Y1/SRP14/RPL39/RPS10/RPS20/SSR4/RPS26/SSR2/RPL17/TRAM1/SEC11C/SEC11A/RPL26L1/RPN2/RPS17/SPCS3/RPL22L1/RPL36A/SRP9/SPCS2/SRP19/RPS27L/SRP54/SPCS1/SRP72/SEC61A1/SRPRA/SSR3/SRP68/RPN1/RPL39L/SRPRB/DDOST/SEC61G",109,"CCD_IC_A","HCKD_vs_Normal"
