"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","CellType","Condition"
"R-HSA-72766","Translation","325/5000","368/11230",0.883152173913043,1.9835597826087,17.1862566158761,1.50302997591563e-71,2.50555096985136e-68,1.36696620967485e-68,"ELOB/RPL37A/RPS13/RPL22/RPL37/RPL9/RPS3A/FAU/RPL38/RPL11/RPS25/RPS5/RPS14/RPL35A/RPL30/RPL27A/RPL24/RPL6/RPL36AL/RPL34/RPL32/EIF1AX/RPL14/EEF1A1/RPS23/SEM1/RPS4X/RPS4Y1/RPL41/RPS27/RPS6/RPL26/RPL5/RPS7/RPS28/RPS24/EEF1B2/RPL23A/RPL18/RPL21/RPL27/RPL36/NDUFAB1/RPL39/UBC/RPS27A/RPL35/RPL7A/MRPL57/RPS15/RPS18/RPS3/RPS29/EIF4A1/RPS15A/RPS8/RPS2/RPS11/RPL18A/RPS9/RPL13/UBA52/RPL15/RPSA/RPLP1/RPL29/RPS21/RPL8/MT-ND3/RPL3/RPL10A/RPL19/RPL7/RPL23/TRMT112/MT-CYB/EIF3G/EIF2S2/RPL10/RPS19/SEC61B/MT-ATP8/MRPS33/PSMD8/PSMA7/PSMB6/RPS12/PSMB7/MRPL23/MT-ND2/RPLP2/UBE2D2/MT-ND1/SRP14/MRPL30/EEF1D/RPS26/SEC11A/RPL4/SPCS3/SEC61G/RPL31/RPS16/MRPS18C/GADD45GIP1/MRPL47/MRPL51/MRPS7/SRP19/MRPL58/ELOC/EIF3K/MRPL19/MT-ND4L/SSR1/PSMA2/IARS2/EIF3D/TCF25/RPS20/EIF3H/TRAM1/EIF3E/RBX1/MRPL24/SPCS1/MRPL20/MRPL54/MRPL40/MRPL36/PSMB1/MRPL33/CHCHD1/MT-ND5/PSMB4/MRPS28/MRPL52/MRPL43/SSR4/MRPL18/EIF3M/EIF4H/EIF3F/PABPC1/MRPS35/RPL26L1/HARS2/RPLP0/RPL17/MRPL55/MRPL28/RPL12/SPCS2/EIF3L/UBE2D3/MRPL22/SEC61A1/RPN1/MRPL21/PSMB5/GFM1/EIF2B3/RPL28/PSMC1/EIF4G1/FARSA/PSMA6/SSR2/PSMC6/EIF3A/PSMA1/RPN2/RPL13A/MT-CO2/MT-ATP6/RPS10/MALSU1/MRPS2/MT-ND6/PSMD13/MT-CO3/MTRF1L/EIF3J/MRPL13/RPL36A/PSMC4/MRPL14/MRPS5/RPS27L/MRPS18B/SEC11C/ASCC3/SSR3/MRPS11/SRP9/ABCE1/MRPL15/UBE2D1/PSMB2/MRPL50/UFD1/PSMD12/MRPL27/ADRM1/SRP54/MRPS34/MRPL46/MRPS17/MRPS6/MTFMT/MRPL2/MTIF3/MRPS22/AURKAIP1/SRP72/MRPS14/MRPL35/PSMD6/TUFM/MRPS16/EIF5/MRPL3/NPLOC4/SRPRA/MRPL11/MRPL9/MRPL4/ASCC2/RPL39L/EIF2B4/MRPS12/YARS2/MRPL34/PSMD3/WARS2/EIF2S1/CARS2/MT-ND4/GSPT1/EIF4E/RPL22L1/MRPL12/MRRF/RPS17/EEF2/EIF5B/MRPL37/FARS2/UBB/MRPS15/EIF2B5/OXA1L/EIF2S3/MRPL10/AIMP2/PSMA4/AIMP1/PSMA5/EIF3I/MRPS26/MRPS10/EEF1E1/MIEF1/VCP/MRPS18A/PPA1/TRIP4/MRPS23/PSMD2/MRPL49/MRPL48/PELO/EIF3B/PTCD3/EIF4B/MRPS9/TARS2/MRPL41/DDOST/APEH/PPA2/EIF4A2/SRP68/PSMD7/KLHDC10/GFM2/RCHY1/NARS2/MRPS31/ETF1/PSMC3/MRPL16/PSMC5/MT-CO1/MRPL17/MRPS30/MRPS25/MRPL32/PSMC2/TSFM/CUL2/MRPL39/MRPL44/RARS2/FARSB/HBS1L/PSMD11/LTN1/PSMD1/MRPL53/ERAL1/PSMD14/NEMF/ZNF598/MTIF2/MRPL1/EIF2B1/MRPS21/PSMA3/MRPS27/EIF2B2/PSMB3/DAP3/SRPRB/MRPL42",325,"CCD_IC_A","AKI_vs_Normal"
"R-HSA-72203","Processing of Capped Intron-Containing Pre-mRNA","262/5000","294/11230",0.891156462585034,2.00153741496599,15.5891742796658,1.63571886165216e-59,1.36337167118708e-56,7.4382162971972e-57,"U2AF1/HSPA8/SRSF5/SNU13/UBC/RPS27A/SNRPN/SNRPF/SRSF3/SF3B6/UBA52/HNRNPA1/UBL5/ZC3H11A/CPSF2/RBM8A/MTREX/ZCRB1/NXF1/SNRPG/SRSF9/TXNL4A/POLR2K/DDX5/LSM8/SNRNP70/POLR2B/LENG1/WBP4/SNRPD1/CSTF1/RANBP2/POLR2J/SF1/LSM3/SNW1/LSM4/SNRPD2/TRA2B/SNRNP200/SNRPE/SRRM1/SRSF7/YBX1/POLR2I/THOC7/SNRPB2/SAP18/POLR2H/HNRNPH1/SRSF8/POLR2L/YJU2/RNPS1/PNN/IK/CCAR1/HNRNPU/PPIG/WDR33/LSM7/SYF2/HTATSF1/MAGOH/GLE1/PRPF4/PUF60/HNRNPF/ACIN1/PRPF18/DDX39B/PPP1CB/NUP58/HNRNPC/SLU7/SF3A1/SDE2/PPP1R10/PPP1CA/DHX16/SRSF11/SNIP1/NUP107/ALYREF/CDC5L/DHX38/POLR2F/MFAP1/DNAJC8/SNRPC/HNRNPD/NSRP1/FUS/PAPOLA/DDX39A/SF3A3/SRRM2/NUP37/RBM7/BUD31/CPSF6/THOC3/RBMX2/CDC40/PPIE/SNRNP25/PPIL1/SF3B2/FAM50A/BCAS2/NUP133/CWC22/SF3B3/SNRPB/PABPN1/SNRPA/SF3B4/SYMPK/SNRNP40/SLBP/PRCC/SNRPA1/CPSF7/SARNP/PPP1R8/PRPF31/HNRNPA2B1/PLRG1/AAAS/SNRNP35/CCDC12/DHX9/RNPC3/NUP54/RBM25/PPIH/PPWD1/GTF2F1/HNRNPH2/HNRNPM/PRPF19/DDX42/FYTTD1/PPIL2/C9orf78/SRSF2/EIF4E/SMNDC1/NUP35/SF3B5/THOC6/POLDIP3/WTAP/NUP214/PCBP1/NUP153/HNRNPL/CWF19L2/PCBP2/FIP1L1/HNRNPA3/EFTUD2/CSTF3/UBB/SEH1L/ZMAT5/ZRSR2/SMU1/GPKOW/PRKRIP1/PRPF40A/SF3A2/GCFC2/POM121/SRSF6/SEC13/SRSF10/SRSF4/LSM5/RBM22/NUP50/DHX8/PHF5A/SNRNP27/NUP88/PRPF8/ZNF830/CASC3/RBM5/FAM32A/CHERP/GTF2F2/SRRT/NKAP/AQR/NUP155/POLR2G/PPIL3/NUP160/ZMAT2/SNRPD3/PPIL4/PDCD7/DDX46/U2SURP/WDR70/NUP205/POLR2A/PQBP1/LSM6/THOC1/LUC7L3/PTBP1/POLR2E/PRPF38A/PRPF6/U2AF2/DHX15/DDX23/SRSF1/TPR/TCERG1/RBMX/METTL3/CWC25/SF3B1/NXT1/PCF11/HNRNPR/HNRNPK/RBBP6/CHTOP/USP39/U2AF1L4/MAGOHB/CPSF3/CRNKL1/METTL14/XRN2/NUP93/EIF4A3/THOC2/POLR2C/CWC27/RBM17/WBP11/XAB2/RBM39/SART1/CWC15/RBM10/NCBP2/RAE1/CPSF1/NUP98/CPSF4/CSTF2T/NUDT21/RBM42/DDX41/LSM2/CTNNBL1",262,"CCD_IC_A","AKI_vs_Normal"
"R-HSA-72172","mRNA Splicing","196/5000","213/11230",0.92018779342723,2.06674178403756,14.0808526367186,5.46129091607154e-50,3.03465731903042e-47,1.65563345666169e-47,"U2AF1/HSPA8/SRSF5/SNU13/SNRPN/SNRPF/SRSF3/SF3B6/HNRNPA1/UBL5/RBM8A/MTREX/ZCRB1/SNRPG/SRSF9/TXNL4A/POLR2K/DDX5/LSM8/SNRNP70/POLR2B/LENG1/WBP4/SNRPD1/POLR2J/SF1/LSM3/SNW1/LSM4/SNRPD2/TRA2B/SNRNP200/SNRPE/SRRM1/SRSF7/YBX1/POLR2I/SNRPB2/SAP18/POLR2H/HNRNPH1/SRSF8/POLR2L/YJU2/RNPS1/PNN/IK/CCAR1/HNRNPU/PPIG/LSM7/SYF2/HTATSF1/MAGOH/PRPF4/PUF60/HNRNPF/ACIN1/PRPF18/DDX39B/HNRNPC/SLU7/SF3A1/SDE2/DHX16/SRSF11/SNIP1/ALYREF/CDC5L/DHX38/POLR2F/MFAP1/DNAJC8/SNRPC/HNRNPD/NSRP1/FUS/SF3A3/SRRM2/RBM7/BUD31/RBMX2/CDC40/PPIE/SNRNP25/PPIL1/SF3B2/FAM50A/BCAS2/CWC22/SF3B3/SNRPB/SNRPA/SF3B4/SNRNP40/PRCC/SNRPA1/PPP1R8/PRPF31/HNRNPA2B1/PLRG1/SNRNP35/CCDC12/DHX9/RNPC3/RBM25/PPIH/PPWD1/GTF2F1/HNRNPH2/HNRNPM/PRPF19/DDX42/PPIL2/C9orf78/SRSF2/SMNDC1/SF3B5/PCBP1/HNRNPL/CWF19L2/PCBP2/HNRNPA3/EFTUD2/ZMAT5/ZRSR2/SMU1/GPKOW/PRKRIP1/PRPF40A/SF3A2/GCFC2/SRSF6/SRSF10/SRSF4/LSM5/RBM22/DHX8/PHF5A/SNRNP27/PRPF8/ZNF830/CASC3/RBM5/FAM32A/CHERP/GTF2F2/SRRT/NKAP/AQR/POLR2G/PPIL3/ZMAT2/SNRPD3/PPIL4/PDCD7/DDX46/U2SURP/WDR70/POLR2A/PQBP1/LSM6/LUC7L3/PTBP1/POLR2E/PRPF38A/PRPF6/U2AF2/DHX15/DDX23/SRSF1/TCERG1/RBMX/CWC25/SF3B1/HNRNPR/HNRNPK/USP39/U2AF1L4/MAGOHB/CRNKL1/EIF4A3/POLR2C/CWC27/RBM17/WBP11/XAB2/RBM39/SART1/CWC15/RBM10/NCBP2/RBM42/DDX41/LSM2/CTNNBL1",196,"CCD_IC_A","AKI_vs_Normal"
"R-HSA-72163","mRNA Splicing - Major Pathway","189/5000","205/11230",0.921951219512195,2.07070243902439,13.8601504082172,1.46997553795804e-48,6.12612305444011e-46,3.34226017051511e-46,"U2AF1/HSPA8/SRSF5/SNU13/SNRPN/SNRPF/SRSF3/SF3B6/HNRNPA1/UBL5/RBM8A/MTREX/SNRPG/SRSF9/TXNL4A/POLR2K/DDX5/LSM8/SNRNP70/POLR2B/LENG1/WBP4/SNRPD1/POLR2J/SF1/LSM3/SNW1/LSM4/SNRPD2/TRA2B/SNRNP200/SNRPE/SRRM1/SRSF7/YBX1/POLR2I/SNRPB2/SAP18/POLR2H/HNRNPH1/SRSF8/POLR2L/YJU2/RNPS1/PNN/IK/CCAR1/HNRNPU/PPIG/LSM7/SYF2/HTATSF1/MAGOH/PRPF4/PUF60/HNRNPF/ACIN1/PRPF18/DDX39B/HNRNPC/SLU7/SF3A1/SDE2/DHX16/SRSF11/SNIP1/ALYREF/CDC5L/DHX38/POLR2F/MFAP1/DNAJC8/SNRPC/HNRNPD/NSRP1/FUS/SF3A3/SRRM2/RBM7/BUD31/RBMX2/CDC40/PPIE/PPIL1/SF3B2/FAM50A/BCAS2/CWC22/SF3B3/SNRPB/SNRPA/SF3B4/SNRNP40/PRCC/SNRPA1/PPP1R8/PRPF31/HNRNPA2B1/PLRG1/CCDC12/DHX9/RBM25/PPIH/PPWD1/GTF2F1/HNRNPH2/HNRNPM/PRPF19/DDX42/PPIL2/C9orf78/SRSF2/SMNDC1/SF3B5/PCBP1/HNRNPL/CWF19L2/PCBP2/HNRNPA3/EFTUD2/SMU1/GPKOW/PRKRIP1/PRPF40A/SF3A2/GCFC2/SRSF6/SRSF10/SRSF4/LSM5/RBM22/DHX8/PHF5A/SNRNP27/PRPF8/ZNF830/CASC3/RBM5/FAM32A/CHERP/GTF2F2/SRRT/NKAP/AQR/POLR2G/PPIL3/ZMAT2/SNRPD3/PPIL4/DDX46/U2SURP/WDR70/POLR2A/PQBP1/LSM6/LUC7L3/PTBP1/POLR2E/PRPF38A/PRPF6/U2AF2/DHX15/DDX23/SRSF1/TCERG1/RBMX/CWC25/SF3B1/HNRNPR/HNRNPK/USP39/U2AF1L4/MAGOHB/CRNKL1/EIF4A3/POLR2C/CWC27/RBM17/WBP11/XAB2/RBM39/SART1/CWC15/RBM10/NCBP2/RBM42/DDX41/LSM2/CTNNBL1",189,"CCD_IC_A","AKI_vs_Normal"
"R-HSA-9948299","Ribosome-associated quality control","141/5000","145/11230",0.972413793103448,2.18404137931034,12.8556651627244,1.67503723377707e-44,5.58457413741277e-42,3.04680456838609e-42,"ELOB/RPL37A/RPS13/RPL22/RPL37/RPL9/RPS3A/FAU/RPL38/RPL11/RPS25/RPS5/RPS14/RPL35A/RPL30/RPL27A/RPL24/RPL6/RPL36AL/RPL34/RPL32/RPL14/RPS23/SEM1/RPS4X/RPS4Y1/RPL41/RPS27/RPS6/RPL26/RPL5/RPS7/RPS28/RPS24/RPL23A/RPL18/RPL21/RPL27/RPL36/RPL39/UBC/RPS27A/RPL35/RPL7A/RPS15/RPS18/RPS3/RPS29/RPS15A/RPS8/RPS2/RPS11/RPL18A/RPS9/RPL13/UBA52/RPL15/RPSA/RPLP1/RPL29/RPS21/RPL8/RPL3/RPL10A/RPL19/RPL7/RPL23/RPL10/RPS19/PSMD8/PSMA7/PSMB6/RPS12/PSMB7/RPLP2/UBE2D2/RPS26/RPL4/RPL31/RPS16/ELOC/PSMA2/TCF25/RPS20/RBX1/PSMB1/PSMB4/RPL26L1/RPLP0/RPL17/RPL12/UBE2D3/PSMB5/RPL28/PSMC1/PSMA6/PSMC6/PSMA1/RPL13A/RPS10/PSMD13/RPL36A/PSMC4/RPS27L/ASCC3/ABCE1/UBE2D1/PSMB2/UFD1/PSMD12/ADRM1/PSMD6/NPLOC4/ASCC2/RPL39L/PSMD3/RPL22L1/RPS17/UBB/PSMA4/PSMA5/VCP/TRIP4/PSMD2/PELO/PSMD7/KLHDC10/RCHY1/PSMC3/PSMC5/PSMC2/CUL2/HBS1L/PSMD11/LTN1/PSMD1/PSMD14/NEMF/ZNF598/PSMA3/PSMB3",141,"CCD_IC_A","AKI_vs_Normal"
"R-HSA-1428517","Aerobic respiration and respiratory electron transport","218/5000","258/11230",0.844961240310077,1.89778294573643,13.0692246905913,3.48995717357619e-41,9.6962643472525e-39,5.29004034731548e-39,"ATP5MG/UQCR11/ATP5PF/ATP5F1E/ATP5ME/ATP5PO/ATP5MC3/ATP5F1D/NDUFB8/ATP5PD/PDK4/ATP5F1B/ATP5MC1/ATP5MC2/ATP5F1C/ATP5F1A/ATP5MF/COX7A2L/NDUFB11/NDUFAB1/NDUFB1/UBC/RPS27A/COX6C/COX7C/COA3/UQCRB/NDUFS4/COX8A/UBA52/ISCU/UQCRQ/MT-ND3/NDUFA5/ATP5PB/NDUFS5/NDUFC2/UQCRC2/UQCC3/COX5B/MT-CYB/NDUFA12/COX17/MPC1/COX7B/NDUFB4/NDUFV2/MT-ATP8/NDUFB5/NDUFC1/COX7A1/NDUFA7/PDP1/NDUFB6/NNT/MT-ND2/NDUFS6/MT-ND1/NDUFAF8/ISCA2/ETFB/NDUFB7/CMC1/ISCA1/NDUFA3/NDUFA1/COX4I1/UQCR10/CYC1/COA1/COX7A2/DMAC1/NDUFV3/NDUFA6/TMEM126A/VDAC1/IDH3G/NDUFA9/GID8/NDUFA8/MPC2/NDUFA11/SURF1/MT-ND5/PET100/RAB5IF/NDUFB10/NDUFB3/NDUFAF3/COX6B1/LDHA/UQCRH/COX5A/TACO1/SDHD/MDH1/NDUFA2/NDUFB9/COX16/OGDH/PDHB/NDUFA10/UCP2/SLC25A11/PYURF/SUCLG1/HAGH/ACAT1/SFXN4/SDHAF3/SDHAF1/UQCC1/ARMC8/MT-CO2/MT-ATP6/PKM/MAEA/MT-ND6/GOT1/IDH3A/MT-CO3/NDUFAF4/NDUFS8/SMIM20/COX11/COA5/PNKD/HSPA9/UQCRFS1/ME3/IDH3B/COX15/GOT2/NDUFAF6/COX20/COX19/ETFDH/MKLN1/MDH2/COQ10B/NDUFA13/NDUFS7/DLST/FXN/SDHAF4/ME2/NDUFB2/PET117/RMND5B/TRAP1/DLD/SUCLA2/SDHC/LYRM4/TMEM223/LDHB/LYRM2/MT-ND4/LYRM7/TMEM126B/PDHA1/DMAC2/NDUFAF2/SDHA/NDUFAF5/TIMMDC1/UBB/NFS1/PDK2/RANBP9/TMEM186/OXA1L/ACO2/ACAD9/SLC25A13/COX6A1/COX18/SUCLG2/FH/FOXRED1/NDUFS3/ETFA/NEK1/TTC19/GLO1/FAHD1/GSTZ1/SCO1/PDHX/IDH2/COQ10A/NDUFS2/RMND5A/SDHAF2/D2HGDH/WDR26/DLAT/NDUFS1/LETM1/SDHB/BCS1L/MT-CO1/HCCS/UQCC2/SLC25A12/PDPR/HIGD1A/HSCB/ADHFE1/NDUFV1/NDUFAF1/TMEM177/CS/SIRT3/COX14/UQCRC1/TIMM21/HIGD2A",218,"CCD_IC_A","AKI_vs_Normal"
"R-HSA-72187","mRNA 3'-end processing","141/5000","152/11230",0.927631578947368,2.08346052631579,12.0480212992111,3.00691341167476e-37,7.16074951037404e-35,3.90672659802556e-35,"U2AF1/SRSF5/UBC/RPS27A/SNRPN/SNRPF/SRSF3/SF3B6/UBA52/HNRNPA1/ZC3H11A/CPSF2/RBM8A/SNRPG/SRSF9/POLR2K/DDX5/SNRNP70/POLR2B/SNRPD1/CSTF1/POLR2J/SNRPD2/TRA2B/SNRPE/SRRM1/SRSF7/YBX1/POLR2I/THOC7/SNRPB2/POLR2H/HNRNPH1/SRSF8/POLR2L/RNPS1/CCAR1/HNRNPU/WDR33/HTATSF1/MAGOH/PUF60/HNRNPF/DDX39B/PPP1CB/HNRNPC/SLU7/SF3A1/PPP1R10/PPP1CA/SRSF11/ALYREF/DHX38/POLR2F/DNAJC8/SNRPC/HNRNPD/FUS/PAPOLA/DDX39A/SF3A3/SRRM2/CPSF6/THOC3/CDC40/SF3B2/SF3B3/SNRPB/PABPN1/SNRPA/SF3B4/SYMPK/SNRPA1/CPSF7/SARNP/PPP1R8/HNRNPA2B1/DHX9/RBM25/GTF2F1/HNRNPH2/HNRNPM/DDX42/FYTTD1/SRSF2/SMNDC1/SF3B5/THOC6/POLDIP3/PCBP1/HNRNPL/PCBP2/FIP1L1/HNRNPA3/CSTF3/UBB/PRPF40A/SF3A2/SRSF6/SRSF10/SRSF4/PHF5A/CASC3/RBM5/CHERP/GTF2F2/SRRT/POLR2G/SNRPD3/DDX46/U2SURP/POLR2A/THOC1/PTBP1/POLR2E/U2AF2/DHX15/SRSF1/TCERG1/RBMX/SF3B1/PCF11/HNRNPR/HNRNPK/RBBP6/CHTOP/U2AF1L4/MAGOHB/CPSF3/XRN2/EIF4A3/THOC2/POLR2C/RBM17/RBM39/RBM10/NCBP2/CPSF1/CPSF4/CSTF2T/NUDT21",141,"CCD_IC_A","AKI_vs_Normal"
"R-HSA-168255","Influenza Infection","144/5000","157/11230",0.917197452229299,2.06002547770701,11.9824327338472,1.58413494660477e-36,3.30094119498769e-34,1.80091130771911e-34,"HSPA1A/RPL37A/HSP90AA1/RPS13/RPL22/RPL37/RPL9/RPS3A/FAU/RPL38/RPL11/RPS25/RPS5/RPS14/RPL35A/RPL30/RPL27A/RPL24/RPL6/RPL36AL/RPL34/RPL32/RPL14/RPS23/RPS4X/RPS4Y1/RPL41/RPS27/RPS6/RPL26/RPL5/RPS7/RPS28/RPS24/RPL23A/RPL18/RPL21/RPL27/RPL36/RPL39/RPS27A/RPL35/RPL7A/RPS15/RPS18/RPS3/RPS29/RPS15A/RPS8/RPS2/RPS11/RPL18A/RPS9/RPL13/UBA52/RPL15/RPSA/RPLP1/RPL29/RPS21/RPL8/RPL3/RPL10A/HSPA1B/RPL19/RPL7/TGFB1/RPL23/RAN/RPL10/RPS19/CLTC/RPS12/XPO1/RPLP2/RPS26/POLR2K/RPL4/POLR2B/RPL31/RPS16/RANBP2/POLR2J/RPS20/CANX/IPO5/POLR2I/POLR2H/EIF2AK2/POLR2L/RPL26L1/RPLP0/RPL17/RPL12/RPL28/KPNA5/NUP58/RPL13A/RPS10/NUP107/POLR2F/GRSF1/RPL36A/NUP37/RPS27L/KPNB1/KPNA2/NUP133/PABPN1/KPNA3/CALR/AAAS/NUP54/RPL39L/KPNA4/GTF2F1/CLTA/RPL22L1/RPS17/NUP35/NUP214/NUP153/SEH1L/POM121/SEC13/NUP50/NUP88/GTF2F2/NUP155/POLR2G/NUP160/NUP205/POLR2A/ISG15/POLR2E/TPR/PARP1/NUP93/POLR2C/KPNA1/RAE1/NUP98/CPSF4/DNAJC3",144,"CCD_IC_A","AKI_vs_Normal"
"R-HSA-611105","Respiratory electron transport","143/5000","157/11230",0.910828025477707,2.04571974522293,11.8207220195258,2.09892941276417e-35,3.88768370119764e-33,2.12102340658274e-33,"UQCR11/NDUFB8/COX7A2L/NDUFB11/NDUFAB1/NDUFB1/COX6C/COX7C/COA3/UQCRB/NDUFS4/COX8A/ISCU/UQCRQ/MT-ND3/NDUFA5/NDUFS5/NDUFC2/UQCRC2/UQCC3/COX5B/MT-CYB/NDUFA12/COX17/COX7B/NDUFB4/NDUFV2/NDUFB5/NDUFC1/COX7A1/NDUFA7/NDUFB6/MT-ND2/NDUFS6/MT-ND1/NDUFAF8/ETFB/NDUFB7/CMC1/NDUFA3/NDUFA1/COX4I1/UQCR10/CYC1/COA1/COX7A2/DMAC1/NDUFV3/NDUFA6/TMEM126A/NDUFA9/NDUFA8/NDUFA11/SURF1/MT-ND5/PET100/RAB5IF/NDUFB10/NDUFB3/NDUFAF3/COX6B1/UQCRH/COX5A/TACO1/SDHD/MDH1/NDUFA2/NDUFB9/COX16/NDUFA10/SLC25A11/PYURF/SFXN4/UQCC1/MT-CO2/MT-ND6/GOT1/MT-CO3/NDUFAF4/NDUFS8/SMIM20/COX11/COA5/PNKD/HSPA9/UQCRFS1/COX15/GOT2/NDUFAF6/COX20/COX19/ETFDH/MDH2/COQ10B/NDUFA13/NDUFS7/FXN/NDUFB2/PET117/TRAP1/SDHC/LYRM4/TMEM223/LYRM2/MT-ND4/LYRM7/TMEM126B/DMAC2/NDUFAF2/SDHA/NDUFAF5/TIMMDC1/NFS1/TMEM186/OXA1L/ACAD9/SLC25A13/COX6A1/COX18/FOXRED1/NDUFS3/ETFA/TTC19/SCO1/COQ10A/NDUFS2/NDUFS1/LETM1/SDHB/BCS1L/MT-CO1/HCCS/UQCC2/SLC25A12/HIGD1A/HSCB/NDUFV1/NDUFAF1/TMEM177/COX14/UQCRC1/TIMM21/HIGD2A",143,"CCD_IC_A","AKI_vs_Normal"
"R-HSA-72613","Eukaryotic Translation Initiation","115/5000","120/11230",0.958333333333333,2.15241666666667,11.3698476101608,2.02292547780545e-34,3.06565161045608e-32,1.67254317016642e-32,"RPL37A/RPS13/RPL22/RPL37/RPL9/RPS3A/FAU/RPL38/RPL11/RPS25/RPS5/RPS14/RPL35A/RPL30/RPL27A/RPL24/RPL6/RPL36AL/RPL34/RPL32/EIF1AX/RPL14/RPS23/RPS4X/RPS4Y1/RPL41/RPS27/RPS6/RPL26/RPL5/RPS7/RPS28/RPS24/RPL23A/RPL18/RPL21/RPL27/RPL36/RPL39/RPS27A/RPL35/RPL7A/RPS15/RPS18/RPS3/RPS29/EIF4A1/RPS15A/RPS8/RPS2/RPS11/RPL18A/RPS9/RPL13/UBA52/RPL15/RPSA/RPLP1/RPL29/RPS21/RPL8/RPL3/RPL10A/RPL19/RPL7/RPL23/EIF3G/EIF2S2/RPL10/RPS19/RPS12/RPLP2/RPS26/RPL4/RPL31/RPS16/EIF3K/EIF3D/RPS20/EIF3H/EIF3E/EIF3M/EIF4H/EIF3F/PABPC1/RPL26L1/RPLP0/RPL17/RPL12/EIF3L/EIF2B3/RPL28/EIF4G1/EIF3A/RPL13A/RPS10/EIF3J/RPL36A/RPS27L/EIF5/RPL39L/EIF2B4/EIF2S1/EIF4E/RPL22L1/RPS17/EIF5B/EIF2B5/EIF2S3/EIF3I/EIF3B/EIF4B/EIF4A2/EIF2B1/EIF2B2",115,"CCD_IC_A","AKI_vs_Normal"
"R-HSA-72737","Cap-dependent Translation Initiation","115/5000","120/11230",0.958333333333333,2.15241666666667,11.3698476101608,2.02292547780545e-34,3.06565161045608e-32,1.67254317016642e-32,"RPL37A/RPS13/RPL22/RPL37/RPL9/RPS3A/FAU/RPL38/RPL11/RPS25/RPS5/RPS14/RPL35A/RPL30/RPL27A/RPL24/RPL6/RPL36AL/RPL34/RPL32/EIF1AX/RPL14/RPS23/RPS4X/RPS4Y1/RPL41/RPS27/RPS6/RPL26/RPL5/RPS7/RPS28/RPS24/RPL23A/RPL18/RPL21/RPL27/RPL36/RPL39/RPS27A/RPL35/RPL7A/RPS15/RPS18/RPS3/RPS29/EIF4A1/RPS15A/RPS8/RPS2/RPS11/RPL18A/RPS9/RPL13/UBA52/RPL15/RPSA/RPLP1/RPL29/RPS21/RPL8/RPL3/RPL10A/RPL19/RPL7/RPL23/EIF3G/EIF2S2/RPL10/RPS19/RPS12/RPLP2/RPS26/RPL4/RPL31/RPS16/EIF3K/EIF3D/RPS20/EIF3H/EIF3E/EIF3M/EIF4H/EIF3F/PABPC1/RPL26L1/RPLP0/RPL17/RPL12/EIF3L/EIF2B3/RPL28/EIF4G1/EIF3A/RPL13A/RPS10/EIF3J/RPL36A/RPS27L/EIF5/RPL39L/EIF2B4/EIF2S1/EIF4E/RPL22L1/RPS17/EIF5B/EIF2B5/EIF2S3/EIF3I/EIF3B/EIF4B/EIF4A2/EIF2B1/EIF2B2",115,"CCD_IC_A","AKI_vs_Normal"
"R-HSA-1799339","SRP-dependent cotranslational protein targeting to membrane","109/5000","113/11230",0.964601769911504,2.16649557522124,11.1645194443314,1.67569365251049e-33,2.14875486056538e-31,1.17230713827455e-31,"RPL37A/RPS13/RPL22/RPL37/RPL9/RPS3A/FAU/RPL38/RPL11/RPS25/RPS5/RPS14/RPL35A/RPL30/RPL27A/RPL24/RPL6/RPL36AL/RPL34/RPL32/RPL14/RPS23/RPS4X/RPS4Y1/RPL41/RPS27/RPS6/RPL26/RPL5/RPS7/RPS28/RPS24/RPL23A/RPL18/RPL21/RPL27/RPL36/RPL39/RPS27A/RPL35/RPL7A/RPS15/RPS18/RPS3/RPS29/RPS15A/RPS8/RPS2/RPS11/RPL18A/RPS9/RPL13/UBA52/RPL15/RPSA/RPLP1/RPL29/RPS21/RPL8/RPL3/RPL10A/RPL19/RPL7/RPL23/RPL10/RPS19/SEC61B/RPS12/RPLP2/SRP14/RPS26/SEC11A/RPL4/SPCS3/SEC61G/RPL31/RPS16/SRP19/SSR1/RPS20/TRAM1/SPCS1/SSR4/RPL26L1/RPLP0/RPL17/RPL12/SPCS2/SEC61A1/RPN1/RPL28/SSR2/RPN2/RPL13A/RPS10/RPL36A/RPS27L/SEC11C/SSR3/SRP9/SRP54/SRP72/SRPRA/RPL39L/RPL22L1/RPS17/DDOST/SRP68/SRPRB",109,"CCD_IC_A","AKI_vs_Normal"
