"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","CellType","Condition"
"R-HSA-72766","Translation","323/4920","368/11230",0.877717391304348,2.00340778543655,17.2816374226625,1.14214814705931e-71,1.90167666485376e-68,1.0207197651088e-68,"RPS4Y1/ELOB/EIF4A1/RPS27/MRPL57/AURKAIP1/SEM1/UFD1/RPL37A/ELOC/MT-ND1/RPS9/RPS21/UBE2D3/RPL21/EEF1B2/MT-ND3/PSMA2/MRPL34/UBE2D1/PSMB1/RPL8/MRPL3/RPL34/FARSA/RPS5/RPL9/MRPL15/RPL30/RPL38/PSMD2/RPS28/RPL35A/EIF3E/EIF1AX/SEC61G/RPL37/PSMC1/RPS3/RPS13/EIF3K/MRPL23/RPL32/NDUFAB1/RPS14/RPL35/RPS15/MRPL20/RPL14/TRIP4/MRPL47/MRPL12/RPS25/RPL10/RPS18/UBC/MRPS7/RPL36/TRAM1/MT-CYB/MRPS12/RPL23A/PSMC5/RPS7/RPL41/RPL24/EIF3L/VCP/RCHY1/MRPS15/CARS2/SRP9/RPL3/RPL27A/DARS2/RPL5/RPLP0/PABPC1/RPL39/MRPS18C/MRPL33/FAU/MRPS17/SEC61B/PSMD8/PSMA5/PSMD3/MRPL54/FARS2/SEC11A/MT-ND6/MT-ND4L/RPS3A/RPL18/EIF2B5/RPS27L/RPL11/TCF25/MRPS18B/RPL22/EIF2B2/GSPT1/RPS4X/PSMA7/EIF3I/MRPS2/RPS20/MRPL30/MRPL51/MRPL46/PPA1/UBE2D2/EEF2/RPL26/MT-ND2/MRPS6/RPL18A/EARS2/MT-CO3/RPS27A/RPL29/PPA2/PSMD7/MRPL14/RPS16/ASCC3/RPLP2/RPL27/ASCC2/EEF1D/IARS2/MRPL28/SARS2/SRP14/SRPRB/PSMB2/MRPL49/APEH/RPS29/RPL13A/EIF4EBP1/PSMB3/MRPS28/GFM1/SRP68/SSR4/RPL26L1/MRPL4/MRPL1/ETF1/MRPL53/MRPL10/MRPS33/MRPL13/MRPL18/RPL6/RPS6/LTN1/MRPL19/MRPL40/MRPS31/RPS17/RPL17/SPCS1/MRPL17/MT-ND5/MRPS21/MRPL22/MT-CO2/EIF2S1/MRPL50/RPL13/MRPL32/PSMD12/PSMD11/EIF2S2/MRPS34/RPS10/EIF2B4/MRPS22/RPL10A/MALSU1/EIF4G1/MRPL21/EEF1A1/AIMP1/PSMB5/MRPL48/MRPS14/RPSA/SEC61A1/MT-ATP6/PSMC4/MRPL52/TSFM/PTCD3/PSMC3/RPL19/EIF4B/RPL23/MTRF1L/RARS2/PSMD13/SPCS3/TUFM/EIF2B3/SPCS2/RPS2/EIF3B/RPL4/EIF5B/SRPRA/EIF4A2/MRPS10/MRPL42/EIF3F/PSMA6/RPL31/RBX1/MRPL27/SSR1/MRPL9/MRPS26/MRPL43/PSMA3/AIMP2/ADRM1/RPS24/RPS26/RPL7/PSMD14/RPL15/RPL12/MRPL41/MRPL11/PSMA1/RPS15A/NEMF/MTFMT/EIF3A/WARS2/PSMD6/RPS23/EIF4H/MRPS35/MRPS25/MRPS5/SSR3/EEF1E1/KLHDC10/SSR2/MRPL55/MRPS9/MTIF3/EIF2S3/RPL36AL/MRPL36/EIF4E/GSPT2/MRPL2/YARS2/MRPL58/RPS12/DAP3/PSMB6/MRPL24/MRPS23/GADD45GIP1/EIF3H/SRP54/PSMD1/EIF3D/MRPL35/RPS11/RPL36A/UBB/NPLOC4/MRRF/ERAL1/MT-ATP8/RPL7A/EIF3J/CHCHD1/MRPL37/ZNF598/ABCE1/RPL22L1/SRP19/PSMA4/MRPS11/PSMB4/MT-ND4/MRPS18A/SEC11C/UBA52/PSMC6/RPN2/HBS1L/OXA1L/PSMB7/MRPS16/GFM2/SRP72/TRMT112/PSMC2/MIEF1/RPLP1/MTIF2/RPS8/EIF3M/MRPL44/EIF3G/NARS2/DDOST/CUL2/RPL28/MRPL16/MRPS30/RPN1/MRPL39/MT-CO1/EIF5/RPS19",323,"IC_B","AKI_vs_Normal"
"R-HSA-72203","Processing of Capped Intron-Containing Pre-mRNA","257/4920","294/11230",0.874149659863946,1.99526436590897,15.2693757410406,3.27298168101492e-56,2.72475724944492e-53,1.46250602483245e-53,"SNRPN/U2AF1/HNRNPA1/SNU13/CPSF4/HNRNPK/SF3B2/TXNL4A/SF3B6/SNRPD2/DDX39A/XAB2/SRSF5/SRSF2/ZC3H11A/SNRPB2/DDX5/LSM8/MAGOH/HNRNPL/CDC5L/UBC/PCF11/PUF60/GCFC2/PPIL4/SNRPD1/THOC7/PPP1R8/HNRNPD/SRSF9/DHX16/SRSF10/HSPA8/LSM4/NKAP/SNRNP25/SF3B5/WDR70/TRA2B/HNRNPU/POLR2I/LENG1/HNRNPA2B1/SYF2/U2AF1L4/U2SURP/SNRPD3/AAAS/IK/POLR2C/ALYREF/POLDIP3/SRSF8/HNRNPF/YBX1/DNAJC8/RBM17/SARNP/TCERG1/RPS27A/NSRP1/RANBP2/CCDC12/PRPF8/SNRPE/SLBP/NUP153/LSM2/NUP35/DDX23/NUP88/PPIH/BCAS2/PPIG/POLR2K/HNRNPH1/DHX15/BUD31/RNPS1/HNRNPR/METTL14/ZRSR2/HNRNPH2/RBMX2/SF3B1/SNRNP40/PLRG1/MAGOHB/U2AF2/PCBP2/PQBP1/SLU7/LUC7L3/NUP54/PRPF38A/PPIL2/SMNDC1/CWF19L2/PRPF19/ZMAT5/SAP18/PHF5A/EIF4A3/CCAR1/SEC13/DHX8/CDC40/SRSF4/POLR2L/FUS/RAE1/WTAP/PPIL1/POLR2H/RBM42/POLR2A/CHTOP/POLR2E/SF3B3/FAM50A/AQR/SNRPB/CPSF1/SNRPC/RBM39/HNRNPC/EFTUD2/PPP1CB/PPIE/UBL5/RBM5/SRSF3/MTREX/CPSF3/LSM7/RBM7/FAM32A/SF3A2/PRCC/ZMAT2/PRPF40A/SNRPA1/ACIN1/PNN/LSM5/DDX42/BUD13/CHERP/XRN2/SRSF11/SRSF7/SEH1L/RBMX/RBM22/NUP133/FYTTD1/CPSF6/RBM8A/RNPC3/LSM6/NUP50/NCBP2/POM121/RBM25/PAPOLA/SART1/PRPF4/CSTF2T/POLR2J/CRNKL1/HNRNPA3/ZCRB1/NXF1/SF1/NUP37/NUP98/WBP11/SNRPF/NUDT21/PTBP1/GTF2F2/SNRPG/CTNNBL1/METTL3/EIF4E/PRPF31/POLR2G/WDR33/CASC3/NUP155/DHX9/TPR/POLR2B/HNRNPM/ISY1/TUT1/CPSF7/SRRM1/NUP214/SNRNP70/RBBP6/CSTF1/UBB/CSTF3/GTF2F1/SRSF6/PABPN1/THOC2/DDX41/SNRNP200/PPP1R10/PRPF18/UBA52/C9orf78/PCBP1/DDX46/PDCD7/HTATSF1/CWC25/SF3A3/SNRNP27/THOC1/SF3B4/SRRT/PPIL3/POLR2D/SYMPK/SNIP1/NUP62/CWC22/CWC27/LSM3/SNRPA/USP39/SNW1/CWC15/MFAP1/PPP1CA/FIP1L1/PRPF6/SMU1/ZNF830/SRRM2/POLR2F/RBM10/SNRNP48/SNRNP35/NXT1/PPWD1/PRKRIP1/NUP205/CPSF2/NUP160/WBP4/SRSF1/SF3A1",257,"IC_B","AKI_vs_Normal"
"R-HSA-72172","mRNA Splicing","195/4920","213/11230",0.915492957746479,2.08963128363678,14.1767311418738,3.92118418120289e-50,2.1762572205676e-47,1.16810012976886e-47,"SNRPN/U2AF1/HNRNPA1/SNU13/HNRNPK/SF3B2/TXNL4A/SF3B6/SNRPD2/XAB2/SRSF5/SRSF2/SNRPB2/DDX5/LSM8/MAGOH/HNRNPL/CDC5L/PUF60/GCFC2/PPIL4/SNRPD1/PPP1R8/HNRNPD/SRSF9/DHX16/SRSF10/HSPA8/LSM4/NKAP/SNRNP25/SF3B5/WDR70/TRA2B/HNRNPU/POLR2I/LENG1/HNRNPA2B1/SYF2/U2AF1L4/U2SURP/SNRPD3/IK/POLR2C/ALYREF/SRSF8/HNRNPF/YBX1/DNAJC8/RBM17/TCERG1/NSRP1/CCDC12/PRPF8/SNRPE/LSM2/DDX23/PPIH/BCAS2/PPIG/POLR2K/HNRNPH1/DHX15/BUD31/RNPS1/HNRNPR/ZRSR2/HNRNPH2/RBMX2/SF3B1/SNRNP40/PLRG1/MAGOHB/U2AF2/PCBP2/PQBP1/SLU7/LUC7L3/PRPF38A/PPIL2/SMNDC1/CWF19L2/PRPF19/ZMAT5/SAP18/PHF5A/EIF4A3/CCAR1/DHX8/CDC40/SRSF4/POLR2L/FUS/PPIL1/POLR2H/RBM42/POLR2A/POLR2E/SF3B3/FAM50A/AQR/SNRPB/SNRPC/RBM39/HNRNPC/EFTUD2/PPIE/UBL5/RBM5/SRSF3/MTREX/LSM7/RBM7/FAM32A/SF3A2/PRCC/ZMAT2/PRPF40A/SNRPA1/ACIN1/PNN/LSM5/DDX42/BUD13/CHERP/SRSF11/SRSF7/RBMX/RBM22/RBM8A/RNPC3/LSM6/NCBP2/RBM25/SART1/PRPF4/POLR2J/CRNKL1/HNRNPA3/ZCRB1/SF1/WBP11/SNRPF/PTBP1/GTF2F2/SNRPG/CTNNBL1/PRPF31/POLR2G/CASC3/DHX9/POLR2B/HNRNPM/ISY1/SRRM1/SNRNP70/GTF2F1/SRSF6/DDX41/SNRNP200/PRPF18/C9orf78/PCBP1/DDX46/PDCD7/HTATSF1/CWC25/SF3A3/SNRNP27/SF3B4/SRRT/PPIL3/POLR2D/SNIP1/CWC22/CWC27/LSM3/SNRPA/USP39/SNW1/CWC15/MFAP1/PRPF6/SMU1/ZNF830/SRRM2/POLR2F/RBM10/SNRNP48/SNRNP35/PPWD1/PRKRIP1/WBP4/SRSF1/SF3A1",195,"IC_B","AKI_vs_Normal"
"R-HSA-72163","mRNA Splicing - Major Pathway","187/4920","205/11230",0.91219512195122,2.08210390640492,13.8068627915556,1.66752312184623e-47,6.94106499468494e-45,3.72559771170382e-45,"SNRPN/U2AF1/HNRNPA1/SNU13/HNRNPK/SF3B2/TXNL4A/SF3B6/SNRPD2/XAB2/SRSF5/SRSF2/SNRPB2/DDX5/LSM8/MAGOH/HNRNPL/CDC5L/PUF60/GCFC2/PPIL4/SNRPD1/PPP1R8/HNRNPD/SRSF9/DHX16/SRSF10/HSPA8/LSM4/NKAP/SF3B5/WDR70/TRA2B/HNRNPU/POLR2I/LENG1/HNRNPA2B1/SYF2/U2AF1L4/U2SURP/SNRPD3/IK/POLR2C/ALYREF/SRSF8/HNRNPF/YBX1/DNAJC8/RBM17/TCERG1/NSRP1/CCDC12/PRPF8/SNRPE/LSM2/DDX23/PPIH/BCAS2/PPIG/POLR2K/HNRNPH1/DHX15/BUD31/RNPS1/HNRNPR/HNRNPH2/RBMX2/SF3B1/SNRNP40/PLRG1/MAGOHB/U2AF2/PCBP2/PQBP1/SLU7/LUC7L3/PRPF38A/PPIL2/SMNDC1/CWF19L2/PRPF19/SAP18/PHF5A/EIF4A3/CCAR1/DHX8/CDC40/SRSF4/POLR2L/FUS/PPIL1/POLR2H/RBM42/POLR2A/POLR2E/SF3B3/FAM50A/AQR/SNRPB/SNRPC/RBM39/HNRNPC/EFTUD2/PPIE/UBL5/RBM5/SRSF3/MTREX/LSM7/RBM7/FAM32A/SF3A2/PRCC/ZMAT2/PRPF40A/SNRPA1/ACIN1/PNN/LSM5/DDX42/BUD13/CHERP/SRSF11/SRSF7/RBMX/RBM22/RBM8A/LSM6/NCBP2/RBM25/SART1/PRPF4/POLR2J/CRNKL1/HNRNPA3/SF1/WBP11/SNRPF/PTBP1/GTF2F2/SNRPG/CTNNBL1/PRPF31/POLR2G/CASC3/DHX9/POLR2B/HNRNPM/ISY1/SRRM1/SNRNP70/GTF2F1/SRSF6/DDX41/SNRNP200/PRPF18/C9orf78/PCBP1/DDX46/HTATSF1/CWC25/SF3A3/SNRNP27/SF3B4/SRRT/PPIL3/POLR2D/SNIP1/CWC22/CWC27/LSM3/SNRPA/USP39/SNW1/CWC15/MFAP1/PRPF6/SMU1/ZNF830/SRRM2/POLR2F/RBM10/PPWD1/PRKRIP1/WBP4/SRSF1/SF3A1",187,"IC_B","AKI_vs_Normal"
"R-HSA-9948299","Ribosome-associated quality control","139/4920","145/11230",0.958620689655172,2.18807120829829,12.7144341361195,2.03086357728236e-42,6.76277571235025e-40,3.62990142550047e-40,"RPS4Y1/ELOB/RPS27/SEM1/UFD1/RPL37A/ELOC/RPS9/RPS21/UBE2D3/RPL21/PSMA2/UBE2D1/PSMB1/RPL8/RPL34/RPS5/RPL9/RPL30/RPL38/PSMD2/RPS28/RPL35A/RPL37/PSMC1/RPS3/RPS13/RPL32/RPS14/RPL35/RPS15/RPL14/TRIP4/RPS25/RPL10/RPS18/UBC/RPL36/RPL23A/PSMC5/RPS7/RPL41/RPL24/VCP/RCHY1/RPL3/RPL27A/RPL5/RPLP0/RPL39/FAU/PSMD8/PSMA5/PSMD3/RPS3A/RPL18/RPS27L/RPL11/TCF25/RPL22/RPS4X/PSMA7/RPS20/UBE2D2/RPL26/RPL18A/RPS27A/RPL29/PSMD7/RPS16/ASCC3/RPLP2/RPL27/ASCC2/PSMB2/RPS29/RPL13A/PSMB3/RPL26L1/RPL6/RPS6/LTN1/RPS17/RPL17/RPL13/PSMD12/PSMD11/RPS10/RPL10A/PSMB5/RPSA/PSMC4/PSMC3/RPL19/RPL23/PSMD13/RPS2/RPL4/PSMA6/RPL31/RBX1/PSMA3/ADRM1/RPS24/RPS26/RPL7/PSMD14/RPL15/RPL12/PSMA1/RPS15A/NEMF/PSMD6/RPS23/KLHDC10/RPL36AL/RPS12/PSMB6/PSMD1/RPS11/RPL36A/UBB/NPLOC4/RPL7A/ZNF598/ABCE1/RPL22L1/PSMA4/PSMB4/UBA52/PSMC6/HBS1L/PSMB7/PSMC2/RPLP1/RPS8/CUL2/RPL28/RPS19",139,"IC_B","AKI_vs_Normal"
"R-HSA-1428517","Aerobic respiration and respiratory electron transport","213/4920","258/11230",0.825581395348837,1.88440631499338,12.6898708211522,2.19350874741081e-38,6.08698677406501e-36,3.267173555354e-36,"ATP5ME/ATP5F1E/ATP5PD/ATP5MC3/ATP5PF/ATP5F1D/ATP5MC2/ATP5F1B/ATP5MG/UQCR11/ATP5PO/COA3/ATP5F1C/ATP5MF/PDK4/ATP5MC1/NDUFA3/NDUFB9/UQCC3/MPC1/COQ10A/NDUFB8/NDUFV3/COX17/SDHD/COX8A/NDUFB1/UQCRC2/MDH2/PDP1/MT-ND1/ATP5F1A/MT-ND3/VDAC1/DMAC1/COQ10B/ISCA1/COX6C/NDUFA1/COX5A/SCO1/IDH3A/COX7A2/UCP2/NDUFS7/COX7C/NDUFAB1/NDUFA5/NDUFB7/NDUFA7/COX5B/PKM/GOT1/NDUFB11/UBC/SUCLG1/ETFB/NDUFB2/MT-CYB/NDUFS8/NDUFAF4/COX7A1/COX16/NDUFB10/NDUFS4/COX7B/PYURF/PET100/SURF1/ACAT1/NDUFB5/NDUFS6/CYC1/NDUFC1/UQCRH/NDUFV1/RAB5IF/PNKD/TMEM223/ISCU/GOT2/MT-ND6/MAEA/NDUFA13/SDHA/NDUFAF8/NDUFAF5/UQCRFS1/HIGD1A/COX7A2L/DLD/TMEM126A/NDUFAF2/NDUFB4/PDHB/NDUFA10/ACO2/MT-ND2/NDUFV2/COX11/ETFDH/ATP5PB/MT-CO3/RPS27A/LDHB/SDHAF4/ME2/LYRM2/COX4I1/NDUFS1/SUCLA2/FXN/NDUFAF3/NDUFC2/UQCRB/GSTZ1/PDK2/MDH1/MPC2/UQCRQ/SDHC/NDUFB3/ETFA/UQCC2/BCS1L/MT-ND5/COX20/MT-CO2/UQCR10/NDUFS2/TMEM126B/COX15/RMND5B/TTC19/COX18/NDUFA6/NDUFA9/COX6A1/DLAT/PDHA1/LYRM7/NDUFA8/SMIM20/COA1/ACAD9/HSCB/LDHA/NDUFS5/MKLN1/MT-ATP6/NDUFAF6/NDUFAF1/IDH3B/TACO1/SDHAF2/CMC1/PDK1/GID8/NDUFA2/FH/RMND5A/COX14/COX6B1/CS/NDUFB6/COA5/UQCC1/SUCLG2/ISCA2/WDR26/SLC25A27/NFS1/TRAP1/SDHB/HAGH/HIGD2A/NDUFA11/COX19/TMEM177/D2HGDH/HCCS/DLST/IDH3G/IDH2/SDHAF3/SDHAF1/NNT/UBB/HSPA9/UQCRC1/MT-ATP8/LETM1/PET117/OGDH/GLO1/MT-ND4/UBA52/OXA1L/LYRM4/NDUFS3/FAHD1/TIMMDC1/SLC25A12/RANBP9/NDUFA12/SFXN4/ARMC8/SLC25A13/PDHX/SLC25A11/MT-CO1/NEK1/TMEM186",213,"IC_B","AKI_vs_Normal"
"R-HSA-9770562","mRNA Polyadenylation","121/4920","127/11230",0.952755905511811,2.17468471928814,11.7555085740626,3.33449114497856e-36,7.93132536627043e-34,4.25711726629594e-34,"SNRPN/U2AF1/HNRNPA1/CPSF4/HNRNPK/SF3B2/SF3B6/SNRPD2/SRSF5/SRSF2/SNRPB2/DDX5/HNRNPL/UBC/PCF11/PUF60/SNRPD1/PPP1R8/HNRNPD/SRSF9/SRSF10/SF3B5/TRA2B/HNRNPU/POLR2I/HNRNPA2B1/U2AF1L4/U2SURP/SNRPD3/POLR2C/SRSF8/HNRNPF/YBX1/DNAJC8/RBM17/TCERG1/RPS27A/SNRPE/POLR2K/HNRNPH1/DHX15/HNRNPR/HNRNPH2/SF3B1/U2AF2/PCBP2/SMNDC1/PHF5A/CCAR1/CDC40/SRSF4/POLR2L/FUS/POLR2H/POLR2A/POLR2E/SF3B3/SNRPB/CPSF1/SNRPC/RBM39/HNRNPC/PPP1CB/RBM5/SRSF3/CPSF3/SF3A2/PRPF40A/SNRPA1/DDX42/CHERP/XRN2/SRSF11/SRSF7/RBMX/CPSF6/NCBP2/RBM25/PAPOLA/CSTF2T/POLR2J/HNRNPA3/SNRPF/NUDT21/PTBP1/GTF2F2/SNRPG/POLR2G/WDR33/DHX9/POLR2B/HNRNPM/TUT1/CPSF7/SNRNP70/RBBP6/CSTF1/UBB/CSTF3/GTF2F1/SRSF6/PABPN1/PPP1R10/UBA52/PCBP1/DDX46/HTATSF1/SF3A3/SF3B4/SRRT/POLR2D/SYMPK/SNRPA/PPP1CA/FIP1L1/SRRM2/POLR2F/RBM10/CPSF2/SRSF1/SF3A1",121,"IC_B","AKI_vs_Normal"
"R-HSA-72187","mRNA 3'-end processing","139/4920","152/11230",0.914473684210526,2.08730477107403,11.9173808888178,7.64852386479226e-36,1.46728872771532e-33,7.87563224169626e-34,"SNRPN/U2AF1/HNRNPA1/CPSF4/HNRNPK/SF3B2/SF3B6/SNRPD2/DDX39A/SRSF5/SRSF2/ZC3H11A/SNRPB2/DDX5/MAGOH/HNRNPL/UBC/PCF11/PUF60/SNRPD1/THOC7/PPP1R8/HNRNPD/SRSF9/SRSF10/SF3B5/TRA2B/HNRNPU/POLR2I/HNRNPA2B1/U2AF1L4/U2SURP/SNRPD3/POLR2C/ALYREF/POLDIP3/SRSF8/HNRNPF/YBX1/DNAJC8/RBM17/SARNP/TCERG1/RPS27A/SNRPE/POLR2K/HNRNPH1/DHX15/RNPS1/HNRNPR/HNRNPH2/SF3B1/MAGOHB/U2AF2/PCBP2/SLU7/SMNDC1/PHF5A/EIF4A3/CCAR1/CDC40/SRSF4/POLR2L/FUS/POLR2H/POLR2A/CHTOP/POLR2E/SF3B3/SNRPB/CPSF1/SNRPC/RBM39/HNRNPC/PPP1CB/RBM5/SRSF3/CPSF3/SF3A2/PRPF40A/SNRPA1/DDX42/CHERP/XRN2/SRSF11/SRSF7/RBMX/FYTTD1/CPSF6/RBM8A/NCBP2/RBM25/PAPOLA/CSTF2T/POLR2J/HNRNPA3/SNRPF/NUDT21/PTBP1/GTF2F2/SNRPG/POLR2G/WDR33/CASC3/DHX9/POLR2B/HNRNPM/TUT1/CPSF7/SRRM1/SNRNP70/RBBP6/CSTF1/UBB/CSTF3/GTF2F1/SRSF6/PABPN1/THOC2/PPP1R10/UBA52/PCBP1/DDX46/HTATSF1/SF3A3/THOC1/SF3B4/SRRT/POLR2D/SYMPK/SNRPA/PPP1CA/FIP1L1/SRRM2/POLR2F/RBM10/CPSF2/SRSF1/SF3A1",139,"IC_B","AKI_vs_Normal"
"R-HSA-8868773","rRNA processing in the nucleus and cytosol","168/4920","194/11230",0.865979381443299,1.97661553935127,12.1159385497839,7.93129042008281e-36,1.46728872771532e-33,7.87563224169626e-34,"RPS4Y1/SNU13/RPS27/RPL37A/RPS9/RPS21/RPL21/RPL8/RPL34/RPS5/RPL9/RPL30/RPL38/RPS28/RPL35A/PELP1/RRP1/RPL37/FCF1/RPS3/RPS13/WDR18/RPL32/RPS14/RPL35/RPS15/BOP1/RPL14/RPS25/RPL10/RPS18/DDX49/RPL36/FBL/RPL23A/NHP2/RPS7/RPL41/RPL24/RPL3/RPL27A/RPL5/RPLP0/RPL39/GNL3/FAU/EXOSC7/KRR1/RPS3A/ERI1/RPL18/UTP11/RPS27L/RPP30/RPL11/NOP56/RPL22/RPS4X/RPS20/PES1/RPL26/RPL18A/RPS27A/RPL29/UTP6/EXOSC4/EXOSC5/RPP38/RPS16/RPLP2/RPL27/RPP21/RPS29/RIOK2/NCL/RPL13A/WDR75/RPL26L1/BUD23/UTP3/DIMT1/RPL6/RPS6/RPS17/NOL6/RPL17/EMG1/RBM28/RPL13/EXOSC6/WDR46/RRP36/RPS10/RPP25/RPL10A/RPSA/MPHOSPH10/EBNA1BP2/PNO1/WDR43/NOL12/RPL19/NOC4L/RPL23/DDX52/DDX21/IMP3/MPHOSPH6/RPS2/DCAF13/MTREX/RPL4/EXOSC1/CSNK1D/NOP10/RPL31/NOP58/EXOSC10/XRN2/NOL11/RPS24/C1D/ISG20L2/RPS26/RPL7/RPL15/RPL12/EXOSC9/RPS15A/RRP7A/DIS3/RPS23/NOP14/TSR3/RPP14/WDR36/RPL36AL/RPS12/WDR3/RPS11/RPL36A/BMS1/RPL7A/RCL1/IMP4/RPL22L1/THUMPD1/UTP18/LAS1L/UBA52/NOB1/RIOK3/EXOSC3/UTP20/NIP7/TRMT112/RPLP1/DKC1/RPS8/EXOSC8/GAR1/CSNK1E/RPL28/TBL3/WDR12/UTP15/RRP9/RPS19",168,"IC_B","AKI_vs_Normal"
"R-HSA-168255","Influenza Infection","142/4920","157/11230",0.904458598726115,2.06444513489721,11.8598410985845,3.0486571264732e-35,5.07601411557788e-33,2.72453673723763e-33,"RPS4Y1/HSPA1B/CPSF4/RPS27/RPL37A/RPS9/HSPA1A/RPS21/RPL21/RPL8/RPL34/RPS5/RPL9/RPL30/RPL38/RPS28/RPL35A/HSP90AA1/RPL37/RPS3/RPS13/CLTA/ISG15/RPL32/RPS14/RPL35/RPS15/RPL14/RPS25/RPL10/RPS18/RPL36/CLTC/RPL23A/RPS7/RPL41/RPL24/TGFB1/XPO1/RPL3/RPL27A/RPL5/RPLP0/RPL39/FAU/POLR2I/RPS3A/RPL18/RPS27L/RPL11/RPL22/RPS4X/RPS20/AAAS/POLR2C/RPL26/RPL18A/EIF2AK2/RPS27A/RPL29/KPNA4/RANBP2/RPS16/RPLP2/RPL27/NUP153/RPS29/NUP35/RPL13A/NUP88/RPL26L1/POLR2K/RPL6/RPS6/RPS17/RPL17/NUP54/RPL13/GRSF1/RAN/DNAJC3/RPS10/SEC13/RPL10A/KPNA3/RPSA/KPNA5/POLR2L/RAE1/POLR2H/POLR2A/POLR2E/RPL19/RPL23/RPS2/RPL4/CALR/KPNA1/RPL31/IPO5/SEH1L/NUP133/RPS24/RPS26/RPL7/RPL15/RPL12/NUP50/RPS15A/POM121/RPS23/POLR2J/KPNB1/NUP37/NUP98/PARP1/GTF2F2/RPL36AL/POLR2G/RPS12/NUP155/TPR/POLR2B/CANX/NUP214/RPS11/RPL36A/GTF2F1/RPL7A/PABPN1/RPL22L1/UBA52/POLR2D/NUP62/RPLP1/RPS8/POLR2F/RPL28/KPNA2/NUP205/NUP160/RPS19",142,"IC_B","AKI_vs_Normal"
"R-HSA-6791226","Major pathway of rRNA processing in the nucleolus and cytosol","160/4920","184/11230",0.869565217391304,1.98480028278544,11.8930424596178,1.20020927070738e-34,1.81668039611617e-32,9.75098249598626e-33,"RPS4Y1/SNU13/RPS27/RPL37A/RPS9/RPS21/RPL21/RPL8/RPL34/RPS5/RPL9/RPL30/RPL38/RPS28/RPL35A/PELP1/RRP1/RPL37/FCF1/RPS3/RPS13/WDR18/RPL32/RPS14/RPL35/RPS15/BOP1/RPL14/RPS25/RPL10/RPS18/DDX49/RPL36/FBL/RPL23A/RPS7/RPL41/RPL24/RPL3/RPL27A/RPL5/RPLP0/RPL39/GNL3/FAU/EXOSC7/KRR1/RPS3A/ERI1/RPL18/UTP11/RPS27L/RPP30/RPL11/NOP56/RPL22/RPS4X/RPS20/PES1/RPL26/RPL18A/RPS27A/RPL29/UTP6/EXOSC4/EXOSC5/RPP38/RPS16/RPLP2/RPL27/RPP21/RPS29/RIOK2/NCL/RPL13A/WDR75/RPL26L1/BUD23/UTP3/RPL6/RPS6/RPS17/NOL6/RPL17/EMG1/RBM28/RPL13/EXOSC6/WDR46/RRP36/RPS10/RPP25/RPL10A/RPSA/MPHOSPH10/EBNA1BP2/PNO1/WDR43/NOL12/RPL19/NOC4L/RPL23/DDX52/DDX21/IMP3/MPHOSPH6/RPS2/DCAF13/MTREX/RPL4/EXOSC1/CSNK1D/RPL31/NOP58/EXOSC10/XRN2/NOL11/RPS24/C1D/ISG20L2/RPS26/RPL7/RPL15/RPL12/EXOSC9/RPS15A/RRP7A/DIS3/RPS23/NOP14/RPP14/WDR36/RPL36AL/RPS12/WDR3/RPS11/RPL36A/BMS1/RPL7A/RCL1/IMP4/RPL22L1/UTP18/LAS1L/UBA52/NOB1/RIOK3/EXOSC3/UTP20/NIP7/RPLP1/RPS8/EXOSC8/CSNK1E/RPL28/TBL3/WDR12/UTP15/RRP9/RPS19",160,"IC_B","AKI_vs_Normal"
