"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","CellType","Condition"
"R-HSA-72766","Translation","318/4766","368/11230",0.864130434782609,2.03612773449616,17.3531849280288,6.94543029556404e-71,1.15571960118186e-67,6.40441783043589e-68,"RPS29/RPL37A/RPS10/RPL23A/RPS14/RPL21/RPL37/RPL10A/RPS27A/RPS3A/RPL9/RPL3/RPL6/RPL27A/RPL41/RPL35/RPS3/SRP14/RPL22/MT-CYB/EEF1A1/UBC/RPL30/RPS27/TRMT112/RPS7/RPS4X/RPS6/RPS2/RPS23/RPL34/RPL32/RPL36A/MT-ND3/RPL11/RPL26/RPL38/RPS25/RPS24/TRAM1/RPL13/RPL24/RPL14/EIF4A1/RPL35A/EIF4H/UBB/RPS9/NDUFAB1/RPS18/RPL15/MRPS18C/MRPL40/RPS15/SEC61B/RPL18/MT-ATP6/GADD45GIP1/MRPL51/RPL5/RPS28/MRPL20/CHCHD1/RPL7A/RPL36/RPS13/RPS4Y1/FAU/PSMA7/RPSA/RPL4/MT-ND2/RPL31/PSMB1/RPL36AL/RPLP1/RPL29/RPS11/RPL10/RPL27/RPS26/RPL8/RPL19/MRPL28/ELOB/MRPL57/RPS8/UBA52/PSMA2/PSMC4/MRPL52/PSMB6/EIF3L/RPS12/SEM1/RPL18A/RPL7/MT-ND1/MRPS7/MRPL33/PSMD8/PSMB3/EIF3K/EIF3G/IARS2/EEF2/EIF1AX/RPL12/PTCD3/MT-CO2/PSMB5/MRPL54/SPCS3/RPL17/PSMC1/MT-CO3/MRPL21/PSMC3/APEH/MRPL24/RPS21/MRPS25/SEC61A1/MRPL18/RPS15A/EIF2S3/MRPL55/RPL39/RPL26L1/SEC11C/RPLP2/RPS17/RBX1/MRPS12/PSMC5/EIF3A/EIF3I/RPL28/RPL23/EIF3J/AURKAIP1/MRPL22/PPA2/RPL22L1/EEF1D/MT-ND5/ANKZF1/GFM2/MRPL4/MTIF3/MRPS23/MRPS33/EEF1B2/MRPS17/MRPL41/MALSU1/RPL39L/MRPL49/PSMD6/MRPL16/RPS27L/SEC61G/MT-ND4L/MT-CO1/UBE2D2/MRPS26/MRPL43/MRPL15/EIF3M/NEMF/RPS16/PSMB7/PSMA6/ADRM1/MRPL2/EIF2S2/MRPL50/MRPS15/MT-ND4/GFM1/RPS5/MRPL17/MRPS18B/PSMD7/GSPT1/ASCC3/PSMA1/MRPL19/EIF2S1/CARS2/MRPL47/SPCS1/TCF25/FARSA/MRPL39/SRP19/EIF3E/MRPL23/MRPS18A/MT-ND6/MRPL27/MRPS21/MT-ATP8/MRPL11/PSMA3/SEC11A/SRP9/MRPS5/SRPRA/LTN1/MRPS16/PSMB2/RPS20/MRPL58/SSR2/SSR1/MRPS22/RPL13A/KLHDC10/EIF3F/EIF5B/EIF4G1/MRPS6/RPLP0/MRPL9/RPS19/TUFM/MRPS27/MIEF1/PABPC1/MRPL46/CUL2/EIF3D/SRP72/MRPS10/EIF5/EIF3H/VCP/ELOC/MRPL12/MRPS31/MRPL1/PSMB4/PSMD2/SSR3/NPLOC4/MTIF2/PSMC2/AIMP1/PSMD11/UFD1/SRP54/OXA1L/EIF2B4/MRPL36/MRPL32/FARSB/MRPL42/AIMP2/MRPS2/PSMD3/EIF3B/EIF2B1/EIF4B/MRPL37/MRPL44/MRPL53/EIF2B2/RCHY1/MRPL13/EIF4A2/ETF1/ABCE1/PSMA5/PSMA4/MRPL48/EEF1E1/UBE2D3/EIF4E/YARS2/PELO/RPN2/HBS1L/ERAL1/MRPS35/SRPRB/MRRF/MRPL34/DAP3/MRPS9/MRPL3/MRPS11/SSR4/SRP68/PSMD14/PSMD13/EIF2B5/DDOST/MTRF1L/SPCS2/RARS2/MRPL35/PSMD12/MRPS28/RPN1/TSFM/MRPS34/UBE2D1/MRPL14/FARS2/EIF4EBP1/PSMC6/MRPL30/MRPS30/MRPS14/MRPL10/PSMD1/PPA1",318,"PC","AKI_vs_Normal"
"R-HSA-72203","Processing of Capped Intron-Containing Pre-mRNA","253/4766","294/11230",0.860544217687075,2.02767762581323,15.3319785083782,1.31308825172658e-55,1.09248942543651e-52,6.05402793953939e-53,"SNRPN/SRSF7/RPS27A/SRSF9/SAP18/UBC/RANBP2/POLR2L/SRSF3/UBL5/UBB/HNRNPA1/SRSF5/LSM3/SNU13/LSM4/SF1/TXNL4A/HSPA8/PPP1CB/MAGOH/UBA52/SNRPB/SNRPG/LSM2/BUD31/PAPOLA/RBM8A/ZCRB1/POLR2F/DDX5/NXT1/U2AF1/POLR2E/DNAJC8/CCAR1/RBM5/SRSF2/PRPF38A/HNRNPA2B1/PPP1CA/PPIG/SRSF6/HNRNPA3/BCAS2/SNRPF/IK/HNRNPU/NUP214/DHX15/SNRNP70/XRN2/POLR2J/SF3B5/MTREX/SNRPD1/NUP160/GTF2F1/CWC22/PRPF6/ZC3H11A/POLR2C/RBM39/ALYREF/POLR2H/PABPN1/SLBP/PRPF8/POLR2B/CRNKL1/NCBP2/SRRM2/POLR2I/YBX1/THOC7/SNRPE/SNRPD3/HNRNPM/SRSF1/SF3B4/SF3B1/RNPS1/CWC15/PNN/CHTOP/NUP133/THOC2/SNRNP35/SNRPC/NUDT21/NUP35/SRSF10/HNRNPH1/SNRPB2/SF3A3/CCDC12/SARNP/LSM5/PPIL4/PCBP2/XAB2/SF3B2/NUP50/PUF60/SF3B6/RBM42/LSM8/FUS/CDC40/SNRPD2/LENG1/POLR2K/PRCC/FAM32A/HNRNPC/DDX46/SMU1/SRRM1/PQBP1/PPIE/FIP1L1/C9orf78/HNRNPD/HNRNPF/FAM50A/POM121/PCF11/SRSF11/PRPF18/PRKRIP1/RBMX/RBBP6/PPIL3/PPIH/POLR2G/CPSF6/DDX41/NSRP1/RBM25/SNRNP40/TRA2B/POLR2A/CDC5L/RBM7/PPP1R10/WBP4/DDX42/WBP11/NUP155/DDX23/SF3B3/SNRNP200/PLRG1/CASC3/SNW1/SDE2/SRSF8/EIF4A3/SNRNP25/ZMAT2/PRPF4/MAGOHB/TPR/WTAP/CWF19L2/DHX9/SNRPA1/METTL3/RBM17/TCERG1/CPSF2/NUP98/PCBP1/PPP1R8/PRPF31/PRPF40A/WDR33/HNRNPL/ACIN1/CSTF1/CTNNBL1/HNRNPH2/SMNDC1/HTATSF1/PTBP1/GTF2F2/NUP153/DHX16/SYF2/RNPC3/POLR2D/LSM7/PDCD7/CWC25/CPSF1/U2SURP/SRRT/NUP43/EIF4E/THOC6/ZMAT5/CWC27/SEC13/AQR/PAPOLG/CPSF7/SYMPK/SF3A1/LUC7L3/U2AF1L4/CPSF4/FYTTD1/HNRNPK/UPF3B/GCFC2/PPIL1/POLDIP3/SF3A2/USP39/RBMX2/SRSF4/RBM10/SNRNP27/DDX39A/THOC1/NUP58/LSM6/CSTF2T/CHERP/ZNF830/AAAS/RAE1/U2AF2/METTL14/RBM22/CPSF3/CSTF3/NXF1/PPIL2/NUP54/NKAP/HNRNPR/NUP37/PRPF19/PPWD1/MFAP1/SNRPA/WDR70/PRPF3/NUP88/THOC3/SLU7/PHF5A",253,"PC","AKI_vs_Normal"
"R-HSA-72172","mRNA Splicing","190/4766","213/11230",0.892018779342723,2.10184030466193,13.940349675307,4.04765674205004e-47,2.24510027292375e-44,1.24412186176696e-44,"SNRPN/SRSF7/SRSF9/SAP18/POLR2L/SRSF3/UBL5/HNRNPA1/SRSF5/LSM3/SNU13/LSM4/SF1/TXNL4A/HSPA8/MAGOH/SNRPB/SNRPG/LSM2/BUD31/RBM8A/ZCRB1/POLR2F/DDX5/U2AF1/POLR2E/DNAJC8/CCAR1/RBM5/SRSF2/PRPF38A/HNRNPA2B1/PPIG/SRSF6/HNRNPA3/BCAS2/SNRPF/IK/HNRNPU/DHX15/SNRNP70/POLR2J/SF3B5/MTREX/SNRPD1/GTF2F1/CWC22/PRPF6/POLR2C/RBM39/ALYREF/POLR2H/PRPF8/POLR2B/CRNKL1/NCBP2/SRRM2/POLR2I/YBX1/SNRPE/SNRPD3/HNRNPM/SRSF1/SF3B4/SF3B1/RNPS1/CWC15/PNN/SNRNP35/SNRPC/SRSF10/HNRNPH1/SNRPB2/SF3A3/CCDC12/LSM5/PPIL4/PCBP2/XAB2/SF3B2/PUF60/SF3B6/RBM42/LSM8/FUS/CDC40/SNRPD2/LENG1/POLR2K/PRCC/FAM32A/HNRNPC/DDX46/SMU1/SRRM1/PQBP1/PPIE/C9orf78/HNRNPD/HNRNPF/FAM50A/SRSF11/PRPF18/PRKRIP1/RBMX/PPIL3/PPIH/POLR2G/DDX41/NSRP1/RBM25/SNRNP40/TRA2B/POLR2A/CDC5L/RBM7/WBP4/DDX42/WBP11/DDX23/SF3B3/SNRNP200/PLRG1/CASC3/SNW1/SDE2/SRSF8/EIF4A3/SNRNP25/ZMAT2/PRPF4/MAGOHB/CWF19L2/DHX9/SNRPA1/RBM17/TCERG1/PCBP1/PPP1R8/PRPF31/PRPF40A/HNRNPL/ACIN1/CTNNBL1/HNRNPH2/SMNDC1/HTATSF1/PTBP1/GTF2F2/DHX16/SYF2/RNPC3/POLR2D/LSM7/PDCD7/CWC25/U2SURP/SRRT/ZMAT5/CWC27/AQR/SF3A1/LUC7L3/U2AF1L4/HNRNPK/UPF3B/GCFC2/PPIL1/SF3A2/USP39/RBMX2/SRSF4/RBM10/SNRNP27/LSM6/CHERP/ZNF830/U2AF2/RBM22/PPIL2/NKAP/HNRNPR/PRPF19/PPWD1/MFAP1/SNRPA/WDR70/PRPF3/SLU7/PHF5A",190,"PC","AKI_vs_Normal"
"R-HSA-72163","mRNA Splicing - Major Pathway","184/4766","205/11230",0.897560975609756,2.11489923543801,13.8331197051855,1.35712645376302e-46,5.64564604765416e-44,3.12853361446422e-44,"SNRPN/SRSF7/SRSF9/SAP18/POLR2L/SRSF3/UBL5/HNRNPA1/SRSF5/LSM3/SNU13/LSM4/SF1/TXNL4A/HSPA8/MAGOH/SNRPB/SNRPG/LSM2/BUD31/RBM8A/POLR2F/DDX5/U2AF1/POLR2E/DNAJC8/CCAR1/RBM5/SRSF2/PRPF38A/HNRNPA2B1/PPIG/SRSF6/HNRNPA3/BCAS2/SNRPF/IK/HNRNPU/DHX15/SNRNP70/POLR2J/SF3B5/MTREX/SNRPD1/GTF2F1/CWC22/PRPF6/POLR2C/RBM39/ALYREF/POLR2H/PRPF8/POLR2B/CRNKL1/NCBP2/SRRM2/POLR2I/YBX1/SNRPE/SNRPD3/HNRNPM/SRSF1/SF3B4/SF3B1/RNPS1/CWC15/PNN/SNRPC/SRSF10/HNRNPH1/SNRPB2/SF3A3/CCDC12/LSM5/PPIL4/PCBP2/XAB2/SF3B2/PUF60/SF3B6/RBM42/LSM8/FUS/CDC40/SNRPD2/LENG1/POLR2K/PRCC/FAM32A/HNRNPC/DDX46/SMU1/SRRM1/PQBP1/PPIE/C9orf78/HNRNPD/HNRNPF/FAM50A/SRSF11/PRPF18/PRKRIP1/RBMX/PPIL3/PPIH/POLR2G/DDX41/NSRP1/RBM25/SNRNP40/TRA2B/POLR2A/CDC5L/RBM7/WBP4/DDX42/WBP11/DDX23/SF3B3/SNRNP200/PLRG1/CASC3/SNW1/SDE2/SRSF8/EIF4A3/ZMAT2/PRPF4/MAGOHB/CWF19L2/DHX9/SNRPA1/RBM17/TCERG1/PCBP1/PPP1R8/PRPF31/PRPF40A/HNRNPL/ACIN1/CTNNBL1/HNRNPH2/SMNDC1/HTATSF1/PTBP1/GTF2F2/DHX16/SYF2/POLR2D/LSM7/CWC25/U2SURP/SRRT/CWC27/AQR/SF3A1/LUC7L3/U2AF1L4/HNRNPK/UPF3B/GCFC2/PPIL1/SF3A2/USP39/RBMX2/SRSF4/RBM10/SNRNP27/LSM6/CHERP/ZNF830/U2AF2/RBM22/PPIL2/NKAP/HNRNPR/PRPF19/PPWD1/MFAP1/SNRPA/WDR70/PRPF3/SLU7/PHF5A",184,"PC","AKI_vs_Normal"
"R-HSA-9948299","Ribosome-associated quality control","139/4766","145/11230",0.958620689655172,2.25877262795375,13.0996692083409,2.64310128321086e-44,8.79624107052573e-42,4.87443520861623e-42,"RPS29/RPL37A/RPS10/RPL23A/RPS14/RPL21/RPL37/RPL10A/RPS27A/RPS3A/RPL9/RPL3/RPL6/RPL27A/RPL41/RPL35/RPS3/RPL22/UBC/RPL30/RPS27/RPS7/RPS4X/RPS6/RPS2/RPS23/RPL34/RPL32/RPL36A/RPL11/RPL26/RPL38/RPS25/RPS24/RPL13/RPL24/RPL14/RPL35A/UBB/RPS9/RPS18/RPL15/RPS15/RPL18/RPL5/RPS28/RPL7A/RPL36/RPS13/RPS4Y1/FAU/PSMA7/RPSA/RPL4/RPL31/PSMB1/RPL36AL/RPLP1/RPL29/RPS11/RPL10/RPL27/RPS26/RPL8/RPL19/ELOB/RPS8/UBA52/PSMA2/PSMC4/PSMB6/RPS12/SEM1/RPL18A/RPL7/PSMD8/PSMB3/RPL12/PSMB5/RPL17/PSMC1/PSMC3/RPS21/RPS15A/RPL39/RPL26L1/RPLP2/RPS17/RBX1/PSMC5/RPL28/RPL23/RPL22L1/ANKZF1/RPL39L/PSMD6/RPS27L/UBE2D2/NEMF/RPS16/PSMB7/PSMA6/ADRM1/RPS5/PSMD7/ASCC3/PSMA1/TCF25/PSMA3/LTN1/PSMB2/RPS20/RPL13A/KLHDC10/RPLP0/RPS19/CUL2/VCP/ELOC/PSMB4/PSMD2/NPLOC4/PSMC2/PSMD11/UFD1/PSMD3/RCHY1/ABCE1/PSMA5/PSMA4/UBE2D3/PELO/HBS1L/PSMD14/PSMD13/PSMD12/UBE2D1/PSMC6/PSMD1",139,"PC","AKI_vs_Normal"
"R-HSA-72187","mRNA 3'-end processing","142/4766","152/11230",0.934210526315789,2.20125560439075,12.8033443596879,2.60663682564754e-41,7.22907279646252e-39,4.00598922678464e-39,"SNRPN/SRSF7/RPS27A/SRSF9/UBC/POLR2L/SRSF3/UBB/HNRNPA1/SRSF5/PPP1CB/MAGOH/UBA52/SNRPB/SNRPG/PAPOLA/RBM8A/POLR2F/DDX5/U2AF1/POLR2E/DNAJC8/CCAR1/RBM5/SRSF2/HNRNPA2B1/PPP1CA/SRSF6/HNRNPA3/SNRPF/HNRNPU/DHX15/SNRNP70/XRN2/POLR2J/SF3B5/SNRPD1/GTF2F1/ZC3H11A/POLR2C/RBM39/ALYREF/POLR2H/PABPN1/POLR2B/NCBP2/SRRM2/POLR2I/YBX1/THOC7/SNRPE/SNRPD3/HNRNPM/SRSF1/SF3B4/SF3B1/RNPS1/CHTOP/THOC2/SNRPC/NUDT21/SRSF10/HNRNPH1/SNRPB2/SF3A3/SARNP/PCBP2/SF3B2/PUF60/SF3B6/FUS/CDC40/SNRPD2/POLR2K/HNRNPC/DDX46/SRRM1/FIP1L1/HNRNPD/HNRNPF/PCF11/SRSF11/RBMX/RBBP6/POLR2G/CPSF6/RBM25/TRA2B/POLR2A/PPP1R10/DDX42/SF3B3/CASC3/SRSF8/EIF4A3/MAGOHB/DHX9/SNRPA1/RBM17/TCERG1/CPSF2/PCBP1/PPP1R8/PRPF40A/WDR33/HNRNPL/CSTF1/HNRNPH2/SMNDC1/HTATSF1/PTBP1/GTF2F2/POLR2D/CPSF1/U2SURP/SRRT/THOC6/PAPOLG/CPSF7/SYMPK/SF3A1/U2AF1L4/CPSF4/FYTTD1/HNRNPK/UPF3B/POLDIP3/SF3A2/SRSF4/RBM10/DDX39A/THOC1/CSTF2T/CHERP/U2AF2/CPSF3/CSTF3/HNRNPR/SNRPA/THOC3/SLU7/PHF5A",142,"PC","AKI_vs_Normal"
"R-HSA-1428517","Aerobic respiration and respiratory electron transport","213/4766","258/11230",0.825581395348837,1.94529565039183,13.1895961792603,6.33032521486776e-41,1.50480873679142e-38,8.33889456875814e-39,"NDUFC1/ATP5ME/NDUFB4/RPS27A/PDK4/COX6C/MT-CYB/UBC/COX8A/COX17/COX7C/COX20/MT-ND3/UQCRH/NDUFA12/NDUFA3/COX7A2L/NDUFS5/NDUFA5/NDUFA7/NDUFS4/UBB/NDUFAB1/UQCR11/COA3/NDUFB1/NDUFA13/ATP5PF/MT-ATP6/COX7B/COX5B/GLO1/ATP5F1D/MT-ND2/NNT/ATP5F1E/CYC1/ATP5PD/NDUFB7/NDUFA2/NDUFAF3/UQCRQ/ATP5F1C/NDUFA11/PET100/HIGD2A/UBA52/PKM/CMC1/ISCU/ATP5MG/NDUFB8/ETFB/MT-ND1/NDUFA1/NDUFB3/NDUFS8/ATP5PO/UQCR10/NDUFB11/UQCRB/NDUFA6/ATP5MC2/MPC1/NDUFB2/MKLN1/WDR26/NDUFAF4/ATP5MF/UQCRFS1/COA5/COX7A1/RAB5IF/MT-CO2/MDH1/MPC2/NDUFV2/MT-CO3/NDUFAF8/NDUFC2/MDH2/ATP5MC3/PDHA1/COX7A2/NDUFS3/GOT1/SDHD/CS/NDUFB9/NDUFV3/SDHAF3/COX5A/COX4I1/LDHB/NDUFB10/COX6B1/NDUFS6/UQCRC2/NDUFS7/IDH2/ISCA2/NDUFB6/GOT2/COX11/MT-ND5/PYURF/NDUFB5/TIMMDC1/TRAP1/SLC25A11/ISCA1/SDHC/HAGH/MT-CO1/ARMC8/ATP5MC1/TMEM126A/TMEM126B/SDHB/SURF1/NDUFS1/NDUFV1/DLST/IDH3G/NDUFA8/PET117/SDHAF2/UQCC2/MT-ND4/HIGD1A/ME2/SUCLG1/SDHAF1/OGDH/SUCLG2/PDHB/ACAD9/DMAC1/MT-ND6/COX15/ATP5PB/TMEM177/RANBP9/MT-ATP8/UQCC1/NDUFA10/PDP1/PDK2/NDUFA9/D2HGDH/SDHA/UQCC3/COQ10B/ETFA/IDH3B/COX14/SMIM20/FH/COX6A1/SDHAF4/PNKD/TMEM223/NDUFAF2/FAHD1/ME3/NDUFS2/UCP2/SLC25A12/DLD/HSCB/COA1/NFS1/LYRM7/OXA1L/ACAT1/SFXN4/RMND5A/NDUFAF6/HSPA9/VDAC1/COX19/COQ10A/SIRT3/LDHA/ATP5F1B/SLC25A13/COX16/ATP5F1A/MAEA/TTC19/FXN/LYRM2/TMEM186/LETM1/SCO1/GSTZ1/UQCRC1/IDH3A/RMND5B/ACO2/SUCLA2/TACO1/GID8/NDUFAF5/DMAC2/BCS1L/HCCS/NEK1/DLAT/ETFDH/PDHX/NDUFAF1/LYRM4",213,"PC","AKI_vs_Normal"
"R-HSA-9770562","mRNA Polyadenylation","121/4766","127/11230",0.952755905511811,2.24495359187949,12.11523211438,7.81216804094782e-38,1.62493095251715e-35,9.00455158403986e-36,"SNRPN/SRSF7/RPS27A/SRSF9/UBC/POLR2L/SRSF3/UBB/HNRNPA1/SRSF5/PPP1CB/UBA52/SNRPB/SNRPG/PAPOLA/POLR2F/DDX5/U2AF1/POLR2E/DNAJC8/CCAR1/RBM5/SRSF2/HNRNPA2B1/PPP1CA/SRSF6/HNRNPA3/SNRPF/HNRNPU/DHX15/SNRNP70/XRN2/POLR2J/SF3B5/SNRPD1/GTF2F1/POLR2C/RBM39/POLR2H/PABPN1/POLR2B/NCBP2/SRRM2/POLR2I/YBX1/SNRPE/SNRPD3/HNRNPM/SRSF1/SF3B4/SF3B1/SNRPC/NUDT21/SRSF10/HNRNPH1/SNRPB2/SF3A3/PCBP2/SF3B2/PUF60/SF3B6/FUS/CDC40/SNRPD2/POLR2K/HNRNPC/DDX46/FIP1L1/HNRNPD/HNRNPF/PCF11/SRSF11/RBMX/RBBP6/POLR2G/CPSF6/RBM25/TRA2B/POLR2A/PPP1R10/DDX42/SF3B3/SRSF8/DHX9/SNRPA1/RBM17/TCERG1/CPSF2/PCBP1/PPP1R8/PRPF40A/WDR33/HNRNPL/CSTF1/HNRNPH2/SMNDC1/HTATSF1/PTBP1/GTF2F2/POLR2D/CPSF1/U2SURP/SRRT/PAPOLG/CPSF7/SYMPK/SF3A1/U2AF1L4/CPSF4/HNRNPK/SF3A2/SRSF4/RBM10/CSTF2T/CHERP/U2AF2/CPSF3/CSTF3/HNRNPR/SNRPA/PHF5A",121,"PC","AKI_vs_Normal"
"R-HSA-72613","Eukaryotic Translation Initiation","115/4766","120/11230",0.958333333333333,2.25809553783746,11.8971818971991,9.17493498098131e-37,1.52670918083529e-34,8.46025583509435e-35,"RPS29/RPL37A/RPS10/RPL23A/RPS14/RPL21/RPL37/RPL10A/RPS27A/RPS3A/RPL9/RPL3/RPL6/RPL27A/RPL41/RPL35/RPS3/RPL22/RPL30/RPS27/RPS7/RPS4X/RPS6/RPS2/RPS23/RPL34/RPL32/RPL36A/RPL11/RPL26/RPL38/RPS25/RPS24/RPL13/RPL24/RPL14/EIF4A1/RPL35A/EIF4H/RPS9/RPS18/RPL15/RPS15/RPL18/RPL5/RPS28/RPL7A/RPL36/RPS13/RPS4Y1/FAU/RPSA/RPL4/RPL31/RPL36AL/RPLP1/RPL29/RPS11/RPL10/RPL27/RPS26/RPL8/RPL19/RPS8/UBA52/EIF3L/RPS12/RPL18A/RPL7/EIF3K/EIF3G/EIF1AX/RPL12/RPL17/RPS21/RPS15A/EIF2S3/RPL39/RPL26L1/RPLP2/RPS17/EIF3A/EIF3I/RPL28/RPL23/EIF3J/RPL22L1/RPL39L/RPS27L/EIF3M/RPS16/EIF2S2/RPS5/EIF2S1/EIF3E/RPS20/RPL13A/EIF3F/EIF5B/EIF4G1/RPLP0/RPS19/PABPC1/EIF3D/EIF5/EIF3H/EIF2B4/EIF3B/EIF2B1/EIF4B/EIF2B2/EIF4A2/EIF4E/EIF2B5/EIF4EBP1",115,"PC","AKI_vs_Normal"
"R-HSA-72737","Cap-dependent Translation Initiation","115/4766","120/11230",0.958333333333333,2.25809553783746,11.8971818971991,9.17493498098131e-37,1.52670918083529e-34,8.46025583509435e-35,"RPS29/RPL37A/RPS10/RPL23A/RPS14/RPL21/RPL37/RPL10A/RPS27A/RPS3A/RPL9/RPL3/RPL6/RPL27A/RPL41/RPL35/RPS3/RPL22/RPL30/RPS27/RPS7/RPS4X/RPS6/RPS2/RPS23/RPL34/RPL32/RPL36A/RPL11/RPL26/RPL38/RPS25/RPS24/RPL13/RPL24/RPL14/EIF4A1/RPL35A/EIF4H/RPS9/RPS18/RPL15/RPS15/RPL18/RPL5/RPS28/RPL7A/RPL36/RPS13/RPS4Y1/FAU/RPSA/RPL4/RPL31/RPL36AL/RPLP1/RPL29/RPS11/RPL10/RPL27/RPS26/RPL8/RPL19/RPS8/UBA52/EIF3L/RPS12/RPL18A/RPL7/EIF3K/EIF3G/EIF1AX/RPL12/RPL17/RPS21/RPS15A/EIF2S3/RPL39/RPL26L1/RPLP2/RPS17/EIF3A/EIF3I/RPL28/RPL23/EIF3J/RPL22L1/RPL39L/RPS27L/EIF3M/RPS16/EIF2S2/RPS5/EIF2S1/EIF3E/RPS20/RPL13A/EIF3F/EIF5B/EIF4G1/RPLP0/RPS19/PABPC1/EIF3D/EIF5/EIF3H/EIF2B4/EIF3B/EIF2B1/EIF4B/EIF2B2/EIF4A2/EIF4E/EIF2B5/EIF4EBP1",115,"PC","AKI_vs_Normal"
"R-HSA-168255","Influenza Infection","141/4766","157/11230",0.898089171974522,2.11614381059041,12.0930045860338,5.54868059872181e-36,8.39364046933917e-34,4.6513341669668e-34,"HSPA1A/RPS29/RPL37A/HSPA1B/RPS10/RPL23A/RPS14/RPL21/RPL37/RPL10A/RPS27A/RPS3A/RPL9/RPL3/RPL6/RPL27A/RPL41/RPL35/RPS3/RPL22/RPL30/RPS27/RAN/RPS7/RPS4X/CANX/RPS6/RPS2/RPS23/RPL34/RPL32/RANBP2/RPL36A/RPL11/RPL26/POLR2L/RPL38/RPS25/RPS24/RPL13/RPL24/RPL14/RPL35A/RPS9/RPS18/RPL15/RPS15/RPL18/RPL5/RPS28/XPO1/RPL7A/RPL36/RPS13/RPS4Y1/FAU/RPSA/RPL4/RPL31/RPL36AL/RPLP1/RPL29/RPS11/RPL10/RPL27/RPS26/CLTC/RPL8/RPL19/RPS8/UBA52/RPS12/RPL18A/RPL7/POLR2F/RPL12/GRSF1/POLR2E/RPL17/HSP90AA1/RPS21/RPS15A/TGFB1/RPL39/RPL26L1/RPLP2/DNAJC3/RPS17/RPL28/RPL23/NUP214/CALR/CLTA/ISG15/RPL22L1/POLR2J/NUP160/GTF2F1/RPL39L/POLR2C/RPS27L/POLR2H/PABPN1/EIF2AK2/POLR2B/KPNA1/POLR2I/RPS16/IPO5/RPS5/NUP133/NUP35/NUP50/RPS20/RPL13A/PARP1/POLR2K/RPLP0/KPNA4/RPS19/POM121/POLR2G/POLR2A/NUP155/KPNA2/TPR/KPNA3/NUP98/GTF2F2/NUP153/POLR2D/NUP43/SEC13/CPSF4/NUP58/AAAS/RAE1/NUP54/KPNB1/NUP37/NUP88",141,"PC","AKI_vs_Normal"
"R-HSA-1799339","SRP-dependent cotranslational protein targeting to membrane","109/4766","113/11230",0.964601769911504,2.27286568948934,11.6768280526727,9.83576804867317e-36,1.25897831023017e-33,6.97662575760138e-34,"RPS29/RPL37A/RPS10/RPL23A/RPS14/RPL21/RPL37/RPL10A/RPS27A/RPS3A/RPL9/RPL3/RPL6/RPL27A/RPL41/RPL35/RPS3/SRP14/RPL22/RPL30/RPS27/RPS7/RPS4X/RPS6/RPS2/RPS23/RPL34/RPL32/RPL36A/RPL11/RPL26/RPL38/RPS25/RPS24/TRAM1/RPL13/RPL24/RPL14/RPL35A/RPS9/RPS18/RPL15/RPS15/SEC61B/RPL18/RPL5/RPS28/RPL7A/RPL36/RPS13/RPS4Y1/FAU/RPSA/RPL4/RPL31/RPL36AL/RPLP1/RPL29/RPS11/RPL10/RPL27/RPS26/RPL8/RPL19/RPS8/UBA52/RPS12/RPL18A/RPL7/RPL12/SPCS3/RPL17/RPS21/SEC61A1/RPS15A/RPL39/RPL26L1/SEC11C/RPLP2/RPS17/RPL28/RPL23/RPL22L1/RPL39L/RPS27L/SEC61G/RPS16/RPS5/SPCS1/SRP19/SEC11A/SRP9/SRPRA/RPS20/SSR2/SSR1/RPL13A/RPLP0/RPS19/SRP72/SSR3/SRP54/RPN2/SRPRB/SSR4/SRP68/DDOST/SPCS2/RPN1",109,"PC","AKI_vs_Normal"
"R-HSA-72706","GTP hydrolysis and joining of the 60S ribosomal subunit","109/4766","113/11230",0.964601769911504,2.27286568948934,11.6768280526727,9.83576804867317e-36,1.25897831023017e-33,6.97662575760138e-34,"RPS29/RPL37A/RPS10/RPL23A/RPS14/RPL21/RPL37/RPL10A/RPS27A/RPS3A/RPL9/RPL3/RPL6/RPL27A/RPL41/RPL35/RPS3/RPL22/RPL30/RPS27/RPS7/RPS4X/RPS6/RPS2/RPS23/RPL34/RPL32/RPL36A/RPL11/RPL26/RPL38/RPS25/RPS24/RPL13/RPL24/RPL14/EIF4A1/RPL35A/EIF4H/RPS9/RPS18/RPL15/RPS15/RPL18/RPL5/RPS28/RPL7A/RPL36/RPS13/RPS4Y1/FAU/RPSA/RPL4/RPL31/RPL36AL/RPLP1/RPL29/RPS11/RPL10/RPL27/RPS26/RPL8/RPL19/RPS8/UBA52/EIF3L/RPS12/RPL18A/RPL7/EIF3K/EIF3G/EIF1AX/RPL12/RPL17/RPS21/RPS15A/EIF2S3/RPL39/RPL26L1/RPLP2/RPS17/EIF3A/EIF3I/RPL28/RPL23/EIF3J/RPL22L1/RPL39L/RPS27L/EIF3M/RPS16/EIF2S2/RPS5/EIF2S1/EIF3E/RPS20/RPL13A/EIF3F/EIF5B/EIF4G1/RPLP0/RPS19/EIF3D/EIF5/EIF3H/EIF3B/EIF4B/EIF4A2/EIF4E",109,"PC","AKI_vs_Normal"
