"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","CellType","Condition"
"R-HSA-72766","Translation","316/4646","368/11230",0.858695652173913,2.07558161298171,17.622909542826,3.41930688075521e-72,5.68972664957668e-69,3.05937984067572e-69,"UBC/RPS4Y1/RPL37A/RPS29/MT-CYB/RPL27A/MT-ND1/EEF1A1/RPL38/RPL37/RPL36A/MT-ND3/RPL13A/RPL23/RPL6/EEF2/RPL34/RPL4/RPS17/RPL17/PABPC1/MT-ND2/RPS23/RPS4X/RPL5/SSR4/RPL22/RPL23A/SEC61B/RPS11/RPS6/UBB/EIF4H/RPS24/RPS14/RPS20/TRMT112/RPL26/RPL36/RPL9/EIF1AX/FAU/RPS25/MT-ATP6/RPL18/RPS28/RPL31/RPL15/RPS9/RPL10/MRPL19/RPL30/RPL24/PSMB4/RPL3/RPL14/RPL10A/RPS16/EIF3L/RPS2/SRP14/RPL35A/RPS27/SPCS2/ELOB/RPLP2/RPL13/RPL19/RPS18/RPS21/RPL32/MRPL55/TRAM1/MTIF3/RPL35/RPLP1/MT-ATP8/MRPL12/RPL41/EIF4EBP1/SSR1/RPS10/EIF3J/MT-CO2/RPS3/MRPS6/RPL21/MRPS28/GFM2/RPL36AL/RPS13/RPL11/MRPS26/PSMA4/RPL28/MRPS16/RPL29/SSR3/MRPS25/RPS3A/RPL27/PSMB6/RPS8/PSMA2/MT-ND4L/EIF3I/MRPS11/IARS2/UBA52/EIF4A1/EIF2B2/EEF1E1/RPS15/MRPL17/MRPL20/RPL12/SPCS3/MRPL4/MRRF/ASCC3/SEM1/MRPS7/MRPL28/RPS27A/RPL39/OXA1L/PSMA1/MRPS31/RPSA/MRPS12/PSMD13/MT-ND4/MRPS17/MRPL21/MT-ND6/MRPS34/PSMB5/RPL7/MRPL34/EIF3K/MRPL41/RPS26/EIF3H/MRPL49/ELOC/MRPS33/CARS2/SEC11C/RPL7A/RPN2/SEC61A1/MALSU1/RPS12/PSMB1/ABCE1/NDUFAB1/MRPS27/SEC11A/RPL26L1/PSMD7/PTCD3/MRPL43/MRPL33/GADD45GIP1/SRP54/EIF3A/APEH/MRPS30/TUFM/SSR2/PPA2/AURKAIP1/EIF5/MRPL54/MRPL18/MRPL15/RPS27L/RPS19/SRP72/RPS7/CHCHD1/NEMF/PSMC4/MRPL30/MRPL27/MRPL51/MRPL50/PSMC5/RCHY1/RPS15A/PSMC3/RPL18A/MT-ND5/RPN1/FARSB/MT-CO3/EIF3E/PSMC6/MRPL16/EIF4A2/EIF4B/RPS5/MRPL24/PSMC1/HBS1L/SRP9/PSMD1/MRPS9/EIF3M/MRPS18B/MRPL53/SPCS1/PPA1/EIF3F/MRPL46/EIF5B/SRPRB/PSMB3/MRPL52/RPLP0/EIF3B/ETF1/MRPS18C/MRPS10/EIF4G1/UBE2D1/TSFM/MRPL2/CUL2/MT-CO1/ASCC2/MRPL37/PSMB7/MRPL40/EEF1D/MRPL42/AIMP1/FARSA/GSPT1/GFM1/ANKZF1/EIF2S1/TCF25/EEF1B2/MTIF2/MRPL13/PSMA7/MRPL14/MRPL11/MRPL36/PSMC2/EIF2S2/EIF3D/RBX1/MRPS15/EIF2S3/SRP19/PSMA3/PSMD11/RPL8/PSMD12/MRPS35/UFD1/DDOST/ERAL1/LARS2/SRPRA/PSMB2/MRPL47/LTN1/MRPL57/KLHDC10/UBE2D2/MRPL44/MRPS5/ADRM1/PSMD8/PSMD2/MRPL3/WARS2/MTRF1L/MRPL22/MRPL9/SRP68/EIF2B4/SEC61G/MRPL10/EIF3G/PSMD14/PSMD6/EIF2B5/MRPS18A/MIEF1/MRPL58/VCP/PSMD3/MRPS14/NPLOC4/EIF4E/AIMP2/RPL22L1/MRPS2/MRPL48/EIF2B1/MRPL39/MRPL23/MRPS23/MRPL32/DAP3/MRPS21/UBE2D3/MRPL1/FARS2/MRPL35/PSMA5/MRPS22",316,"C_TAL","AKI_vs_Normal"
"R-HSA-72203","Processing of Capped Intron-Containing Pre-mRNA","250/4646","294/11230",0.850340136054422,2.05538521908979,15.4035440352192,2.46327484428865e-55,2.04944467044816e-52,1.10199137770808e-52,"UBC/HSPA8/PPP1R10/UBB/UBL5/SAP18/SRSF5/FUS/HNRNPA1/SYF2/HNRNPM/SF3B6/HNRNPU/SNRPN/ZC3H11A/SNRPF/POLR2L/PCF11/DDX5/SRSF10/SRSF9/CPSF2/HNRNPA3/WBP4/SNRNP25/UBA52/LUC7L3/ZMAT2/ZNF830/NUP88/SNRPA1/NSRP1/SRSF4/DHX9/SNU13/SNRPB/PPP1CB/HNRNPA2B1/HNRNPK/PRPF6/POLR2F/SNRNP70/POLR2K/SF3B1/SART1/SRSF2/RPS27A/RBM39/U2AF1L4/PCBP2/LSM2/NUDT21/SEC13/PNN/ZCRB1/LSM3/SLBP/HTATSF1/U2AF1/PPIH/SRSF1/HNRNPH1/SRSF8/CWF19L2/WBP11/RBBP6/SRRM2/DDX42/SRSF3/PTBP1/SMNDC1/PRPF8/SRSF7/POLR2H/TRA2B/DNAJC8/IK/RBM42/THOC2/THOC7/SNRNP200/FYTTD1/POLR2C/SNRNP40/GTF2F1/SRRM1/RBM8A/HNRNPR/SF3B4/U2AF2/ZMAT5/PRPF31/RBM25/FIP1L1/SNRPD3/PRPF4/MAGOH/SF1/SNRPC/SF3B2/POLDIP3/NUP153/SUGP1/TFIP11/HNRNPL/SDE2/POM121/LSM7/RBM5/LSM6/U2SURP/WTAP/PPP1CA/NXT1/SNRPE/PUF60/LSM5/METTL3/SNRPA/POLR2B/NKAP/PAPOLA/POLR2J/CWC25/NUP54/SLU7/CDC5L/RANBP2/CWC15/FAM32A/METTL14/ACIN1/SNRPD1/HNRNPH2/CTNNBL1/MFAP1/NXF1/FAM50A/SF3B3/POLR2I/TPR/BUD31/CDC40/LSM8/NCBP1/WDR33/SNW1/HNRNPF/PRPF40A/CPSF6/PCBP1/TCERG1/SF3A3/RBM22/AAAS/MAGOHB/SRSF11/RBMX/DHX8/C9orf78/SMU1/SYMPK/PHF5A/NUP98/PLRG1/SNRPG/SF3B5/YBX1/MTREX/DDX46/POLR2E/NUP37/RNPS1/ALYREF/THOC1/AQR/DHX15/PABPN1/CSTF2T/PRCC/CRNKL1/NUP62/PPIL2/CCAR1/NUP155/PPIG/DDX39A/TXNL4A/NUP50/SF3A1/NCBP2/SNRNP27/EIF4A3/NUP133/DDX23/RNPC3/RAE1/SF3A2/CCDC12/CSTF3/SRRT/BCAS2/CWC22/HNRNPD/CHTOP/CWC27/SNRPB2/POLR2A/PPIE/DHX38/NUP58/CPSF1/XRN2/PDCD7/PPWD1/HNRNPC/SRSF6/PRPF19/RBM7/LENG1/PPIL4/PRPF38A/CHERP/USP39/PRKRIP1/CPSF7/PQBP1/LSM4/EIF4E/CASC3/PRPF18/EFTUD2/WDR70/SNIP1/RBM17/XAB2/NUP160/POLR2G/PPIL3/DDX41/SNRPD2/GCFC2/UPF3B/RBM10/GTF2F2/RBMX2/SNRNP35/SNRNP48/NUP214/PPP1R8",250,"C_TAL","AKI_vs_Normal"
"R-HSA-72172","mRNA Splicing","195/4646","213/11230",0.915492957746479,2.2128682555947,15.0119458421525,9.3127960165276e-55,5.16549752383397e-52,2.77750056633279e-52,"HSPA8/UBL5/SAP18/SRSF5/FUS/HNRNPA1/SYF2/HNRNPM/SF3B6/HNRNPU/SNRPN/SNRPF/POLR2L/DDX5/SRSF10/SRSF9/HNRNPA3/WBP4/SNRNP25/LUC7L3/ZMAT2/ZNF830/SNRPA1/NSRP1/SRSF4/DHX9/SNU13/SNRPB/HNRNPA2B1/HNRNPK/PRPF6/POLR2F/SNRNP70/POLR2K/SF3B1/SART1/SRSF2/RBM39/U2AF1L4/PCBP2/LSM2/PNN/ZCRB1/LSM3/HTATSF1/U2AF1/PPIH/SRSF1/HNRNPH1/SRSF8/CWF19L2/WBP11/SRRM2/DDX42/SRSF3/PTBP1/SMNDC1/PRPF8/SRSF7/POLR2H/TRA2B/DNAJC8/IK/RBM42/SNRNP200/POLR2C/SNRNP40/GTF2F1/SRRM1/RBM8A/HNRNPR/SF3B4/U2AF2/ZMAT5/PRPF31/RBM25/SNRPD3/PRPF4/MAGOH/SF1/SNRPC/SF3B2/SUGP1/TFIP11/HNRNPL/SDE2/LSM7/RBM5/LSM6/U2SURP/SNRPE/PUF60/LSM5/SNRPA/POLR2B/NKAP/POLR2J/CWC25/SLU7/CDC5L/CWC15/FAM32A/ACIN1/SNRPD1/HNRNPH2/CTNNBL1/MFAP1/FAM50A/SF3B3/POLR2I/BUD31/CDC40/LSM8/NCBP1/SNW1/HNRNPF/PRPF40A/PCBP1/TCERG1/SF3A3/RBM22/MAGOHB/SRSF11/RBMX/DHX8/C9orf78/SMU1/PHF5A/PLRG1/SNRPG/SF3B5/YBX1/MTREX/DDX46/POLR2E/RNPS1/ALYREF/AQR/DHX15/PRCC/CRNKL1/PPIL2/CCAR1/PPIG/TXNL4A/SF3A1/NCBP2/SNRNP27/EIF4A3/DDX23/RNPC3/SF3A2/CCDC12/SRRT/BCAS2/CWC22/HNRNPD/CWC27/SNRPB2/POLR2A/PPIE/DHX38/PDCD7/PPWD1/HNRNPC/SRSF6/PRPF19/RBM7/LENG1/PPIL4/PRPF38A/CHERP/USP39/PRKRIP1/PQBP1/LSM4/CASC3/PRPF18/EFTUD2/WDR70/SNIP1/RBM17/XAB2/POLR2G/PPIL3/DDX41/SNRPD2/GCFC2/UPF3B/RBM10/GTF2F2/RBMX2/SNRNP35/SNRNP48/PPP1R8",195,"C_TAL","AKI_vs_Normal"
"R-HSA-72163","mRNA Splicing - Major Pathway","188/4646","205/11230",0.917073170731707,2.21668784057621,14.768351887418,4.1314499552526e-53,1.71868318138508e-50,9.2414012156966e-51,"HSPA8/UBL5/SAP18/SRSF5/FUS/HNRNPA1/SYF2/HNRNPM/SF3B6/HNRNPU/SNRPN/SNRPF/POLR2L/DDX5/SRSF10/SRSF9/HNRNPA3/WBP4/LUC7L3/ZMAT2/ZNF830/SNRPA1/NSRP1/SRSF4/DHX9/SNU13/SNRPB/HNRNPA2B1/HNRNPK/PRPF6/POLR2F/SNRNP70/POLR2K/SF3B1/SART1/SRSF2/RBM39/U2AF1L4/PCBP2/LSM2/PNN/LSM3/HTATSF1/U2AF1/PPIH/SRSF1/HNRNPH1/SRSF8/CWF19L2/WBP11/SRRM2/DDX42/SRSF3/PTBP1/SMNDC1/PRPF8/SRSF7/POLR2H/TRA2B/DNAJC8/IK/RBM42/SNRNP200/POLR2C/SNRNP40/GTF2F1/SRRM1/RBM8A/HNRNPR/SF3B4/U2AF2/PRPF31/RBM25/SNRPD3/PRPF4/MAGOH/SF1/SNRPC/SF3B2/SUGP1/TFIP11/HNRNPL/SDE2/LSM7/RBM5/LSM6/U2SURP/SNRPE/PUF60/LSM5/SNRPA/POLR2B/NKAP/POLR2J/CWC25/SLU7/CDC5L/CWC15/FAM32A/ACIN1/SNRPD1/HNRNPH2/CTNNBL1/MFAP1/FAM50A/SF3B3/POLR2I/BUD31/CDC40/LSM8/NCBP1/SNW1/HNRNPF/PRPF40A/PCBP1/TCERG1/SF3A3/RBM22/MAGOHB/SRSF11/RBMX/DHX8/C9orf78/SMU1/PHF5A/PLRG1/SNRPG/SF3B5/YBX1/MTREX/DDX46/POLR2E/RNPS1/ALYREF/AQR/DHX15/PRCC/CRNKL1/PPIL2/CCAR1/PPIG/TXNL4A/SF3A1/NCBP2/SNRNP27/EIF4A3/DDX23/SF3A2/CCDC12/SRRT/BCAS2/CWC22/HNRNPD/CWC27/SNRPB2/POLR2A/PPIE/DHX38/PPWD1/HNRNPC/SRSF6/PRPF19/RBM7/LENG1/PPIL4/PRPF38A/CHERP/USP39/PRKRIP1/PQBP1/LSM4/CASC3/PRPF18/EFTUD2/WDR70/SNIP1/RBM17/XAB2/POLR2G/PPIL3/DDX41/SNRPD2/GCFC2/UPF3B/RBM10/GTF2F2/RBMX2/PPP1R8",188,"C_TAL","AKI_vs_Normal"
"R-HSA-1428517","Aerobic respiration and respiratory electron transport","218/4646","258/11230",0.844961240310077,2.04238371258764,14.2285224320055,2.41846795474941e-47,8.04866135340605e-45,4.32778476113053e-45,"PDK4/UBC/MT-CYB/MT-ND1/LDHA/MT-ND3/ATP5ME/NDUFA7/HIGD1A/MT-ND2/UBB/UQCRFS1/NDUFB1/NDUFC1/COX7C/NDUFC2/MT-ATP6/NDUFB5/MPC1/NDUFA2/COX6C/ATP5MC3/ATP5PD/IDH2/NDUFA6/COX6A1/NDUFA3/UQCR11/MT-ATP8/ATP5MF/GOT1/CS/COX5A/DLD/ATP5F1A/ATP5F1B/MT-CO2/NDUFS7/ATP5PB/TMEM126A/ATP5F1E/MPC2/ATP5F1D/NDUFV2/SLC25A12/NDUFS8/SCO1/COX20/SLC25A11/PET100/GOT2/NDUFA9/IDH3A/NDUFA1/NDUFS2/NDUFB10/COX7A2/NDUFB2/UQCC1/UBA52/NNT/UQCC2/CMC1/ATP5MC2/UQCRC2/MDH1/SURF1/NDUFA13/IDH3G/DLAT/NDUFB8/ATP5F1C/RPS27A/COA1/ATP5MG/TIMMDC1/COX8A/LYRM2/ETFDH/OXA1L/D2HGDH/MT-ND4/NDUFS4/COA3/MT-ND6/NDUFS5/NDUFA8/SMIM20/NDUFAF4/NDUFA5/FH/PKM/ATP5MC1/SUCLG1/ATP5PO/NDUFAB1/ACAT1/NDUFAF7/GLO1/NDUFS6/PGAM5/SDHAF4/MKLN1/NDUFB4/COX17/SDHD/ATP5PF/TMEM126B/OGDH/MDH2/SFXN4/UQCR10/NDUFA11/HSCB/NDUFAF3/COX16/COX7B/SUCLA2/LDHB/WDR26/DMAC2/PYURF/ME2/NEK1/BCS1L/MT-ND5/UQCC3/MT-CO3/PDHA1/SDHAF1/RANBP9/ISCU/TACO1/NDUFS3/SLC25A13/NDUFA10/TMEM177/COX11/COX19/HIGD2A/COQ10B/MAEA/COX14/NDUFB9/NDUFB11/ME3/VDAC1/NDUFV1/COX7A2L/LYRM4/UQCRC1/ETFA/FAHD1/COX5B/PDP2/NDUFB3/RMND5B/COX4I1/ARMC8/PDK2/CYC1/SIRT3/NDUFB6/HAGH/SDHA/MT-CO1/COX7A1/ADHFE1/NDUFAF2/RMND5A/LYRM7/PDPR/LETM1/ETFB/ACO2/HSPA9/NDUFAF8/PNKD/ACAD9/NDUFA12/PDHB/SUCLG2/COX15/COX6B1/UQCRH/GID8/IDH3B/HCCS/NDUFAF5/RAB5IF/NDUFV3/TMEM223/TRAP1/DMAC1/PDHX/TIMM21/FOXRED1/UQCRB/NDUFS1/UQCRQ/ISCA2/COA5/SDHC/ISCA1/NFS1/PET117/TTC19/FXN/DLST/SDHAF2/SDHB/NUBPL/NDUFB7/COQ10A/GSTZ1/SDHAF3/NDUFAF6/NDUFAF1",218,"C_TAL","AKI_vs_Normal"
"R-HSA-9948299","Ribosome-associated quality control","137/4646","145/11230",0.944827586206897,2.28377395460685,13.06983019929,5.9490321687382e-43,1.64986492146339e-40,8.87136376039907e-41,"UBC/RPS4Y1/RPL37A/RPS29/RPL27A/RPL38/RPL37/RPL36A/RPL13A/RPL23/RPL6/RPL34/RPL4/RPS17/RPL17/RPS23/RPS4X/RPL5/RPL22/RPL23A/RPS11/RPS6/UBB/RPS24/RPS14/RPS20/RPL26/RPL36/RPL9/FAU/RPS25/RPL18/RPS28/RPL31/RPL15/RPS9/RPL10/RPL30/RPL24/PSMB4/RPL3/RPL14/RPL10A/RPS16/RPS2/RPL35A/RPS27/ELOB/RPLP2/RPL13/RPL19/RPS18/RPS21/RPL32/RPL35/RPLP1/RPL41/RPS10/RPS3/RPL21/RPL36AL/RPS13/RPL11/PSMA4/RPL28/RPL29/RPS3A/RPL27/PSMB6/RPS8/PSMA2/UBA52/RPS15/RPL12/ASCC3/SEM1/RPS27A/RPL39/PSMA1/RPSA/PSMD13/PSMB5/RPL7/RPS26/ELOC/RPL7A/RPS12/PSMB1/ABCE1/RPL26L1/PSMD7/RPS27L/RPS19/RPS7/NEMF/PSMC4/PSMC5/RCHY1/RPS15A/PSMC3/RPL18A/PSMC6/RPS5/PSMC1/HBS1L/PSMD1/PSMB3/RPLP0/UBE2D1/CUL2/ASCC2/PSMB7/ANKZF1/TCF25/PSMA7/PSMC2/RBX1/PSMA3/PSMD11/RPL8/PSMD12/UFD1/PSMB2/LTN1/KLHDC10/UBE2D2/ADRM1/PSMD8/PSMD2/PSMD14/PSMD6/VCP/PSMD3/NPLOC4/RPL22L1/UBE2D3/PSMA5",137,"C_TAL","AKI_vs_Normal"
"R-HSA-611105","Respiratory electron transport","143/4646","157/11230",0.910828025477707,2.20159249378275,12.7361925271399,1.05955266124477e-39,2.51870804044472e-37,1.35431543166625e-37,"MT-CYB/MT-ND1/MT-ND3/NDUFA7/HIGD1A/MT-ND2/UQCRFS1/NDUFB1/NDUFC1/COX7C/NDUFC2/NDUFB5/NDUFA2/COX6C/NDUFA6/COX6A1/NDUFA3/UQCR11/GOT1/COX5A/MT-CO2/NDUFS7/TMEM126A/NDUFV2/SLC25A12/NDUFS8/SCO1/COX20/SLC25A11/PET100/GOT2/NDUFA9/NDUFA1/NDUFS2/NDUFB10/COX7A2/NDUFB2/UQCC1/UQCC2/CMC1/UQCRC2/MDH1/SURF1/NDUFA13/NDUFB8/COA1/TIMMDC1/COX8A/LYRM2/ETFDH/OXA1L/MT-ND4/NDUFS4/COA3/MT-ND6/NDUFS5/NDUFA8/SMIM20/NDUFAF4/NDUFA5/NDUFAB1/NDUFAF7/NDUFS6/NDUFB4/COX17/SDHD/TMEM126B/MDH2/SFXN4/UQCR10/NDUFA11/HSCB/NDUFAF3/COX16/COX7B/DMAC2/PYURF/BCS1L/MT-ND5/UQCC3/MT-CO3/ISCU/TACO1/NDUFS3/SLC25A13/NDUFA10/TMEM177/COX11/COX19/HIGD2A/COQ10B/COX14/NDUFB9/NDUFB11/NDUFV1/COX7A2L/LYRM4/UQCRC1/ETFA/COX5B/NDUFB3/COX4I1/CYC1/NDUFB6/SDHA/MT-CO1/COX7A1/NDUFAF2/LYRM7/LETM1/ETFB/HSPA9/NDUFAF8/PNKD/ACAD9/NDUFA12/COX15/COX6B1/UQCRH/HCCS/NDUFAF5/RAB5IF/NDUFV3/TMEM223/TRAP1/DMAC1/TIMM21/FOXRED1/UQCRB/NDUFS1/UQCRQ/COA5/SDHC/NFS1/PET117/TTC19/FXN/SDHB/NUBPL/NDUFB7/COQ10A/NDUFAF6/NDUFAF1",143,"C_TAL","AKI_vs_Normal"
"R-HSA-72187","mRNA 3'-end processing","137/4646","152/11230",0.901315789473684,2.17860015406575,12.2891781394166,8.00689292878175e-37,1.6654337291866e-34,8.95507761771643e-35,"UBC/PPP1R10/UBB/SRSF5/FUS/HNRNPA1/HNRNPM/SF3B6/HNRNPU/SNRPN/ZC3H11A/SNRPF/POLR2L/PCF11/DDX5/SRSF10/SRSF9/CPSF2/HNRNPA3/UBA52/SNRPA1/SRSF4/DHX9/SNRPB/PPP1CB/HNRNPA2B1/HNRNPK/POLR2F/SNRNP70/POLR2K/SF3B1/SRSF2/RPS27A/RBM39/U2AF1L4/PCBP2/NUDT21/HTATSF1/U2AF1/SRSF1/HNRNPH1/SRSF8/RBBP6/SRRM2/DDX42/SRSF3/PTBP1/SMNDC1/SRSF7/POLR2H/TRA2B/DNAJC8/THOC2/THOC7/FYTTD1/POLR2C/GTF2F1/SRRM1/RBM8A/HNRNPR/SF3B4/U2AF2/RBM25/FIP1L1/SNRPD3/MAGOH/SNRPC/SF3B2/POLDIP3/SUGP1/HNRNPL/RBM5/U2SURP/PPP1CA/SNRPE/PUF60/SNRPA/POLR2B/PAPOLA/POLR2J/SLU7/SNRPD1/HNRNPH2/SF3B3/POLR2I/CDC40/NCBP1/WDR33/HNRNPF/PRPF40A/CPSF6/PCBP1/TCERG1/SF3A3/MAGOHB/SRSF11/RBMX/SYMPK/PHF5A/SNRPG/SF3B5/YBX1/DDX46/POLR2E/RNPS1/ALYREF/THOC1/DHX15/PABPN1/CSTF2T/CCAR1/DDX39A/SF3A1/NCBP2/EIF4A3/SF3A2/CSTF3/SRRT/HNRNPD/CHTOP/SNRPB2/POLR2A/DHX38/CPSF1/XRN2/HNRNPC/SRSF6/CHERP/CPSF7/CASC3/RBM17/POLR2G/SNRPD2/UPF3B/RBM10/GTF2F2/PPP1R8",137,"C_TAL","AKI_vs_Normal"
"R-HSA-72613","Eukaryotic Translation Initiation","114/4646","120/11230",0.95,2.29627636676711,11.9921328026083,1.44503392457596e-36,2.40453645049439e-34,1.29292509041007e-34,"RPS4Y1/RPL37A/RPS29/RPL27A/RPL38/RPL37/RPL36A/RPL13A/RPL23/RPL6/RPL34/RPL4/RPS17/RPL17/PABPC1/RPS23/RPS4X/RPL5/RPL22/RPL23A/RPS11/RPS6/EIF4H/RPS24/RPS14/RPS20/RPL26/RPL36/RPL9/EIF1AX/FAU/RPS25/RPL18/RPS28/RPL31/RPL15/RPS9/RPL10/RPL30/RPL24/RPL3/RPL14/RPL10A/RPS16/EIF3L/RPS2/RPL35A/RPS27/RPLP2/RPL13/RPL19/RPS18/RPS21/RPL32/RPL35/RPLP1/RPL41/EIF4EBP1/RPS10/EIF3J/RPS3/RPL21/RPL36AL/RPS13/RPL11/RPL28/RPL29/RPS3A/RPL27/RPS8/EIF3I/UBA52/EIF4A1/EIF2B2/RPS15/RPL12/RPS27A/RPL39/RPSA/RPL7/EIF3K/RPS26/EIF3H/RPL7A/RPS12/RPL26L1/EIF3A/EIF5/RPS27L/RPS19/RPS7/RPS15A/RPL18A/EIF3E/EIF4A2/EIF4B/RPS5/EIF3M/EIF3F/EIF5B/RPLP0/EIF3B/EIF4G1/EIF2S1/EIF2S2/EIF3D/EIF2S3/RPL8/EIF2B4/EIF3G/EIF2B5/EIF4E/RPL22L1/EIF2B1",114,"C_TAL","AKI_vs_Normal"
"R-HSA-72737","Cap-dependent Translation Initiation","114/4646","120/11230",0.95,2.29627636676711,11.9921328026083,1.44503392457596e-36,2.40453645049439e-34,1.29292509041007e-34,"RPS4Y1/RPL37A/RPS29/RPL27A/RPL38/RPL37/RPL36A/RPL13A/RPL23/RPL6/RPL34/RPL4/RPS17/RPL17/PABPC1/RPS23/RPS4X/RPL5/RPL22/RPL23A/RPS11/RPS6/EIF4H/RPS24/RPS14/RPS20/RPL26/RPL36/RPL9/EIF1AX/FAU/RPS25/RPL18/RPS28/RPL31/RPL15/RPS9/RPL10/RPL30/RPL24/RPL3/RPL14/RPL10A/RPS16/EIF3L/RPS2/RPL35A/RPS27/RPLP2/RPL13/RPL19/RPS18/RPS21/RPL32/RPL35/RPLP1/RPL41/EIF4EBP1/RPS10/EIF3J/RPS3/RPL21/RPL36AL/RPS13/RPL11/RPL28/RPL29/RPS3A/RPL27/RPS8/EIF3I/UBA52/EIF4A1/EIF2B2/RPS15/RPL12/RPS27A/RPL39/RPSA/RPL7/EIF3K/RPS26/EIF3H/RPL7A/RPS12/RPL26L1/EIF3A/EIF5/RPS27L/RPS19/RPS7/RPS15A/RPL18A/EIF3E/EIF4A2/EIF4B/RPS5/EIF3M/EIF3F/EIF5B/RPLP0/EIF3B/EIF4G1/EIF2S1/EIF2S2/EIF3D/EIF2S3/RPL8/EIF2B4/EIF3G/EIF2B5/EIF4E/RPL22L1/EIF2B1",114,"C_TAL","AKI_vs_Normal"
"R-HSA-1799339","SRP-dependent cotranslational protein targeting to membrane","108/4646","113/11230",0.955752212389381,2.31018022925802,11.7582230145538,2.02195766278072e-35,2.80378129238926e-33,1.50760001172246e-33,"RPS4Y1/RPL37A/RPS29/RPL27A/RPL38/RPL37/RPL36A/RPL13A/RPL23/RPL6/RPL34/RPL4/RPS17/RPL17/RPS23/RPS4X/RPL5/SSR4/RPL22/RPL23A/SEC61B/RPS11/RPS6/RPS24/RPS14/RPS20/RPL26/RPL36/RPL9/FAU/RPS25/RPL18/RPS28/RPL31/RPL15/RPS9/RPL10/RPL30/RPL24/RPL3/RPL14/RPL10A/RPS16/RPS2/SRP14/RPL35A/RPS27/SPCS2/RPLP2/RPL13/RPL19/RPS18/RPS21/RPL32/TRAM1/RPL35/RPLP1/RPL41/SSR1/RPS10/RPS3/RPL21/RPL36AL/RPS13/RPL11/RPL28/RPL29/SSR3/RPS3A/RPL27/RPS8/UBA52/RPS15/RPL12/SPCS3/RPS27A/RPL39/RPSA/RPL7/RPS26/SEC11C/RPL7A/RPN2/SEC61A1/RPS12/SEC11A/RPL26L1/SRP54/SSR2/RPS27L/RPS19/SRP72/RPS7/RPS15A/RPL18A/RPN1/RPS5/SRP9/SPCS1/SRPRB/RPLP0/SRP19/RPL8/DDOST/SRPRA/SRP68/SEC61G/RPL22L1",108,"C_TAL","AKI_vs_Normal"
"R-HSA-72706","GTP hydrolysis and joining of the 60S ribosomal subunit","108/4646","113/11230",0.955752212389381,2.31018022925802,11.7582230145538,2.02195766278072e-35,2.80378129238926e-33,1.50760001172246e-33,"RPS4Y1/RPL37A/RPS29/RPL27A/RPL38/RPL37/RPL36A/RPL13A/RPL23/RPL6/RPL34/RPL4/RPS17/RPL17/RPS23/RPS4X/RPL5/RPL22/RPL23A/RPS11/RPS6/EIF4H/RPS24/RPS14/RPS20/RPL26/RPL36/RPL9/EIF1AX/FAU/RPS25/RPL18/RPS28/RPL31/RPL15/RPS9/RPL10/RPL30/RPL24/RPL3/RPL14/RPL10A/RPS16/EIF3L/RPS2/RPL35A/RPS27/RPLP2/RPL13/RPL19/RPS18/RPS21/RPL32/RPL35/RPLP1/RPL41/RPS10/EIF3J/RPS3/RPL21/RPL36AL/RPS13/RPL11/RPL28/RPL29/RPS3A/RPL27/RPS8/EIF3I/UBA52/EIF4A1/RPS15/RPL12/RPS27A/RPL39/RPSA/RPL7/EIF3K/RPS26/EIF3H/RPL7A/RPS12/RPL26L1/EIF3A/EIF5/RPS27L/RPS19/RPS7/RPS15A/RPL18A/EIF3E/EIF4A2/EIF4B/RPS5/EIF3M/EIF3F/EIF5B/RPLP0/EIF3B/EIF4G1/EIF2S1/EIF2S2/EIF3D/EIF2S3/RPL8/EIF3G/EIF4E/RPL22L1",108,"C_TAL","AKI_vs_Normal"
