"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","CellType","Condition"
"R-HSA-72766","Translation","311/4303","368/11230",0.845108695652174,2.20557068374946,18.5329822077716,5.41702508589301e-77,8.99767866766829e-74,5.05779079072326e-74,"RPL37A/RPL38/MRPS6/RPS28/MT-ND3/MT-ND2/RPL41/ELOB/RPL39/RPS25/RPL34/RPS4Y1/NDUFAB1/RPL30/UBC/RPL35/RPL32/MT-ND4L/MT-ND1/RPL35A/RPS29/RPS24/RPL36A/RPS15/MT-CYB/RPS13/RPL24/RPL36/FAU/RPL37/RPS14/TRAM1/RPLP1/RPS21/RPL27A/TRMT112/MT-ATP8/ABCE1/RPL22/MT-ATP6/RPLP0/RPS6/MRPL52/RPS11/MT-ND4/PSMC6/MRPL35/RPL31/MRPL54/RPL23A/CARS2/MRPL23/RPS10/RPS27/DDOST/RPL28/RPL14/SSR2/PSMB6/SRP14/RPL36AL/MRPL19/EIF2S3/MRPL2/RPL26/RPS23/SEC61B/RPL17/RPS27A/UBB/SEC61G/RPS5/MRPL47/MT-CO3/MRPL22/RPL9/MT-ND5/SRP72/AURKAIP1/EIF4A1/MALSU1/EIF4H/MRPL34/MRPS18C/PSMD7/MRPL33/PSMB7/RPS7/MT-CO2/RPL6/RPL21/PSMC5/EEF1A1/EIF3E/SEM1/RPL11/RPL7/PSMA2/EIF3F/RPS26/MRPL48/MRPL51/RPL23/MRPS16/PSMD14/SEC11A/HBS1L/EIF3J/PSMD2/EEF1B2/MRPL36/RPS9/MRPS28/RPS8/RPS15A/RBX1/EEF1E1/TUFM/MRPS12/MRPL57/SPCS1/RPL7A/MRPL24/RPL13/MRPL43/EIF2S2/MRPS31/PSMB3/RPS18/SRP19/PSMD8/UBE2D1/PSMD12/ASCC3/SEC61A1/SARS2/EIF4G1/RPL18A/RPL8/RPL22L1/PSMB2/MRPS18A/MRPL20/SSR3/EIF3H/EIF2B5/MRPS18B/MRPS10/SSR4/PPA1/MRPL55/MRPL11/PSMB1/RPL29/MRPS23/PSMD13/RPL12/PSMB5/UBA52/PPA2/PSMD6/MRPL18/RPS2/CUL2/RPL10/RPL27/UBE2D3/MRPL4/RPS17/PSMC3/EIF3A/EIF2B3/MRPS7/RPS12/EIF3K/KLHDC10/NPLOC4/EIF2B1/SRP54/RPL10A/RPL18/LTN1/MRPS27/EIF4A2/MRPS26/RPS3/MRPL14/MRPS25/AIMP1/MRPL40/RPN1/VCP/EIF1AX/RPS16/PSMC1/MRPL37/EIF5B/MT-ND6/PSMB4/PSMA7/MRPS35/UBE2D2/PSMC2/SRPRB/IARS2/EIF2S1/DAP3/EIF3B/RPS27L/PTCD3/EIF3G/SEC11C/RPL19/EIF3I/ERAL1/EIF3L/RPS3A/RPS20/MRPL42/EIF5/PSMA3/FARSA/SSR1/EIF3D/MRPS17/RPL5/MRPS33/SRP9/MRPL28/MRPL27/MRPS5/RPL13A/RPS19/MRPL13/CHCHD1/MRPL39/GSPT1/SRP68/TCF25/MRPS2/APEH/MT-CO1/MRPL49/SPCS3/RPL3/MRRF/SRPRA/PSMA1/MRPS9/MTIF3/MRPL30/ELOC/RCHY1/RPLP2/PABPC1/EIF3M/GFM1/EEF1D/EIF4E/MRPL10/OXA1L/RPL26L1/PSMD3/MRPL3/UFD1/MTIF2/NEMF/GFM2/MRPL53/RPN2/MRPS15/EIF4B/RPL4/MRPS21/ETF1/SPCS2/PSMC4/MRPL1/RPSA/MIEF1/PSMA4/MRPS14/MRPL58/MRPL9/MRPL21/MRPS34/AIMP2/MRPL16/EIF2B2/PSMD11/MRPS30/MRPL50/MRPL32/PSMA5/MTRF1L/MRPL46/ADRM1/MRPS22/RPL15/TSFM/MRPL12/MRPL44/MRPL15/FARSB/MRPL41/RPS4X/EEF2/MRPS11/PSMD1/GADD45GIP1/MRPL17",311,"DCT","AKI_vs_Normal"
"R-HSA-1428517","Aerobic respiration and respiratory electron transport","209/4303","258/11230",0.810077519379845,2.11414607079611,14.2689726875102,9.29192790439644e-46,7.71694612460124e-43,4.33786318484192e-43,"NDUFB1/NDUFA3/NDUFA13/ATP5ME/COX5B/COX8A/ATP5F1E/ATP5F1D/MT-ND3/PDK4/ATP5MC2/MPC1/MT-ND2/NDUFA1/COX7C/COX6C/COX17/UQCR11/ATP5MC3/ATP5PF/COX7B/ATP5MG/NDUFB6/PET100/NDUFAB1/ATP5PD/UBC/NDUFB11/NDUFB7/COX7A1/ATP5F1B/MT-ND1/UQCRQ/COA3/COX6B1/ATP5MF/NDUFA7/NDUFB8/MT-CYB/COX14/NDUFS5/ATP5F1A/UQCRH/NDUFB4/UQCRB/NDUFA11/NDUFA2/COX6A1/NDUFC1/NDUFA8/MT-ATP8/ATP5MC1/MT-ATP6/ATP5PO/NDUFS6/NDUFAF3/MT-ND4/NDUFC2/SURF1/NDUFB10/MDH2/NDUFV2/NDUFB5/NDUFS7/COX7A2/NDUFB2/ATP5F1C/HIGD2A/ISCA2/FAHD1/NDUFB3/NDUFB9/ISCU/NDUFV3/HIGD1A/RPS27A/NDUFS4/UBB/MAEA/NDUFAF4/COX5A/MT-CO3/MT-ND5/RAB5IF/UQCR10/SUCLG1/LDHA/UQCC2/DMAC1/PDK2/IDH3G/MT-CO2/COX16/NDUFA6/HAGH/ME3/CYC1/PKM/PDP2/OGDH/SDHC/PNKD/NDUFS8/ME2/UQCRC2/BCS1L/COX4I1/NDUFA10/NDUFV1/SDHA/RANBP9/NEK1/DMAC2/UQCRFS1/UQCC1/NDUFAF2/NDUFS2/ACO2/NFS1/SLC25A11/NDUFS1/UBA52/VDAC1/SCO1/IDH2/SDHAF3/GSTZ1/LYRM2/SDHB/SUCLA2/PYURF/MPC2/NDUFAF1/DLST/ATP5PB/CS/LDHB/NDUFS3/SDHD/COX7A2L/NDUFA5/TMEM223/IDH3B/TTC19/DLAT/SDHAF2/ETFA/TIMMDC1/CMC1/MT-ND6/ACAT1/ISCA1/PDPR/NDUFA12/HSCB/FH/RMND5A/D2HGDH/COQ10B/DLD/ETFB/GOT2/MKLN1/MDH1/ARMC8/SLC25A13/HCCS/UQCRC1/NDUFAF8/COX15/WDR26/LETM1/MT-CO1/SMIM20/SFXN4/GLO1/COX11/COX20/PDHA1/OXA1L/COQ10A/COA1/SLC25A12/SDHAF1/PET117/COA5/SUCLG2/NDUFA9/HSPA9/NDUFAF6/TIMM21/ETFDH/FOXRED1/RMND5B/PDHX/LYRM4/TRAP1/NNT/COX19/UQCC3/NDUFAF5/PDHB/GID8/TMEM126A/TMEM126B/LYRM7/GOT1/IDH3A/TACO1",209,"DCT","AKI_vs_Normal"
"R-HSA-9948299","Ribosome-associated quality control","135/4303","145/11230",0.931034482758621,2.42982041398543,13.6578162615316,1.18930999408059e-44,6.58481300055956e-42,3.70146654298066e-42,"RPL37A/RPL38/RPS28/RPL41/ELOB/RPL39/RPS25/RPL34/RPS4Y1/RPL30/UBC/RPL35/RPL32/RPL35A/RPS29/RPS24/RPL36A/RPS15/RPS13/RPL24/RPL36/FAU/RPL37/RPS14/RPLP1/RPS21/RPL27A/ABCE1/RPL22/RPLP0/RPS6/RPS11/PSMC6/RPL31/RPL23A/RPS10/RPS27/RPL28/RPL14/PSMB6/RPL36AL/RPL26/RPS23/RPL17/RPS27A/UBB/RPS5/RPL9/PSMD7/PSMB7/RPS7/RPL6/RPL21/PSMC5/SEM1/RPL11/RPL7/PSMA2/RPS26/RPL23/PSMD14/HBS1L/PSMD2/RPS9/RPS8/RPS15A/RBX1/RPL7A/RPL13/PSMB3/RPS18/PSMD8/UBE2D1/PSMD12/ASCC3/RPL18A/RPL8/RPL22L1/PSMB2/PSMB1/RPL29/PSMD13/RPL12/PSMB5/UBA52/PSMD6/RPS2/CUL2/RPL10/RPL27/UBE2D3/RPS17/PSMC3/RPS12/KLHDC10/NPLOC4/RPL10A/RPL18/LTN1/RPS3/VCP/RPS16/PSMC1/PSMB4/PSMA7/UBE2D2/PSMC2/RPS27L/RPL19/RPS3A/RPS20/PSMA3/RPL5/RPL13A/RPS19/TCF25/RPL3/PSMA1/ELOC/RCHY1/RPLP2/RPL26L1/PSMD3/UFD1/NEMF/RPL4/PSMC4/RPSA/PSMA4/PSMD11/PSMA5/ADRM1/RPL15/RPS4X/PSMD1",135,"DCT","AKI_vs_Normal"
"R-HSA-72203","Processing of Capped Intron-Containing Pre-mRNA","226/4303","294/11230",0.768707482993197,2.00617825563877,13.7785324122588,2.41912735688495e-42,1.00454263494647e-39,5.64675254093934e-40,"TXNL4A/UBC/UBL5/HNRNPH1/SAP18/POLR2J/NUP58/POLR2H/PABPN1/RBM25/FYTTD1/POLR2F/SNRPE/SNRPG/PCBP2/PPIG/HSPA8/POLR2L/THOC2/PPP1CB/RPS27A/UBB/POLR2I/HNRNPU/LSM3/DDX39B/NXT1/NUP43/POLR2K/DDX39A/PRPF4/CPSF6/NUP160/SF3B5/SNRNP200/SNRPA1/SNRPD2/LSM2/HNRNPA2B1/RBM7/PPIL4/ZCRB1/RANBP2/SNRNP27/SF3B4/SRSF6/SRSF2/CPSF7/CWC25/DDX46/HNRNPD/NKAP/DHX15/ACIN1/PUF60/LSM7/PCBP1/SF1/SRSF7/RBM5/SRSF11/U2AF1L4/XRN2/MAGOH/SNU13/HNRNPM/PRPF8/POLR2E/SNRPB/PRPF19/RBM8A/HNRNPC/NUDT21/RBM39/GTF2F1/TPR/PAPOLA/SNRPN/SNRNP25/POLDIP3/UBA52/AQR/POLR2A/TFIP11/RBM10/HNRNPA1/SNRPC/SRSF3/SNRPF/CWC15/BUD31/RNF113A/USP39/WTAP/LUC7L3/SEC13/BCAS2/CPSF1/SRSF5/SF3B6/RBMX/SRSF8/SLU7/SRSF10/THOC7/LSM5/SRSF9/CSTF3/LSM4/HNRNPR/PHF5A/POLR2G/PNN/PPWD1/HNRNPA3/DNAJC8/PPIE/DDX42/PRPF31/NUP93/SRRM2/YBX1/CHTOP/SYF2/POM121/PRPF38A/METTL14/SMU1/SRSF4/SF3B2/SNRPA/IK/RBM17/WDR33/ZMAT2/CASC3/LSM8/NUP210/PQBP1/SF3A1/RNPC3/PRKRIP1/EIF4A3/METTL3/SRRT/SNRPD3/HNRNPK/LSM6/PRCC/FUS/RBM42/TRA2B/CWC22/NSRP1/PLRG1/GCFC2/RBM22/NUP153/DDX41/DDX5/SNRPB2/SNRNP70/HTATSF1/NUP214/CCAR1/FAM32A/WBP11/SNRNP40/DHX9/CHERP/HNRNPH2/EIF4E/SNW1/NUP133/PCF11/NCBP2/DHX38/CCDC12/RNPS1/ZMAT5/LENG1/ALYREF/PPP1CA/PRPF40A/AAAS/HNRNPF/CWF19L2/SF3B1/PTBP1/NUP50/SF3A3/PRPF6/CDC40/NXF1/RAE1/MFAP1/POLR2C/RBBP6/SRRM1/C9orf78/SART1/SNRPD1/CPSF2/U2AF2/PPP1R10/CSTF1/POLR2B/PPIH/MTREX/SMNDC1/HNRNPL/SLBP/SRSF1/PPIL3/SF3B3/SNRNP35/PPIL2/U2SURP/DDX23/SYMPK/WDR70/CDC5L/SF3A2/FIP1L1/FAM50A/XAB2",226,"DCT","AKI_vs_Normal"
"R-HSA-72172","mRNA Splicing","176/4303","213/11230",0.826291079812207,2.15646033611227,13.4298910422822,6.31314702851417e-41,1.92433207998691e-38,1.08170889758762e-38,"TXNL4A/UBL5/HNRNPH1/SAP18/POLR2J/POLR2H/RBM25/POLR2F/SNRPE/SNRPG/PCBP2/PPIG/HSPA8/POLR2L/POLR2I/HNRNPU/LSM3/DDX39B/POLR2K/PRPF4/SF3B5/SNRNP200/SNRPA1/SNRPD2/LSM2/HNRNPA2B1/RBM7/PPIL4/ZCRB1/SNRNP27/SF3B4/SRSF6/SRSF2/CWC25/DDX46/HNRNPD/NKAP/DHX15/ACIN1/PUF60/LSM7/PCBP1/SF1/SRSF7/RBM5/SRSF11/U2AF1L4/MAGOH/SNU13/HNRNPM/PRPF8/POLR2E/SNRPB/PRPF19/RBM8A/HNRNPC/RBM39/GTF2F1/SNRPN/SNRNP25/AQR/POLR2A/TFIP11/RBM10/HNRNPA1/SNRPC/SRSF3/SNRPF/CWC15/BUD31/RNF113A/USP39/LUC7L3/BCAS2/SRSF5/SF3B6/RBMX/SRSF8/SLU7/SRSF10/LSM5/SRSF9/LSM4/HNRNPR/PHF5A/POLR2G/PNN/PPWD1/HNRNPA3/DNAJC8/PPIE/DDX42/PRPF31/SRRM2/YBX1/SYF2/PRPF38A/SMU1/SRSF4/SF3B2/SNRPA/IK/RBM17/ZMAT2/CASC3/LSM8/PQBP1/SF3A1/RNPC3/PRKRIP1/EIF4A3/SRRT/SNRPD3/HNRNPK/LSM6/PRCC/FUS/RBM42/TRA2B/CWC22/NSRP1/PLRG1/GCFC2/RBM22/DDX41/DDX5/SNRPB2/SNRNP70/HTATSF1/CCAR1/FAM32A/WBP11/SNRNP40/DHX9/CHERP/HNRNPH2/SNW1/NCBP2/DHX38/CCDC12/RNPS1/ZMAT5/LENG1/ALYREF/PRPF40A/HNRNPF/CWF19L2/SF3B1/PTBP1/SF3A3/PRPF6/CDC40/MFAP1/POLR2C/SRRM1/C9orf78/SART1/SNRPD1/U2AF2/POLR2B/PPIH/MTREX/SMNDC1/HNRNPL/SRSF1/PPIL3/SF3B3/SNRNP35/PPIL2/U2SURP/DDX23/WDR70/CDC5L/SF3A2/FAM50A/XAB2",176,"DCT","AKI_vs_Normal"
"R-HSA-72163","mRNA Splicing - Major Pathway","171/4303","205/11230",0.834146341463415,2.17696105383085,13.4039668064826,6.9512296688269e-41,1.92433207998691e-38,1.08170889758762e-38,"TXNL4A/UBL5/HNRNPH1/SAP18/POLR2J/POLR2H/RBM25/POLR2F/SNRPE/SNRPG/PCBP2/PPIG/HSPA8/POLR2L/POLR2I/HNRNPU/LSM3/DDX39B/POLR2K/PRPF4/SF3B5/SNRNP200/SNRPA1/SNRPD2/LSM2/HNRNPA2B1/RBM7/PPIL4/SNRNP27/SF3B4/SRSF6/SRSF2/CWC25/DDX46/HNRNPD/NKAP/DHX15/ACIN1/PUF60/LSM7/PCBP1/SF1/SRSF7/RBM5/SRSF11/U2AF1L4/MAGOH/SNU13/HNRNPM/PRPF8/POLR2E/SNRPB/PRPF19/RBM8A/HNRNPC/RBM39/GTF2F1/SNRPN/AQR/POLR2A/TFIP11/RBM10/HNRNPA1/SNRPC/SRSF3/SNRPF/CWC15/BUD31/RNF113A/USP39/LUC7L3/BCAS2/SRSF5/SF3B6/RBMX/SRSF8/SLU7/SRSF10/LSM5/SRSF9/LSM4/HNRNPR/PHF5A/POLR2G/PNN/PPWD1/HNRNPA3/DNAJC8/PPIE/DDX42/PRPF31/SRRM2/YBX1/SYF2/PRPF38A/SMU1/SRSF4/SF3B2/SNRPA/IK/RBM17/ZMAT2/CASC3/LSM8/PQBP1/SF3A1/PRKRIP1/EIF4A3/SRRT/SNRPD3/HNRNPK/LSM6/PRCC/FUS/RBM42/TRA2B/CWC22/NSRP1/PLRG1/GCFC2/RBM22/DDX41/DDX5/SNRPB2/SNRNP70/HTATSF1/CCAR1/FAM32A/WBP11/SNRNP40/DHX9/CHERP/HNRNPH2/SNW1/NCBP2/DHX38/CCDC12/RNPS1/LENG1/ALYREF/PRPF40A/HNRNPF/CWF19L2/SF3B1/PTBP1/SF3A3/PRPF6/CDC40/MFAP1/POLR2C/SRRM1/C9orf78/SART1/SNRPD1/U2AF2/POLR2B/PPIH/MTREX/SMNDC1/HNRNPL/SRSF1/PPIL3/SF3B3/PPIL2/U2SURP/DDX23/WDR70/CDC5L/SF3A2/FAM50A/XAB2",171,"DCT","AKI_vs_Normal"
"R-HSA-1799339","SRP-dependent cotranslational protein targeting to membrane","108/4303","113/11230",0.955752212389381,2.49432892055142,12.5827405200031,5.93443670906638e-39,1.23213742171991e-36,6.92611231702879e-37,"RPL37A/RPL38/RPS28/RPL41/RPL39/RPS25/RPL34/RPS4Y1/RPL30/RPL35/RPL32/RPL35A/RPS29/RPS24/RPL36A/RPS15/RPS13/RPL24/RPL36/FAU/RPL37/RPS14/TRAM1/RPLP1/RPS21/RPL27A/RPL22/RPLP0/RPS6/RPS11/RPL31/RPL23A/RPS10/RPS27/DDOST/RPL28/RPL14/SSR2/SRP14/RPL36AL/RPL26/RPS23/SEC61B/RPL17/RPS27A/SEC61G/RPS5/RPL9/SRP72/RPS7/RPL6/RPL21/RPL11/RPL7/RPS26/RPL23/SEC11A/RPS9/RPS8/RPS15A/SPCS1/RPL7A/RPL13/RPS18/SRP19/SEC61A1/RPL18A/RPL8/RPL22L1/SSR3/SSR4/RPL29/RPL12/UBA52/RPS2/RPL10/RPL27/RPS17/RPS12/SRP54/RPL10A/RPL18/RPS3/RPN1/RPS16/SRPRB/RPS27L/SEC11C/RPL19/RPS3A/RPS20/SSR1/RPL5/SRP9/RPL13A/RPS19/SRP68/SPCS3/RPL3/SRPRA/RPLP2/RPL26L1/RPN2/RPL4/SPCS2/RPSA/RPL15/RPS4X",108,"DCT","AKI_vs_Normal"
"R-HSA-72706","GTP hydrolysis and joining of the 60S ribosomal subunit","108/4303","113/11230",0.955752212389381,2.49432892055142,12.5827405200031,5.93443670906638e-39,1.23213742171991e-36,6.92611231702879e-37,"RPL37A/RPL38/RPS28/RPL41/RPL39/RPS25/RPL34/RPS4Y1/RPL30/RPL35/RPL32/RPL35A/RPS29/RPS24/RPL36A/RPS15/RPS13/RPL24/RPL36/FAU/RPL37/RPS14/RPLP1/RPS21/RPL27A/RPL22/RPLP0/RPS6/RPS11/RPL31/RPL23A/RPS10/RPS27/RPL28/RPL14/RPL36AL/EIF2S3/RPL26/RPS23/RPL17/RPS27A/RPS5/RPL9/EIF4A1/EIF4H/RPS7/RPL6/RPL21/EIF3E/RPL11/RPL7/EIF3F/RPS26/RPL23/EIF3J/RPS9/RPS8/RPS15A/RPL7A/RPL13/EIF2S2/RPS18/EIF4G1/RPL18A/RPL8/RPL22L1/EIF3H/RPL29/RPL12/UBA52/RPS2/RPL10/RPL27/RPS17/EIF3A/RPS12/EIF3K/RPL10A/RPL18/EIF4A2/RPS3/EIF1AX/RPS16/EIF5B/EIF2S1/EIF3B/RPS27L/EIF3G/RPL19/EIF3I/EIF3L/RPS3A/RPS20/EIF5/EIF3D/RPL5/RPL13A/RPS19/RPL3/RPLP2/EIF3M/EIF4E/RPL26L1/EIF4B/RPL4/RPSA/RPL15/RPS4X",108,"DCT","AKI_vs_Normal"
"R-HSA-72613","Eukaryotic Translation Initiation","113/4303","120/11230",0.941666666666667,2.45756836315749,12.6516202288927,7.52776998438637e-39,1.25036259440658e-36,7.02855997489548e-37,"RPL37A/RPL38/RPS28/RPL41/RPL39/RPS25/RPL34/RPS4Y1/RPL30/RPL35/RPL32/RPL35A/RPS29/RPS24/RPL36A/RPS15/RPS13/RPL24/RPL36/FAU/RPL37/RPS14/RPLP1/RPS21/RPL27A/RPL22/RPLP0/RPS6/RPS11/RPL31/RPL23A/RPS10/RPS27/RPL28/RPL14/RPL36AL/EIF2S3/RPL26/RPS23/RPL17/RPS27A/RPS5/RPL9/EIF4A1/EIF4H/RPS7/RPL6/RPL21/EIF3E/RPL11/RPL7/EIF3F/RPS26/RPL23/EIF3J/RPS9/RPS8/RPS15A/RPL7A/RPL13/EIF2S2/RPS18/EIF4G1/RPL18A/RPL8/RPL22L1/EIF3H/EIF2B5/RPL29/RPL12/UBA52/RPS2/RPL10/RPL27/RPS17/EIF3A/EIF2B3/RPS12/EIF3K/EIF2B1/RPL10A/RPL18/EIF4A2/RPS3/EIF1AX/RPS16/EIF5B/EIF2S1/EIF3B/RPS27L/EIF3G/RPL19/EIF3I/EIF3L/RPS3A/RPS20/EIF5/EIF3D/RPL5/RPL13A/RPS19/RPL3/RPLP2/PABPC1/EIF3M/EIF4E/RPL26L1/EIF4B/RPL4/RPSA/EIF2B2/RPL15/RPS4X",113,"DCT","AKI_vs_Normal"
"R-HSA-72737","Cap-dependent Translation Initiation","113/4303","120/11230",0.941666666666667,2.45756836315749,12.6516202288927,7.52776998438637e-39,1.25036259440658e-36,7.02855997489548e-37,"RPL37A/RPL38/RPS28/RPL41/RPL39/RPS25/RPL34/RPS4Y1/RPL30/RPL35/RPL32/RPL35A/RPS29/RPS24/RPL36A/RPS15/RPS13/RPL24/RPL36/FAU/RPL37/RPS14/RPLP1/RPS21/RPL27A/RPL22/RPLP0/RPS6/RPS11/RPL31/RPL23A/RPS10/RPS27/RPL28/RPL14/RPL36AL/EIF2S3/RPL26/RPS23/RPL17/RPS27A/RPS5/RPL9/EIF4A1/EIF4H/RPS7/RPL6/RPL21/EIF3E/RPL11/RPL7/EIF3F/RPS26/RPL23/EIF3J/RPS9/RPS8/RPS15A/RPL7A/RPL13/EIF2S2/RPS18/EIF4G1/RPL18A/RPL8/RPL22L1/EIF3H/EIF2B5/RPL29/RPL12/UBA52/RPS2/RPL10/RPL27/RPS17/EIF3A/EIF2B3/RPS12/EIF3K/EIF2B1/RPL10A/RPL18/EIF4A2/RPS3/EIF1AX/RPS16/EIF5B/EIF2S1/EIF3B/RPS27L/EIF3G/RPL19/EIF3I/EIF3L/RPS3A/RPS20/EIF5/EIF3D/RPL5/RPL13A/RPS19/RPL3/RPLP2/PABPC1/EIF3M/EIF4E/RPL26L1/EIF4B/RPL4/RPSA/EIF2B2/RPL15/RPS4X",113,"DCT","AKI_vs_Normal"
"R-HSA-156827","L13a-mediated translational silencing of Ceruloplasmin expression","107/4303","112/11230",0.955357142857143,2.49329786527672,12.5177346415988,1.50325457547789e-38,2.21003919183791e-36,1.24231107649813e-36,"RPL37A/RPL38/RPS28/RPL41/RPL39/RPS25/RPL34/RPS4Y1/RPL30/RPL35/RPL32/RPL35A/RPS29/RPS24/RPL36A/RPS15/RPS13/RPL24/RPL36/FAU/RPL37/RPS14/RPLP1/RPS21/RPL27A/RPL22/RPLP0/RPS6/RPS11/RPL31/RPL23A/RPS10/RPS27/RPL28/RPL14/RPL36AL/EIF2S3/RPL26/RPS23/RPL17/RPS27A/RPS5/RPL9/EIF4A1/EIF4H/RPS7/RPL6/RPL21/EIF3E/RPL11/RPL7/EIF3F/RPS26/RPL23/EIF3J/RPS9/RPS8/RPS15A/RPL7A/RPL13/EIF2S2/RPS18/EIF4G1/RPL18A/RPL8/RPL22L1/EIF3H/RPL29/RPL12/UBA52/RPS2/RPL10/RPL27/RPS17/EIF3A/RPS12/EIF3K/RPL10A/RPL18/EIF4A2/RPS3/EIF1AX/RPS16/EIF2S1/EIF3B/RPS27L/EIF3G/RPL19/EIF3I/EIF3L/RPS3A/RPS20/EIF3D/RPL5/RPL13A/RPS19/RPL3/RPLP2/PABPC1/EIF3M/EIF4E/RPL26L1/EIF4B/RPL4/RPSA/RPL15/RPS4X",107,"DCT","AKI_vs_Normal"
"R-HSA-611105","Respiratory electron transport","138/4303","157/11230",0.878980891719745,2.29397058192255,12.8684191786507,1.59665685141812e-38,2.21003919183791e-36,1.24231107649813e-36,"NDUFB1/NDUFA3/NDUFA13/COX5B/COX8A/MT-ND3/MT-ND2/NDUFA1/COX7C/COX6C/COX17/UQCR11/COX7B/NDUFB6/PET100/NDUFAB1/NDUFB11/NDUFB7/COX7A1/MT-ND1/UQCRQ/COA3/COX6B1/NDUFA7/NDUFB8/MT-CYB/COX14/NDUFS5/UQCRH/NDUFB4/UQCRB/NDUFA11/NDUFA2/COX6A1/NDUFC1/NDUFA8/NDUFS6/NDUFAF3/MT-ND4/NDUFC2/SURF1/NDUFB10/MDH2/NDUFV2/NDUFB5/NDUFS7/COX7A2/NDUFB2/HIGD2A/NDUFB3/NDUFB9/ISCU/NDUFV3/HIGD1A/NDUFS4/NDUFAF4/COX5A/MT-CO3/MT-ND5/RAB5IF/UQCR10/UQCC2/DMAC1/MT-CO2/COX16/NDUFA6/CYC1/SDHC/PNKD/NDUFS8/UQCRC2/BCS1L/COX4I1/NDUFA10/NDUFV1/SDHA/DMAC2/UQCRFS1/UQCC1/NDUFAF2/NDUFS2/NFS1/SLC25A11/NDUFS1/SCO1/LYRM2/SDHB/PYURF/NDUFAF1/NDUFS3/SDHD/COX7A2L/NDUFA5/TMEM223/TTC19/ETFA/TIMMDC1/CMC1/MT-ND6/NDUFA12/HSCB/COQ10B/ETFB/GOT2/MDH1/SLC25A13/HCCS/UQCRC1/NDUFAF8/COX15/LETM1/MT-CO1/SMIM20/SFXN4/COX11/COX20/OXA1L/COQ10A/COA1/SLC25A12/PET117/COA5/NDUFA9/HSPA9/NDUFAF6/TIMM21/ETFDH/FOXRED1/LYRM4/TRAP1/COX19/UQCC3/NDUFAF5/TMEM126A/TMEM126B/LYRM7/GOT1/TACO1",138,"DCT","AKI_vs_Normal"
"R-HSA-9010553","Regulation of expression of SLITs and ROBOs","137/4303","159/11230",0.861635220125786,2.24870172484606,12.4981999548416,3.92325964625236e-36,5.01271867109628e-34,2.81775814269299e-34,"RPL37A/RPL38/RPS28/RPL41/ELOB/RPL39/RPS25/RPL34/RPS4Y1/RPL30/UBC/RPL35/RPL32/RPL35A/RPS29/RPS24/RPL36A/RPS15/RPS13/RPL24/RPL36/FAU/RPL37/RPS14/RPLP1/RPS21/RPL27A/RPL22/RPLP0/RPS6/RPS11/PSMC6/RPL31/RPL23A/RPS10/RPS27/RPL28/RPL14/PSMB6/RPL36AL/RPL26/RPS23/RPL17/RPS27A/UBB/RPS5/RPL9/USP33/PSMD7/PSMB7/RPS7/RPL6/RPL21/PSMC5/SEM1/RPL11/RPL7/PSMA2/RPS26/RPL23/PSMD14/PSMD2/RPS9/RPS8/RPS15A/RBX1/RPL7A/RPL13/PSMB3/RPS18/PSMD8/PSMD12/MAGOH/EIF4G1/RPL18A/RPL8/RPL22L1/PSMB2/RBM8A/PSMB1/RPL29/PSMD13/RPL12/PSMB5/UBA52/PSMD6/RPS2/CUL2/RPL10/RPL27/RPS17/PSMC3/COL4A5/RPS12/RPL10A/RPL18/RPS3/RPS16/PSMC1/PSMB4/PSMA7/PSMC2/RPS27L/UPF2/RPL19/RPS3A/RPS20/PSMA3/CASC3/RPL5/UPF3A/EIF4A3/RPL13A/RPS19/GSPT1/RPL3/PSMA1/ELOC/RPLP2/PABPC1/RPL26L1/PSMD3/NCBP2/RNPS1/DAG1/RPL4/ETF1/PSMC4/RPSA/PSMA4/PSMD11/PSMA5/ADRM1/RPL15/RPS4X/ZSWIM8/PSMD1",137,"DCT","AKI_vs_Normal"
