"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","CellType","Condition"
"R-HSA-72766","Translation","279/3139","368/11230",0.758152173913043,2.71234434948821,20.8029637971482,8.43215895743534e-84,1.39636552335129e-80,7.71320645685401e-81,"RPS4Y1/UBC/MT-ND1/MT-CYB/EIF4A1/SEC61G/MRPS6/MRPL33/MT-ND2/RPS26/MT-CO3/RPS2/ELOB/RBX1/MRPL52/EIF1AX/MT-ND3/RPS16/MRPL57/PSMA4/RPL37A/RPL5/EIF3H/RPL39/RPS4X/MT-ATP6/EIF4H/RPL10/MT-ND4L/SRP9/RPL9/RPS3/MT-ND5/RPS23/EIF4EBP1/MRPS21/RPL13A/RPS27L/SEC61B/TSFM/RPN1/EIF5/RPS14/PSMD7/RPS20/RPL6/RPS8/RPL19/MRPS34/MRPL12/SSR1/PPA2/EIF2B2/RPLP1/MRPL3/EIF2B1/PPA1/EIF3A/UBA52/ELOC/EIF3I/MRPS18C/MRPS33/MRPL27/EEF1A1/EIF3L/MRPL46/RPL10A/CARS2/RPS11/RPL4/DDOST/RPL38/TRMT112/TCF25/RPL3/RPN2/RPL35A/RPL11/RPS25/RPL15/RPL22L1/PSMA2/RPL13/RPL32/ETF1/RPL35/RPSA/RPL17/SRP19/MRPL9/RPS27A/RPL7A/RPL12/RPL23A/RPL26/SEM1/RPL27A/EEF1B2/EIF4A2/RPL34/RPL41/MRPL34/RPL24/PABPC1/PSMC1/MRPS22/EIF3M/RPS24/RPL37/UFD1/MRPS14/EIF2B3/MRPL24/PSMB3/RPS3A/RPS7/EIF3B/RPS13/MT-ATP8/EIF3G/RPS9/SSR2/EIF4G1/PSMC3/MRPS11/RPL14/RPL36/RPL7/SRP68/EIF3E/SEC11A/MRPL18/PSMB1/NDUFAB1/RPL30/RPS28/EIF5B/SPCS2/UBE2D2/UBB/NEMF/PSMC2/MRPL19/MRPS5/MT-CO2/GADD45GIP1/PSMD6/MRPL17/UBE2D1/SEC61A1/MRPS23/RPL29/RPL28/RPS5/EIF4B/SRP72/RPS29/EIF4E/MRPL36/RPS27/PSMC6/RPL36AL/MRPL43/MRPL4/PSMB6/MRPS25/EEF1E1/MRPL42/SSR4/RPL26L1/EEF1D/SRPRA/RPL8/AURKAIP1/PSMB2/VCP/SSR3/PSMD12/EEF2/MRPL21/PSMC5/MRPL55/PSMD11/IARS2/MT-CO1/PSMC4/PELO/MRPL51/MRPL22/RPL27/TUFM/SRP14/RPS15/ABCE1/MRPL32/ADRM1/MRPL23/RARS2/MRPS16/MRPL50/RPS12/EIF3K/MRPL14/PSMD14/MRPL1/FAU/RCHY1/EIF3J/MRPS10/PTCD3/RPL18/MRPS15/SEC11C/EIF2S2/RPLP0/MALSU1/SPCS1/RPL18A/MRPS26/PSMD3/AIMP1/NPLOC4/PSMA1/MRPS18B/RPL22/RPS15A/RPS10/RPS6/MRPL47/MT-ND4/CHCHD1/PSMA3/PSMD8/MRPL41/MRPL10/RPS18/GSPT1/PSMB7/TRAM1/SPCS3/RPS17/PSMA5/PSMB5/MRPS28/MTIF3/MRPL13/PSMD1/PSMD13/MRPL2/RPL31/EIF2S1/ASCC3/RPLP2/MT-ND6/MRPL11/PSMA7/MRPS7/MRPL28/EIF2S3/EIF3F/MRPS12/MRPS31/RPL21/LTN1/RPL23/RPS21/RPS19/MRPL54/MRPL15/PSMD2/RPL36A/PSMB4/EIF3D/MRPL20/SRP54/MRPL40/MRPL16/UBE2D3",279,"VSMC_P","AKI_vs_Normal"
"R-HSA-9948299","Ribosome-associated quality control","133/3139","145/11230",0.917241379310345,3.28149751183663,17.2227005279995,7.97703453086201e-60,6.60498459155375e-57,3.64844368806268e-57,"RPS4Y1/UBC/RPS26/RPS2/ELOB/RBX1/RPS16/PSMA4/RPL37A/RPL5/RPL39/RPS4X/RPL10/RPL9/RPS3/RPS23/RPL13A/RPS27L/RPS14/PSMD7/RPS20/RPL6/RPS8/RPL19/RPLP1/UBA52/ELOC/RPL10A/RPS11/RPL4/RPL38/TCF25/RPL3/RPL35A/RPL11/RPS25/RPL15/RPL22L1/PSMA2/RPL13/RPL32/RPL35/RPSA/RPL17/RPS27A/RPL7A/RPL12/RPL23A/RPL26/SEM1/RPL27A/RPL34/RPL41/RPL24/PSMC1/RPS24/RPL37/UFD1/PSMB3/RPS3A/RPS7/RPS13/RPS9/PSMC3/RPL14/RPL36/RPL7/PSMB1/RPL30/RPS28/UBE2D2/UBB/NEMF/PSMC2/PSMD6/UBE2D1/RPL29/RPL28/RPS5/RPS29/RPS27/PSMC6/RPL36AL/PSMB6/RPL26L1/RPL8/PSMB2/VCP/PSMD12/PSMC5/PSMD11/PSMC4/PELO/RPL27/RPS15/ABCE1/ADRM1/RPS12/PSMD14/FAU/RCHY1/RPL18/RPLP0/RPL18A/PSMD3/NPLOC4/PSMA1/RPL22/RPS15A/RPS10/RPS6/PSMA3/PSMD8/RPS18/PSMB7/RPS17/PSMA5/PSMB5/PSMD1/PSMD13/RPL31/ASCC3/RPLP2/PSMA7/RPL21/LTN1/RPL23/RPS21/RPS19/PSMD2/RPL36A/PSMB4/UBE2D3",133,"VSMC_P","AKI_vs_Normal"
"R-HSA-72613","Eukaryotic Translation Initiation","113/3139","120/11230",0.941666666666667,3.36888074758416,16.2495706367386,4.18961133371048e-54,1.73449909215614e-51,9.58097960261685e-52,"RPS4Y1/EIF4A1/RPS26/RPS2/EIF1AX/RPS16/RPL37A/RPL5/EIF3H/RPL39/RPS4X/EIF4H/RPL10/RPL9/RPS3/RPS23/EIF4EBP1/RPL13A/RPS27L/EIF5/RPS14/RPS20/RPL6/RPS8/RPL19/EIF2B2/RPLP1/EIF2B1/EIF3A/UBA52/EIF3I/EIF3L/RPL10A/RPS11/RPL4/RPL38/RPL3/RPL35A/RPL11/RPS25/RPL15/RPL22L1/RPL13/RPL32/RPL35/RPSA/RPL17/RPS27A/RPL7A/RPL12/RPL23A/RPL26/RPL27A/EIF4A2/RPL34/RPL41/RPL24/PABPC1/EIF3M/RPS24/RPL37/EIF2B3/RPS3A/RPS7/EIF3B/RPS13/EIF3G/RPS9/EIF4G1/RPL14/RPL36/RPL7/EIF3E/RPL30/RPS28/EIF5B/RPL29/RPL28/RPS5/EIF4B/RPS29/EIF4E/RPS27/RPL36AL/RPL26L1/RPL8/RPL27/RPS15/RPS12/EIF3K/FAU/EIF3J/RPL18/EIF2S2/RPLP0/RPL18A/RPL22/RPS15A/RPS10/RPS6/RPS18/RPS17/RPL31/EIF2S1/RPLP2/EIF2S3/EIF3F/RPL21/RPL23/RPS21/RPS19/RPL36A/EIF3D",113,"VSMC_P","AKI_vs_Normal"
"R-HSA-72737","Cap-dependent Translation Initiation","113/3139","120/11230",0.941666666666667,3.36888074758416,16.2495706367386,4.18961133371048e-54,1.73449909215614e-51,9.58097960261685e-52,"RPS4Y1/EIF4A1/RPS26/RPS2/EIF1AX/RPS16/RPL37A/RPL5/EIF3H/RPL39/RPS4X/EIF4H/RPL10/RPL9/RPS3/RPS23/EIF4EBP1/RPL13A/RPS27L/EIF5/RPS14/RPS20/RPL6/RPS8/RPL19/EIF2B2/RPLP1/EIF2B1/EIF3A/UBA52/EIF3I/EIF3L/RPL10A/RPS11/RPL4/RPL38/RPL3/RPL35A/RPL11/RPS25/RPL15/RPL22L1/RPL13/RPL32/RPL35/RPSA/RPL17/RPS27A/RPL7A/RPL12/RPL23A/RPL26/RPL27A/EIF4A2/RPL34/RPL41/RPL24/PABPC1/EIF3M/RPS24/RPL37/EIF2B3/RPS3A/RPS7/EIF3B/RPS13/EIF3G/RPS9/EIF4G1/RPL14/RPL36/RPL7/EIF3E/RPL30/RPS28/EIF5B/RPL29/RPL28/RPS5/EIF4B/RPS29/EIF4E/RPS27/RPL36AL/RPL26L1/RPL8/RPL27/RPS15/RPS12/EIF3K/FAU/EIF3J/RPL18/EIF2S2/RPLP0/RPL18A/RPL22/RPS15A/RPS10/RPS6/RPS18/RPS17/RPL31/EIF2S1/RPLP2/EIF2S3/EIF3F/RPL21/RPL23/RPS21/RPS19/RPL36A/EIF3D",113,"VSMC_P","AKI_vs_Normal"
"R-HSA-72706","GTP hydrolysis and joining of the 60S ribosomal subunit","108/3139","113/11230",0.955752212389381,3.41927280826147,16.0988688072123,1.23489645922979e-53,4.08997707296906e-51,2.25921057488566e-51,"RPS4Y1/EIF4A1/RPS26/RPS2/EIF1AX/RPS16/RPL37A/RPL5/EIF3H/RPL39/RPS4X/EIF4H/RPL10/RPL9/RPS3/RPS23/RPL13A/RPS27L/EIF5/RPS14/RPS20/RPL6/RPS8/RPL19/RPLP1/EIF3A/UBA52/EIF3I/EIF3L/RPL10A/RPS11/RPL4/RPL38/RPL3/RPL35A/RPL11/RPS25/RPL15/RPL22L1/RPL13/RPL32/RPL35/RPSA/RPL17/RPS27A/RPL7A/RPL12/RPL23A/RPL26/RPL27A/EIF4A2/RPL34/RPL41/RPL24/EIF3M/RPS24/RPL37/RPS3A/RPS7/EIF3B/RPS13/EIF3G/RPS9/EIF4G1/RPL14/RPL36/RPL7/EIF3E/RPL30/RPS28/EIF5B/RPL29/RPL28/RPS5/EIF4B/RPS29/EIF4E/RPS27/RPL36AL/RPL26L1/RPL8/RPL27/RPS15/RPS12/EIF3K/FAU/EIF3J/RPL18/EIF2S2/RPLP0/RPL18A/RPL22/RPS15A/RPS10/RPS6/RPS18/RPS17/RPL31/EIF2S1/RPLP2/EIF2S3/EIF3F/RPL21/RPL23/RPS21/RPS19/RPL36A/EIF3D",108,"VSMC_P","AKI_vs_Normal"
"R-HSA-156827","L13a-mediated translational silencing of Ceruloplasmin expression","107/3139","112/11230",0.955357142857143,3.4178594183771,16.0173926036082,4.32858217950352e-53,1.19468868154297e-50,6.59918932278694e-51,"RPS4Y1/EIF4A1/RPS26/RPS2/EIF1AX/RPS16/RPL37A/RPL5/EIF3H/RPL39/RPS4X/EIF4H/RPL10/RPL9/RPS3/RPS23/RPL13A/RPS27L/RPS14/RPS20/RPL6/RPS8/RPL19/RPLP1/EIF3A/UBA52/EIF3I/EIF3L/RPL10A/RPS11/RPL4/RPL38/RPL3/RPL35A/RPL11/RPS25/RPL15/RPL22L1/RPL13/RPL32/RPL35/RPSA/RPL17/RPS27A/RPL7A/RPL12/RPL23A/RPL26/RPL27A/EIF4A2/RPL34/RPL41/RPL24/PABPC1/EIF3M/RPS24/RPL37/RPS3A/RPS7/EIF3B/RPS13/EIF3G/RPS9/EIF4G1/RPL14/RPL36/RPL7/EIF3E/RPL30/RPS28/RPL29/RPL28/RPS5/EIF4B/RPS29/EIF4E/RPS27/RPL36AL/RPL26L1/RPL8/RPL27/RPS15/RPS12/EIF3K/FAU/EIF3J/RPL18/EIF2S2/RPLP0/RPL18A/RPL22/RPS15A/RPS10/RPS6/RPS18/RPS17/RPL31/EIF2S1/RPLP2/EIF2S3/EIF3F/RPL21/RPL23/RPS21/RPS19/RPL36A/EIF3D",107,"VSMC_P","AKI_vs_Normal"
"R-HSA-376176","Signaling by ROBO receptors","162/3139","205/11230",0.790243902439024,2.8271548341479,16.4447804958037,5.41063600366745e-53,1.28000188886761e-50,7.07044013110829e-51,"RPS4Y1/UBC/CDC42/PFN1/ABL2/RPS26/RPS2/ELOB/RBX1/PRKACB/RPS16/NRP1/PSMA4/RPL37A/RPL5/RPL39/RPS4X/RPL10/RPL9/RPS3/RPS23/CASC3/RPL13A/RPS27L/RPS14/PSMD7/PFN2/RPS20/RPL6/RPS8/RPL19/CXCL12/DAG1/RPLP1/UBA52/ELOC/RBM8A/COL4A5/RPL10A/RPS11/ZSWIM8/RPL4/RPL38/RPL3/RPL35A/RPL11/RPS25/RPL15/RPL22L1/PSMA2/RPL13/RPL32/ETF1/RPL35/RPSA/RPL17/RPS27A/RPL7A/RPL12/RPL23A/RPL26/ABL1/SEM1/USP33/RPL27A/RPL34/RPL41/RPL24/PABPC1/PSMC1/RPS24/RPL37/RNPS1/MAGOH/RHOA/PSMB3/RPS3A/CAP2/RPS7/ENAH/RPS13/RPS9/EIF4G1/PSMC3/UPF3A/RPL14/RPL36/RPL7/NCBP2/PSMB1/RPL30/RPS28/PPP3CB/UBB/PSMC2/PSMD6/RPL29/RPL28/RPS5/RPS29/RPS27/PSMC6/RPL36AL/PSMB6/CLASP2/RPL26L1/RPL8/PSMB2/PSMD12/MYO9B/PSMC5/PSMD11/PSMC4/SOS1/RPL27/CAP1/RAC1/UPF2/RPS15/ADRM1/VASP/EIF4A3/RPS12/PSMD14/PRKCA/PAK2/FAU/RPL18/EVL/SLIT3/RPLP0/RPL18A/PSMD3/SOS2/PSMA1/RPL22/RPS15A/RPS10/RPS6/PSMA3/PSMD8/PRKACA/RPS18/GSPT1/PSMB7/RPS17/PSMA5/PSMB5/PSMD1/PSMD13/RPL31/RPLP2/PSMA7/PRKAR2A/NCK2/RPL21/RPL23/RPS21/RPS19/PSMD2/RPL36A/PSMB4",162,"VSMC_P","AKI_vs_Normal"
"R-HSA-9010553","Regulation of expression of SLITs and ROBOs","136/3139","159/11230",0.855345911949686,3.06006199146065,16.2948559037069,1.39440246386211e-52,2.88641310019457e-50,1.59438913302128e-50,"RPS4Y1/UBC/RPS26/RPS2/ELOB/RBX1/RPS16/PSMA4/RPL37A/RPL5/RPL39/RPS4X/RPL10/RPL9/RPS3/RPS23/CASC3/RPL13A/RPS27L/RPS14/PSMD7/RPS20/RPL6/RPS8/RPL19/DAG1/RPLP1/UBA52/ELOC/RBM8A/COL4A5/RPL10A/RPS11/ZSWIM8/RPL4/RPL38/RPL3/RPL35A/RPL11/RPS25/RPL15/RPL22L1/PSMA2/RPL13/RPL32/ETF1/RPL35/RPSA/RPL17/RPS27A/RPL7A/RPL12/RPL23A/RPL26/SEM1/USP33/RPL27A/RPL34/RPL41/RPL24/PABPC1/PSMC1/RPS24/RPL37/RNPS1/MAGOH/PSMB3/RPS3A/RPS7/RPS13/RPS9/EIF4G1/PSMC3/UPF3A/RPL14/RPL36/RPL7/NCBP2/PSMB1/RPL30/RPS28/UBB/PSMC2/PSMD6/RPL29/RPL28/RPS5/RPS29/RPS27/PSMC6/RPL36AL/PSMB6/RPL26L1/RPL8/PSMB2/PSMD12/PSMC5/PSMD11/PSMC4/RPL27/UPF2/RPS15/ADRM1/EIF4A3/RPS12/PSMD14/FAU/RPL18/RPLP0/RPL18A/PSMD3/PSMA1/RPL22/RPS15A/RPS10/RPS6/PSMA3/PSMD8/RPS18/GSPT1/PSMB7/RPS17/PSMA5/PSMB5/PSMD1/PSMD13/RPL31/RPLP2/PSMA7/RPL21/RPL23/RPS21/RPS19/PSMD2/RPL36A/PSMB4",136,"VSMC_P","AKI_vs_Normal"
"R-HSA-1799339","SRP-dependent cotranslational protein targeting to membrane","107/3139","113/11230",0.946902654867257,3.38761287485164,15.8881901633366,5.94993108577181e-52,1.09478731978201e-49,6.0473568579365e-50,"RPS4Y1/SEC61G/RPS26/RPS2/RPS16/RPL37A/RPL5/RPL39/RPS4X/RPL10/SRP9/RPL9/RPS3/RPS23/RPL13A/RPS27L/SEC61B/RPN1/RPS14/RPS20/RPL6/RPS8/RPL19/SSR1/RPLP1/UBA52/RPL10A/RPS11/RPL4/DDOST/RPL38/RPL3/RPN2/RPL35A/RPL11/RPS25/RPL15/RPL22L1/RPL13/RPL32/RPL35/RPSA/RPL17/SRP19/RPS27A/RPL7A/RPL12/RPL23A/RPL26/RPL27A/RPL34/RPL41/RPL24/RPS24/RPL37/RPS3A/RPS7/RPS13/RPS9/SSR2/RPL14/RPL36/RPL7/SRP68/SEC11A/RPL30/RPS28/SPCS2/SEC61A1/RPL29/RPL28/RPS5/SRP72/RPS29/RPS27/RPL36AL/SSR4/RPL26L1/SRPRA/RPL8/SSR3/RPL27/SRP14/RPS15/RPS12/FAU/RPL18/SEC11C/RPLP0/SPCS1/RPL18A/RPL22/RPS15A/RPS10/RPS6/RPS18/TRAM1/SPCS3/RPS17/RPL31/RPLP2/RPL21/RPL23/RPS21/RPS19/RPL36A/SRP54",107,"VSMC_P","AKI_vs_Normal"
"R-HSA-72689","Formation of a pool of free 40S subunits","97/3139","102/11230",0.950980392156863,3.40220127554048,15.1797989240599,1.16789304494088e-47,1.93403088242209e-45,1.06831479584592e-45,"RPS4Y1/RPS26/RPS2/EIF1AX/RPS16/RPL37A/RPL5/EIF3H/RPL39/RPS4X/RPL10/RPL9/RPS3/RPS23/RPL13A/RPS27L/RPS14/RPS20/RPL6/RPS8/RPL19/RPLP1/EIF3A/UBA52/EIF3I/EIF3L/RPL10A/RPS11/RPL4/RPL38/RPL3/RPL35A/RPL11/RPS25/RPL15/RPL22L1/RPL13/RPL32/RPL35/RPSA/RPL17/RPS27A/RPL7A/RPL12/RPL23A/RPL26/RPL27A/RPL34/RPL41/RPL24/EIF3M/RPS24/RPL37/RPS3A/RPS7/EIF3B/RPS13/EIF3G/RPS9/RPL14/RPL36/RPL7/EIF3E/RPL30/RPS28/RPL29/RPL28/RPS5/RPS29/RPS27/RPL36AL/RPL26L1/RPL8/RPL27/RPS15/RPS12/EIF3K/FAU/EIF3J/RPL18/RPLP0/RPL18A/RPL22/RPS15A/RPS10/RPS6/RPS18/RPS17/RPL31/RPLP2/EIF3F/RPL21/RPL23/RPS21/RPS19/RPL36A/EIF3D",97,"VSMC_P","AKI_vs_Normal"
"R-HSA-72163","mRNA Splicing - Major Pathway","154/3139","205/11230",0.751219512195122,2.68754224974553,15.1882376664602,2.42134160709515e-45,3.64521972849961e-43,2.01353670484755e-43,"DDX5/RBM39/HSPA8/HNRNPH1/POLR2L/HNRNPA1/SRSF7/HTATSF1/SRRM2/U2AF1/HNRNPA2B1/CWF19L2/SRSF5/CDC5L/TXNL4A/SRSF2/CASC3/U2SURP/WBP4/POLR2A/CWC27/DDX46/SMU1/PUF60/SNU13/RBM8A/SNRPB/LSM6/TRA2B/SNRPG/RBM7/SRSF3/WBP11/PRPF38A/POLR2I/FUS/HNRNPM/LSM7/PNN/SYF2/LSM8/SNRNP27/SNRNP40/FAM50A/SNW1/HNRNPD/BCAS2/RNPS1/HNRNPU/SNRPF/SF1/PRPF40A/YBX1/MAGOH/SF3B5/SNRNP70/LENG1/POLR2J/RBMX2/AQR/UBL5/PPWD1/XAB2/POLR2H/SNRPD3/SRSF10/PCBP2/NCBP2/CDC40/SF3B6/SNRPD2/SF3A3/CTNNBL1/HNRNPC/SNRPN/ZMAT2/BUD31/SAP18/MFAP1/LSM4/IK/SF3B1/RBM22/CWC15/PRPF8/RBMX/PQBP1/SF3B2/POLR2F/POLR2K/SNRPD1/POLR2B/PPIL4/PCBP1/HNRNPK/SRSF11/EIF4A3/HNRNPF/HNRNPR/GTF2F1/SRRM1/PTBP1/SNRPC/PPIE/SF3A1/MTREX/LSM5/HNRNPL/SRSF6/ZNF830/POLR2E/LSM3/SNRPA1/WDR70/ACIN1/SRSF4/PRPF31/NSRP1/RBM42/POLR2G/NKAP/SRSF9/HNRNPH2/PPIG/CRNKL1/CCAR1/SNRPE/SNRPB2/SF3B4/PPIH/RBM17/PHF5A/LUC7L3/TCERG1/ALYREF/U2AF2/FAM32A/RBM25/DNAJC8/LSM2/DDX42/POLR2C/SNRPA/RBM5/HNRNPA3/CCDC12/CWC22/DHX9/SRSF1/C9orf78/SNRNP200/DHX15/PLRG1/PRPF6",154,"VSMC_P","AKI_vs_Normal"
"R-HSA-72172","mRNA Splicing","158/3139","213/11230",0.741784037558685,2.65378615539472,15.1775816224793,2.79895583880689e-45,3.8625590575535e-43,2.13359002098525e-43,"DDX5/RBM39/HSPA8/HNRNPH1/POLR2L/HNRNPA1/SRSF7/HTATSF1/SRRM2/U2AF1/HNRNPA2B1/CWF19L2/SRSF5/CDC5L/TXNL4A/SRSF2/CASC3/U2SURP/WBP4/POLR2A/CWC27/DDX46/SMU1/PUF60/SNU13/RBM8A/SNRPB/LSM6/TRA2B/SNRPG/RBM7/RNPC3/SRSF3/WBP11/PRPF38A/POLR2I/FUS/HNRNPM/LSM7/PNN/SYF2/LSM8/SNRNP27/SNRNP40/FAM50A/SNW1/HNRNPD/BCAS2/RNPS1/HNRNPU/SNRPF/SF1/PRPF40A/YBX1/MAGOH/SF3B5/SNRNP70/LENG1/POLR2J/RBMX2/AQR/UBL5/PPWD1/XAB2/POLR2H/SNRPD3/SRSF10/PCBP2/NCBP2/CDC40/SF3B6/SNRPD2/SF3A3/CTNNBL1/HNRNPC/SNRPN/ZMAT2/BUD31/SAP18/MFAP1/LSM4/IK/SF3B1/RBM22/CWC15/PRPF8/RBMX/PQBP1/SF3B2/POLR2F/POLR2K/SNRPD1/POLR2B/PPIL4/PCBP1/HNRNPK/SRSF11/EIF4A3/HNRNPF/HNRNPR/PDCD7/GTF2F1/SRRM1/PTBP1/SNRPC/PPIE/SF3A1/MTREX/LSM5/HNRNPL/SRSF6/ZNF830/POLR2E/LSM3/SNRPA1/WDR70/ACIN1/SRSF4/PRPF31/NSRP1/RBM42/POLR2G/NKAP/SRSF9/HNRNPH2/SNRNP35/PPIG/CRNKL1/CCAR1/SNRPE/SNRPB2/SF3B4/PPIH/RBM17/PHF5A/LUC7L3/TCERG1/ALYREF/U2AF2/FAM32A/RBM25/DNAJC8/LSM2/DDX42/POLR2C/SNRPA/RBM5/HNRNPA3/CCDC12/CWC22/DHX9/SRSF1/C9orf78/SNRNP200/ZCRB1/DHX15/PLRG1/PRPF6",158,"VSMC_P","AKI_vs_Normal"
"R-HSA-9954709","Ribosome Quality Control (RQC) complex extracts and degrades nascent peptide","96/3139","103/11230",0.932038834951456,3.3344364818429,14.8243864585914,5.407343995775e-45,6.88812435154108e-43,3.8048436699016e-43,"UBC/ELOB/RBX1/PSMA4/RPL37A/RPL5/RPL39/RPL10/RPL9/RPL13A/PSMD7/RPL6/RPL19/RPLP1/UBA52/ELOC/RPL10A/RPL4/RPL38/TCF25/RPL3/RPL35A/RPL11/RPL15/RPL22L1/PSMA2/RPL13/RPL32/RPL35/RPL17/RPS27A/RPL7A/RPL12/RPL23A/RPL26/SEM1/RPL27A/RPL34/RPL41/RPL24/PSMC1/RPL37/UFD1/PSMB3/PSMC3/RPL14/RPL36/RPL7/PSMB1/RPL30/UBE2D2/UBB/NEMF/PSMC2/PSMD6/UBE2D1/RPL29/RPL28/PSMC6/RPL36AL/PSMB6/RPL26L1/RPL8/PSMB2/VCP/PSMD12/PSMC5/PSMD11/PSMC4/RPL27/ADRM1/PSMD14/RCHY1/RPL18/RPLP0/RPL18A/PSMD3/NPLOC4/PSMA1/RPL22/PSMA3/PSMD8/PSMB7/PSMA5/PSMB5/PSMD1/PSMD13/RPL31/RPLP2/PSMA7/RPL21/LTN1/RPL23/PSMD2/RPL36A/PSMB4",96,"VSMC_P","AKI_vs_Normal"
"R-HSA-927802","Nonsense-Mediated Decay (NMD)","104/3139","116/11230",0.896551724137931,3.20747877096813,14.8852259804728,1.20419225787662e-44,1.32942825269578e-42,7.34346015505108e-43,"RPS4Y1/RPS26/RPS2/RPS16/RPL37A/RPL5/PNRC2/RPL39/RPS4X/RPL10/RPL9/RPS3/RPS23/CASC3/RPL13A/RPS27L/RPS14/RPS20/RPL6/RPS8/RPL19/RPLP1/UBA52/RBM8A/RPL10A/RPS11/RPL4/RPL38/RPL3/RPL35A/RPL11/DCP1A/RPS25/RPL15/RPL22L1/RPL13/RPL32/ETF1/RPL35/RPSA/RPL17/RPS27A/RPL7A/RPL12/RPL23A/RPL26/RPL27A/RPL34/RPL41/RPL24/PABPC1/RPS24/RPL37/RNPS1/MAGOH/SMG6/RPS3A/RPS7/RPS13/RPS9/EIF4G1/UPF3A/RPL14/RPL36/RPL7/NCBP2/RPL30/RPS28/RPL29/RPL28/RPS5/RPS29/RPS27/RPL36AL/RPL26L1/RPL8/PPP2CA/SMG1/SMG7/RPL27/UPF2/RPS15/EIF4A3/RPS12/FAU/RPL18/RPLP0/RPL18A/RPL22/RPS15A/RPS10/RPS6/RPS18/GSPT1/RPS17/PPP2R2A/RPL31/RPLP2/RPL21/RPL23/RPS21/RPS19/PPP2R1A/RPL36A",104,"VSMC_P","AKI_vs_Normal"
"R-HSA-975957","Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC)","104/3139","116/11230",0.896551724137931,3.20747877096813,14.8852259804728,1.20419225787662e-44,1.32942825269578e-42,7.34346015505108e-43,"RPS4Y1/RPS26/RPS2/RPS16/RPL37A/RPL5/PNRC2/RPL39/RPS4X/RPL10/RPL9/RPS3/RPS23/CASC3/RPL13A/RPS27L/RPS14/RPS20/RPL6/RPS8/RPL19/RPLP1/UBA52/RBM8A/RPL10A/RPS11/RPL4/RPL38/RPL3/RPL35A/RPL11/DCP1A/RPS25/RPL15/RPL22L1/RPL13/RPL32/ETF1/RPL35/RPSA/RPL17/RPS27A/RPL7A/RPL12/RPL23A/RPL26/RPL27A/RPL34/RPL41/RPL24/PABPC1/RPS24/RPL37/RNPS1/MAGOH/SMG6/RPS3A/RPS7/RPS13/RPS9/EIF4G1/UPF3A/RPL14/RPL36/RPL7/NCBP2/RPL30/RPS28/RPL29/RPL28/RPS5/RPS29/RPS27/RPL36AL/RPL26L1/RPL8/PPP2CA/SMG1/SMG7/RPL27/UPF2/RPS15/EIF4A3/RPS12/FAU/RPL18/RPLP0/RPL18A/RPL22/RPS15A/RPS10/RPS6/RPS18/GSPT1/RPS17/PPP2R2A/RPL31/RPLP2/RPL21/RPL23/RPS21/RPS19/PPP2R1A/RPL36A",104,"VSMC_P","AKI_vs_Normal"
"R-HSA-156902","Peptide chain elongation","86/3139","90/11230",0.955555555555556,3.41856925418569,14.34836067896,7.61220937538434e-43,7.41518748566851e-41,4.09598139146068e-41,"RPS4Y1/RPS26/RPS2/RPS16/RPL37A/RPL5/RPL39/RPS4X/RPL10/RPL9/RPS3/RPS23/RPL13A/RPS27L/RPS14/RPS20/RPL6/RPS8/RPL19/RPLP1/UBA52/EEF1A1/RPL10A/RPS11/RPL4/RPL38/RPL3/RPL35A/RPL11/RPS25/RPL15/RPL22L1/RPL13/RPL32/RPL35/RPSA/RPL17/RPS27A/RPL7A/RPL12/RPL23A/RPL26/RPL27A/RPL34/RPL41/RPL24/RPS24/RPL37/RPS3A/RPS7/RPS13/RPS9/RPL14/RPL36/RPL7/RPL30/RPS28/RPL29/RPL28/RPS5/RPS29/RPS27/RPL36AL/RPL26L1/RPL8/EEF2/RPL27/RPS15/RPS12/FAU/RPL18/RPLP0/RPL18A/RPL22/RPS15A/RPS10/RPS6/RPS18/RPS17/RPL31/RPLP2/RPL21/RPL23/RPS21/RPS19/RPL36A",86,"VSMC_P","AKI_vs_Normal"
