"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","CellType","Condition"
"R-HSA-72766","Translation","318/4467","368/11230",0.864130434782609,2.17241656203463,18.5848807325397,3.55918513959572e-79,5.91892488714769e-76,3.47301539411077e-76,"MT-ND1/RPS25/RPS13/ELOB/MRPS6/MT-CYB/RPL14/RPLP1/MT-ATP8/MT-ND2/RPL30/RPS23/RPL38/RPL24/MRPL57/RPS29/NDUFAB1/SEM1/RPL41/RPL27A/UBC/RPL36AL/MT-CO3/RPL23A/FAU/RPL37A/RPL36/RPL9/RPS18/RPS28/RPL7A/RPL32/TRMT112/RPS21/MT-ND3/RPS27A/RPL6/RPL34/UBB/RPL5/RPS15A/RPL8/RPL37/MRPL34/RPL26/RPS16/RPS24/EEF1A1/RPL23/EEF1B2/RPL22/TRAM1/SEC61B/RPL13/RPL35A/RPL11/RPL18/MT-ATP6/SRP72/RPS7/PSMA2/RPL28/RPS4Y1/RPSA/RPL19/RPLP2/MRPL16/MT-CO2/RPS14/RPS15/RPL12/RPL31/RPL35/RPL27/RPS20/RPS11/RPL29/MRPL51/PSMB1/PABPC1/RPS19/EIF3E/RPLP0/EIF3K/EIF3J/EIF1AX/EIF2S3/RPL39/SPCS1/SRP14/RPS9/RPL18A/RPS17/AURKAIP1/ELOC/RPL7/MT-ND4/RPS6/RPL36A/RPS12/PSMA3/MRPL23/MT-CO1/PSMD1/MRPS28/SRP54/PSMC6/PSMC5/RPL21/PSMD8/MRPL17/MRPS26/UBA52/EIF3L/ETF1/MRPS33/MRPL36/MT-ND6/RPN2/MRPL40/RPL15/RPS26/MRPL41/AIMP2/LTN1/PSMD7/RBX1/GADD45GIP1/DDOST/SSR4/RPS5/RPN1/RPL10A/PSMA7/PSMD6/MRPS35/RPS3/MRPS18C/RPS4X/MRPL2/CHCHD1/SPCS3/MRPL33/MRPL27/PSMA1/EEF2/MRPL3/EIF4E/HBS1L/MRPL52/SSR1/EEF1E1/MRPL19/PSMC3/MRPS15/MRPL54/MRPL50/UFD1/MRPL20/RPS8/MRPS21/MRPL55/RPL13A/EIF3I/TCF25/PSMB7/PSMD14/MRPS11/MRPS7/GSPT1/ABCE1/MRPL49/MRPS12/GFM2/EIF3A/RPS27/SSR3/CARS2/PSMD3/MRPL24/EIF4A2/EIF3D/MRPS34/PSMC4/PSMB4/SEC61A1/PSMB3/MRPL43/MRPL35/EIF2B5/UBE2D3/MRPL37/MRPS17/MRPS10/VCP/PSMD2/EIF3H/MRPL1/SRPRA/WARS2/MRPL44/EIF4H/RPL4/EIF4A1/MRPL13/SEC61G/IARS2/DAP3/SRPRB/MRPS25/RCHY1/PPA1/MRPL48/RPS27L/SRP9/MT-ND4L/MRPL58/SPCS2/MRPS23/SRP19/EIF2S1/MRPS27/EIF4G1/PPA2/GFM1/SSR2/MRPL39/EIF3G/PSMD11/PELO/MRPS16/EIF3M/ANKZF1/PSMB5/EIF3B/RPL10/NEMF/MRPS14/MRPS5/SARS2/MRPL15/MRPL42/PTCD3/MTFMT/MRRF/EIF2B3/MALSU1/SEC11A/PSMB2/PSMB6/RPL3/MRPL12/FARSA/OXA1L/PSMA4/EIF4B/RPS3A/MRPS9/PSMC1/MTIF3/ADRM1/EIF5B/MRPS18B/PSMA5/RPS10/MRPL18/RPS2/UBE2D2/MRPL28/MRPL46/MRPS22/UBE2D1/EIF2S2/EARS2/RPL22L1/MRPL4/MRPS18A/NPLOC4/MRPL14/TUFM/MRPL21/EIF3F/EIF4EBP1/MIEF1/KLHDC10/EEF1D/ERAL1/TSFM/CUL2/MRPS31/TARS2/AIMP1/SEC11C/RARS2/MRPL32/PSMC2/EIF5/MRPS30/FARSB/EIF2B1/RPL26L1/MRPL11/MRPL22/MRPL9/APEH/RPL17/SRP68/MTRF1L/MTIF2/MRPS2/MT-ND5/PSMD12/MRPL30/MRPL47/EIF2B2/MRPL53/MRPL10/PSMD13",318,"DCT","HCKD_vs_Normal"
"R-HSA-1428517","Aerobic respiration and respiratory electron transport","214/4467","258/11230",0.829457364341085,2.08524875790248,14.3319430710371,4.64597965199954e-47,3.86313208063761e-44,2.26674901968609e-44,"MT-ND1/ATP5PD/COX7C/COX5B/NDUFA1/COX6A1/NDUFB1/ATP5MC2/ATP5MG/COX6C/ATP5F1D/ATP5PF/COX8A/ATP5F1E/NDUFB3/NDUFC1/UQCRH/MT-CYB/ATP5ME/UQCR11/ATP5PO/ATP5MC3/NDUFB8/MT-ATP8/MT-ND2/ATP5F1C/UQCRB/ATP5MC1/NDUFB4/NDUFAB1/ATP5MF/NDUFB10/NDUFB7/ATP5F1A/NDUFS5/COX7B/ATP5F1B/UBC/MT-CO3/COX6B1/NDUFA3/LDHB/ATP5PB/NDUFA13/COA3/MT-ND3/RPS27A/COX4I1/UBB/NDUFB11/NDUFC2/UQCRQ/LDHA/NDUFV2/NDUFS6/MPC1/NDUFB2/COX14/MPC2/MT-ATP6/HIGD2A/NDUFA2/NDUFB9/COX7A2/UQCRFS1/UQCR10/DMAC1/ISCU/MT-CO2/NDUFA11/COX5A/NDUFA5/NDUFS7/NDUFS4/NDUFAF8/SDHC/ETFB/SDHB/UQCC2/COX20/NDUFB6/IDH2/UCP2/SDHD/NDUFA6/NDUFA7/MDH1/NDUFA12/MT-ND4/PET100/NDUFAF3/NDUFV1/SCO2/MT-CO1/CMC1/NUBPL/COX17/GSTZ1/UBA52/NDUFS3/MT-ND6/SDHA/UQCC3/NDUFAF4/HIGD1A/NDUFS8/SURF1/OGDH/COA5/PNKD/CYC1/IDH3G/COX15/COX7A1/MDH2/NDUFA8/TTC19/COX11/GLO1/NDUFAF1/NDUFB5/SUCLG2/SUCLG1/MKLN1/PKM/LYRM2/PDHB/COQ10A/FXN/NDUFV3/ACO2/ISCA1/PDK2/COX19/NDUFA9/IDH3B/PDK4/TMEM126A/HAGH/SLC25A11/COX16/CS/NDUFS1/COX7A2L/FH/TMEM223/HSPA9/PDPR/HCCS/UQCRC2/TIMMDC1/IDH3A/DLST/ACAT1/PYURF/TMEM177/ISCA2/PDHA1/TMEM126B/VDAC1/UQCRC1/ME3/RAB5IF/NNT/MAEA/TIMM21/ME2/OXA1L/NDUFAF6/ETFDH/SLC25A12/GID8/LETM1/PDP1/FAHD1/NDUFA10/ETFA/ARMC8/SLC25A13/SDHAF1/FOXRED1/DMAC2/D2HGDH/RMND5A/SDHAF2/GOT1/SMIM20/WDR26/COQ10B/DLD/PDHX/HSCB/TRAP1/PDP2/NDUFAF2/NEK1/SUCLA2/UQCC1/TACO1/GOT2/SCO1/COA1/NDUFS2/LYRM7/BCS1L/NFS1/DLAT/MT-ND5/SFXN4/NDUFAF5/SDHAF3/LYRM4/PET117/RMND5B",214,"DCT","HCKD_vs_Normal"
"R-HSA-72203","Processing of Capped Intron-Containing Pre-mRNA","235/4467","294/11230",0.799319727891156,2.00948299624305,14.2545084556643,4.16827960070823e-46,2.31061632532593e-43,1.35578778591457e-43,"SNRPN/HNRNPH1/SF3B6/UBC/TXNL4A/RPS27A/UBL5/UBB/SNU13/ZC3H11A/SRSF2/WTAP/CWC27/POLR2J/PPP1CB/POLR2L/PABPN1/NUP160/FYTTD1/HNRNPA3/SMU1/HSPA8/CWC22/SRSF7/LUC7L3/NUP153/DDX5/LSM8/SF3B5/PRPF40A/PPIG/CPSF7/U2AF1/DHX15/SRSF3/THOC2/UBA52/BUD31/HNRNPA2B1/SAP18/POLR2F/FAM32A/PCBP1/PRPF6/SF3B1/NXT1/SNRPE/SNRPG/PTBP1/MAGOHB/U2SURP/FAM50A/WDR33/POLR2K/SRSF11/HNRNPU/XRN2/SNRNP35/IK/SNRPC/HNRNPF/SF3B2/POLR2I/PAPOLA/RBMX/WBP4/EIF4E/NSRP1/FUS/SRSF9/NUP54/SRRM2/NUP155/PNN/U2AF1L4/SYF2/RANBP2/DHX9/PPP1R8/RBM39/HNRNPL/SRRM1/NCBP2/NCBP1/DDX46/LSM3/SF1/SRSF10/RBM8A/SNRNP25/THOC7/LSM7/THOC6/YBX1/RBM5/CSTF3/SNRNP200/CASC3/TPR/SNRPD2/SLBP/RBM17/ZNF830/SRSF5/PQBP1/PCBP2/LSM2/HTATSF1/MAGOH/POLR2B/NUP88/NUP50/SNRNP27/THOC3/DDX39A/RNPC3/CPSF6/ALYREF/SNRNP70/PUF60/CCDC12/PLRG1/SNRPD1/HNRNPR/RBM42/HNRNPD/CHTOP/PPIE/ZCRB1/BCAS2/ISY1/SNRPA1/CWC15/SRSF1/CHERP/CDC5L/PPP1R10/DDX41/POLR2H/SRSF6/RAE1/DDX23/HNRNPK/HNRNPA1/HNRNPM/RBM7/POLR2E/SRSF4/AQR/SEC13/SNRPF/RBM25/PDCD7/NUP214/NUP93/SNRPB/ZMAT5/MTREX/WBP11/POLR2G/POLR2A/SNRPA/SRSF8/PRPF31/PPWD1/LSM4/RBBP6/RNF113A/SYMPK/RNPS1/TCERG1/PPIL3/PRKRIP1/NXF1/LSM5/SNW1/NUP133/PRPF8/PPIL4/CWF19L2/POLDIP3/HNRNPH2/TFIP11/PRPF38A/DNAJC8/SF3A1/C9orf78/SART1/SMNDC1/METTL3/PRCC/ZMAT2/POM121/EIF4A3/CCAR1/CSTF1/SF3A3/HNRNPC/CDC40/FIP1L1/DDX42/SF3B3/LSM6/NKAP/TRA2B/ACIN1/RBM10/SNRPD3/PPIH/PPIL2/NUDT21/GTF2F1/SF3B4/U2AF2/PCF11/RBM22/GCFC2/PPP1CA/CPSF2/MFAP1/SRRT/PRPF4/LENG1/AAAS/SF3A2/WDR70/PHF5A/CWC25/POLR2C/DHX38/SLU7/SNRPB2/XAB2/SNRNP40/NUP43",235,"DCT","HCKD_vs_Normal"
"R-HSA-72172","mRNA Splicing","183/4467","213/11230",0.859154929577465,2.15990818427467,13.8896263652971,7.5765270779457e-45,3.14994113265593e-42,1.8482738424357e-42,"SNRPN/HNRNPH1/SF3B6/TXNL4A/UBL5/SNU13/SRSF2/CWC27/POLR2J/POLR2L/HNRNPA3/SMU1/HSPA8/CWC22/SRSF7/LUC7L3/DDX5/LSM8/SF3B5/PRPF40A/PPIG/U2AF1/DHX15/SRSF3/BUD31/HNRNPA2B1/SAP18/POLR2F/FAM32A/PCBP1/PRPF6/SF3B1/SNRPE/SNRPG/PTBP1/MAGOHB/U2SURP/FAM50A/POLR2K/SRSF11/HNRNPU/SNRNP35/IK/SNRPC/HNRNPF/SF3B2/POLR2I/RBMX/WBP4/NSRP1/FUS/SRSF9/SRRM2/PNN/U2AF1L4/SYF2/DHX9/PPP1R8/RBM39/HNRNPL/SRRM1/NCBP2/NCBP1/DDX46/LSM3/SF1/SRSF10/RBM8A/SNRNP25/LSM7/YBX1/RBM5/SNRNP200/CASC3/SNRPD2/RBM17/ZNF830/SRSF5/PQBP1/PCBP2/LSM2/HTATSF1/MAGOH/POLR2B/SNRNP27/RNPC3/ALYREF/SNRNP70/PUF60/CCDC12/PLRG1/SNRPD1/HNRNPR/RBM42/HNRNPD/PPIE/ZCRB1/BCAS2/ISY1/SNRPA1/CWC15/SRSF1/CHERP/CDC5L/DDX41/POLR2H/SRSF6/DDX23/HNRNPK/HNRNPA1/HNRNPM/RBM7/POLR2E/SRSF4/AQR/SNRPF/RBM25/PDCD7/SNRPB/ZMAT5/MTREX/WBP11/POLR2G/POLR2A/SNRPA/SRSF8/PRPF31/PPWD1/LSM4/RNF113A/RNPS1/TCERG1/PPIL3/PRKRIP1/LSM5/SNW1/PRPF8/PPIL4/CWF19L2/HNRNPH2/TFIP11/PRPF38A/DNAJC8/SF3A1/C9orf78/SART1/SMNDC1/PRCC/ZMAT2/EIF4A3/CCAR1/SF3A3/HNRNPC/CDC40/DDX42/SF3B3/LSM6/NKAP/TRA2B/ACIN1/RBM10/SNRPD3/PPIH/PPIL2/GTF2F1/SF3B4/U2AF2/RBM22/GCFC2/MFAP1/SRRT/PRPF4/LENG1/SF3A2/WDR70/PHF5A/CWC25/POLR2C/DHX38/SLU7/SNRPB2/XAB2/SNRNP40",183,"DCT","HCKD_vs_Normal"
"R-HSA-72163","mRNA Splicing - Major Pathway","177/4467","205/11230",0.863414634146341,2.17061704532425,13.7471065403798,4.72990574784223e-44,1.57316665173233e-41,9.23078448052579e-42,"SNRPN/HNRNPH1/SF3B6/TXNL4A/UBL5/SNU13/SRSF2/CWC27/POLR2J/POLR2L/HNRNPA3/SMU1/HSPA8/CWC22/SRSF7/LUC7L3/DDX5/LSM8/SF3B5/PRPF40A/PPIG/U2AF1/DHX15/SRSF3/BUD31/HNRNPA2B1/SAP18/POLR2F/FAM32A/PCBP1/PRPF6/SF3B1/SNRPE/SNRPG/PTBP1/MAGOHB/U2SURP/FAM50A/POLR2K/SRSF11/HNRNPU/IK/SNRPC/HNRNPF/SF3B2/POLR2I/RBMX/WBP4/NSRP1/FUS/SRSF9/SRRM2/PNN/U2AF1L4/SYF2/DHX9/PPP1R8/RBM39/HNRNPL/SRRM1/NCBP2/NCBP1/DDX46/LSM3/SF1/SRSF10/RBM8A/LSM7/YBX1/RBM5/SNRNP200/CASC3/SNRPD2/RBM17/ZNF830/SRSF5/PQBP1/PCBP2/LSM2/HTATSF1/MAGOH/POLR2B/SNRNP27/ALYREF/SNRNP70/PUF60/CCDC12/PLRG1/SNRPD1/HNRNPR/RBM42/HNRNPD/PPIE/BCAS2/ISY1/SNRPA1/CWC15/SRSF1/CHERP/CDC5L/DDX41/POLR2H/SRSF6/DDX23/HNRNPK/HNRNPA1/HNRNPM/RBM7/POLR2E/SRSF4/AQR/SNRPF/RBM25/SNRPB/MTREX/WBP11/POLR2G/POLR2A/SNRPA/SRSF8/PRPF31/PPWD1/LSM4/RNF113A/RNPS1/TCERG1/PPIL3/PRKRIP1/LSM5/SNW1/PRPF8/PPIL4/CWF19L2/HNRNPH2/TFIP11/PRPF38A/DNAJC8/SF3A1/C9orf78/SART1/SMNDC1/PRCC/ZMAT2/EIF4A3/CCAR1/SF3A3/HNRNPC/CDC40/DDX42/SF3B3/LSM6/NKAP/TRA2B/ACIN1/RBM10/SNRPD3/PPIH/PPIL2/GTF2F1/SF3B4/U2AF2/RBM22/GCFC2/MFAP1/SRRT/PRPF4/LENG1/SF3A2/WDR70/PHF5A/CWC25/POLR2C/DHX38/SLU7/SNRPB2/XAB2/SNRNP40",177,"DCT","HCKD_vs_Normal"
"R-HSA-9948299","Ribosome-associated quality control","136/4467","145/11230",0.937931034482759,2.35795064187181,13.3754671950669,7.43031805694456e-44,2.05943648811647e-41,1.20840435768204e-41,"RPS25/RPS13/ELOB/RPL14/RPLP1/RPL30/RPS23/RPL38/RPL24/RPS29/SEM1/RPL41/RPL27A/UBC/RPL36AL/RPL23A/FAU/RPL37A/RPL36/RPL9/RPS18/RPS28/RPL7A/RPL32/RPS21/RPS27A/RPL6/RPL34/UBB/RPL5/RPS15A/RPL8/RPL37/RPL26/RPS16/RPS24/RPL23/RPL22/RPL13/RPL35A/RPL11/RPL18/RPS7/PSMA2/RPL28/RPS4Y1/RPSA/RPL19/RPLP2/RPS14/RPS15/RPL12/RPL31/RPL35/RPL27/RPS20/RPS11/RPL29/PSMB1/RPS19/RPLP0/RPL39/RPS9/RPL18A/RPS17/ELOC/RPL7/RPS6/RPL36A/RPS12/PSMA3/PSMD1/PSMC6/PSMC5/RPL21/PSMD8/UBA52/RPL15/RPS26/LTN1/PSMD7/RBX1/RPS5/RPL10A/PSMA7/PSMD6/RPS3/RPS4X/PSMA1/HBS1L/PSMC3/UFD1/RPS8/RPL13A/TCF25/PSMB7/PSMD14/ABCE1/RPS27/PSMD3/PSMC4/PSMB4/PSMB3/UBE2D3/VCP/PSMD2/RPL4/RCHY1/RPS27L/PSMD11/PELO/ANKZF1/PSMB5/RPL10/NEMF/PSMB2/PSMB6/RPL3/PSMA4/RPS3A/PSMC1/ADRM1/PSMA5/RPS10/RPS2/UBE2D2/UBE2D1/RPL22L1/NPLOC4/KLHDC10/CUL2/PSMC2/RPL26L1/RPL17/PSMD12/PSMD13",136,"DCT","HCKD_vs_Normal"
"R-HSA-611105","Respiratory electron transport","142/4467","157/11230",0.904458598726115,2.27380122312386,13.0625408392668,7.62552149107223e-41,1.81160603423616e-38,1.06298622890586e-38,"MT-ND1/COX7C/COX5B/NDUFA1/COX6A1/NDUFB1/COX6C/COX8A/NDUFB3/NDUFC1/UQCRH/MT-CYB/UQCR11/NDUFB8/MT-ND2/UQCRB/NDUFB4/NDUFAB1/NDUFB10/NDUFB7/NDUFS5/COX7B/MT-CO3/COX6B1/NDUFA3/NDUFA13/COA3/MT-ND3/COX4I1/NDUFB11/NDUFC2/UQCRQ/NDUFV2/NDUFS6/NDUFB2/COX14/HIGD2A/NDUFA2/NDUFB9/COX7A2/UQCRFS1/UQCR10/DMAC1/ISCU/MT-CO2/NDUFA11/COX5A/NDUFA5/NDUFS7/NDUFS4/NDUFAF8/SDHC/ETFB/SDHB/UQCC2/COX20/NDUFB6/SDHD/NDUFA6/NDUFA7/MDH1/NDUFA12/MT-ND4/PET100/NDUFAF3/NDUFV1/SCO2/MT-CO1/CMC1/NUBPL/COX17/NDUFS3/MT-ND6/SDHA/UQCC3/NDUFAF4/HIGD1A/NDUFS8/SURF1/COA5/PNKD/CYC1/COX15/COX7A1/MDH2/NDUFA8/TTC19/COX11/NDUFAF1/NDUFB5/LYRM2/COQ10A/FXN/NDUFV3/COX19/NDUFA9/TMEM126A/SLC25A11/COX16/NDUFS1/COX7A2L/TMEM223/HSPA9/HCCS/UQCRC2/TIMMDC1/PYURF/TMEM177/TMEM126B/UQCRC1/RAB5IF/TIMM21/OXA1L/NDUFAF6/ETFDH/SLC25A12/LETM1/NDUFA10/ETFA/SLC25A13/FOXRED1/DMAC2/GOT1/SMIM20/COQ10B/HSCB/TRAP1/NDUFAF2/UQCC1/TACO1/GOT2/SCO1/COA1/NDUFS2/LYRM7/BCS1L/NFS1/MT-ND5/SFXN4/NDUFAF5/LYRM4/PET117",142,"DCT","HCKD_vs_Normal"
"R-HSA-72613","Eukaryotic Translation Initiation","114/4467","120/11230",0.95,2.38829191851354,12.4257671949922,1.81559525551172e-38,3.35481656657332e-36,1.96848748755481e-36,"RPS25/RPS13/RPL14/RPLP1/RPL30/RPS23/RPL38/RPL24/RPS29/RPL41/RPL27A/RPL36AL/RPL23A/FAU/RPL37A/RPL36/RPL9/RPS18/RPS28/RPL7A/RPL32/RPS21/RPS27A/RPL6/RPL34/RPL5/RPS15A/RPL8/RPL37/RPL26/RPS16/RPS24/RPL23/RPL22/RPL13/RPL35A/RPL11/RPL18/RPS7/RPL28/RPS4Y1/RPSA/RPL19/RPLP2/RPS14/RPS15/RPL12/RPL31/RPL35/RPL27/RPS20/RPS11/RPL29/PABPC1/RPS19/EIF3E/RPLP0/EIF3K/EIF3J/EIF1AX/EIF2S3/RPL39/RPS9/RPL18A/RPS17/RPL7/RPS6/RPL36A/RPS12/RPL21/UBA52/EIF3L/RPL15/RPS26/RPS5/RPL10A/RPS3/RPS4X/EIF4E/RPS8/RPL13A/EIF3I/EIF3A/RPS27/EIF4A2/EIF3D/EIF2B5/EIF3H/EIF4H/RPL4/EIF4A1/RPS27L/EIF2S1/EIF4G1/EIF3G/EIF3M/EIF3B/RPL10/EIF2B3/RPL3/EIF4B/RPS3A/EIF5B/RPS10/RPS2/EIF2S2/RPL22L1/EIF3F/EIF4EBP1/EIF5/EIF2B1/RPL26L1/RPL17/EIF2B2",114,"DCT","HCKD_vs_Normal"
"R-HSA-72737","Cap-dependent Translation Initiation","114/4467","120/11230",0.95,2.38829191851354,12.4257671949922,1.81559525551172e-38,3.35481656657332e-36,1.96848748755481e-36,"RPS25/RPS13/RPL14/RPLP1/RPL30/RPS23/RPL38/RPL24/RPS29/RPL41/RPL27A/RPL36AL/RPL23A/FAU/RPL37A/RPL36/RPL9/RPS18/RPS28/RPL7A/RPL32/RPS21/RPS27A/RPL6/RPL34/RPL5/RPS15A/RPL8/RPL37/RPL26/RPS16/RPS24/RPL23/RPL22/RPL13/RPL35A/RPL11/RPL18/RPS7/RPL28/RPS4Y1/RPSA/RPL19/RPLP2/RPS14/RPS15/RPL12/RPL31/RPL35/RPL27/RPS20/RPS11/RPL29/PABPC1/RPS19/EIF3E/RPLP0/EIF3K/EIF3J/EIF1AX/EIF2S3/RPL39/RPS9/RPL18A/RPS17/RPL7/RPS6/RPL36A/RPS12/RPL21/UBA52/EIF3L/RPL15/RPS26/RPS5/RPL10A/RPS3/RPS4X/EIF4E/RPS8/RPL13A/EIF3I/EIF3A/RPS27/EIF4A2/EIF3D/EIF2B5/EIF3H/EIF4H/RPL4/EIF4A1/RPS27L/EIF2S1/EIF4G1/EIF3G/EIF3M/EIF3B/RPL10/EIF2B3/RPL3/EIF4B/RPS3A/EIF5B/RPS10/RPS2/EIF2S2/RPL22L1/EIF3F/EIF4EBP1/EIF5/EIF2B1/RPL26L1/RPL17/EIF2B2",114,"DCT","HCKD_vs_Normal"
"R-HSA-1799339","SRP-dependent cotranslational protein targeting to membrane","108/4467","113/11230",0.955752212389381,2.40275293152737,12.179667358052,3.14998726082205e-37,4.76220801340643e-35,2.79429491940865e-35,"RPS25/RPS13/RPL14/RPLP1/RPL30/RPS23/RPL38/RPL24/RPS29/RPL41/RPL27A/RPL36AL/RPL23A/FAU/RPL37A/RPL36/RPL9/RPS18/RPS28/RPL7A/RPL32/RPS21/RPS27A/RPL6/RPL34/RPL5/RPS15A/RPL8/RPL37/RPL26/RPS16/RPS24/RPL23/RPL22/TRAM1/SEC61B/RPL13/RPL35A/RPL11/RPL18/SRP72/RPS7/RPL28/RPS4Y1/RPSA/RPL19/RPLP2/RPS14/RPS15/RPL12/RPL31/RPL35/RPL27/RPS20/RPS11/RPL29/RPS19/RPLP0/RPL39/SPCS1/SRP14/RPS9/RPL18A/RPS17/RPL7/RPS6/RPL36A/RPS12/SRP54/RPL21/UBA52/RPN2/RPL15/RPS26/DDOST/SSR4/RPS5/RPN1/RPL10A/RPS3/RPS4X/SPCS3/SSR1/RPS8/RPL13A/RPS27/SSR3/SEC61A1/SRPRA/RPL4/SEC61G/SRPRB/RPS27L/SRP9/SPCS2/SRP19/SSR2/RPL10/SEC11A/RPL3/RPS3A/RPS10/RPS2/RPL22L1/SEC11C/RPL26L1/RPL17/SRP68",108,"DCT","HCKD_vs_Normal"
"R-HSA-72706","GTP hydrolysis and joining of the 60S ribosomal subunit","108/4467","113/11230",0.955752212389381,2.40275293152737,12.179667358052,3.14998726082205e-37,4.76220801340643e-35,2.79429491940865e-35,"RPS25/RPS13/RPL14/RPLP1/RPL30/RPS23/RPL38/RPL24/RPS29/RPL41/RPL27A/RPL36AL/RPL23A/FAU/RPL37A/RPL36/RPL9/RPS18/RPS28/RPL7A/RPL32/RPS21/RPS27A/RPL6/RPL34/RPL5/RPS15A/RPL8/RPL37/RPL26/RPS16/RPS24/RPL23/RPL22/RPL13/RPL35A/RPL11/RPL18/RPS7/RPL28/RPS4Y1/RPSA/RPL19/RPLP2/RPS14/RPS15/RPL12/RPL31/RPL35/RPL27/RPS20/RPS11/RPL29/RPS19/EIF3E/RPLP0/EIF3K/EIF3J/EIF1AX/EIF2S3/RPL39/RPS9/RPL18A/RPS17/RPL7/RPS6/RPL36A/RPS12/RPL21/UBA52/EIF3L/RPL15/RPS26/RPS5/RPL10A/RPS3/RPS4X/EIF4E/RPS8/RPL13A/EIF3I/EIF3A/RPS27/EIF4A2/EIF3D/EIF3H/EIF4H/RPL4/EIF4A1/RPS27L/EIF2S1/EIF4G1/EIF3G/EIF3M/EIF3B/RPL10/RPL3/EIF4B/RPS3A/EIF5B/RPS10/RPS2/EIF2S2/RPL22L1/EIF3F/EIF5/RPL26L1/RPL17",108,"DCT","HCKD_vs_Normal"
"R-HSA-9010553","Regulation of expression of SLITs and ROBOs","140/4467","159/11230",0.880503144654088,2.21357741537171,12.5251070347076,3.79983413794469e-37,5.26593680950168e-35,3.08986512796028e-35,"RPS25/RPS13/ELOB/RPL14/RPLP1/RPL30/RPS23/RPL38/RPL24/RPS29/SEM1/RPL41/RPL27A/UBC/RPL36AL/RPL23A/FAU/RPL37A/RPL36/RPL9/RPS18/RPS28/RPL7A/RPL32/RPS21/RPS27A/RPL6/RPL34/UBB/RPL5/RPS15A/RPL8/RPL37/RPL26/RPS16/RPS24/RPL23/RPL22/RPL13/RPL35A/RPL11/RPL18/RPS7/PSMA2/RPL28/RPS4Y1/RPSA/RPL19/RPLP2/RPS14/RPS15/RPL12/RPL31/RPL35/RPL27/RPS20/RPS11/RPL29/PSMB1/PABPC1/RPS19/RPLP0/RPL39/RPS9/RPL18A/RPS17/ELOC/RPL7/SLIT2/RPS6/RPL36A/RPS12/PSMA3/PSMD1/PSMC6/PSMC5/RPL21/USP33/PSMD8/UBA52/ETF1/RPL15/RPS26/PSMD7/RBX1/RPS5/MAGOHB/RPL10A/PSMA7/PSMD6/RPS3/RPS4X/PSMA1/PSMC3/RPS8/RPL13A/PSMB7/PSMD14/GSPT1/NCBP2/NCBP1/RBM8A/RPS27/PSMD3/CASC3/PSMC4/PSMB4/PSMB3/PSMD2/MAGOH/RPL4/RPS27L/EIF4G1/PSMD11/UPF3A/PSMB5/DAG1/RPL10/PSMB2/PSMB6/RPL3/PSMA4/RPS3A/PSMC1/ADRM1/PSMA5/RPS10/ZSWIM8/RPS2/RNPS1/RPL22L1/UPF2/CUL2/PSMC2/EIF4A3/RPL26L1/RPL17/COL4A5/PSMD12/PSMD13",140,"DCT","HCKD_vs_Normal"
"R-HSA-156827","L13a-mediated translational silencing of Ceruloplasmin expression","107/4467","112/11230",0.955357142857143,2.40175973008411,12.1165249041339,7.67924142960045e-37,9.82352192109657e-35,5.76409457914139e-35,"RPS25/RPS13/RPL14/RPLP1/RPL30/RPS23/RPL38/RPL24/RPS29/RPL41/RPL27A/RPL36AL/RPL23A/FAU/RPL37A/RPL36/RPL9/RPS18/RPS28/RPL7A/RPL32/RPS21/RPS27A/RPL6/RPL34/RPL5/RPS15A/RPL8/RPL37/RPL26/RPS16/RPS24/RPL23/RPL22/RPL13/RPL35A/RPL11/RPL18/RPS7/RPL28/RPS4Y1/RPSA/RPL19/RPLP2/RPS14/RPS15/RPL12/RPL31/RPL35/RPL27/RPS20/RPS11/RPL29/PABPC1/RPS19/EIF3E/RPLP0/EIF3K/EIF3J/EIF1AX/EIF2S3/RPL39/RPS9/RPL18A/RPS17/RPL7/RPS6/RPL36A/RPS12/RPL21/UBA52/EIF3L/RPL15/RPS26/RPS5/RPL10A/RPS3/RPS4X/EIF4E/RPS8/RPL13A/EIF3I/EIF3A/RPS27/EIF4A2/EIF3D/EIF3H/EIF4H/RPL4/EIF4A1/RPS27L/EIF2S1/EIF4G1/EIF3G/EIF3M/EIF3B/RPL10/RPL3/EIF4B/RPS3A/RPS10/RPS2/EIF2S2/RPL22L1/EIF3F/RPL26L1/RPL17",107,"DCT","HCKD_vs_Normal"
