"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","CellType","Condition"
"R-HSA-72766","Translation","321/4523","368/11230",0.872282608695652,2.16576026877121,18.6723053757886,1.28187113735183e-80,2.13175170141609e-77,1.16987608008846e-77,"RPS4Y1/PSMD12/MT-ATP8/MT-ND1/RPS26/UBB/PSMA3/MT-ND4L/EIF1AX/MRPL15/RPL17/EEF1B2/RBX1/MRPL23/VCP/EIF2B1/SSR3/MTRF1L/RPL22L1/MRPL18/PSMC1/MRPS11/SRP9/PSMD6/MT-ND5/EEF1D/MRPS12/PSMD2/PSMA5/MRPL1/SEC61A1/SRP54/MRPS7/MRPL16/TCF25/SEC11A/MRPS5/RPL3/TUFM/MRPL52/PSMC4/MRPL48/RPL7/ELOB/MIEF1/EIF3A/SRP19/RPL23A/EIF3D/RPL26L1/EIF3I/MRPL4/RPS27/APEH/MRPL12/GADD45GIP1/EIF3M/UBE2D2/PSMB5/ABCE1/FAU/PSMC3/DDOST/PSMB3/UBE2D1/MRPS2/ANKZF1/MRPL22/PABPC1/PSMD8/RPS4X/MRPL32/RPS2/EEF2/MRPL19/MRPL34/AURKAIP1/PSMD11/EIF2S2/MT-CYB/MTIF3/PPA2/RPL37/SRP72/PSMA1/MRPS16/EIF2S3/RPN1/MRPL41/EIF2S1/PSMB2/EIF3J/FARSA/MRPS9/MRPS22/PSMD14/EIF4G1/RPL21/RPS19/RPL8/TRIP4/RPS13/PSMB1/RPS6/MRPL10/RPL22/MRPS28/FARSB/EIF4H/RPL24/RPL15/MRPL58/EIF2B4/AIMP1/MRPS33/RPLP2/SSR1/PSMC2/MRPS18C/MRPS14/PSMD1/MRPS18B/UBE2D3/MRPL43/RPS3/PSMA7/GFM1/EIF5B/EIF4E/TRAM1/MRPL57/RPL18/RPS14/MRPS6/EIF4B/PSMA4/MRPL13/NARS2/MT-ND3/MRPL42/MRPL51/MT-ND6/EIF4A2/MRPS18A/SSR2/SEC61B/EIF3H/PSMB7/PELO/MRPL40/MRPS25/ASCC2/MRRF/NPLOC4/RPN2/RPS15A/MRPL33/RPS23/RPS18/MRPL47/CARS2/CHCHD1/RPL36A/RPL10/RPL35/RPS10/EIF3E/MRPL21/SRPRB/RPL11/MALSU1/MRPS10/MT-CO1/RPL38/EIF4A1/RPL28/WARS2/MRPL36/RPL10A/MRPS31/MRPL9/SRP68/MRPL53/RPL9/RPS29/KLHDC10/PSMC6/MT-ATP6/RPL27/MRPL55/RPS27A/MRPS35/RPS11/IARS2/RPS17/LTN1/EIF3G/FARS2/MRPS27/RPL32/PTCD3/SRP14/HBS1L/PSMC5/MT-ND2/RPL35A/RPL7A/RPS20/RPS5/UBA52/NDUFAB1/RPLP1/MRPL37/MRPL35/OXA1L/RPL19/RCHY1/MT-CO3/RPL5/SSR4/MRPS34/RPS27L/RPS24/MTFMT/UBC/SEC11C/EIF3F/MRPS26/ELOC/MRPS21/ASCC3/GFM2/MRPS15/MRPL11/RPL34/MRPL49/MRPL39/RPL41/RPLP0/PSMB4/MRPL3/SPCS3/EEF1E1/MRPS30/MRPL30/RPS8/PPA1/TSFM/MRPS17/TRMT112/RPS7/EIF2B2/EIF3K/DAP3/PSMD3/MRPL14/MT-ND4/RPL36AL/PSMA2/RPS9/NEMF/UFD1/MRPL20/RPS12/RARS2/RPL31/RPS15/LARS2/MRPL28/CUL2/RPSA/SRPRA/GSPT1/MRPL2/EIF3B/RPS21/MRPL24/AIMP2/RPL29/SEC61G/EIF2B3/MRPL17/PSMD13/RPS3A/RPL30/MT-CO2/MRPL27/RPL39/MRPL46/RPL4/RPL39L/SPCS2/MRPL50/ADRM1/ETF1/RPS25/MRPL44/EIF3L/SPCS1/SEM1/PSMD7/PSMB6/MRPS23/RPL27A/RPL23/EIF5/ERAL1/EIF2B5/RPS28/RPL13/MRPL54/RPS16/RPL6/EEF1A1/RPL13A/RPL12/RPL37A/RPL14/RPL18A/RPL26/RPL36",321,"dC_IC_A","HCKD_vs_Normal"
"R-HSA-72203","Processing of Capped Intron-Containing Pre-mRNA","246/4523","294/11230",0.836734693877551,2.07749958263208,15.3737992808738,2.73429189137355e-54,2.27356370767711e-51,1.24770056306362e-51,"UBB/SLBP/NUP88/SNRNP35/GTF2F1/POLR2K/XRN2/U2SURP/PRPF38A/SRSF6/LSM6/DHX9/THOC7/PRPF40A/SNRPB2/PRCC/MAGOH/PABPN1/WTAP/PPP1CA/CSTF3/PAPOLG/RBM42/SNRNP200/HNRNPD/NSRP1/SRSF3/SDE2/SF3A3/SNRNP70/HNRNPF/PPP1CB/BCAS2/SAP18/HNRNPH1/SRRM2/HNRNPK/LSM3/SF3B5/PRPF8/SNRPE/POLDIP3/C9orf78/SRSF9/SART1/CWC27/FAM50A/U2AF1/ALYREF/PUF60/PPIL2/PPIH/NKAP/IK/PQBP1/HNRNPA1/LENG1/PPP1R8/SNRPD3/SEC13/SF3B4/BUD31/PLRG1/SNRNP40/PTBP1/ZMAT2/SRSF8/METTL14/PHF5A/SNRPB/SYF2/XAB2/CCDC12/TPR/PCBP1/EIF4E/SRSF2/POLR2J/HSPA8/CDC40/POLR2B/RBM22/SF3B2/NUP205/RBM39/PRPF31/RAE1/GCFC2/POLR2A/SRSF10/SNRPA/GTF2F2/YBX1/WDR33/SRRM1/PAPOLA/DNAJC8/SF3A2/NUP214/SRSF1/NUP98/PCBP2/TRA2B/RBM25/SF3B1/POLR2L/CCAR1/METTL3/RBM5/PRKRIP1/THOC6/RBM7/RNPS1/AQR/ZCRB1/SLU7/CDC5L/ACIN1/HNRNPA3/SNRPN/CWC15/RBM8A/TCERG1/RBM17/HNRNPL/NUP153/USP39/WBP11/SRRT/PPIL4/RBMX2/RPS27A/PCF11/SNRPA1/RBM10/DHX15/MFAP1/FIP1L1/SYMPK/HNRNPH2/NUP54/LSM2/NXT1/SMNDC1/CTNNBL1/POLR2I/U2AF2/SNRPC/UBA52/CWF19L2/CPSF1/CPSF2/NCBP2/DDX39A/LSM4/CPSF7/UBC/POLR2H/POLR2F/SNU13/LSM8/PRPF19/POM121/CASC3/TXNL4A/ISY1/CRNKL1/POLR2G/HNRNPR/SF3B3/SNRPD2/CSTF1/FUS/UBL5/SNRPD1/CHTOP/LSM5/HTATSF1/YJU2/NUP62/DDX5/NUDT21/SNRPF/RBBP6/POLR2C/SRSF7/DDX41/DDX42/HNRNPM/ZMAT5/LSM7/PPIL1/PPP1R10/PNN/PRPF18/NXF1/SARNP/SRSF11/RBMX/FAM32A/MAGOHB/WDR70/EIF4A3/HNRNPC/SNRNP25/NUP37/SEH1L/CWC22/ZC3H11A/NCBP1/SNRNP27/LUC7L3/DDX46/RANBP2/FYTTD1/HNRNPA2B1/SNW1/AAAS/THOC2/U2AF1L4/RNPC3/SRSF4/CWC25/CPSF6/POLR2E/SF1/CHERP/PPIL3/PDCD7/THOC3/WBP4/SNRPG/SMU1/PPIE/GLE1/PPIG/PRPF6/HNRNPU/SF3A1/NUP160/SF3B6/MTREX/SRSF5/DDX23/NUP35/NUP50",246,"dC_IC_A","HCKD_vs_Normal"
"R-HSA-9948299","Ribosome-associated quality control","140/4523","145/11230",0.96551724137931,2.39724930813391,13.9062405409543,5.69701210072128e-49,3.15804370783316e-46,1.73309104958784e-46,"RPS4Y1/PSMD12/RPS26/UBB/PSMA3/RPL17/RBX1/VCP/RPL22L1/PSMC1/PSMD6/PSMD2/PSMA5/TCF25/RPL3/PSMC4/RPL7/ELOB/RPL23A/RPL26L1/RPS27/UBE2D2/PSMB5/ABCE1/FAU/PSMC3/PSMB3/UBE2D1/ANKZF1/PSMD8/RPS4X/RPS2/PSMD11/RPL37/PSMA1/PSMB2/PSMD14/RPL21/RPS19/RPL8/TRIP4/RPS13/PSMB1/RPS6/RPL22/RPL24/RPL15/RPLP2/PSMC2/PSMD1/UBE2D3/RPS3/PSMA7/RPL18/RPS14/PSMA4/PSMB7/PELO/ASCC2/NPLOC4/RPS15A/RPS23/RPS18/RPL36A/RPL10/RPL35/RPS10/RPL11/RPL38/RPL28/RPL10A/RPL9/RPS29/KLHDC10/PSMC6/RPL27/RPS27A/RPS11/RPS17/LTN1/RPL32/HBS1L/PSMC5/RPL35A/RPL7A/RPS20/RPS5/UBA52/RPLP1/RPL19/RCHY1/RPL5/RPS27L/RPS24/UBC/ELOC/ASCC3/RPL34/RPL41/RPLP0/PSMB4/RPS8/RPS7/PSMD3/RPL36AL/PSMA2/RPS9/NEMF/UFD1/RPS12/RPL31/RPS15/CUL2/RPSA/RPS21/RPL29/PSMD13/RPS3A/RPL30/RPL39/RPL4/RPL39L/ADRM1/RPS25/SEM1/PSMD7/PSMB6/RPL27A/RPL23/RPS28/RPL13/RPS16/RPL6/RPL13A/RPL12/RPL37A/RPL14/RPL18A/RPL26/RPL36",140,"dC_IC_A","HCKD_vs_Normal"
"R-HSA-72172","mRNA Splicing","187/4523","213/11230",0.877934272300469,2.17979258853289,14.2752417665302,5.88915385301879e-48,2.44841571439256e-45,1.34365694488613e-45,"SNRNP35/GTF2F1/POLR2K/U2SURP/PRPF38A/SRSF6/LSM6/DHX9/PRPF40A/SNRPB2/PRCC/MAGOH/RBM42/SNRNP200/HNRNPD/NSRP1/SRSF3/SDE2/SF3A3/SNRNP70/HNRNPF/BCAS2/SAP18/HNRNPH1/SRRM2/HNRNPK/LSM3/SF3B5/PRPF8/SNRPE/C9orf78/SRSF9/SART1/CWC27/FAM50A/U2AF1/ALYREF/PUF60/PPIL2/PPIH/NKAP/IK/PQBP1/HNRNPA1/LENG1/PPP1R8/SNRPD3/SF3B4/BUD31/PLRG1/SNRNP40/PTBP1/ZMAT2/SRSF8/PHF5A/SNRPB/SYF2/XAB2/CCDC12/PCBP1/SRSF2/POLR2J/HSPA8/CDC40/POLR2B/RBM22/SF3B2/RBM39/PRPF31/GCFC2/POLR2A/SRSF10/SNRPA/GTF2F2/YBX1/SRRM1/DNAJC8/SF3A2/SRSF1/PCBP2/TRA2B/RBM25/SF3B1/POLR2L/CCAR1/RBM5/PRKRIP1/RBM7/RNPS1/AQR/ZCRB1/SLU7/CDC5L/ACIN1/HNRNPA3/SNRPN/CWC15/RBM8A/TCERG1/RBM17/HNRNPL/USP39/WBP11/SRRT/PPIL4/RBMX2/SNRPA1/RBM10/DHX15/MFAP1/HNRNPH2/LSM2/SMNDC1/CTNNBL1/POLR2I/U2AF2/SNRPC/CWF19L2/NCBP2/LSM4/POLR2H/POLR2F/SNU13/LSM8/PRPF19/CASC3/TXNL4A/ISY1/CRNKL1/POLR2G/HNRNPR/SF3B3/SNRPD2/FUS/UBL5/SNRPD1/LSM5/HTATSF1/YJU2/DDX5/SNRPF/POLR2C/SRSF7/DDX41/DDX42/HNRNPM/ZMAT5/LSM7/PPIL1/PNN/PRPF18/SRSF11/RBMX/FAM32A/MAGOHB/WDR70/EIF4A3/HNRNPC/SNRNP25/CWC22/NCBP1/SNRNP27/LUC7L3/DDX46/HNRNPA2B1/SNW1/U2AF1L4/RNPC3/SRSF4/CWC25/POLR2E/SF1/CHERP/PPIL3/PDCD7/WBP4/SNRPG/SMU1/PPIE/PPIG/PRPF6/HNRNPU/SF3A1/SF3B6/MTREX/SRSF5/DDX23",187,"dC_IC_A","HCKD_vs_Normal"
"R-HSA-72163","mRNA Splicing - Major Pathway","181/4523","205/11230",0.882926829268293,2.19218843526043,14.1466046864477,2.95829330026668e-47,9.83928351668696e-45,5.39966377122359e-45,"GTF2F1/POLR2K/U2SURP/PRPF38A/SRSF6/LSM6/DHX9/PRPF40A/SNRPB2/PRCC/MAGOH/RBM42/SNRNP200/HNRNPD/NSRP1/SRSF3/SDE2/SF3A3/SNRNP70/HNRNPF/BCAS2/SAP18/HNRNPH1/SRRM2/HNRNPK/LSM3/SF3B5/PRPF8/SNRPE/C9orf78/SRSF9/SART1/CWC27/FAM50A/U2AF1/ALYREF/PUF60/PPIL2/PPIH/NKAP/IK/PQBP1/HNRNPA1/LENG1/PPP1R8/SNRPD3/SF3B4/BUD31/PLRG1/SNRNP40/PTBP1/ZMAT2/SRSF8/PHF5A/SNRPB/SYF2/XAB2/CCDC12/PCBP1/SRSF2/POLR2J/HSPA8/CDC40/POLR2B/RBM22/SF3B2/RBM39/PRPF31/GCFC2/POLR2A/SRSF10/SNRPA/GTF2F2/YBX1/SRRM1/DNAJC8/SF3A2/SRSF1/PCBP2/TRA2B/RBM25/SF3B1/POLR2L/CCAR1/RBM5/PRKRIP1/RBM7/RNPS1/AQR/SLU7/CDC5L/ACIN1/HNRNPA3/SNRPN/CWC15/RBM8A/TCERG1/RBM17/HNRNPL/USP39/WBP11/SRRT/PPIL4/RBMX2/SNRPA1/RBM10/DHX15/MFAP1/HNRNPH2/LSM2/SMNDC1/CTNNBL1/POLR2I/U2AF2/SNRPC/CWF19L2/NCBP2/LSM4/POLR2H/POLR2F/SNU13/LSM8/PRPF19/CASC3/TXNL4A/ISY1/CRNKL1/POLR2G/HNRNPR/SF3B3/SNRPD2/FUS/UBL5/SNRPD1/LSM5/HTATSF1/YJU2/DDX5/SNRPF/POLR2C/SRSF7/DDX41/DDX42/HNRNPM/LSM7/PPIL1/PNN/PRPF18/SRSF11/RBMX/FAM32A/MAGOHB/WDR70/EIF4A3/HNRNPC/CWC22/NCBP1/SNRNP27/LUC7L3/DDX46/HNRNPA2B1/SNW1/U2AF1L4/SRSF4/CWC25/POLR2E/SF1/CHERP/PPIL3/WBP4/SNRPG/SMU1/PPIE/PPIG/PRPF6/HNRNPU/SF3A1/SF3B6/MTREX/SRSF5/DDX23",181,"dC_IC_A","HCKD_vs_Normal"
"R-HSA-1428517","Aerobic respiration and respiratory electron transport","213/4523","258/11230",0.825581395348837,2.0498074441228,14.0086499474222,3.66027961455174e-45,1.01450749983326e-42,5.5674779400287e-43,"MT-ATP8/MT-ND1/SMIM20/UBB/NDUFS4/GSTZ1/NDUFS1/ISCU/OGDH/MT-ND5/ISCA2/NDUFAF2/NDUFA3/PYURF/ATP5PD/TMEM126A/SDHB/COQ10B/NDUFB7/COX7A1/COX17/HIGD2A/ARMC8/UQCC1/LDHB/SDHAF2/PDK4/NDUFA10/ATP5PB/RANBP9/TMEM223/COX8A/NDUFS3/SDHC/UQCC2/PET100/CYC1/COA5/ETFA/ETFB/NDUFAF1/IDH3G/ATP5PF/SFXN4/MT-CYB/NDUFB10/DLAT/TIMM21/COX6C/TMEM186/NDUFAF7/MPC2/UQCRC2/HCCS/NDUFS8/UCP2/NDUFV1/COX11/COA1/UQCRFS1/SDHAF4/PKM/FOXRED1/COX7A2L/NDUFS5/ATP5F1D/UQCRC1/ISCA1/MDH2/SDHD/NDUFB9/SUCLG2/MT-ND3/LYRM2/NDUFB5/MT-ND6/LDHA/COX14/NDUFA2/NDUFA9/NDUFB6/TACO1/COX5B/NDUFA12/MAEA/HAGH/COX5A/ATP5MG/GOT1/PDHB/COX7B/NDUFAF4/COX6B1/CMC1/ATP5MC1/GLO1/TMEM126B/ATP5F1E/D2HGDH/MT-CO1/COX20/COA3/BCS1L/GID8/TTC19/NDUFA13/SLC25A13/COX6A1/IDH3B/HSPA9/ACO2/MPC1/SUCLA2/SLC25A12/ATP5MC3/MT-ATP6/RPS27A/SCO1/NEK1/RAB5IF/PDP1/MDH1/PDHA1/NDUFA11/CS/MT-ND2/DMAC2/NDUFB8/COQ10A/NFS1/UBA52/ATP5ME/NDUFAB1/IDH3A/ME3/OXA1L/LETM1/COX19/MT-CO3/HIGD1A/DLD/NDUFC2/SDHAF3/ATP5F1C/NDUFAF6/UBC/NDUFC1/NDUFA5/ETFDH/UQCR11/DLST/SUCLG1/NDUFB1/COX4I1/RMND5B/NDUFS7/NDUFV3/ATP5MC2/NDUFB4/DMAC1/COX16/NDUFAF8/FXN/HSCB/UQCRQ/MKLN1/NDUFS6/UQCR10/WDR26/GOT2/MT-ND4/PDK2/NDUFB2/NNT/SURF1/UQCRH/NDUFA1/SLC25A11/IDH2/TIMMDC1/NDUFS2/SDHA/ATP5MF/ATP5F1B/NDUFAF3/NDUFV2/PET117/SDHAF1/UQCC3/PNKD/MT-CO2/ATP5F1A/TMEM177/UQCRB/FH/RMND5A/NDUFA8/ATP5PO/VDAC1/TRAP1/ACAD9/LYRM7/ACAT1/COX7C/NDUFAF5/NDUFB11/NDUFB3/NDUFA6/PDHX/COX15/PDPR/NDUFA7/COX7A2",213,"dC_IC_A","HCKD_vs_Normal"
"R-HSA-611105","Respiratory electron transport","142/4523","157/11230",0.904458598726115,2.24564891967594,12.9072140862995,4.06752471466232e-40,9.66327657211921e-38,5.30307357535674e-38,"MT-ND1/SMIM20/NDUFS4/NDUFS1/ISCU/MT-ND5/NDUFAF2/NDUFA3/PYURF/TMEM126A/SDHB/COQ10B/NDUFB7/COX7A1/COX17/HIGD2A/UQCC1/NDUFA10/TMEM223/COX8A/NDUFS3/SDHC/UQCC2/PET100/CYC1/COA5/ETFA/ETFB/NDUFAF1/SFXN4/MT-CYB/NDUFB10/TIMM21/COX6C/TMEM186/NDUFAF7/UQCRC2/HCCS/NDUFS8/NDUFV1/COX11/COA1/UQCRFS1/FOXRED1/COX7A2L/NDUFS5/UQCRC1/MDH2/SDHD/NDUFB9/MT-ND3/LYRM2/NDUFB5/MT-ND6/COX14/NDUFA2/NDUFA9/NDUFB6/TACO1/COX5B/NDUFA12/COX5A/GOT1/COX7B/NDUFAF4/COX6B1/CMC1/TMEM126B/MT-CO1/COX20/COA3/BCS1L/TTC19/NDUFA13/SLC25A13/COX6A1/HSPA9/SLC25A12/SCO1/RAB5IF/MDH1/NDUFA11/MT-ND2/DMAC2/NDUFB8/COQ10A/NFS1/NDUFAB1/OXA1L/LETM1/COX19/MT-CO3/HIGD1A/NDUFC2/NDUFAF6/NDUFC1/NDUFA5/ETFDH/UQCR11/NDUFB1/COX4I1/NDUFS7/NDUFV3/NDUFB4/DMAC1/COX16/NDUFAF8/FXN/HSCB/UQCRQ/NDUFS6/UQCR10/GOT2/MT-ND4/NDUFB2/SURF1/UQCRH/NDUFA1/SLC25A11/TIMMDC1/NDUFS2/SDHA/NDUFAF3/NDUFV2/PET117/UQCC3/PNKD/MT-CO2/TMEM177/UQCRB/NDUFA8/TRAP1/ACAD9/LYRM7/COX7C/NDUFAF5/NDUFB11/NDUFB3/NDUFA6/COX15/NDUFA7/COX7A2",142,"dC_IC_A","HCKD_vs_Normal"
"R-HSA-72613","Eukaryotic Translation Initiation","115/4523","120/11230",0.958333333333333,2.3794126317341,12.4751987632265,2.48478672229625e-39,4.59133368797629e-37,2.51966092190742e-37,"RPS4Y1/RPS26/EIF1AX/RPL17/EIF2B1/RPL22L1/RPL3/RPL7/EIF3A/RPL23A/EIF3D/RPL26L1/EIF3I/RPS27/EIF3M/FAU/PABPC1/RPS4X/RPS2/EIF2S2/RPL37/EIF2S3/EIF2S1/EIF3J/EIF4G1/RPL21/RPS19/RPL8/RPS13/RPS6/RPL22/EIF4H/RPL24/RPL15/EIF2B4/RPLP2/RPS3/EIF5B/EIF4E/RPL18/RPS14/EIF4B/EIF4A2/EIF3H/RPS15A/RPS23/RPS18/RPL36A/RPL10/RPL35/RPS10/EIF3E/RPL11/RPL38/EIF4A1/RPL28/RPL10A/RPL9/RPS29/RPL27/RPS27A/RPS11/RPS17/EIF3G/RPL32/RPL35A/RPL7A/RPS20/RPS5/UBA52/RPLP1/RPL19/RPL5/RPS27L/RPS24/EIF3F/RPL34/RPL41/RPLP0/RPS8/RPS7/EIF2B2/EIF3K/RPL36AL/RPS9/RPS12/RPL31/RPS15/RPSA/EIF3B/RPS21/RPL29/EIF2B3/RPS3A/RPL30/RPL39/RPL4/RPL39L/RPS25/EIF3L/RPL27A/RPL23/EIF5/EIF2B5/RPS28/RPL13/RPS16/RPL6/RPL13A/RPL12/RPL37A/RPL14/RPL18A/RPL26/RPL36",115,"dC_IC_A","HCKD_vs_Normal"
"R-HSA-72737","Cap-dependent Translation Initiation","115/4523","120/11230",0.958333333333333,2.3794126317341,12.4751987632265,2.48478672229625e-39,4.59133368797629e-37,2.51966092190742e-37,"RPS4Y1/RPS26/EIF1AX/RPL17/EIF2B1/RPL22L1/RPL3/RPL7/EIF3A/RPL23A/EIF3D/RPL26L1/EIF3I/RPS27/EIF3M/FAU/PABPC1/RPS4X/RPS2/EIF2S2/RPL37/EIF2S3/EIF2S1/EIF3J/EIF4G1/RPL21/RPS19/RPL8/RPS13/RPS6/RPL22/EIF4H/RPL24/RPL15/EIF2B4/RPLP2/RPS3/EIF5B/EIF4E/RPL18/RPS14/EIF4B/EIF4A2/EIF3H/RPS15A/RPS23/RPS18/RPL36A/RPL10/RPL35/RPS10/EIF3E/RPL11/RPL38/EIF4A1/RPL28/RPL10A/RPL9/RPS29/RPL27/RPS27A/RPS11/RPS17/EIF3G/RPL32/RPL35A/RPL7A/RPS20/RPS5/UBA52/RPLP1/RPL19/RPL5/RPS27L/RPS24/EIF3F/RPL34/RPL41/RPLP0/RPS8/RPS7/EIF2B2/EIF3K/RPL36AL/RPS9/RPS12/RPL31/RPS15/RPSA/EIF3B/RPS21/RPL29/EIF2B3/RPS3A/RPL30/RPL39/RPL4/RPL39L/RPS25/EIF3L/RPL27A/RPL23/EIF5/EIF2B5/RPS28/RPL13/RPS16/RPL6/RPL13A/RPL12/RPL37A/RPL14/RPL18A/RPL26/RPL36",115,"dC_IC_A","HCKD_vs_Normal"
"R-HSA-72187","mRNA 3'-end processing","137/4523","152/11230",0.901315789473684,2.23784574746617,12.6176165256686,2.52370503932046e-38,4.19692148038993e-36,2.30321291483246e-36,"UBB/GTF2F1/POLR2K/XRN2/U2SURP/SRSF6/DHX9/THOC7/PRPF40A/SNRPB2/MAGOH/PABPN1/PPP1CA/CSTF3/PAPOLG/HNRNPD/SRSF3/SF3A3/SNRNP70/HNRNPF/PPP1CB/HNRNPH1/SRRM2/HNRNPK/SF3B5/SNRPE/POLDIP3/SRSF9/U2AF1/ALYREF/PUF60/HNRNPA1/PPP1R8/SNRPD3/SF3B4/PTBP1/SRSF8/PHF5A/SNRPB/PCBP1/SRSF2/POLR2J/CDC40/POLR2B/SF3B2/RBM39/POLR2A/SRSF10/SNRPA/GTF2F2/YBX1/WDR33/SRRM1/PAPOLA/DNAJC8/SF3A2/SRSF1/PCBP2/TRA2B/RBM25/SF3B1/POLR2L/CCAR1/RBM5/THOC6/RNPS1/SLU7/HNRNPA3/SNRPN/RBM8A/TCERG1/RBM17/HNRNPL/SRRT/RPS27A/PCF11/SNRPA1/RBM10/DHX15/FIP1L1/SYMPK/HNRNPH2/SMNDC1/POLR2I/U2AF2/SNRPC/UBA52/CPSF1/CPSF2/NCBP2/DDX39A/CPSF7/UBC/POLR2H/POLR2F/CASC3/POLR2G/HNRNPR/SF3B3/SNRPD2/CSTF1/FUS/SNRPD1/CHTOP/HTATSF1/DDX5/NUDT21/SNRPF/RBBP6/POLR2C/SRSF7/DDX42/HNRNPM/PPP1R10/SARNP/SRSF11/RBMX/MAGOHB/EIF4A3/HNRNPC/ZC3H11A/NCBP1/DDX46/FYTTD1/HNRNPA2B1/THOC2/U2AF1L4/SRSF4/CPSF6/POLR2E/CHERP/THOC3/SNRPG/HNRNPU/SF3A1/SF3B6/SRSF5",137,"dC_IC_A","HCKD_vs_Normal"
"R-HSA-1799339","SRP-dependent cotranslational protein targeting to membrane","109/4523","113/11230",0.964601769911504,2.39497631574313,12.2386054636127,3.54298094262904e-38,4.90998108966008e-36,2.69453024320998e-36,"RPS4Y1/RPS26/RPL17/SSR3/RPL22L1/SRP9/SEC61A1/SRP54/SEC11A/RPL3/RPL7/SRP19/RPL23A/RPL26L1/RPS27/FAU/DDOST/RPS4X/RPS2/RPL37/SRP72/RPN1/RPL21/RPS19/RPL8/RPS13/RPS6/RPL22/RPL24/RPL15/RPLP2/SSR1/RPS3/TRAM1/RPL18/RPS14/SSR2/SEC61B/RPN2/RPS15A/RPS23/RPS18/RPL36A/RPL10/RPL35/RPS10/SRPRB/RPL11/RPL38/RPL28/RPL10A/SRP68/RPL9/RPS29/RPL27/RPS27A/RPS11/RPS17/RPL32/SRP14/RPL35A/RPL7A/RPS20/RPS5/UBA52/RPLP1/RPL19/RPL5/SSR4/RPS27L/RPS24/SEC11C/RPL34/RPL41/RPLP0/SPCS3/RPS8/RPS7/RPL36AL/RPS9/RPS12/RPL31/RPS15/RPSA/SRPRA/RPS21/RPL29/SEC61G/RPS3A/RPL30/RPL39/RPL4/RPL39L/SPCS2/RPS25/SPCS1/RPL27A/RPL23/RPS28/RPL13/RPS16/RPL6/RPL13A/RPL12/RPL37A/RPL14/RPL18A/RPL26/RPL36",109,"dC_IC_A","HCKD_vs_Normal"
"R-HSA-72706","GTP hydrolysis and joining of the 60S ribosomal subunit","109/4523","113/11230",0.964601769911504,2.39497631574313,12.2386054636127,3.54298094262904e-38,4.90998108966008e-36,2.69453024320998e-36,"RPS4Y1/RPS26/EIF1AX/RPL17/RPL22L1/RPL3/RPL7/EIF3A/RPL23A/EIF3D/RPL26L1/EIF3I/RPS27/EIF3M/FAU/RPS4X/RPS2/EIF2S2/RPL37/EIF2S3/EIF2S1/EIF3J/EIF4G1/RPL21/RPS19/RPL8/RPS13/RPS6/RPL22/EIF4H/RPL24/RPL15/RPLP2/RPS3/EIF5B/EIF4E/RPL18/RPS14/EIF4B/EIF4A2/EIF3H/RPS15A/RPS23/RPS18/RPL36A/RPL10/RPL35/RPS10/EIF3E/RPL11/RPL38/EIF4A1/RPL28/RPL10A/RPL9/RPS29/RPL27/RPS27A/RPS11/RPS17/EIF3G/RPL32/RPL35A/RPL7A/RPS20/RPS5/UBA52/RPLP1/RPL19/RPL5/RPS27L/RPS24/EIF3F/RPL34/RPL41/RPLP0/RPS8/RPS7/EIF3K/RPL36AL/RPS9/RPS12/RPL31/RPS15/RPSA/EIF3B/RPS21/RPL29/RPS3A/RPL30/RPL39/RPL4/RPL39L/RPS25/EIF3L/RPL27A/RPL23/EIF5/RPS28/RPL13/RPS16/RPL6/RPL13A/RPL12/RPL37A/RPL14/RPL18A/RPL26/RPL36",109,"dC_IC_A","HCKD_vs_Normal"
"R-HSA-156827","L13a-mediated translational silencing of Ceruloplasmin expression","108/4523","112/11230",0.964285714285714,2.39419159217965,12.1769302238409,8.60818760852897e-38,1.10118584561413e-35,6.0431568069592e-36,"RPS4Y1/RPS26/EIF1AX/RPL17/RPL22L1/RPL3/RPL7/EIF3A/RPL23A/EIF3D/RPL26L1/EIF3I/RPS27/EIF3M/FAU/PABPC1/RPS4X/RPS2/EIF2S2/RPL37/EIF2S3/EIF2S1/EIF3J/EIF4G1/RPL21/RPS19/RPL8/RPS13/RPS6/RPL22/EIF4H/RPL24/RPL15/RPLP2/RPS3/EIF4E/RPL18/RPS14/EIF4B/EIF4A2/EIF3H/RPS15A/RPS23/RPS18/RPL36A/RPL10/RPL35/RPS10/EIF3E/RPL11/RPL38/EIF4A1/RPL28/RPL10A/RPL9/RPS29/RPL27/RPS27A/RPS11/RPS17/EIF3G/RPL32/RPL35A/RPL7A/RPS20/RPS5/UBA52/RPLP1/RPL19/RPL5/RPS27L/RPS24/EIF3F/RPL34/RPL41/RPLP0/RPS8/RPS7/EIF3K/RPL36AL/RPS9/RPS12/RPL31/RPS15/RPSA/EIF3B/RPS21/RPL29/RPS3A/RPL30/RPL39/RPL4/RPL39L/RPS25/EIF3L/RPL27A/RPL23/RPS28/RPL13/RPS16/RPL6/RPL13A/RPL12/RPL37A/RPL14/RPL18A/RPL26/RPL36",108,"dC_IC_A","HCKD_vs_Normal"
