"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","CellType","Condition"
"R-HSA-72766","Translation","272/3422","368/11230",0.739130434782609,2.42560922928366,18.4081502135329,3.31925278817206e-68,5.47344784769572e-65,2.93841220510811e-65,"MT-CYB/MT-ND2/MRPS6/UBC/ELOC/MT-ND3/MT-ND1/RPL27/RPL30/RPL7A/MRPS10/PSMA7/RPL10/SEC61A1/RPS4X/RPL13/RPS27A/MRPL14/RPL19/RCHY1/VCP/RPS7/SEC61B/SPCS3/UBE2D2/MT-CO1/TRAM1/RPL14/MRPL27/SEM1/EIF5/MT-ND6/RPS18/RPN2/RPS3A/RPL23/RPL17/PSMD12/MT-ATP6/ADRM1/UBB/RPS13/ASCC3/RPS28/RPL38/PSMA2/SRP14/RPS4Y1/PSMD11/RPL35A/PABPC1/MRPS18C/RPL13A/MRPS7/MT-CO2/RBX1/MT-ND5/RPL34/MTIF3/MRPL23/RPS3/GSPT1/EIF3E/HBS1L/RPL5/NPLOC4/RPS10/RPL24/MT-ATP8/EIF3L/RPL10A/RPS23/EIF4G1/MT-ND4L/SRP54/RPLP0/EEF2/RPL8/EEF1B2/RPL36AL/EIF2S1/RPS20/RPS11/RPL23A/PSMD7/PPA1/RPS15A/RPS29/MRPL9/MRPS2/RPL11/SPCS1/EIF3G/RPL22L1/MRPS21/MRPL40/MRPS14/MRPL33/EEF1A1/RPS14/EIF2S2/MALSU1/MRPL47/MRPS34/MRPL22/RPL9/RPL36A/MRPS18B/SSR4/MRPL36/MRPS5/SSR1/KLHDC10/PSMB3/EIF3J/PSMC5/RPS2/FAU/MRPL11/LTN1/RPS27/RPL32/ABCE1/PSMB2/UBE2D1/EIF4A2/PSMD6/RPL7/RPS27L/RPLP1/EIF2B2/EIF3F/MRPL42/RPS21/MRPL57/MRPS18A/GADD45GIP1/MRPL50/PSMD2/ELOB/MRPL37/RPL22/RPL6/MRPL18/AURKAIP1/MRPS12/MTRF1L/SEC11A/EIF4A1/SSR3/MRPL52/PSMD13/PSMB1/MRPL28/RPS25/RPL37/PSMA6/RPS9/RPL4/EIF3I/SPCS2/SRP9/CARS2/MRPL21/IARS2/PSMB4/CHCHD1/MRPS16/MRPS26/RPL28/MRPL32/RPL26/RPS24/RPL27A/MRPL51/RPL37A/EIF2S3/EIF3B/GFM1/UBA52/PSMD1/RPL35/RPSA/RPL18A/CUL2/PSMB6/MRPS28/AIMP1/EIF4E/EIF3A/MRPL2/MRPL43/MRPL17/RPL26L1/SRP72/PSMA1/MRPS33/MRPL41/RPL21/EIF3H/NDUFAB1/PSMD8/DDOST/PSMC1/SEC11C/UBE2D3/EIF1AX/RPLP2/MRPS11/SRP19/MT-CO3/MRPS15/DAP3/MRPL34/TRMT112/RPL15/RPS26/MRPS23/RPS6/PSMD3/PSMC4/PSMC2/RPS5/EIF3K/MRPL16/RPN1/RPL12/MRPL4/PSMC3/RPS17/PELO/RPL31/RPS15/MRPL19/ETF1/MRPL12/MRPL54/RPL3/PSMB7/RPL36/SEC61G/EIF5B/RPS8/MRPL20/RPL29/SSR2/EIF4B/PSMB5/PSMA4/EEF1D/PSMA3/RPL41/RPS19/RPS16/EIF3M/RPS12/TUFM/NEMF/PSMA5/MRPL13/ASCC2/TCF25/PSMC6/EIF2B5/EIF4H/EIF3D/RPL18/PSMD14/PTCD3/MRPL55/MT-ND4/RPL39",272,"EC_PTC","HCKD_vs_Normal"
"R-HSA-9948299","Ribosome-associated quality control","137/3422","145/11230",0.944827586206897,3.10064692960358,16.854266519548,7.04624048072615e-61,5.80962527635871e-58,3.11888854962668e-58,"UBC/ELOC/RPL27/RPL30/RPL7A/PSMA7/RPL10/RPS4X/RPL13/RPS27A/RPL19/RCHY1/VCP/RPS7/UBE2D2/RPL14/SEM1/RPS18/RPS3A/RPL23/RPL17/PSMD12/ADRM1/UBB/RPS13/ASCC3/RPS28/RPL38/PSMA2/RPS4Y1/PSMD11/RPL35A/RPL13A/RBX1/RPL34/RPS3/HBS1L/RPL5/NPLOC4/RPS10/RPL24/RPL10A/RPS23/RPLP0/RPL8/RPL36AL/RPS20/RPS11/RPL23A/PSMD7/RPS15A/RPS29/RPL11/RPL22L1/RPS14/RPL9/RPL36A/KLHDC10/PSMB3/PSMC5/RPS2/FAU/LTN1/RPS27/RPL32/ABCE1/PSMB2/UBE2D1/PSMD6/RPL7/RPS27L/RPLP1/RPS21/PSMD2/ELOB/RPL22/RPL6/PSMD13/PSMB1/RPS25/RPL37/PSMA6/RPS9/RPL4/PSMB4/RPL28/RPL26/RPS24/RPL27A/RPL37A/UBA52/PSMD1/RPL35/RPSA/RPL18A/CUL2/PSMB6/RPL26L1/PSMA1/RPL21/PSMD8/PSMC1/UBE2D3/RPLP2/RPL15/RPS26/RPS6/PSMD3/PSMC4/PSMC2/RPS5/RPL12/PSMC3/RPS17/PELO/RPL31/RPS15/RPL3/PSMB7/RPL36/RPS8/RPL29/PSMB5/PSMA4/PSMA3/RPL41/RPS19/RPS16/RPS12/NEMF/PSMA5/ASCC2/TCF25/PSMC6/RPL18/PSMD14/RPL39",137,"EC_PTC","HCKD_vs_Normal"
"R-HSA-72163","mRNA Splicing - Major Pathway","167/3422","205/11230",0.814634146341463,2.6733902581574,16.0075736625674,2.40554049230222e-52,1.32224542393545e-49,7.09845457553041e-50,"HSPA8/SRSF7/PTBP1/SRSF9/DDX5/PCBP1/PCBP2/HNRNPK/PPIL4/HNRNPH1/ZMAT2/CRNKL1/BUD31/POLR2K/TRA2B/RBM22/RBM39/SF3A1/SF3B1/POLR2L/POLR2J/SNU13/FAM32A/CCDC12/ALYREF/CWF19L2/SLU7/HNRNPA3/LUC7L3/HNRNPA1/SRSF11/POLR2A/SRRM1/SF3A2/SNRNP200/SNRNP70/MFAP1/CDC40/LSM6/LSM8/HNRNPU/MAGOH/PRPF40A/WBP11/USP39/RBM8A/SRSF3/BCAS2/CWC25/NSRP1/PHF5A/RBMX/LSM2/SRSF1/SNRPB2/SNRPD1/RBM25/HNRNPH2/U2AF1/ACIN1/SAP18/ISY1/SRSF10/SNRPD3/SMU1/PRPF8/LSM3/HNRNPA2B1/POLR2C/DNAJC8/POLR2H/PPIE/HNRNPM/IK/TCERG1/YBX1/PRKRIP1/RNPS1/LENG1/LSM5/SNRPB/SNW1/SNRPF/EIF4A3/U2SURP/SF1/SNRNP40/POLR2F/SRSF6/SF3B3/PRPF38A/RBM17/HTATSF1/SRRT/SF3A3/SRSF4/DDX42/U2AF2/DHX38/PUF60/CCAR1/SNRPG/RBM42/C9orf78/SNRPE/POLR2E/FUS/PQBP1/HNRNPD/NKAP/DHX15/WDR70/SNRPN/SYF2/RBM7/UBL5/LSM7/SNRPC/SRSF2/PRPF3/SF3B5/CWC22/HNRNPL/DDX23/AQR/PRPF18/DHX9/CHERP/WBP4/CTNNBL1/PLRG1/POLR2G/DDX46/SNRPD2/CDC5L/HNRNPF/SF3B6/POLR2I/SRRM2/PNN/HNRNPC/POLR2B/SMNDC1/XAB2/ZNF830/SNRNP27/CWC15/SF3B4/CASC3/PRPF31/TXNL4A/NCBP2/SF3B2/PPWD1/PPIG/SRSF5/SNRPA1/SDE2/FAM50A/LSM4/GTF2F1/PRPF6/RBM5/SNRPA/PPIH/HNRNPR/SART1",167,"EC_PTC","HCKD_vs_Normal"
"R-HSA-72172","mRNA Splicing","170/3422","213/11230",0.7981220657277,2.61920245415607,15.7942832259909,7.24688361057944e-51,2.98752776846138e-48,1.60384976749929e-48,"HSPA8/SRSF7/PTBP1/SRSF9/DDX5/PCBP1/PCBP2/HNRNPK/PPIL4/HNRNPH1/ZMAT2/CRNKL1/BUD31/POLR2K/TRA2B/RBM22/RBM39/SF3A1/SF3B1/POLR2L/POLR2J/SNU13/FAM32A/CCDC12/ALYREF/CWF19L2/SLU7/HNRNPA3/LUC7L3/HNRNPA1/SRSF11/POLR2A/SRRM1/SF3A2/SNRNP200/SNRNP70/PDCD7/MFAP1/CDC40/LSM6/LSM8/HNRNPU/MAGOH/PRPF40A/WBP11/USP39/RBM8A/SRSF3/BCAS2/CWC25/NSRP1/PHF5A/RBMX/LSM2/SRSF1/SNRPB2/SNRPD1/RBM25/HNRNPH2/U2AF1/ACIN1/SAP18/ISY1/SRSF10/SNRPD3/SMU1/PRPF8/LSM3/HNRNPA2B1/POLR2C/DNAJC8/POLR2H/PPIE/HNRNPM/IK/TCERG1/YBX1/PRKRIP1/RNPS1/LENG1/LSM5/SNRPB/SNW1/SNRPF/ZCRB1/EIF4A3/U2SURP/SF1/SNRNP40/POLR2F/SRSF6/SF3B3/PRPF38A/RBM17/HTATSF1/SRRT/SF3A3/SRSF4/DDX42/U2AF2/DHX38/PUF60/CCAR1/SNRPG/RBM42/C9orf78/SNRPE/POLR2E/FUS/PQBP1/HNRNPD/NKAP/DHX15/WDR70/SNRPN/SYF2/RBM7/UBL5/LSM7/SNRPC/SRSF2/PRPF3/SF3B5/CWC22/HNRNPL/DDX23/AQR/PRPF18/DHX9/CHERP/WBP4/CTNNBL1/PLRG1/POLR2G/DDX46/SNRPD2/CDC5L/HNRNPF/SF3B6/POLR2I/SRRM2/PNN/HNRNPC/POLR2B/SMNDC1/XAB2/ZNF830/RNPC3/SNRNP27/CWC15/SF3B4/CASC3/PRPF31/TXNL4A/NCBP2/SF3B2/PPWD1/PPIG/SRSF5/SNRPA1/SDE2/FAM50A/LSM4/GTF2F1/PRPF6/RBM5/SNRPA/PPIH/HNRNPR/SART1",170,"EC_PTC","HCKD_vs_Normal"
"R-HSA-9010553","Regulation of expression of SLITs and ROBOs","138/3422","159/11230",0.867924528301887,2.84827365658392,15.5386058841366,4.71384092310174e-50,1.55462473643895e-47,8.34597940279697e-48,"UBC/ELOC/RPL27/RPL30/RPL7A/PSMA7/RPL10/RPS4X/RPL13/RPS27A/RPL19/RPS7/RPL14/SEM1/RPS18/RPS3A/RPL23/RPL17/PSMD12/ADRM1/UBB/RPS13/RPS28/RPL38/PSMA2/RPS4Y1/PSMD11/ROBO1/RPL35A/PABPC1/RPL13A/RBX1/RPL34/RPS3/GSPT1/MAGOH/RPL5/RBM8A/RPS10/RPL24/RPL10A/RPS23/EIF4G1/RPLP0/RPL8/RPL36AL/RPS20/RPS11/RPL23A/PSMD7/RPS15A/RPS29/RPL11/ZSWIM8/RPL22L1/RPS14/RPL9/RPL36A/USP33/PSMB3/PSMC5/RPS2/FAU/RPS27/RPL32/PSMB2/RNPS1/PSMD6/RPL7/RPS27L/RPLP1/RPS21/EIF4A3/PSMD2/ELOB/RPL22/RPL6/UPF2/UPF3A/PSMD13/PSMB1/RPS25/RPL37/PSMA6/RPS9/RPL4/DAG1/PSMB4/RPL28/RPL26/RPS24/RPL27A/RPL37A/UBA52/PSMD1/RPL35/RPSA/RPL18A/CUL2/PSMB6/RPL26L1/PSMA1/RPL21/PSMD8/PSMC1/RPLP2/RPL15/RPS26/RPS6/PSMD3/PSMC4/PSMC2/RPS5/RPL12/PSMC3/RPS17/RPL31/RPS15/ETF1/RPL3/PSMB7/RPL36/RPS8/RPL29/PSMB5/PSMA4/PSMA3/CASC3/RPL41/RPS19/RPS16/NCBP2/RPS12/PSMA5/PSMC6/RPL18/PSMD14/RPL39",138,"EC_PTC","HCKD_vs_Normal"
"R-HSA-72706","GTP hydrolysis and joining of the 60S ribosomal subunit","108/3422","113/11230",0.955752212389381,3.13649834749642,15.1108404953563,1.35418036368432e-49,3.72173903285906e-47,1.99800997519037e-47,"RPL27/RPL30/RPL7A/RPL10/RPS4X/RPL13/RPS27A/RPL19/RPS7/RPL14/EIF5/RPS18/RPS3A/RPL23/RPL17/RPS13/RPS28/RPL38/RPS4Y1/RPL35A/RPL13A/RPL34/RPS3/EIF3E/RPL5/RPS10/RPL24/EIF3L/RPL10A/RPS23/EIF4G1/RPLP0/RPL8/RPL36AL/EIF2S1/RPS20/RPS11/RPL23A/RPS15A/RPS29/RPL11/EIF3G/RPL22L1/RPS14/EIF2S2/RPL9/RPL36A/EIF3J/RPS2/FAU/RPS27/RPL32/EIF4A2/RPL7/RPS27L/RPLP1/EIF3F/RPS21/RPL22/RPL6/EIF4A1/RPS25/RPL37/RPS9/RPL4/EIF3I/RPL28/RPL26/RPS24/RPL27A/RPL37A/EIF2S3/EIF3B/UBA52/RPL35/RPSA/RPL18A/EIF4E/EIF3A/RPL26L1/RPL21/EIF3H/EIF1AX/RPLP2/RPL15/RPS26/RPS6/RPS5/EIF3K/RPL12/RPS17/RPL31/RPS15/RPL3/RPL36/EIF5B/RPS8/RPL29/EIF4B/RPL41/RPS19/RPS16/EIF3M/RPS12/EIF4H/EIF3D/RPL18/RPL39",108,"EC_PTC","HCKD_vs_Normal"
"R-HSA-156827","L13a-mediated translational silencing of Ceruloplasmin expression","107/3422","112/11230",0.955357142857143,3.13520184520331,15.0340245038183,4.34156977009191e-49,1.02274979298308e-46,5.49061680698841e-47,"RPL27/RPL30/RPL7A/RPL10/RPS4X/RPL13/RPS27A/RPL19/RPS7/RPL14/RPS18/RPS3A/RPL23/RPL17/RPS13/RPS28/RPL38/RPS4Y1/RPL35A/PABPC1/RPL13A/RPL34/RPS3/EIF3E/RPL5/RPS10/RPL24/EIF3L/RPL10A/RPS23/EIF4G1/RPLP0/RPL8/RPL36AL/EIF2S1/RPS20/RPS11/RPL23A/RPS15A/RPS29/RPL11/EIF3G/RPL22L1/RPS14/EIF2S2/RPL9/RPL36A/EIF3J/RPS2/FAU/RPS27/RPL32/EIF4A2/RPL7/RPS27L/RPLP1/EIF3F/RPS21/RPL22/RPL6/EIF4A1/RPS25/RPL37/RPS9/RPL4/EIF3I/RPL28/RPL26/RPS24/RPL27A/RPL37A/EIF2S3/EIF3B/UBA52/RPL35/RPSA/RPL18A/EIF4E/EIF3A/RPL26L1/RPL21/EIF3H/EIF1AX/RPLP2/RPL15/RPS26/RPS6/RPS5/EIF3K/RPL12/RPS17/RPL31/RPS15/RPL3/RPL36/RPS8/RPL29/EIF4B/RPL41/RPS19/RPS16/EIF3M/RPS12/EIF4H/EIF3D/RPL18/RPL39",107,"EC_PTC","HCKD_vs_Normal"
"R-HSA-72203","Processing of Capped Intron-Containing Pre-mRNA","210/3422","294/11230",0.714285714285714,2.3440761459464,15.4599800485771,1.51635898409061e-48,3.12559495595676e-46,1.67797092844763e-46,"HSPA8/PPP1R10/UBC/SRSF7/PTBP1/SRSF9/DDX5/PCBP1/ZC3H11A/PCBP2/HNRNPK/PPIL4/HNRNPH1/RBBP6/RPS27A/THOC2/ZMAT2/CRNKL1/BUD31/UBB/POLR2K/TPR/TRA2B/RBM22/RBM39/SF3A1/SF3B1/POLR2L/POLR2J/SNU13/FAM32A/CCDC12/ALYREF/CWF19L2/SLU7/HNRNPA3/LUC7L3/HNRNPA1/SRSF11/POLR2A/SRRM1/SF3A2/SNRNP200/SNRNP70/PDCD7/MFAP1/CDC40/LSM6/RANBP2/LSM8/HNRNPU/MAGOH/PRPF40A/WBP11/USP39/RBM8A/SRSF3/THOC7/BCAS2/CWC25/NSRP1/PHF5A/RBMX/CPSF7/LSM2/SRSF1/NUP50/SNRPB2/SNRPD1/RBM25/SYMPK/HNRNPH2/WDR33/U2AF1/ACIN1/SAP18/ISY1/SRSF10/SNRPD3/SMU1/PRPF8/LSM3/HNRNPA2B1/POLR2C/DNAJC8/POLR2H/METTL3/DDX39A/CPSF6/PPIE/HNRNPM/IK/TCERG1/PPP1CB/YBX1/PRKRIP1/RNPS1/LENG1/LSM5/FYTTD1/SNRPB/SNW1/SNRPF/ZCRB1/NXT1/METTL14/EIF4A3/SLBP/U2SURP/SF1/XRN2/SNRNP40/NUP153/POLR2F/SRSF6/SF3B3/PCF11/PRPF38A/RBM17/HTATSF1/SRRT/SF3A3/SRSF4/DDX42/U2AF2/DHX38/PUF60/CCAR1/SNRPG/RBM42/C9orf78/SNRPE/POLR2E/FUS/CHTOP/PQBP1/HNRNPD/NKAP/DHX15/WDR70/SNRPN/SYF2/RBM7/UBA52/UBL5/NUDT21/LSM7/SNRPC/SRSF2/PRPF3/EIF4E/SF3B5/CWC22/HNRNPL/DDX23/AQR/SEC13/PRPF18/PABPN1/NUP160/PAPOLA/DHX9/CHERP/WBP4/CTNNBL1/PLRG1/POLR2G/DDX46/SNRPD2/CDC5L/HNRNPF/SF3B6/POLR2I/SRRM2/PNN/HNRNPC/POLR2B/SMNDC1/XAB2/ZNF830/POLDIP3/RNPC3/SNRNP27/PPP1CA/CWC15/CPSF2/SF3B4/CASC3/PRPF31/TXNL4A/NCBP2/SF3B2/PPWD1/PPIG/FIP1L1/SRSF5/NUP214/SNRPA1/SDE2/FAM50A/WTAP/LSM4/GTF2F1/PRPF6/RBM5/SNRPA/PPIH/NUP54/HNRNPR/SART1",210,"EC_PTC","HCKD_vs_Normal"
"R-HSA-72613","Eukaryotic Translation Initiation","111/3422","120/11230",0.925,3.03557860900058,14.8409640529806,6.58557654008461e-47,1.08596157145995e-44,5.8299682844328e-45,"RPL27/RPL30/RPL7A/RPL10/RPS4X/RPL13/RPS27A/RPL19/RPS7/RPL14/EIF5/RPS18/RPS3A/RPL23/RPL17/RPS13/RPS28/RPL38/RPS4Y1/RPL35A/PABPC1/RPL13A/RPL34/RPS3/EIF3E/RPL5/RPS10/RPL24/EIF3L/RPL10A/RPS23/EIF4G1/RPLP0/RPL8/RPL36AL/EIF2S1/RPS20/RPS11/RPL23A/RPS15A/RPS29/RPL11/EIF3G/RPL22L1/RPS14/EIF2S2/RPL9/RPL36A/EIF3J/RPS2/FAU/RPS27/RPL32/EIF4A2/RPL7/RPS27L/RPLP1/EIF2B2/EIF3F/RPS21/RPL22/RPL6/EIF4A1/RPS25/RPL37/RPS9/RPL4/EIF3I/RPL28/RPL26/RPS24/RPL27A/RPL37A/EIF2S3/EIF3B/UBA52/RPL35/RPSA/RPL18A/EIF4E/EIF3A/RPL26L1/RPL21/EIF3H/EIF1AX/RPLP2/RPL15/RPS26/RPS6/RPS5/EIF3K/RPL12/RPS17/RPL31/RPS15/RPL3/RPL36/EIF5B/RPS8/RPL29/EIF4B/RPL41/RPS19/RPS16/EIF3M/RPS12/EIF2B5/EIF4H/EIF3D/RPL18/RPL39",111,"EC_PTC","HCKD_vs_Normal"
"R-HSA-72737","Cap-dependent Translation Initiation","111/3422","120/11230",0.925,3.03557860900058,14.8409640529806,6.58557654008461e-47,1.08596157145995e-44,5.8299682844328e-45,"RPL27/RPL30/RPL7A/RPL10/RPS4X/RPL13/RPS27A/RPL19/RPS7/RPL14/EIF5/RPS18/RPS3A/RPL23/RPL17/RPS13/RPS28/RPL38/RPS4Y1/RPL35A/PABPC1/RPL13A/RPL34/RPS3/EIF3E/RPL5/RPS10/RPL24/EIF3L/RPL10A/RPS23/EIF4G1/RPLP0/RPL8/RPL36AL/EIF2S1/RPS20/RPS11/RPL23A/RPS15A/RPS29/RPL11/EIF3G/RPL22L1/RPS14/EIF2S2/RPL9/RPL36A/EIF3J/RPS2/FAU/RPS27/RPL32/EIF4A2/RPL7/RPS27L/RPLP1/EIF2B2/EIF3F/RPS21/RPL22/RPL6/EIF4A1/RPS25/RPL37/RPS9/RPL4/EIF3I/RPL28/RPL26/RPS24/RPL27A/RPL37A/EIF2S3/EIF3B/UBA52/RPL35/RPSA/RPL18A/EIF4E/EIF3A/RPL26L1/RPL21/EIF3H/EIF1AX/RPLP2/RPL15/RPS26/RPS6/RPS5/EIF3K/RPL12/RPS17/RPL31/RPS15/RPL3/RPL36/EIF5B/RPS8/RPL29/EIF4B/RPL41/RPS19/RPS16/EIF3M/RPS12/EIF2B5/EIF4H/EIF3D/RPL18/RPL39",111,"EC_PTC","HCKD_vs_Normal"
"R-HSA-1799339","SRP-dependent cotranslational protein targeting to membrane","105/3422","113/11230",0.929203539823009,3.0493733933993,14.4946306648785,6.51356986693537e-45,9.7644333732513e-43,5.24202129961019e-43,"RPL27/RPL30/RPL7A/RPL10/SEC61A1/RPS4X/RPL13/RPS27A/RPL19/RPS7/SEC61B/SPCS3/TRAM1/RPL14/RPS18/RPN2/RPS3A/RPL23/RPL17/RPS13/RPS28/RPL38/SRP14/RPS4Y1/RPL35A/RPL13A/RPL34/RPS3/RPL5/RPS10/RPL24/RPL10A/RPS23/SRP54/RPLP0/RPL8/RPL36AL/RPS20/RPS11/RPL23A/RPS15A/RPS29/RPL11/SPCS1/RPL22L1/RPS14/RPL9/RPL36A/SSR4/SSR1/RPS2/FAU/RPS27/RPL32/RPL7/RPS27L/RPLP1/RPS21/RPL22/RPL6/SEC11A/SSR3/RPS25/RPL37/RPS9/RPL4/SPCS2/SRP9/RPL28/RPL26/RPS24/RPL27A/RPL37A/UBA52/RPL35/RPSA/RPL18A/RPL26L1/SRP72/RPL21/DDOST/SEC11C/RPLP2/SRP19/RPL15/RPS26/RPS6/RPS5/RPN1/RPL12/RPS17/RPL31/RPS15/RPL3/RPL36/SEC61G/RPS8/RPL29/SSR2/RPL41/RPS19/RPS16/RPS12/RPL18/RPL39",105,"EC_PTC","HCKD_vs_Normal"
"R-HSA-376176","Signaling by ROBO receptors","159/3422","205/11230",0.775609756097561,2.54532365896423,14.7824945094495,1.24792853260307e-44,1.71486179188538e-42,9.20620961332614e-43,"UBC/ELOC/RPL27/RPL30/RPL7A/PSMA7/RPL10/CXCL12/RPS4X/RPL13/RPS27A/RPL19/RPS7/PFN1/RPL14/SEM1/RPS18/SOS2/RPS3A/RPL23/RPL17/PSMD12/ADRM1/UBB/RPS13/RPS28/RPL38/PSMA2/RPS4Y1/PSMD11/ROBO1/RPL35A/PABPC1/RPL13A/RBX1/RPL34/NRP1/RAC1/RPS3/GSPT1/MAGOH/RPL5/RBM8A/RPS10/RPL24/ENAH/RPL10A/RPS23/VASP/EIF4G1/RPLP0/RPL8/RPL36AL/RPS20/RPS11/RPL23A/PSMD7/RPS15A/RPS29/RPL11/ZSWIM8/RPL22L1/PRKAR2A/RPS14/CDC42/RPL9/RPL36A/ABL2/USP33/PSMB3/PSMC5/RPS2/FAU/RPS27/RPL32/PSMB2/RNPS1/PSMD6/RPL7/SRGAP2/RPS27L/CAP1/RPLP1/RHOA/RPS21/NCK1/EIF4A3/PSMD2/ELOB/SOS1/RPL22/RPL6/PAK2/UPF2/UPF3A/PSMD13/PSMB1/RPS25/RPL37/PSMA6/RPS9/RPL4/DAG1/PSMB4/CLASP1/RPL28/RPL26/RPS24/RPL27A/RPL37A/UBA52/PSMD1/RPL35/RPSA/RPL18A/CUL2/PSMB6/RPL26L1/PSMA1/RPL21/PSMD8/PSMC1/RPLP2/PRKACA/RPL15/RPS26/RPS6/PSMD3/PSMC4/PSMC2/RPS5/RPL12/PSMC3/RPS17/RPL31/RPS15/ETF1/RPL3/PSMB7/RPL36/RPS8/PAK4/RPL29/PSMB5/PSMA4/PSMA3/CASC3/RPL41/RPS19/RPS16/NCBP2/RPS12/CLASP2/PSMA5/PPP3CB/PSMC6/RPL18/PSMD14/RPL39",159,"EC_PTC","HCKD_vs_Normal"
"R-HSA-9954709","Ribosome Quality Control (RQC) complex extracts and degrades nascent peptide","98/3422","103/11230",0.951456310679612,3.12240045848394,14.3250959744389,1.50946767929568e-44,1.91470169473737e-42,1.0279047111641e-42,"UBC/ELOC/RPL27/RPL30/RPL7A/PSMA7/RPL10/RPL13/RPS27A/RPL19/RCHY1/VCP/UBE2D2/RPL14/SEM1/RPL23/RPL17/PSMD12/ADRM1/UBB/RPL38/PSMA2/PSMD11/RPL35A/RPL13A/RBX1/RPL34/RPL5/NPLOC4/RPL24/RPL10A/RPLP0/RPL8/RPL36AL/RPL23A/PSMD7/RPL11/RPL22L1/RPL9/RPL36A/KLHDC10/PSMB3/PSMC5/LTN1/RPL32/PSMB2/UBE2D1/PSMD6/RPL7/RPLP1/PSMD2/ELOB/RPL22/RPL6/PSMD13/PSMB1/RPL37/PSMA6/RPL4/PSMB4/RPL28/RPL26/RPL27A/RPL37A/UBA52/PSMD1/RPL35/RPL18A/CUL2/PSMB6/RPL26L1/PSMA1/RPL21/PSMD8/PSMC1/RPLP2/RPL15/PSMD3/PSMC4/PSMC2/RPL12/PSMC3/RPL31/RPL3/PSMB7/RPL36/RPL29/PSMB5/PSMA4/PSMA3/RPL41/NEMF/PSMA5/TCF25/PSMC6/RPL18/PSMD14/RPL39",98,"EC_PTC","HCKD_vs_Normal"
"R-HSA-72689","Formation of a pool of free 40S subunits","97/3422","102/11230",0.950980392156863,3.12083863352471,14.2442567960549,4.80770188077594e-44,5.66278600099966e-42,3.04005810656584e-42,"RPL27/RPL30/RPL7A/RPL10/RPS4X/RPL13/RPS27A/RPL19/RPS7/RPL14/RPS18/RPS3A/RPL23/RPL17/RPS13/RPS28/RPL38/RPS4Y1/RPL35A/RPL13A/RPL34/RPS3/EIF3E/RPL5/RPS10/RPL24/EIF3L/RPL10A/RPS23/RPLP0/RPL8/RPL36AL/RPS20/RPS11/RPL23A/RPS15A/RPS29/RPL11/EIF3G/RPL22L1/RPS14/RPL9/RPL36A/EIF3J/RPS2/FAU/RPS27/RPL32/RPL7/RPS27L/RPLP1/EIF3F/RPS21/RPL22/RPL6/RPS25/RPL37/RPS9/RPL4/EIF3I/RPL28/RPL26/RPS24/RPL27A/RPL37A/EIF3B/UBA52/RPL35/RPSA/RPL18A/EIF3A/RPL26L1/RPL21/EIF3H/EIF1AX/RPLP2/RPL15/RPS26/RPS6/RPS5/EIF3K/RPL12/RPS17/RPL31/RPS15/RPL3/RPL36/RPS8/RPL29/RPL41/RPS19/RPS16/EIF3M/RPS12/EIF3D/RPL18/RPL39",97,"EC_PTC","HCKD_vs_Normal"
"R-HSA-927802","Nonsense-Mediated Decay (NMD)","105/3422","116/11230",0.905172413793103,2.97051028839759,14.1225508231954,3.4988757749305e-42,3.60602884553775e-40,1.93589113599773e-40,"RPL27/RPL30/RPL7A/RPL10/RPS4X/RPL13/RPS27A/RPL19/RPS7/RPL14/RPS18/RPS3A/RPL23/RPL17/RPS13/RPS28/RPL38/RPS4Y1/RPL35A/PABPC1/SMG7/RPL13A/RPL34/PNRC2/SMG5/RPS3/GSPT1/MAGOH/RPL5/RBM8A/RPS10/RPL24/SMG1/RPL10A/RPS23/PPP2CA/EIF4G1/RPLP0/RPL8/RPL36AL/RPS20/RPS11/PPP2R2A/RPL23A/RPS15A/RPS29/RPL11/RPL22L1/RPS14/RPL9/RPL36A/RPS2/FAU/RPS27/RPL32/RNPS1/RPL7/RPS27L/RPLP1/RPS21/EIF4A3/RPL22/RPL6/UPF2/UPF3A/RPS25/RPL37/RPS9/RPL4/RPL28/RPL26/RPS24/RPL27A/RPL37A/UBA52/RPL35/RPSA/RPL18A/RPL26L1/RPL21/RPLP2/RPL15/RPS26/RPS6/DCP1A/RPS5/PPP2R1A/RPL12/RPS17/RPL31/RPS15/ETF1/RPL3/RPL36/RPS8/RPL29/CASC3/RPL41/RPS19/RPS16/NCBP2/RPS12/UPF1/RPL18/RPL39",105,"EC_PTC","HCKD_vs_Normal"
