"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","CellType","Condition"
"R-HSA-72766","Translation","276/3419","368/11230",0.75,2.46343960222287,18.884721558112,1.03109307473727e-71,1.69924138716703e-68,9.55117795546107e-69,"RPS26/MT-ND1/MT-CYB/RPS4X/EIF4A1/RPS2/RPS7/RPL9/ELOB/UBC/RPS4Y1/RPL15/RPL27/MTIF3/SEC61G/RPL10A/MRPL54/RPL6/RPL13/FARSB/RPS13/RPL26/RPL5/MRPS33/MT-ND4L/RPL10/MRPL19/RPL3/RPS14/RPS9/RPL26L1/RPS27A/RPL19/MRPS14/RPS15A/MRPL11/IARS2/RPL24/PSMA7/RPL27A/RPSA/RPL34/SRP9/RPL4/RARS2/VCP/SSR1/MALSU1/MT-ND5/MT-ND2/RPS3A/RPS11/MT-ATP6/UBE2D3/MRPL4/PSMD8/RPL7A/RPL39/EEF1A1/RPS3/RPS21/RPL35/ELOC/MT-CO3/UBA52/ETF1/RPL22/UBB/MT-CO1/SEC11C/EIF4G1/RPS12/MRPS21/RPS6/MRPL2/MRPL21/RPL23/MRPS7/DDOST/RPL8/PSMC1/RPL36/MRPL57/FAU/RPS18/EIF3H/MRPL16/RPS23/EIF5/PSMC5/RPLP0/RPL23A/MRPL9/RPL29/MRPS27/MRPS18C/MRPL52/RPL35A/EIF2S1/RPL13A/MRPL40/RPL32/PSMB5/MRPS6/MT-ATP8/EIF3D/SPCS3/RPS16/MRPL41/RPS29/RPS19/MRPL42/SRP72/RPL36AL/MRPL39/RPL41/SEM1/RPS28/RPL30/MRPL33/ADRM1/MT-CO2/NEMF/MT-ND4/ABCE1/EIF2S3/PSMA2/EEF1D/PSMA5/EEF1E1/EIF4A2/EIF3L/MRPS26/EEF1B2/RPS24/RPS20/GFM2/RPS10/MRPL51/RBX1/RPL36A/PSMD6/RCHY1/MRPL47/PSMB2/EIF3G/RPS25/MT-ND6/RPL12/MRPL13/MRPS12/EIF5B/EIF1AX/EIF3K/MRPL50/RPL38/GADD45GIP1/PSMD14/MRPS34/RPL18A/RPLP1/MRPL32/RPL37A/MRPS15/RPL21/PSMA1/RPL18/EIF2S2/RPN1/PSMB4/NDUFAB1/PABPC1/MRPL3/SSR4/RPL14/RPL11/RPS8/RPL31/MRPL18/RPL7/MRPS31/TCF25/MRPS16/MRPS2/SEC61B/RPS27/MRPL23/MRPL28/EIF4E/RPLP2/MT-ND3/RPS27L/EIF4H/TRAM1/MRPL1/MRPS18B/PSMD1/PSMA4/MRPS23/MRPL22/PSMD11/GSPT1/MRPS9/MRPS25/TRMT112/HBS1L/MRPL15/SSR3/RPN2/TUFM/PSMB7/EIF3M/PSMB6/PSMD12/PSMD13/MRPL27/MRPS10/EIF3A/AURKAIP1/PSMD7/SEC11A/PSMC4/MRPL35/RPS15/PSMC3/EIF4B/SPCS2/SRPRB/PSMB1/EIF3I/SRP54/SPCS1/MRPS5/PSMC2/RPL28/MRPL14/MRPL17/EIF3E/MRPL37/EIF3J/MRPL24/DAP3/UBE2D2/MRPL20/RPL22L1/MRPS22/MRPL12/RPL37/RPL17/CHCHD1/PSMD2/EIF4EBP1/PSMB3/RPS17/MRPS11/MRPL36/PPA1/RPS5/MRPL55/EIF2B4/PSMC6/MRPL44/EEF2/SSR2/EIF3F/MRPL43/MRPL34/SRP14/MRPL10/MRPS28/SRP19/PSMD3/AIMP1/PSMA3/OXA1L/PPA2",276,"DC","HCKD_vs_Normal"
"R-HSA-6798695","Neutrophil degranulation","294/3419","469/11230",0.626865671641791,2.05899429439524,15.4996002814589,4.30479722964521e-49,3.54715291722765e-46,1.99380082215147e-46,"ADA2/RAP2B/PLAUR/HSP90AB1/HSP90AA1/C5AR1/IST1/RAC1/S100A9/NDUFC2/ADGRE5/PRDX6/FTH1/FTL/SLC11A1/LAMP1/C3/RAP2C/CTSB/SIRPA/VCP/TSPAN14/ALDOA/PRCP/HUWE1/PTPRC/LGALS3/CD53/TRPM2/DOK3/GYG1/DNAJC13/RHOF/ANXA2/HSPA1A/PADI2/JUP/LAMTOR1/GLA/EEF1A1/FPR1/NRAS/TNFRSF1B/ARHGAP9/CST3/ATP11A/KCNAB2/VAPA/MIF/GLIPR1/AGPAT2/ITGAL/CAP1/MAPK14/PGM2/IDH1/IQGAP2/SLC2A3/DDOST/FGL2/FABP5/GSTP1/CTSZ/OLR1/SVIP/ASAH1/RHOG/HSPA8/DYNLL1/MOSPD2/FCER1G/FUCA1/CLEC5A/CD63/HLA-B/OSCAR/S100A8/GNS/STK11IP/RAB5C/PNP/FGR/NCSTN/ARHGAP45/COMMD9/ACAA1/CYBA/IQGAP1/RAB4B/DPP7/NIT2/CSTB/ITGB2/ACTR2/GOLGA7/CD47/DYNLT1/SERPINA1/SIGLEC14/CAB39/KCMF1/PGM1/PTAFR/SNAP29/A1BG/MNDA/MANBA/ANO6/TMEM179B/CMTM6/BRI3/PSMA2/ACTR10/PSMA5/RHOA/ITGAX/CD55/HSPA1B/CPNE1/QSOX1/HEXB/DEGS1/STK10/DNAJC5/CTSD/CD58/TUBB4B/LAMTOR2/CD44/ITGAV/B2M/PSMD6/CTSA/PLAU/RNASET2/GMFG/ERP44/PSMD14/CYBB/GCA/S100A11/LYZ/KPNB1/APRT/CTSH/TLR2/CAT/C3AR1/PKM/RAB14/ARSA/GAA/ALOX5/CTSS/AMPD3/DDX3X/LAMP2/IMPDH1/GLB1/RAB7A/ILF2/ARL8A/CD93/CD68/XRCC5/VAMP8/PA2G4/CD36/DNAJC3/CREG1/SLC15A4/CSNK2B/CNN2/GRN/SERPINB6/PSAP/PDAP1/RAB27A/CFD/ADAM8/RAB18/HEBP2/ATP6AP2/PGRMC1/CD300A/ADAM10/ARMC8/CTSC/PSMD1/GDI2/TMC6/BST2/PSMD11/PECAM1/PYGB/HGSNAT/TUBB/TYROBP/CYFIP1/FCN1/DOCK2/XRCC6/TIMP2/FCGR2A/RAP1A/MGST1/PAFAH1B2/PSMB7/COMMD3/SCAMP1/HLA-C/PGAM1/COPB1/PSMD12/PSMD13/PSMD7/GUSB/CLEC12A/AP2A2/TMEM30A/PRDX4/NCKAP1L/CYSTM1/PSMC3/GPI/B4GALT1/PIGR/PRKCD/CD14/PSMB1/SURF4/CPNE3/TRAPPC1/CAPN1/MAPK1/PPIA/ATP6V1D/SNAP23/PSMC2/ATP11B/PPIE/IGF2R/PFKL/TCIRG1/NPC2/NFKB1/DYNC1LI1/ITGAM/HSPA6/GSDMD/NEU1/RAB31/SERPINB1/PSMD2/BIN2/RAP1B/NHLRC3/CAND1/HVCN1/PYGL/LAIR1/MAGT1/MVP/EEF2/VAT1/COTL1/ATP6V0A1/HMGB1/PLEKHO2/PYCARD/PDXK/AGA/PTPN6/LTA4H/NFAM1/ARPC5/DYNC1H1/VCL/CD33/SRP14/RAB10/CCT2/STOM/DIAPH1/FUCA2/TMBIM1/YPEL5/PSMD3/CD59/CCT8/MLEC/PSEN1/OSTF1/LILRB2",294,"DC","HCKD_vs_Normal"
"R-HSA-9948299","Ribosome-associated quality control","128/3419","145/11230",0.882758620689655,2.89949672721405,15.230756481472,2.2679905174294e-48,1.24588279090789e-45,7.00291808890482e-46,"RPS26/RPS4X/RPS2/RPS7/RPL9/ELOB/UBC/RPS4Y1/RPL15/RPL27/RPL10A/RPL6/RPL13/RPS13/RPL26/RPL5/RPL10/RPL3/RPS14/RPS9/RPL26L1/RPS27A/RPL19/RPS15A/RPL24/PSMA7/RPL27A/RPSA/RPL34/RPL4/VCP/RPS3A/RPS11/UBE2D3/PSMD8/RPL7A/RPL39/RPS3/RPS21/RPL35/ELOC/UBA52/RPL22/UBB/RPS12/RPS6/RPL23/RPL8/PSMC1/RPL36/FAU/RPS18/RPS23/PSMC5/RPLP0/RPL23A/RPL29/RPL35A/RPL13A/RPL32/PSMB5/RPS16/RPS29/RPS19/RPL36AL/RPL41/SEM1/RPS28/RPL30/ADRM1/NEMF/ABCE1/PSMA2/PSMA5/RPS24/RPS20/RPS10/RBX1/RPL36A/PSMD6/RCHY1/PSMB2/RPS25/RPL12/RPL38/PSMD14/RPL18A/RPLP1/RPL37A/RPL21/PSMA1/RPL18/PSMB4/RPL14/RPL11/RPS8/RPL31/RPL7/TCF25/RPS27/RPLP2/RPS27L/PSMD1/PSMA4/PSMD11/HBS1L/PSMB7/PSMB6/PSMD12/PSMD13/PSMD7/PSMC4/RPS15/PSMC3/PSMB1/PSMC2/RPL28/UBE2D2/RPL22L1/RPL37/RPL17/PSMD2/PSMB3/RPS17/RPS5/PSMC6/PSMD3/PSMA3",128,"DC","HCKD_vs_Normal"
"R-HSA-72706","GTP hydrolysis and joining of the 60S ribosomal subunit","107/3419","113/11230",0.946902654867257,3.11018333259997,14.9153132820523,5.24969928772303e-48,2.16287610654189e-45,1.21571983505165e-45,"RPS26/RPS4X/EIF4A1/RPS2/RPS7/RPL9/RPS4Y1/RPL15/RPL27/RPL10A/RPL6/RPL13/RPS13/RPL26/RPL5/RPL10/RPL3/RPS14/RPS9/RPL26L1/RPS27A/RPL19/RPS15A/RPL24/RPL27A/RPSA/RPL34/RPL4/RPS3A/RPS11/RPL7A/RPL39/RPS3/RPS21/RPL35/UBA52/RPL22/EIF4G1/RPS12/RPS6/RPL23/RPL8/RPL36/FAU/RPS18/EIF3H/RPS23/EIF5/RPLP0/RPL23A/RPL29/RPL35A/EIF2S1/RPL13A/RPL32/EIF3D/RPS16/RPS29/RPS19/RPL36AL/RPL41/RPS28/RPL30/EIF2S3/EIF4A2/EIF3L/RPS24/RPS20/RPS10/RPL36A/EIF3G/RPS25/RPL12/EIF5B/EIF1AX/EIF3K/RPL38/RPL18A/RPLP1/RPL37A/RPL21/RPL18/EIF2S2/RPL14/RPL11/RPS8/RPL31/RPL7/RPS27/EIF4E/RPLP2/RPS27L/EIF4H/EIF3M/EIF3A/RPS15/EIF4B/EIF3I/RPL28/EIF3E/EIF3J/RPL22L1/RPL37/RPL17/RPS17/RPS5/EIF3F",107,"DC","HCKD_vs_Normal"
"R-HSA-156827","L13a-mediated translational silencing of Ceruloplasmin expression","106/3419","112/11230",0.946428571428571,3.10862616470981,14.837544689269,1.66857334007155e-47,5.49961772887584e-45,3.09125166160625e-45,"RPS26/RPS4X/EIF4A1/RPS2/RPS7/RPL9/RPS4Y1/RPL15/RPL27/RPL10A/RPL6/RPL13/RPS13/RPL26/RPL5/RPL10/RPL3/RPS14/RPS9/RPL26L1/RPS27A/RPL19/RPS15A/RPL24/RPL27A/RPSA/RPL34/RPL4/RPS3A/RPS11/RPL7A/RPL39/RPS3/RPS21/RPL35/UBA52/RPL22/EIF4G1/RPS12/RPS6/RPL23/RPL8/RPL36/FAU/RPS18/EIF3H/RPS23/RPLP0/RPL23A/RPL29/RPL35A/EIF2S1/RPL13A/RPL32/EIF3D/RPS16/RPS29/RPS19/RPL36AL/RPL41/RPS28/RPL30/EIF2S3/EIF4A2/EIF3L/RPS24/RPS20/RPS10/RPL36A/EIF3G/RPS25/RPL12/EIF1AX/EIF3K/RPL38/RPL18A/RPLP1/RPL37A/RPL21/RPL18/EIF2S2/PABPC1/RPL14/RPL11/RPS8/RPL31/RPL7/RPS27/EIF4E/RPLP2/RPS27L/EIF4H/EIF3M/EIF3A/RPS15/EIF4B/EIF3I/RPL28/EIF3E/EIF3J/RPL22L1/RPL37/RPL17/RPS17/RPS5/EIF3F",106,"DC","HCKD_vs_Normal"
"R-HSA-9010553","Regulation of expression of SLITs and ROBOs","135/3419","159/11230",0.849056603773585,2.78879954968627,15.0291211758157,1.20119478063023e-46,3.29928166413103e-44,1.85447615255193e-44,"RPS26/RPS4X/RPS2/RPS7/RPL9/ELOB/UBC/RPS4Y1/RPL15/RPL27/RPL10A/RPL6/RPL13/RPS13/RPL26/RPL5/RPL10/RPL3/RPS14/RPS9/RPL26L1/RPS27A/RPL19/RPS15A/RPL24/PSMA7/RPL27A/RPSA/RPL34/RPL4/RPS3A/RPS11/PSMD8/RPL7A/RPL39/CASC3/RPS3/RPS21/RPL35/ELOC/UBA52/ETF1/MAGOHB/RPL22/UBB/EIF4G1/RPS12/RPS6/RPL23/RPL8/PSMC1/RPL36/FAU/RPS18/RPS23/PSMC5/RPLP0/RPL23A/RPL29/RPL35A/RPL13A/RPL32/PSMB5/RPS16/RPS29/RPS19/RPL36AL/RPL41/SEM1/RPS28/RPL30/ADRM1/PSMA2/PSMA5/RPS24/RPS20/RPS10/MAGOH/RBX1/RPL36A/PSMD6/PSMB2/RPS25/RPL12/RPL38/PSMD14/RPL18A/RPLP1/RPL37A/RPL21/PSMA1/RPL18/PSMB4/PABPC1/RPL14/RPL11/USP33/RPS8/RPL31/RPL7/RNPS1/RPS27/RPLP2/RPS27L/RBM8A/PSMD1/PSMA4/PSMD11/UPF2/GSPT1/PSMB7/PSMB6/UPF3B/PSMD12/PSMD13/PSMD7/PSMC4/RPS15/PSMC3/PSMB1/PSMC2/ZSWIM8/EIF4A3/RPL28/RPL22L1/RPL37/RPL17/PSMD2/PSMB3/RPS17/RPS5/PSMC6/NCBP2/PSMD3/PSMA3",135,"DC","HCKD_vs_Normal"
"R-HSA-72613","Eukaryotic Translation Initiation","110/3419","120/11230",0.916666666666667,3.01087062493907,14.6515811856612,1.57322275091213e-45,3.24083886687898e-43,1.82162634316141e-43,"RPS26/RPS4X/EIF4A1/RPS2/RPS7/RPL9/RPS4Y1/RPL15/RPL27/RPL10A/RPL6/RPL13/RPS13/RPL26/RPL5/RPL10/RPL3/RPS14/RPS9/RPL26L1/RPS27A/RPL19/RPS15A/RPL24/RPL27A/RPSA/RPL34/RPL4/RPS3A/RPS11/RPL7A/RPL39/RPS3/RPS21/RPL35/UBA52/RPL22/EIF4G1/RPS12/RPS6/RPL23/RPL8/RPL36/FAU/RPS18/EIF3H/RPS23/EIF5/RPLP0/RPL23A/RPL29/RPL35A/EIF2S1/RPL13A/RPL32/EIF3D/RPS16/RPS29/RPS19/RPL36AL/RPL41/RPS28/RPL30/EIF2S3/EIF4A2/EIF3L/RPS24/RPS20/RPS10/RPL36A/EIF3G/RPS25/RPL12/EIF5B/EIF1AX/EIF3K/RPL38/RPL18A/RPLP1/RPL37A/RPL21/RPL18/EIF2S2/PABPC1/RPL14/RPL11/RPS8/RPL31/RPL7/RPS27/EIF4E/RPLP2/RPS27L/EIF4H/EIF3M/EIF3A/RPS15/EIF4B/EIF3I/RPL28/EIF3E/EIF3J/RPL22L1/RPL37/RPL17/EIF4EBP1/RPS17/RPS5/EIF2B4/EIF3F",110,"DC","HCKD_vs_Normal"
"R-HSA-72737","Cap-dependent Translation Initiation","110/3419","120/11230",0.916666666666667,3.01087062493907,14.6515811856612,1.57322275091213e-45,3.24083886687898e-43,1.82162634316141e-43,"RPS26/RPS4X/EIF4A1/RPS2/RPS7/RPL9/RPS4Y1/RPL15/RPL27/RPL10A/RPL6/RPL13/RPS13/RPL26/RPL5/RPL10/RPL3/RPS14/RPS9/RPL26L1/RPS27A/RPL19/RPS15A/RPL24/RPL27A/RPSA/RPL34/RPL4/RPS3A/RPS11/RPL7A/RPL39/RPS3/RPS21/RPL35/UBA52/RPL22/EIF4G1/RPS12/RPS6/RPL23/RPL8/RPL36/FAU/RPS18/EIF3H/RPS23/EIF5/RPLP0/RPL23A/RPL29/RPL35A/EIF2S1/RPL13A/RPL32/EIF3D/RPS16/RPS29/RPS19/RPL36AL/RPL41/RPS28/RPL30/EIF2S3/EIF4A2/EIF3L/RPS24/RPS20/RPS10/RPL36A/EIF3G/RPS25/RPL12/EIF5B/EIF1AX/EIF3K/RPL38/RPL18A/RPLP1/RPL37A/RPL21/RPL18/EIF2S2/PABPC1/RPL14/RPL11/RPS8/RPL31/RPL7/RPS27/EIF4E/RPLP2/RPS27L/EIF4H/EIF3M/EIF3A/RPS15/EIF4B/EIF3I/RPL28/EIF3E/EIF3J/RPL22L1/RPL37/RPL17/EIF4EBP1/RPS17/RPS5/EIF2B4/EIF3F",110,"DC","HCKD_vs_Normal"
"R-HSA-1799339","SRP-dependent cotranslational protein targeting to membrane","105/3419","113/11230",0.929203539823009,3.0520490647009,14.5044054690951,5.9500456095082e-45,1.08951946271883e-42,6.12402355130669e-43,"RPS26/RPS4X/RPS2/RPS7/RPL9/RPS4Y1/RPL15/RPL27/SEC61G/RPL10A/RPL6/RPL13/RPS13/RPL26/RPL5/RPL10/RPL3/RPS14/RPS9/RPL26L1/RPS27A/RPL19/RPS15A/RPL24/RPL27A/RPSA/RPL34/SRP9/RPL4/SSR1/RPS3A/RPS11/RPL7A/RPL39/RPS3/RPS21/RPL35/UBA52/RPL22/SEC11C/RPS12/RPS6/RPL23/DDOST/RPL8/RPL36/FAU/RPS18/RPS23/RPLP0/RPL23A/RPL29/RPL35A/RPL13A/RPL32/SPCS3/RPS16/RPS29/RPS19/SRP72/RPL36AL/RPL41/RPS28/RPL30/RPS24/RPS20/RPS10/RPL36A/RPS25/RPL12/RPL38/RPL18A/RPLP1/RPL37A/RPL21/RPL18/RPN1/SSR4/RPL14/RPL11/RPS8/RPL31/RPL7/SEC61B/RPS27/RPLP2/RPS27L/TRAM1/SSR3/RPN2/SEC11A/RPS15/SPCS2/SRPRB/SRP54/SPCS1/RPL28/RPL22L1/RPL37/RPL17/RPS17/RPS5/SSR2/SRP14/SRP19",105,"DC","HCKD_vs_Normal"
"R-HSA-376176","Signaling by ROBO receptors","157/3419","205/11230",0.765853658536585,2.51551230926173,14.4881813019192,7.00378773556073e-43,1.15422421882041e-40,6.48771916557205e-41,"RPS26/RPS4X/RPS2/SRGAP1/RPS7/RPL9/ELOB/UBC/RPS4Y1/RPL15/RPL27/CXCR4/RAC1/RPL10A/RPL6/RPL13/RPS13/RPL26/RPL5/RPL10/RPL3/RPS14/RPS9/RPL26L1/RPS27A/RPL19/RPS15A/RPL24/PSMA7/RPL27A/RPSA/RPL34/RPL4/RPS3A/RPS11/EVL/PSMD8/RPL7A/RPL39/CASC3/RPS3/RPS21/RPL35/ELOC/UBA52/ETF1/MAGOHB/RPL22/UBB/EIF4G1/SOS2/RPS12/RPS6/RPL23/CAP1/RPL8/PSMC1/RPL36/FAU/RPS18/RPS23/ABL2/NCK1/PSMC5/RPLP0/RPL23A/RPL29/RPL35A/RPL13A/PFN2/RPL32/SOS1/PSMB5/PPP3CB/SRGAP2/RPS16/RPS29/RPS19/RPL36AL/RPL41/SEM1/RPS28/RPL30/ADRM1/PSMA2/PSMA5/RHOA/PRKAR2A/RPS24/RPS20/RPS10/MAGOH/RBX1/MYO9B/RPL36A/PSMD6/PSMB2/RPS25/RPL12/RPL38/PSMD14/RPL18A/RPLP1/RPL37A/PAK2/RPL21/PSMA1/RPL18/PSMB4/PABPC1/RPL14/PAK1/RPL11/USP33/RPS8/RPL31/RPL7/RNPS1/NRP1/RPS27/RPLP2/RPS27L/CDC42/RBM8A/VASP/PSMD1/PSMA4/PSMD11/UPF2/GSPT1/PSMB7/PSMB6/UPF3B/PSMD12/PSMD13/PSMD7/PSMC4/RPS15/PSMC3/PSMB1/PSMC2/ZSWIM8/EIF4A3/RPL28/RPL22L1/RPL37/RPL17/PSMD2/PSMB3/RPS17/RPS5/PSMC6/PRKACA/NCBP2/PSMD3/PSMA3/PFN1",157,"DC","HCKD_vs_Normal"
"R-HSA-72689","Formation of a pool of free 40S subunits","96/3419","102/11230",0.941176470588235,3.09137518710321,14.0375155667062,1.685961826115e-42,2.52587735403411e-40,1.41975732725474e-40,"RPS26/RPS4X/RPS2/RPS7/RPL9/RPS4Y1/RPL15/RPL27/RPL10A/RPL6/RPL13/RPS13/RPL26/RPL5/RPL10/RPL3/RPS14/RPS9/RPL26L1/RPS27A/RPL19/RPS15A/RPL24/RPL27A/RPSA/RPL34/RPL4/RPS3A/RPS11/RPL7A/RPL39/RPS3/RPS21/RPL35/UBA52/RPL22/RPS12/RPS6/RPL23/RPL8/RPL36/FAU/RPS18/EIF3H/RPS23/RPLP0/RPL23A/RPL29/RPL35A/RPL13A/RPL32/EIF3D/RPS16/RPS29/RPS19/RPL36AL/RPL41/RPS28/RPL30/EIF3L/RPS24/RPS20/RPS10/RPL36A/EIF3G/RPS25/RPL12/EIF1AX/EIF3K/RPL38/RPL18A/RPLP1/RPL37A/RPL21/RPL18/RPL14/RPL11/RPS8/RPL31/RPL7/RPS27/RPLP2/RPS27L/EIF3M/EIF3A/RPS15/EIF3I/RPL28/EIF3E/EIF3J/RPL22L1/RPL37/RPL17/RPS17/RPS5/EIF3F",96,"DC","HCKD_vs_Normal"
"R-HSA-168255","Influenza Infection","129/3419","157/11230",0.821656050955414,2.69880007377283,14.1816322673156,1.91189957217586e-41,2.62567541245484e-39,1.47585230132873e-39,"RPS26/RPS4X/RPS2/RPS7/RPL9/RPS4Y1/RPL15/RPL27/HSP90AA1/RPL10A/NUP58/RPL6/RPL13/PABPN1/RPS13/RPL26/RPL5/RPL10/RPL3/RPS14/RPS9/RPL26L1/RPS27A/RPL19/RPS15A/RPL24/RPL27A/RPSA/RPL34/POLR2K/RPL4/CLTC/RPS3A/RPS11/HSPA1A/RPL7A/RPL39/RPS3/RPS21/RPL35/UBA52/RPL22/XPO1/NUP210/RPS12/NUP155/POM121/RPS6/RPL23/RPL8/RPL36/FAU/RPS18/RAE1/RPS23/GTF2F1/RPLP0/TGFB1/RPL23A/RPL29/RPL35A/RPL13A/RPL32/CANX/RPS16/RPS29/RPS19/RPL36AL/CLTA/RPL41/POLR2F/RPS28/RPL30/RAN/POLR2B/NUP35/POLR2E/HSPA1B/SEH1L/RPS24/RPS20/RPS10/RPL36A/RPS25/POLR2L/RPL12/RPL38/RPL18A/RPLP1/RPL37A/RPL21/RPL18/KPNB1/CALR/POLR2I/RPL14/NUP50/ISG15/NUP54/RPL11/RPS8/RPL31/RPL7/DNAJC3/RPS27/POLR2G/EIF2AK2/RPLP2/SEC13/RPS27L/KPNA4/POLR2J/POLR2H/KPNA2/RANBP2/RPS15/POLR2A/RPL28/TPR/RPL22L1/RPL37/RPL17/NUP98/RPS17/RPS5/NUP214/PARP1/NUP62/NUP37",129,"DC","HCKD_vs_Normal"
"R-HSA-156902","Peptide chain elongation","86/3419","90/11230",0.955555555555556,3.13860453023951,13.4764627177143,1.13430654388942e-39,1.37478555110264e-37,7.72746094130251e-38,"RPS26/RPS4X/RPS2/RPS7/RPL9/RPS4Y1/RPL15/RPL27/RPL10A/RPL6/RPL13/RPS13/RPL26/RPL5/RPL10/RPL3/RPS14/RPS9/RPL26L1/RPS27A/RPL19/RPS15A/RPL24/RPL27A/RPSA/RPL34/RPL4/RPS3A/RPS11/RPL7A/RPL39/EEF1A1/RPS3/RPS21/RPL35/UBA52/RPL22/RPS12/RPS6/RPL23/RPL8/RPL36/FAU/RPS18/RPS23/RPLP0/RPL23A/RPL29/RPL35A/RPL13A/RPL32/RPS16/RPS29/RPS19/RPL36AL/RPL41/RPS28/RPL30/RPS24/RPS20/RPS10/RPL36A/RPS25/RPL12/RPL38/RPL18A/RPLP1/RPL37A/RPL21/RPL18/RPL14/RPL11/RPS8/RPL31/RPL7/RPS27/RPLP2/RPS27L/RPS15/RPL28/RPL22L1/RPL37/RPL17/RPS17/RPS5/EEF2",86,"DC","HCKD_vs_Normal"
"R-HSA-927802","Nonsense-Mediated Decay (NMD)","103/3419","116/11230",0.887931034482759,2.91648596585007,13.7267022738536,1.2513218001541e-39,1.37478555110264e-37,7.72746094130251e-38,"RPS26/RPS4X/RPS2/RPS7/RPL9/RPS4Y1/RPL15/RPL27/RPL10A/RPL6/RPL13/RPS13/RPL26/RPL5/RPL10/RPL3/RPS14/RPS9/RPL26L1/RPS27A/RPL19/RPS15A/RPL24/RPL27A/RPSA/RPL34/RPL4/RPS3A/RPS11/RPL7A/RPL39/CASC3/RPS3/RPS21/RPL35/UBA52/ETF1/MAGOHB/RPL22/EIF4G1/RPS12/RPS6/RPL23/RPL8/RPL36/PPP2R2A/FAU/RPS18/RPS23/RPLP0/RPL23A/RPL29/RPL35A/RPL13A/RPL32/PPP2R1A/RPS16/RPS29/RPS19/RPL36AL/RPL41/RPS28/RPL30/PNRC2/RPS24/RPS20/RPS10/MAGOH/RPL36A/RPS25/RPL12/RPL38/RPL18A/RPLP1/RPL37A/RPL21/RPL18/PABPC1/RPL14/RPL11/RPS8/RPL31/RPL7/RNPS1/RPS27/RPLP2/RPS27L/RBM8A/UPF2/GSPT1/PPP2CA/UPF3B/RPS15/SMG1/EIF4A3/RPL28/RPL22L1/RPL37/RPL17/RPS17/DCP1A/RPS5/NCBP2",103,"DC","HCKD_vs_Normal"
"R-HSA-975957","Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC)","103/3419","116/11230",0.887931034482759,2.91648596585007,13.7267022738536,1.2513218001541e-39,1.37478555110264e-37,7.72746094130251e-38,"RPS26/RPS4X/RPS2/RPS7/RPL9/RPS4Y1/RPL15/RPL27/RPL10A/RPL6/RPL13/RPS13/RPL26/RPL5/RPL10/RPL3/RPS14/RPS9/RPL26L1/RPS27A/RPL19/RPS15A/RPL24/RPL27A/RPSA/RPL34/RPL4/RPS3A/RPS11/RPL7A/RPL39/CASC3/RPS3/RPS21/RPL35/UBA52/ETF1/MAGOHB/RPL22/EIF4G1/RPS12/RPS6/RPL23/RPL8/RPL36/PPP2R2A/FAU/RPS18/RPS23/RPLP0/RPL23A/RPL29/RPL35A/RPL13A/RPL32/PPP2R1A/RPS16/RPS29/RPS19/RPL36AL/RPL41/RPS28/RPL30/PNRC2/RPS24/RPS20/RPS10/MAGOH/RPL36A/RPS25/RPL12/RPL38/RPL18A/RPLP1/RPL37A/RPL21/RPL18/PABPC1/RPL14/RPL11/RPS8/RPL31/RPL7/RNPS1/RPS27/RPLP2/RPS27L/RBM8A/UPF2/GSPT1/PPP2CA/UPF3B/RPS15/SMG1/EIF4A3/RPL28/RPL22L1/RPL37/RPL17/RPS17/DCP1A/RPS5/NCBP2",103,"DC","HCKD_vs_Normal"
"R-HSA-9633012","Response of EIF2AK4 (GCN2) to amino acid deficiency","94/3419","102/11230",0.92156862745098,3.0269715373719,13.6052319471858,1.52808206739502e-39,1.57392452941687e-37,8.84679091649751e-38,"RPS26/RPS4X/RPS2/CEBPB/RPS7/RPL9/RPS4Y1/RPL15/RPL27/EIF2AK4/RPL10A/RPL6/RPL13/RPS13/RPL26/RPL5/RPL10/RPL3/RPS14/RPS9/RPL26L1/RPS27A/RPL19/RPS15A/RPL24/RPL27A/RPSA/RPL34/RPL4/RPS3A/RPS11/RPL7A/RPL39/RPS3/RPS21/RPL35/UBA52/RPL22/RPS12/RPS6/RPL23/ATF4/RPL8/RPL36/FAU/RPS18/RPS23/RPLP0/RPL23A/RPL29/RPL35A/EIF2S1/RPL13A/RPL32/ATF3/RPS16/RPS29/RPS19/RPL36AL/RPL41/RPS28/RPL30/EIF2S3/RPS24/RPS20/RPS10/RPL36A/RPS25/RPL12/RPL38/RPL18A/RPLP1/RPL37A/RPL21/RPL18/EIF2S2/RPL14/CEBPG/RPL11/RPS8/RPL31/RPL7/RPS27/RPLP2/RPS27L/RPS15/RPL28/RPL22L1/RPL37/RPL17/RPS17/RPS5/IMPACT/DDIT3",94,"DC","HCKD_vs_Normal"
