"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","CellType","Condition"
"R-HSA-72766","Translation","269/3565","368/11230",0.730978260869565,2.30263278248674,17.3274734510262,1.57196579904445e-61,2.61103519221283e-58,1.4180786208222e-58,"MRPS6/SEM1/ELOB/RPL15/EEF2/RPS21/RPLP1/RPS9/RPL5/RPS10/RPS3/RPS6/RPS8/UFD1/SRPRA/RPS27L/MRPS11/SPCS2/RPS28/RPS14/RPLP0/RPS24/RPS18/MRPL41/EIF4B/RPL19/RPS16/RPL26/FAU/MRPL24/ELOC/MRPS31/RPL12/RPLP2/RPL10/MRPL57/RBX1/AURKAIP1/MRPS12/RPL41/RPS19/RPS12/RPL29/EEF1E1/SRP14/PPA1/EIF4A1/RPS5/RPL31/SSR4/RPL11/PSMB2/GSPT1/RPL24/MRPL54/TRAM1/RPS15A/MRPL12/EIF3F/RPS25/RPL36A/RPS3A/RPL8/RPL35/RPL18A/RPL34/MRPL23/UBC/ERAL1/NPLOC4/RPL32/TCF25/PSMA2/EIF4A2/EIF3G/PSMD8/EIF3I/EEF1A1/RPL27/RPS27/RPL30/PSMB6/RPL21/MRPL11/RPL18/GADD45GIP1/PSMD7/RPS2/RPS15/RPL17/EIF3E/MRPS34/RPL36AL/RPL38/SEC11A/RPS23/EEF1D/RPL26L1/RPL14/MRPL33/RPL39/RPL36/MRPL48/SRP72/RPS26/RPN2/MT-CYB/SEC61G/RPL3/MRPS7/PSMA4/MRPS16/MT-ATP8/MT-ND2/PSMB1/RPL6/RPL27A/RPL4/SSR3/AIMP1/PSMC5/EIF3H/UBA52/RPL13/MRPL16/RPL13A/PSMD13/ETF1/RPL7A/TUFM/RPL7/MRPL28/RPL9/RPL10A/SEC61A1/MRPL58/MRPL4/NDUFAB1/MT-ND4L/MRPL19/RPS27A/MRPL13/CHCHD1/PSMC4/MRPL37/RPS13/MT-ND5/PABPC1/MRPS18B/PSMA5/RPL22/MRPL42/RPS7/MRPL17/MT-ND1/MRPS21/MRPL14/MRPL40/RPS11/RPL23A/UBE2D3/MRPL52/EIF4G1/LTN1/SEC61B/RPS20/TRMT112/EIF3L/MRPL34/RPS29/MRPS14/SRP9/ABCE1/CUL2/EIF3B/PSMB7/MRPL1/MT-ATP6/PSMB3/PTCD3/RPS17/PSMC6/PSMA6/UBB/SPCS1/PSMD2/RPL28/RPL37A/MRPL35/EIF3J/PSMC1/UBE2D1/ZNF598/PSMD14/EIF2S2/PSMB4/RPS4X/EIF3M/EIF3D/MRPL39/SEC11C/IARS2/RPSA/EIF5/SPCS3/SSR1/RPL22L1/RPL35A/MRPS18C/MRPL2/RPL37/DDOST/EIF4EBP1/ADRM1/EIF1AX/MRPL55/MT-ND6/MRPL32/MRPL20/PSMB5/PSMD12/MRPS15/EIF3K/VCP/EIF4H/MRPL43/PSMD1/ANKZF1/PSMD11/MT-CO1/ASCC2/MRPS33/MRPL50/UBE2D2/EEF1B2/PSMC3/MRPS28/RPN1/MRPL3/SRP54/PSMD3/NEMF/MRPL51/PSMA3/MT-CO3/MRPS5/SRPRB/DAP3/PSMC2/PSMA1/MRPS9/PELO/EIF5B/MRPL18/MT-ND3/MT-ND4/OXA1L/SRP19/MRPL21/RPL23/MRPS26/PSMA7/EIF2S3/MRPL47/MALSU1/EIF3A/SSR2/PSMD6/MT-CO2",269,"EC_DVR","HCKD_vs_Normal"
"R-HSA-9948299","Ribosome-associated quality control","135/3565","145/11230",0.931034482758621,2.93282391062533,15.9754341846478,1.93024989473105e-55,1.60307253757414e-52,8.70644294623427e-53,"SEM1/ELOB/RPL15/RPS21/RPLP1/RPS9/RPL5/RPS10/RPS3/RPS6/RPS8/UFD1/RPS27L/RPS28/RPS14/RPLP0/RPS24/RPS18/RPL19/RPS16/RPL26/FAU/ELOC/RPL12/RPLP2/RPL10/RBX1/RPL41/RPS19/RPS12/RPL29/RPS5/RPL31/RPL11/PSMB2/RPL24/RPS15A/RPS25/RPL36A/RPS3A/RPL8/RPL35/RPL18A/RPL34/UBC/NPLOC4/RPL32/TCF25/PSMA2/PSMD8/RPL27/RPS27/RPL30/PSMB6/RPL21/RPL18/PSMD7/RPS2/RPS15/RPL17/RPL36AL/RPL38/RPS23/RPL26L1/RPL14/RPL39/RPL36/RPS26/RPL3/PSMA4/PSMB1/RPL6/RPL27A/RPL4/PSMC5/UBA52/RPL13/RPL13A/PSMD13/RPL7A/RPL7/RPL9/RPL10A/RPS27A/PSMC4/RPS13/PSMA5/RPL22/RPS7/RPS11/RPL23A/UBE2D3/LTN1/RPS20/RPS29/ABCE1/CUL2/PSMB7/PSMB3/RPS17/PSMC6/PSMA6/UBB/PSMD2/RPL28/RPL37A/PSMC1/UBE2D1/ZNF598/PSMD14/PSMB4/RPS4X/RPSA/RPL22L1/RPL35A/RPL37/ADRM1/PSMB5/PSMD12/VCP/PSMD1/ANKZF1/PSMD11/ASCC2/UBE2D2/PSMC3/PSMD3/NEMF/PSMA3/PSMC2/PSMA1/PELO/RPL23/PSMA7/PSMD6",135,"EC_DVR","HCKD_vs_Normal"
"R-HSA-72203","Processing of Capped Intron-Containing Pre-mRNA","214/3565","294/11230",0.727891156462585,2.29290818711776,15.3199140372424,1.954717055136e-48,1.08226167619363e-45,5.87786847807563e-46,"SNU13/SF3B6/LSM7/CWF19L2/TRA2B/SRSF10/DDX5/LSM5/SNRPB2/PRPF3/YJU2/NUDT21/DHX15/TCERG1/NUP88/NUP58/SRRM2/POLR2E/PNN/FAM50A/PPP1CB/HNRNPU/RBBP6/SNRPE/NXT1/DHX9/SNRPN/FUS/U2AF1/RBM39/SRSF8/UBC/LUC7L3/LSM8/PPP1R10/DHX38/PCF11/HNRNPA1/ZMAT2/U2SURP/HNRNPA2B1/SNRPD2/SYMPK/DDX39B/HNRNPH1/ZC3H11A/PRPF8/PPP1CA/YBX1/SNRPD3/THOC3/SARNP/NUP98/PPIL2/HSPA8/SEH1L/GCFC2/POLR2B/UBA52/RBM7/HNRNPC/SF1/SRRM1/PAPOLA/SNRNP70/UPF3B/ZNF830/U2AF1L4/SMNDC1/THOC2/SRSF9/PRPF40A/POLR2L/LSM3/SNRPD1/PQBP1/SNRPG/CWC15/HNRNPM/RPS27A/ZCRB1/CSTF3/SNRPB/PTBP1/DDX46/METTL3/NUP50/PUF60/SRSF11/POLR2J/RNPS1/RBM22/CTNNBL1/XRN2/TXNL4A/SNRPA/ISY1/RBMX/PPWD1/LSM4/NUP62/SNW1/DDX42/CPSF2/WBP11/CASC3/PCBP2/PCBP1/PRPF6/SRSF4/SF3B5/HNRNPA3/SF3B1/HNRNPF/CSTF2T/DHX8/FYTTD1/UBB/SNRPA1/NUP153/SF3B4/THOC7/HNRNPK/SNRNP35/THOC1/PABPN1/POLR2F/SAP18/SNRNP200/RBM5/POLR2C/MAGOH/RBM8A/CCAR1/SRSF1/SF3A1/SRRT/PRPF38A/POLR2A/PRPF31/LSM6/RANBP2/SRSF2/SNRPC/RBM17/HNRNPD/SNRPF/SMU1/POLR2K/NCBP2/NUP133/CHTOP/CPSF6/LENG1/SART1/WTAP/METTL14/RBM25/POLR2H/ALYREF/SRSF3/ACIN1/DNAJC8/PRPF4/SRSF7/NXF1/SYF2/RBM10/SNRNP40/CPSF7/SF3B2/CWC22/RNPC3/SNRNP48/CCDC12/U2AF2/DDX39A/POM121/POLDIP3/POLR2I/GTF2F1/PLRG1/HNRNPR/NUP37/SRSF6/CDC5L/TPR/PPIH/DDX23/DHX16/PRKRIP1/RBM42/C9orf78/UBL5/WDR33/SF3A2/RBMX2/FAM32A/BUD31/CWC25/THOC5/WBP4/EIF4A3/NUP54/LSM2/HNRNPH2/PPIG/USP39/SF3B3/SRSF5/IK/AQR/NSRP1/CRNKL1",214,"EC_DVR","HCKD_vs_Normal"
"R-HSA-9010553","Regulation of expression of SLITs and ROBOs","137/3565","159/11230",0.861635220125786,2.71421136662344,14.8461462912018,1.4352041262196e-46,5.9596851341269e-44,3.23676298992158e-44,"SEM1/ELOB/RPL15/RPS21/RPLP1/RPS9/RPL5/RPS10/RPS3/RPS6/RPS8/RPS27L/RPS28/RPS14/RPLP0/RPS24/RPS18/RPL19/RPS16/RPL26/FAU/ELOC/DAG1/RPL12/RPLP2/RPL10/RBX1/RPL41/RPS19/RPS12/RPL29/RPS5/RPL31/RPL11/PSMB2/GSPT1/RPL24/RPS15A/RPS25/RPL36A/RPS3A/RPL8/RPL35/UPF2/RPL18A/RPL34/UBC/RPL32/PSMA2/PSMD8/RPL27/RPS27/RPL30/PSMB6/RPL21/RPL18/PSMD7/RPS2/RPS15/RPL17/RPL36AL/RPL38/RPS23/RPL26L1/RPL14/RPL39/RPL36/RPS26/RPL3/PSMA4/PSMB1/RPL6/RPL27A/RPL4/PSMC5/UBA52/RPL13/RPL13A/UPF3A/UPF3B/PSMD13/ETF1/RPL7A/RPL7/RPL9/RPL10A/RPS27A/PSMC4/RPS13/PABPC1/PSMA5/RPL22/RNPS1/RPS7/RPS11/RPL23A/EIF4G1/RPS20/RPS29/CASC3/CUL2/PSMB7/PSMB3/RPS17/PSMC6/PSMA6/UBB/PSMD2/RPL28/RPL37A/MAGOH/ZSWIM8/RBM8A/PSMC1/PSMD14/PSMB4/RPS4X/RPSA/NCBP2/RPL22L1/RPL35A/RPL37/ADRM1/PSMB5/PSMD12/PSMD1/PSMD11/USP33/PSMC3/PSMD3/PSMA3/PSMC2/PSMA1/EIF4A3/RPL23/PSMA7/PSMD6",137,"EC_DVR","HCKD_vs_Normal"
"R-HSA-1799339","SRP-dependent cotranslational protein targeting to membrane","106/3565","113/11230",0.938053097345133,2.95493303876181,14.2436578768937,1.50102999442437e-44,4.98642164147777e-42,2.70817411625619e-42,"RPL15/RPS21/RPLP1/RPS9/RPL5/RPS10/RPS3/RPS6/RPS8/SRPRA/RPS27L/SPCS2/RPS28/RPS14/RPLP0/RPS24/RPS18/RPL19/RPS16/RPL26/FAU/RPL12/RPLP2/RPL10/RPL41/RPS19/RPS12/RPL29/SRP14/RPS5/RPL31/SSR4/RPL11/RPL24/TRAM1/RPS15A/RPS25/RPL36A/RPS3A/RPL8/RPL35/RPL18A/RPL34/RPL32/RPL27/RPS27/RPL30/RPL21/RPL18/RPS2/RPS15/RPL17/RPL36AL/RPL38/SEC11A/RPS23/RPL26L1/RPL14/RPL39/RPL36/SRP72/RPS26/RPN2/SEC61G/RPL3/RPL6/RPL27A/RPL4/SSR3/UBA52/RPL13/RPL13A/RPL7A/RPL7/RPL9/RPL10A/SEC61A1/RPS27A/RPS13/RPL22/RPS7/RPS11/RPL23A/SEC61B/RPS20/RPS29/SRP9/RPS17/SPCS1/RPL28/RPL37A/RPS4X/SEC11C/RPSA/SPCS3/SSR1/RPL22L1/RPL35A/RPL37/DDOST/RPN1/SRP54/SRPRB/SRP19/RPL23/SSR2",106,"EC_DVR","HCKD_vs_Normal"
"R-HSA-376176","Signaling by ROBO receptors","161/3565","205/11230",0.785365853658537,2.47395751376869,14.5250228814944,6.67371961143425e-44,1.58357832494176e-41,8.60056798044986e-42,"SEM1/ELOB/RPL15/RPS21/RPLP1/RPS9/RPL5/RPS10/RPS3/RPS6/RPS8/RPS27L/RPS28/RPS14/RPLP0/RPS24/RPS18/RPL19/RPS16/RPL26/FAU/ELOC/DAG1/RPL12/RPLP2/RPL10/PFN1/RBX1/RPL41/RPS19/RPS12/RPL29/RPS5/RPL31/RPL11/PSMB2/GSPT1/RPL24/RPS15A/RPS25/RPL36A/RPS3A/RPL8/RPL35/UPF2/RPL18A/RPL34/ABL2/UBC/RPL32/SLIT3/PSMA2/PSMD8/RPL27/RPS27/RPL30/PSMB6/RPL21/RPL18/PSMD7/RPS2/RPS15/RPL17/NRP1/RPL36AL/RPL38/RPS23/RPL26L1/RPL14/RPL39/RPL36/RPS26/RPL3/PSMA4/PSMB1/RPL6/RPL27A/CXCL12/RPL4/CLASP2/PSMC5/UBA52/RPL13/RPL13A/UPF3A/CDC42/UPF3B/PSMD13/ETF1/RPL7A/RPL7/PPP3CB/RPL9/RPL10A/EVL/RPS27A/SOS2/NCK1/SOS1/PSMC4/RPS13/PABPC1/PSMA5/RPL22/RAC1/RNPS1/RPS7/SRGAP1/RPS11/RPL23A/EIF4G1/RPS20/PRKAR2A/PAK2/RPS29/CASC3/CUL2/PFN2/PSMB7/PSMB3/RPS17/PSMC6/PSMA6/UBB/PSMD2/RPL28/RPL37A/MAGOH/PRKACB/ZSWIM8/RBM8A/PSMC1/SRGAP2/PSMD14/PSMB4/RPS4X/VASP/RPSA/NCBP2/RPL22L1/RPL35A/RPL37/ADRM1/PSMB5/PSMD12/CAP1/PSMD1/PSMD11/USP33/PSMC3/PSMD3/PSMA3/PSMC2/PSMA1/RHOA/EIF4A3/RPL23/PSMA7/MYO9B/ENAH/PSMD6",161,"EC_DVR","HCKD_vs_Normal"
"R-HSA-72163","mRNA Splicing - Major Pathway","161/3565","205/11230",0.785365853658537,2.47395751376869,14.5250228814944,6.67371961143425e-44,1.58357832494176e-41,8.60056798044986e-42,"SNU13/SF3B6/LSM7/CWF19L2/TRA2B/SRSF10/DDX5/LSM5/SNRPB2/PRPF3/YJU2/DHX15/TCERG1/SRRM2/POLR2E/PNN/FAM50A/HNRNPU/SNRPE/DHX9/SNRPN/FUS/U2AF1/RBM39/SRSF8/LUC7L3/LSM8/DHX38/HNRNPA1/ZMAT2/U2SURP/HNRNPA2B1/SNRPD2/DDX39B/HNRNPH1/PRPF8/YBX1/SNRPD3/PPIL2/HSPA8/GCFC2/POLR2B/RBM7/HNRNPC/SF1/SRRM1/SNRNP70/UPF3B/ZNF830/U2AF1L4/SMNDC1/SRSF9/PRPF40A/POLR2L/LSM3/SNRPD1/PQBP1/SNRPG/CWC15/HNRNPM/SNRPB/PTBP1/DDX46/PUF60/SRSF11/POLR2J/RNPS1/RBM22/CTNNBL1/TXNL4A/SNRPA/ISY1/RBMX/PPWD1/LSM4/SNW1/DDX42/WBP11/CASC3/PCBP2/PCBP1/PRPF6/SRSF4/SF3B5/HNRNPA3/SF3B1/HNRNPF/DHX8/SNRPA1/SF3B4/HNRNPK/POLR2F/SAP18/SNRNP200/RBM5/POLR2C/MAGOH/RBM8A/CCAR1/SRSF1/SF3A1/SRRT/PRPF38A/POLR2A/PRPF31/LSM6/SRSF2/SNRPC/RBM17/HNRNPD/SNRPF/SMU1/POLR2K/NCBP2/LENG1/SART1/RBM25/POLR2H/ALYREF/SRSF3/ACIN1/DNAJC8/PRPF4/SRSF7/SYF2/RBM10/SNRNP40/SF3B2/CWC22/CCDC12/U2AF2/POLR2I/GTF2F1/PLRG1/HNRNPR/SRSF6/CDC5L/PPIH/DDX23/DHX16/PRKRIP1/RBM42/C9orf78/UBL5/SF3A2/RBMX2/FAM32A/BUD31/CWC25/WBP4/EIF4A3/LSM2/HNRNPH2/PPIG/USP39/SF3B3/SRSF5/IK/AQR/NSRP1/CRNKL1",161,"EC_DVR","HCKD_vs_Normal"
"R-HSA-72172","mRNA Splicing","165/3565","213/11230",0.774647887323944,2.44019516820418,14.471838421433,1.55273661819416e-43,3.22386940352562e-41,1.75091484446368e-41,"SNU13/SF3B6/LSM7/CWF19L2/TRA2B/SRSF10/DDX5/LSM5/SNRPB2/PRPF3/YJU2/DHX15/TCERG1/SRRM2/POLR2E/PNN/FAM50A/HNRNPU/SNRPE/DHX9/SNRPN/FUS/U2AF1/RBM39/SRSF8/LUC7L3/LSM8/DHX38/HNRNPA1/ZMAT2/U2SURP/HNRNPA2B1/SNRPD2/DDX39B/HNRNPH1/PRPF8/YBX1/SNRPD3/PPIL2/HSPA8/GCFC2/POLR2B/RBM7/HNRNPC/SF1/SRRM1/SNRNP70/UPF3B/ZNF830/U2AF1L4/SMNDC1/SRSF9/PRPF40A/POLR2L/LSM3/SNRPD1/PQBP1/SNRPG/CWC15/HNRNPM/ZCRB1/SNRPB/PTBP1/DDX46/PUF60/SRSF11/POLR2J/RNPS1/RBM22/CTNNBL1/TXNL4A/SNRPA/ISY1/RBMX/PPWD1/LSM4/SNW1/DDX42/WBP11/CASC3/PCBP2/PCBP1/PRPF6/SRSF4/SF3B5/HNRNPA3/SF3B1/HNRNPF/DHX8/SNRPA1/SF3B4/HNRNPK/SNRNP35/POLR2F/SAP18/SNRNP200/RBM5/POLR2C/MAGOH/RBM8A/CCAR1/SRSF1/SF3A1/SRRT/PRPF38A/POLR2A/PRPF31/LSM6/SRSF2/SNRPC/RBM17/HNRNPD/SNRPF/SMU1/POLR2K/NCBP2/LENG1/SART1/RBM25/POLR2H/ALYREF/SRSF3/ACIN1/DNAJC8/PRPF4/SRSF7/SYF2/RBM10/SNRNP40/SF3B2/CWC22/RNPC3/SNRNP48/CCDC12/U2AF2/POLR2I/GTF2F1/PLRG1/HNRNPR/SRSF6/CDC5L/PPIH/DDX23/DHX16/PRKRIP1/RBM42/C9orf78/UBL5/SF3A2/RBMX2/FAM32A/BUD31/CWC25/WBP4/EIF4A3/LSM2/HNRNPH2/PPIG/USP39/SF3B3/SRSF5/IK/AQR/NSRP1/CRNKL1",165,"EC_DVR","HCKD_vs_Normal"
"R-HSA-72706","GTP hydrolysis and joining of the 60S ribosomal subunit","105/3565","113/11230",0.929203539823009,2.92705631198103,14.0405478208867,4.42258154847137e-43,8.16211994667883e-41,4.4329267684678e-41,"RPL15/RPS21/RPLP1/RPS9/RPL5/RPS10/RPS3/RPS6/RPS8/RPS27L/RPS28/RPS14/RPLP0/RPS24/RPS18/EIF4B/RPL19/RPS16/RPL26/FAU/RPL12/RPLP2/RPL10/RPL41/RPS19/RPS12/RPL29/EIF4A1/RPS5/RPL31/RPL11/RPL24/RPS15A/EIF3F/RPS25/RPL36A/RPS3A/RPL8/RPL35/RPL18A/RPL34/RPL32/EIF4A2/EIF3G/EIF3I/RPL27/RPS27/RPL30/RPL21/RPL18/RPS2/RPS15/RPL17/EIF3E/RPL36AL/RPL38/RPS23/RPL26L1/RPL14/RPL39/RPL36/RPS26/RPL3/RPL6/RPL27A/RPL4/EIF3H/UBA52/RPL13/RPL13A/RPL7A/RPL7/RPL9/RPL10A/RPS27A/RPS13/RPL22/RPS7/RPS11/RPL23A/EIF4G1/RPS20/EIF3L/RPS29/EIF3B/RPS17/RPL28/RPL37A/EIF3J/EIF2S2/RPS4X/EIF3M/EIF3D/RPSA/EIF5/RPL22L1/RPL35A/RPL37/EIF1AX/EIF3K/EIF4H/EIF5B/RPL23/EIF2S3/EIF3A",105,"EC_DVR","HCKD_vs_Normal"
"R-HSA-9954709","Ribosome Quality Control (RQC) complex extracts and degrades nascent peptide","98/3565","103/11230",0.951456310679612,2.9971541006822,13.8862625771496,8.05966020403419e-43,1.33870955989008e-40,7.27066188932348e-41,"SEM1/ELOB/RPL15/RPLP1/RPL5/UFD1/RPLP0/RPL19/RPL26/ELOC/RPL12/RPLP2/RPL10/RBX1/RPL41/RPL29/RPL31/RPL11/PSMB2/RPL24/RPL36A/RPL8/RPL35/RPL18A/RPL34/UBC/NPLOC4/RPL32/TCF25/PSMA2/PSMD8/RPL27/RPL30/PSMB6/RPL21/RPL18/PSMD7/RPL17/RPL36AL/RPL38/RPL26L1/RPL14/RPL39/RPL36/RPL3/PSMA4/PSMB1/RPL6/RPL27A/RPL4/PSMC5/UBA52/RPL13/RPL13A/PSMD13/RPL7A/RPL7/RPL9/RPL10A/RPS27A/PSMC4/PSMA5/RPL22/RPL23A/LTN1/CUL2/PSMB7/PSMB3/PSMC6/PSMA6/UBB/PSMD2/RPL28/RPL37A/PSMC1/UBE2D1/PSMD14/PSMB4/RPL22L1/RPL35A/RPL37/ADRM1/PSMB5/PSMD12/VCP/PSMD1/ANKZF1/PSMD11/UBE2D2/PSMC3/PSMD3/NEMF/PSMA3/PSMC2/PSMA1/RPL23/PSMA7/PSMD6",98,"EC_DVR","HCKD_vs_Normal"
"R-HSA-156827","L13a-mediated translational silencing of Ceruloplasmin expression","104/3565","112/11230",0.928571428571429,2.92506511721098,13.9632119219479,1.32056808784029e-42,1.99405781263883e-40,1.08299220218098e-40,"RPL15/RPS21/RPLP1/RPS9/RPL5/RPS10/RPS3/RPS6/RPS8/RPS27L/RPS28/RPS14/RPLP0/RPS24/RPS18/EIF4B/RPL19/RPS16/RPL26/FAU/RPL12/RPLP2/RPL10/RPL41/RPS19/RPS12/RPL29/EIF4A1/RPS5/RPL31/RPL11/RPL24/RPS15A/EIF3F/RPS25/RPL36A/RPS3A/RPL8/RPL35/RPL18A/RPL34/RPL32/EIF4A2/EIF3G/EIF3I/RPL27/RPS27/RPL30/RPL21/RPL18/RPS2/RPS15/RPL17/EIF3E/RPL36AL/RPL38/RPS23/RPL26L1/RPL14/RPL39/RPL36/RPS26/RPL3/RPL6/RPL27A/RPL4/EIF3H/UBA52/RPL13/RPL13A/RPL7A/RPL7/RPL9/RPL10A/RPS27A/RPS13/PABPC1/RPL22/RPS7/RPS11/RPL23A/EIF4G1/RPS20/EIF3L/RPS29/EIF3B/RPS17/RPL28/RPL37A/EIF3J/EIF2S2/RPS4X/EIF3M/EIF3D/RPSA/RPL22L1/RPL35A/RPL37/EIF1AX/EIF3K/EIF4H/RPL23/EIF2S3/EIF3A",104,"EC_DVR","HCKD_vs_Normal"
"R-HSA-72689","Formation of a pool of free 40S subunits","96/3565","102/11230",0.941176470588235,2.96477188350796,13.5940195582186,8.83024683538452e-41,1.22225333279781e-38,6.6381767876531e-39,"RPL15/RPS21/RPLP1/RPS9/RPL5/RPS10/RPS3/RPS6/RPS8/RPS27L/RPS28/RPS14/RPLP0/RPS24/RPS18/RPL19/RPS16/RPL26/FAU/RPL12/RPLP2/RPL10/RPL41/RPS19/RPS12/RPL29/RPS5/RPL31/RPL11/RPL24/RPS15A/EIF3F/RPS25/RPL36A/RPS3A/RPL8/RPL35/RPL18A/RPL34/RPL32/EIF3G/EIF3I/RPL27/RPS27/RPL30/RPL21/RPL18/RPS2/RPS15/RPL17/EIF3E/RPL36AL/RPL38/RPS23/RPL26L1/RPL14/RPL39/RPL36/RPS26/RPL3/RPL6/RPL27A/RPL4/EIF3H/UBA52/RPL13/RPL13A/RPL7A/RPL7/RPL9/RPL10A/RPS27A/RPS13/RPL22/RPS7/RPS11/RPL23A/RPS20/EIF3L/RPS29/EIF3B/RPS17/RPL28/RPL37A/EIF3J/RPS4X/EIF3M/EIF3D/RPSA/RPL22L1/RPL35A/RPL37/EIF1AX/EIF3K/RPL23/EIF3A",96,"EC_DVR","HCKD_vs_Normal"
"R-HSA-72613","Eukaryotic Translation Initiation","107/3565","120/11230",0.891666666666667,2.80881252921926,13.5853671399115,1.161215600285e-39,1.3776993657667e-37,7.48241931912965e-38,"RPL15/RPS21/RPLP1/RPS9/RPL5/RPS10/RPS3/RPS6/RPS8/RPS27L/RPS28/RPS14/RPLP0/RPS24/RPS18/EIF4B/RPL19/RPS16/RPL26/FAU/RPL12/RPLP2/RPL10/RPL41/RPS19/RPS12/RPL29/EIF4A1/RPS5/RPL31/RPL11/RPL24/RPS15A/EIF3F/RPS25/RPL36A/RPS3A/RPL8/RPL35/RPL18A/RPL34/RPL32/EIF4A2/EIF3G/EIF3I/RPL27/RPS27/RPL30/RPL21/RPL18/RPS2/RPS15/RPL17/EIF3E/RPL36AL/RPL38/RPS23/RPL26L1/RPL14/RPL39/RPL36/RPS26/RPL3/RPL6/RPL27A/RPL4/EIF3H/UBA52/RPL13/RPL13A/RPL7A/RPL7/RPL9/RPL10A/RPS27A/RPS13/PABPC1/RPL22/RPS7/RPS11/RPL23A/EIF4G1/RPS20/EIF3L/RPS29/EIF3B/RPS17/RPL28/RPL37A/EIF3J/EIF2S2/RPS4X/EIF3M/EIF3D/RPSA/EIF5/RPL22L1/RPL35A/RPL37/EIF4EBP1/EIF1AX/EIF3K/EIF4H/EIF5B/RPL23/EIF2S3/EIF3A",107,"EC_DVR","HCKD_vs_Normal"
"R-HSA-72737","Cap-dependent Translation Initiation","107/3565","120/11230",0.891666666666667,2.80881252921926,13.5853671399115,1.161215600285e-39,1.3776993657667e-37,7.48241931912965e-38,"RPL15/RPS21/RPLP1/RPS9/RPL5/RPS10/RPS3/RPS6/RPS8/RPS27L/RPS28/RPS14/RPLP0/RPS24/RPS18/EIF4B/RPL19/RPS16/RPL26/FAU/RPL12/RPLP2/RPL10/RPL41/RPS19/RPS12/RPL29/EIF4A1/RPS5/RPL31/RPL11/RPL24/RPS15A/EIF3F/RPS25/RPL36A/RPS3A/RPL8/RPL35/RPL18A/RPL34/RPL32/EIF4A2/EIF3G/EIF3I/RPL27/RPS27/RPL30/RPL21/RPL18/RPS2/RPS15/RPL17/EIF3E/RPL36AL/RPL38/RPS23/RPL26L1/RPL14/RPL39/RPL36/RPS26/RPL3/RPL6/RPL27A/RPL4/EIF3H/UBA52/RPL13/RPL13A/RPL7A/RPL7/RPL9/RPL10A/RPS27A/RPS13/PABPC1/RPL22/RPS7/RPS11/RPL23A/EIF4G1/RPS20/EIF3L/RPS29/EIF3B/RPS17/RPL28/RPL37A/EIF3J/EIF2S2/RPS4X/EIF3M/EIF3D/RPSA/EIF5/RPL22L1/RPL35A/RPL37/EIF4EBP1/EIF1AX/EIF3K/EIF4H/EIF5B/RPL23/EIF2S3/EIF3A",107,"EC_DVR","HCKD_vs_Normal"
"R-HSA-72187","mRNA 3'-end processing","126/3565","152/11230",0.828947368421053,2.61124234147782,13.6394295853957,3.42295925009113e-39,3.79035687626758e-37,2.05857970338814e-37,"SF3B6/TRA2B/SRSF10/DDX5/SNRPB2/NUDT21/DHX15/TCERG1/SRRM2/POLR2E/PPP1CB/HNRNPU/RBBP6/SNRPE/DHX9/SNRPN/FUS/U2AF1/RBM39/SRSF8/UBC/PPP1R10/DHX38/PCF11/HNRNPA1/U2SURP/HNRNPA2B1/SNRPD2/SYMPK/DDX39B/HNRNPH1/ZC3H11A/PPP1CA/YBX1/SNRPD3/THOC3/SARNP/POLR2B/UBA52/HNRNPC/SRRM1/PAPOLA/SNRNP70/UPF3B/U2AF1L4/SMNDC1/THOC2/SRSF9/PRPF40A/POLR2L/SNRPD1/SNRPG/HNRNPM/RPS27A/CSTF3/SNRPB/PTBP1/DDX46/PUF60/SRSF11/POLR2J/RNPS1/XRN2/SNRPA/RBMX/DDX42/CPSF2/CASC3/PCBP2/PCBP1/SRSF4/SF3B5/HNRNPA3/SF3B1/HNRNPF/CSTF2T/FYTTD1/UBB/SNRPA1/SF3B4/THOC7/HNRNPK/THOC1/PABPN1/POLR2F/RBM5/POLR2C/MAGOH/RBM8A/CCAR1/SRSF1/SF3A1/SRRT/POLR2A/SRSF2/SNRPC/RBM17/HNRNPD/SNRPF/POLR2K/NCBP2/CHTOP/CPSF6/RBM25/POLR2H/ALYREF/SRSF3/DNAJC8/SRSF7/RBM10/CPSF7/SF3B2/U2AF2/DDX39A/POLDIP3/POLR2I/GTF2F1/HNRNPR/SRSF6/WDR33/SF3A2/THOC5/EIF4A3/HNRNPH2/SF3B3/SRSF5",126,"EC_DVR","HCKD_vs_Normal"
