"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","CellType","Condition"
"R-HSA-72766","Translation","316/4619","368/11230",0.858695652173913,2.08771426150964,17.7335129479872,6.27777758045557e-73,1.04776107817803e-69,5.73590625245835e-70,"RPS2/RPL10A/RPL13/RPL8/UBC/RPS27A/MT-CO2/EEF1A1/RPS3/RPL18/RPL18A/RPL9/RPL10/RPL19/ELOB/RPS14/RPS18/EEF1B2/RPL30/RPL24/RPS7/MT-CYB/RPS12/RPLP1/RPS23/RPS9/RPL23A/RPL15/RPS24/RPS19/RPL3/MT-CO1/RPS5/RPS13/RPL21/FAU/RPL5/SEM1/RPS4Y1/RPL7A/RPS3A/RPL6/EEF1G/RPL37A/RPL28/RPL37/PSMB1/MT-ATP6/RPL35A/RPS15/PSMA7/RPS4X/RPS8/RPL12/RPS25/RPL7/EEF1D/MRPL57/MT-ND2/RPL36/RPL14/RPS6/RPL41/RPS16/RPL29/RPL32/MRPS24/MT-ND3/MT-CO3/RPS11/RPS17/RPL27A/RPL11/RPS28/RPL36AL/RPS15A/RPS27/RPSA/RPL22/RPL4/RPLP2/MT-ND4/RPL34/EIF3G/UBA52/RPL27/MT-ND5/MRPL51/PPA1/SRP14/UBB/PSMA2/MT-ATP8/UBE2D2/PSMD8/EIF5/TRMT112/RPL31/RPL38/ELOC/RPL17/RPL39/RPL26/EIF4A2/EIF4A1/MT-ND1/RPL35/EIF3F/RPS29/PSMC1/MT-ND4L/EIF3E/EIF2S2/RPS20/RPL39L/EIF3K/NDUFAB1/PSMD7/ADRM1/MRPL54/MRPL23/SEC11A/MRPL36/RPLP0/RPL23/UFD1/PSMC2/EIF3H/RPL13A/PSMA6/SSR3/EIF3M/MRPL17/MT-ND6/MALSU1/MRPL33/PSMA3/MRPL20/SRPRA/PABPC1/GSPT1/RPN1/PSMA5/MRPL30/GADD45GIP1/EIF4B/MRPL38/MRPL18/SEC11C/MRPL9/SPCS2/MRPS6/RPL22L1/MRPS17/SSR2/SEC61B/RPS10/RPS21/MRPS34/EIF3J/UBE2D3/PSMC3/RPL26L1/SRP19/PSMB6/MRPL52/PSMB4/MRPL48/MRPL11/PSMD1/SPCS1/EEF1E1/SEC61G/TRAM1/PSMA1/SRP9/MRPL21/PSMD14/EIF4EBP1/GFM1/EIF3B/PSMD13/EIF1AX/RPS27L/MRPL35/DDOST/PSMD11/PSMC4/PSMA4/PSMC5/SSR4/AIMP1/MRPL47/PSMB3/TCF25/LTN1/MRPS21/MRPS10/UBE2D1/MRPS16/MRPS28/MRPS22/PSMD3/MRPL43/MRPS15/SSR1/SEC61A1/MRPL13/EIF4H/EIF3D/RPL36A/VCP/MRPL4/MRPS5/PSMD2/EIF3A/SPCS3/MRPL16/RPS26/IARS2/PSMB7/MTIF3/MRPS31/MRPL50/NEMF/EIF2S3/MRPL24/MRPL22/MRPS14/ANKZF1/MRPL58/MRPL28/MRPL15/SRP54/APEH/MRPS25/RBX1/TUFM/MRPS18A/EIF2B2/MRPL42/MRPS12/PSMC6/AURKAIP1/OXA1L/EIF3I/NPLOC4/MRPS18B/MRPS33/RCHY1/MRPL14/SRP72/PSMB5/MRPS11/EEF2/DAP3/EIF5B/CHCHD1/TSFM/MRPS23/PSMB2/MRPL3/MRPS30/MRPS35/RPN2/MRPL27/PTCD3/AIMP2/ETF1/EIF3L/EIF4G1/MRPL49/MRPL2/PPA2/ASCC3/MRPL34/MRPL12/MRPL37/ABCE1/MRPL40/MRPS9/MRRF/PELO/MRPL32/MRPS26/EIF2S1/PSMD6/EIF2B5/MRPL55/MRPL19/MRPS2/CUL2/EIF4E/SRP68/MRPL39/MRPS18C/MRPL44/EIF2B1/CARS2/MRPL41/MRPL46/HBS1L/RARS2/VARS2/PSMD12/KLHDC10/ERAL1/MRPL10/TRIP4/FARSA/MRPS27/MRPS7/MIEF1/SRPRB/MRPL1/EIF2B4",316,"aPT","DKD_vs_Normal"
"R-HSA-9948299","Ribosome-associated quality control","140/4619","145/11230",0.96551724137931,2.34742555113437,13.6499755807398,1.05080360600342e-47,8.76895609209852e-45,4.80051331584719e-45,"RPS2/RPL10A/RPL13/RPL8/UBC/RPS27A/RPS3/RPL18/RPL18A/RPL9/RPL10/RPL19/ELOB/RPS14/RPS18/RPL30/RPL24/RPS7/RPS12/RPLP1/RPS23/RPS9/RPL23A/RPL15/RPS24/RPS19/RPL3/RPS5/RPS13/RPL21/FAU/RPL5/SEM1/RPS4Y1/RPL7A/RPS3A/RPL6/RPL37A/RPL28/RPL37/PSMB1/RPL35A/RPS15/PSMA7/RPS4X/RPS8/RPL12/RPS25/RPL7/RPL36/RPL14/RPS6/RPL41/RPS16/RPL29/RPL32/RPS11/RPS17/RPL27A/RPL11/RPS28/RPL36AL/RPS15A/RPS27/RPSA/RPL22/RPL4/RPLP2/RPL34/UBA52/RPL27/UBB/PSMA2/UBE2D2/PSMD8/RPL31/RPL38/ELOC/RPL17/RPL39/RPL26/RPL35/RPS29/PSMC1/RPS20/RPL39L/PSMD7/ADRM1/RPLP0/RPL23/UFD1/PSMC2/RPL13A/PSMA6/PSMA3/PSMA5/RPL22L1/RPS10/RPS21/UBE2D3/PSMC3/RPL26L1/PSMB6/PSMB4/PSMD1/PSMA1/PSMD14/PSMD13/RPS27L/PSMD11/PSMC4/PSMA4/PSMC5/PSMB3/TCF25/LTN1/UBE2D1/PSMD3/RPL36A/VCP/PSMD2/RPS26/PSMB7/NEMF/ANKZF1/RBX1/PSMC6/NPLOC4/RCHY1/PSMB5/PSMB2/ASCC3/ABCE1/PELO/PSMD6/CUL2/HBS1L/PSMD12/KLHDC10/TRIP4",140,"aPT","DKD_vs_Normal"
"R-HSA-72203","Processing of Capped Intron-Containing Pre-mRNA","235/4619","294/11230",0.799319727891156,1.94335582251953,13.7003257117506,3.51520561646677e-43,1.95562605796101e-40,1.07059595617304e-40,"UBC/RPS27A/U2AF1/SNU13/RBM8A/SF3B6/SNRPB/HNRNPA1/SRSF7/UBA52/MAGOHB/YBX1/UBB/LSM8/SAP18/SNRPD1/HNRNPH1/RBM39/HSPA8/SRSF5/ZCRB1/HNRNPA2B1/SRSF3/SNRPN/POLR2L/SRSF2/PPP1CB/UBL5/BUD31/SNRPG/SLBP/LUC7L3/TRA2B/DDX5/PPP1R10/SRSF8/DDX39B/HNRNPF/PRPF40A/MTREX/ZC3H11A/SRSF9/PNN/LSM4/SNRPA1/RNPS1/CWC15/TXNL4A/FUS/MAGOH/NUP58/SNRPB2/SNRPF/POLR2C/PAPOLA/NXT1/CWC27/HNRNPK/FIP1L1/SYF2/ALYREF/DDX39A/LSM5/PQBP1/RBMX/WBP4/POLR2I/SRSF6/SF1/LSM7/SRSF11/RBM25/HNRNPD/HNRNPA3/POLR2J/CCDC12/LENG1/THOC2/CSTF3/DDX46/SNRPD3/POLR2K/SRRM1/RBBP6/NSRP1/SNRPD2/PPP1CA/BCAS2/PCBP1/SRRM2/CDC40/SF3B1/PABPN1/TCERG1/RBM22/RBMX2/RBM17/SF3B5/PPIG/SNRPA/AQR/SF3B4/SNRPC/PTBP1/SNRNP27/NXF1/PUF60/POLR2B/HNRNPC/HTATSF1/POLR2H/SEC13/SNRNP25/THOC1/SNRPE/SARNP/RBM42/CWC22/SRSF4/U2SURP/DDX42/TPR/DHX15/CRNKL1/MFAP1/WDR33/SRSF1/IK/LSM2/RBM5/ACIN1/METTL14/POLR2F/SNRNP70/CCAR1/SLU7/LSM3/HNRNPR/ZMAT2/CPSF6/POLR2E/HNRNPH2/POM121/FAM32A/SRSF10/PRPF31/DHX9/HNRNPM/NUDT21/RNPC3/HNRNPU/XRN2/SMU1/FYTTD1/SNRNP35/WBP11/SNRNP200/PPIL4/NKAP/POLR2A/SNRNP40/METTL3/CWC25/CHTOP/DNAJC8/CPSF7/AAAS/CPSF2/PCBP2/PPIE/SF3B2/PRPF38A/PRPF8/PPIH/CDC5L/PLRG1/WDR70/THOC7/CHERP/PRPF19/GTF2F2/PRKRIP1/WTAP/DDX23/PDCD7/CPSF1/PRCC/PRPF6/EIF4E/PPWD1/U2AF2/SRRT/SF3B3/PRPF18/PHF5A/SNRNP48/EIF4A3/NUP214/NUP37/POLR2G/NUP160/NUP50/FAM50A/PRPF3/SYMPK/RBM7/C9orf78/PPIL2/ZNF830/NUP153/SF3A1/NUP107/SNW1/GTF2F1/XAB2/CASC3/CWF19L2/LSM6/PPIL3/RBM10/U2AF1L4/CTNNBL1/NCBP2/DDX41/SF3A2/POLDIP3/PCF11/ZMAT5/RANBP2/SF3A3/HNRNPL/THOC6/NUP54/NUP62/SMNDC1",235,"aPT","DKD_vs_Normal"
"R-HSA-72172","mRNA Splicing","183/4619","213/11230",0.859154929577465,2.08883088529009,13.4100223549743,1.99403360912989e-42,8.32010523409448e-40,4.55479255980196e-40,"U2AF1/SNU13/RBM8A/SF3B6/SNRPB/HNRNPA1/SRSF7/MAGOHB/YBX1/LSM8/SAP18/SNRPD1/HNRNPH1/RBM39/HSPA8/SRSF5/ZCRB1/HNRNPA2B1/SRSF3/SNRPN/POLR2L/SRSF2/UBL5/BUD31/SNRPG/LUC7L3/TRA2B/DDX5/SRSF8/DDX39B/HNRNPF/PRPF40A/MTREX/SRSF9/PNN/LSM4/SNRPA1/RNPS1/CWC15/TXNL4A/FUS/MAGOH/SNRPB2/SNRPF/POLR2C/CWC27/HNRNPK/SYF2/ALYREF/LSM5/PQBP1/RBMX/WBP4/POLR2I/SRSF6/SF1/LSM7/SRSF11/RBM25/HNRNPD/HNRNPA3/POLR2J/CCDC12/LENG1/DDX46/SNRPD3/POLR2K/SRRM1/NSRP1/SNRPD2/BCAS2/PCBP1/SRRM2/CDC40/SF3B1/TCERG1/RBM22/RBMX2/RBM17/SF3B5/PPIG/SNRPA/AQR/SF3B4/SNRPC/PTBP1/SNRNP27/PUF60/POLR2B/HNRNPC/HTATSF1/POLR2H/SNRNP25/SNRPE/RBM42/CWC22/SRSF4/U2SURP/DDX42/DHX15/CRNKL1/MFAP1/SRSF1/IK/LSM2/RBM5/ACIN1/POLR2F/SNRNP70/CCAR1/SLU7/LSM3/HNRNPR/ZMAT2/POLR2E/HNRNPH2/FAM32A/SRSF10/PRPF31/DHX9/HNRNPM/RNPC3/HNRNPU/SMU1/SNRNP35/WBP11/SNRNP200/PPIL4/NKAP/POLR2A/SNRNP40/CWC25/DNAJC8/PCBP2/PPIE/SF3B2/PRPF38A/PRPF8/PPIH/CDC5L/PLRG1/WDR70/CHERP/PRPF19/GTF2F2/PRKRIP1/DDX23/PDCD7/PRCC/PRPF6/PPWD1/U2AF2/SRRT/SF3B3/PRPF18/PHF5A/SNRNP48/EIF4A3/POLR2G/FAM50A/PRPF3/RBM7/C9orf78/PPIL2/ZNF830/SF3A1/SNW1/GTF2F1/XAB2/CASC3/CWF19L2/LSM6/PPIL3/RBM10/U2AF1L4/CTNNBL1/NCBP2/DDX41/SF3A2/ZMAT5/SF3A3/HNRNPL/SMNDC1",183,"aPT","DKD_vs_Normal"
"R-HSA-72163","mRNA Splicing - Major Pathway","176/4619","205/11230",0.858536585365854,2.08732752839544,13.1328492270359,9.60557625336169e-41,3.20634135337213e-38,1.75529267114062e-38,"U2AF1/SNU13/RBM8A/SF3B6/SNRPB/HNRNPA1/SRSF7/MAGOHB/YBX1/LSM8/SAP18/SNRPD1/HNRNPH1/RBM39/HSPA8/SRSF5/HNRNPA2B1/SRSF3/SNRPN/POLR2L/SRSF2/UBL5/BUD31/SNRPG/LUC7L3/TRA2B/DDX5/SRSF8/DDX39B/HNRNPF/PRPF40A/MTREX/SRSF9/PNN/LSM4/SNRPA1/RNPS1/CWC15/TXNL4A/FUS/MAGOH/SNRPB2/SNRPF/POLR2C/CWC27/HNRNPK/SYF2/ALYREF/LSM5/PQBP1/RBMX/WBP4/POLR2I/SRSF6/SF1/LSM7/SRSF11/RBM25/HNRNPD/HNRNPA3/POLR2J/CCDC12/LENG1/DDX46/SNRPD3/POLR2K/SRRM1/NSRP1/SNRPD2/BCAS2/PCBP1/SRRM2/CDC40/SF3B1/TCERG1/RBM22/RBMX2/RBM17/SF3B5/PPIG/SNRPA/AQR/SF3B4/SNRPC/PTBP1/SNRNP27/PUF60/POLR2B/HNRNPC/HTATSF1/POLR2H/SNRPE/RBM42/CWC22/SRSF4/U2SURP/DDX42/DHX15/CRNKL1/MFAP1/SRSF1/IK/LSM2/RBM5/ACIN1/POLR2F/SNRNP70/CCAR1/SLU7/LSM3/HNRNPR/ZMAT2/POLR2E/HNRNPH2/FAM32A/SRSF10/PRPF31/DHX9/HNRNPM/HNRNPU/SMU1/WBP11/SNRNP200/PPIL4/NKAP/POLR2A/SNRNP40/CWC25/DNAJC8/PCBP2/PPIE/SF3B2/PRPF38A/PRPF8/PPIH/CDC5L/PLRG1/WDR70/CHERP/PRPF19/GTF2F2/PRKRIP1/DDX23/PRCC/PRPF6/PPWD1/U2AF2/SRRT/SF3B3/PRPF18/PHF5A/EIF4A3/POLR2G/FAM50A/PRPF3/RBM7/C9orf78/PPIL2/ZNF830/SF3A1/SNW1/GTF2F1/XAB2/CASC3/CWF19L2/LSM6/PPIL3/RBM10/U2AF1L4/CTNNBL1/NCBP2/DDX41/SF3A2/SF3A3/HNRNPL/SMNDC1",176,"aPT","DKD_vs_Normal"
"R-HSA-72613","Eukaryotic Translation Initiation","115/4619","120/11230",0.958333333333333,2.32995958721224,12.2428627694044,2.67112724511418e-38,6.3687305315651e-36,3.48652398309641e-36,"RPS2/RPL10A/RPL13/RPL8/RPS27A/RPS3/RPL18/RPL18A/RPL9/RPL10/RPL19/RPS14/RPS18/RPL30/RPL24/RPS7/RPS12/RPLP1/RPS23/RPS9/RPL23A/RPL15/RPS24/RPS19/RPL3/RPS5/RPS13/RPL21/FAU/RPL5/RPS4Y1/RPL7A/RPS3A/RPL6/RPL37A/RPL28/RPL37/RPL35A/RPS15/RPS4X/RPS8/RPL12/RPS25/RPL7/RPL36/RPL14/RPS6/RPL41/RPS16/RPL29/RPL32/RPS11/RPS17/RPL27A/RPL11/RPS28/RPL36AL/RPS15A/RPS27/RPSA/RPL22/RPL4/RPLP2/RPL34/EIF3G/UBA52/RPL27/EIF5/RPL31/RPL38/RPL17/RPL39/RPL26/EIF4A2/EIF4A1/RPL35/EIF3F/RPS29/EIF3E/EIF2S2/RPS20/RPL39L/EIF3K/RPLP0/RPL23/EIF3H/RPL13A/EIF3M/PABPC1/EIF4B/RPL22L1/RPS10/RPS21/EIF3J/RPL26L1/EIF4EBP1/EIF3B/EIF1AX/RPS27L/EIF4H/EIF3D/RPL36A/EIF3A/RPS26/EIF2S3/EIF2B2/EIF3I/EIF5B/EIF3L/EIF4G1/EIF2S1/EIF2B5/EIF4E/EIF2B1/EIF2B4",115,"aPT","DKD_vs_Normal"
"R-HSA-72737","Cap-dependent Translation Initiation","115/4619","120/11230",0.958333333333333,2.32995958721224,12.2428627694044,2.67112724511418e-38,6.3687305315651e-36,3.48652398309641e-36,"RPS2/RPL10A/RPL13/RPL8/RPS27A/RPS3/RPL18/RPL18A/RPL9/RPL10/RPL19/RPS14/RPS18/RPL30/RPL24/RPS7/RPS12/RPLP1/RPS23/RPS9/RPL23A/RPL15/RPS24/RPS19/RPL3/RPS5/RPS13/RPL21/FAU/RPL5/RPS4Y1/RPL7A/RPS3A/RPL6/RPL37A/RPL28/RPL37/RPL35A/RPS15/RPS4X/RPS8/RPL12/RPS25/RPL7/RPL36/RPL14/RPS6/RPL41/RPS16/RPL29/RPL32/RPS11/RPS17/RPL27A/RPL11/RPS28/RPL36AL/RPS15A/RPS27/RPSA/RPL22/RPL4/RPLP2/RPL34/EIF3G/UBA52/RPL27/EIF5/RPL31/RPL38/RPL17/RPL39/RPL26/EIF4A2/EIF4A1/RPL35/EIF3F/RPS29/EIF3E/EIF2S2/RPS20/RPL39L/EIF3K/RPLP0/RPL23/EIF3H/RPL13A/EIF3M/PABPC1/EIF4B/RPL22L1/RPS10/RPS21/EIF3J/RPL26L1/EIF4EBP1/EIF3B/EIF1AX/RPS27L/EIF4H/EIF3D/RPL36A/EIF3A/RPS26/EIF2S3/EIF2B2/EIF3I/EIF5B/EIF3L/EIF4G1/EIF2S1/EIF2B5/EIF4E/EIF2B1/EIF2B4",115,"aPT","DKD_vs_Normal"
"R-HSA-1799339","SRP-dependent cotranslational protein targeting to membrane","109/4619","113/11230",0.964601769911504,2.34519979997969,12.0127698454621,3.39522798556553e-37,6.29626167545431e-35,3.44685133505366e-35,"RPS2/RPL10A/RPL13/RPL8/RPS27A/RPS3/RPL18/RPL18A/RPL9/RPL10/RPL19/RPS14/RPS18/RPL30/RPL24/RPS7/RPS12/RPLP1/RPS23/RPS9/RPL23A/RPL15/RPS24/RPS19/RPL3/RPS5/RPS13/RPL21/FAU/RPL5/RPS4Y1/RPL7A/RPS3A/RPL6/RPL37A/RPL28/RPL37/RPL35A/RPS15/RPS4X/RPS8/RPL12/RPS25/RPL7/RPL36/RPL14/RPS6/RPL41/RPS16/RPL29/RPL32/RPS11/RPS17/RPL27A/RPL11/RPS28/RPL36AL/RPS15A/RPS27/RPSA/RPL22/RPL4/RPLP2/RPL34/UBA52/RPL27/SRP14/RPL31/RPL38/RPL17/RPL39/RPL26/RPL35/RPS29/RPS20/RPL39L/SEC11A/RPLP0/RPL23/RPL13A/SSR3/SRPRA/RPN1/SEC11C/SPCS2/RPL22L1/SSR2/SEC61B/RPS10/RPS21/RPL26L1/SRP19/SPCS1/SEC61G/TRAM1/SRP9/RPS27L/DDOST/SSR4/SSR1/SEC61A1/RPL36A/SPCS3/RPS26/SRP54/SRP72/RPN2/SRP68/SRPRB",109,"aPT","DKD_vs_Normal"
"R-HSA-72706","GTP hydrolysis and joining of the 60S ribosomal subunit","109/4619","113/11230",0.964601769911504,2.34519979997969,12.0127698454621,3.39522798556553e-37,6.29626167545431e-35,3.44685133505366e-35,"RPS2/RPL10A/RPL13/RPL8/RPS27A/RPS3/RPL18/RPL18A/RPL9/RPL10/RPL19/RPS14/RPS18/RPL30/RPL24/RPS7/RPS12/RPLP1/RPS23/RPS9/RPL23A/RPL15/RPS24/RPS19/RPL3/RPS5/RPS13/RPL21/FAU/RPL5/RPS4Y1/RPL7A/RPS3A/RPL6/RPL37A/RPL28/RPL37/RPL35A/RPS15/RPS4X/RPS8/RPL12/RPS25/RPL7/RPL36/RPL14/RPS6/RPL41/RPS16/RPL29/RPL32/RPS11/RPS17/RPL27A/RPL11/RPS28/RPL36AL/RPS15A/RPS27/RPSA/RPL22/RPL4/RPLP2/RPL34/EIF3G/UBA52/RPL27/EIF5/RPL31/RPL38/RPL17/RPL39/RPL26/EIF4A2/EIF4A1/RPL35/EIF3F/RPS29/EIF3E/EIF2S2/RPS20/RPL39L/EIF3K/RPLP0/RPL23/EIF3H/RPL13A/EIF3M/EIF4B/RPL22L1/RPS10/RPS21/EIF3J/RPL26L1/EIF3B/EIF1AX/RPS27L/EIF4H/EIF3D/RPL36A/EIF3A/RPS26/EIF2S3/EIF3I/EIF5B/EIF3L/EIF4G1/EIF2S1/EIF4E",109,"aPT","DKD_vs_Normal"
"R-HSA-156827","L13a-mediated translational silencing of Ceruloplasmin expression","108/4619","112/11230",0.964285714285714,2.34443138589058,11.9521287426237,8.07371356597514e-37,1.34750279416125e-34,7.3768246055436e-35,"RPS2/RPL10A/RPL13/RPL8/RPS27A/RPS3/RPL18/RPL18A/RPL9/RPL10/RPL19/RPS14/RPS18/RPL30/RPL24/RPS7/RPS12/RPLP1/RPS23/RPS9/RPL23A/RPL15/RPS24/RPS19/RPL3/RPS5/RPS13/RPL21/FAU/RPL5/RPS4Y1/RPL7A/RPS3A/RPL6/RPL37A/RPL28/RPL37/RPL35A/RPS15/RPS4X/RPS8/RPL12/RPS25/RPL7/RPL36/RPL14/RPS6/RPL41/RPS16/RPL29/RPL32/RPS11/RPS17/RPL27A/RPL11/RPS28/RPL36AL/RPS15A/RPS27/RPSA/RPL22/RPL4/RPLP2/RPL34/EIF3G/UBA52/RPL27/RPL31/RPL38/RPL17/RPL39/RPL26/EIF4A2/EIF4A1/RPL35/EIF3F/RPS29/EIF3E/EIF2S2/RPS20/RPL39L/EIF3K/RPLP0/RPL23/EIF3H/RPL13A/EIF3M/PABPC1/EIF4B/RPL22L1/RPS10/RPS21/EIF3J/RPL26L1/EIF3B/EIF1AX/RPS27L/EIF4H/EIF3D/RPL36A/EIF3A/RPS26/EIF2S3/EIF3I/EIF3L/EIF4G1/EIF2S1/EIF4E",108,"aPT","DKD_vs_Normal"
"R-HSA-9954709","Ribosome Quality Control (RQC) complex extracts and degrades nascent peptide","101/4619","103/11230",0.980582524271845,2.38405320363127,11.794873751688,1.05291568757652e-36,1.59756025687747e-34,8.74574944321936e-35,"RPL10A/RPL13/RPL8/UBC/RPS27A/RPL18/RPL18A/RPL9/RPL10/RPL19/ELOB/RPL30/RPL24/RPLP1/RPL23A/RPL15/RPL3/RPL21/RPL5/SEM1/RPL7A/RPL6/RPL37A/RPL28/RPL37/PSMB1/RPL35A/PSMA7/RPL12/RPL7/RPL36/RPL14/RPL41/RPL29/RPL32/RPL27A/RPL11/RPL36AL/RPL22/RPL4/RPLP2/RPL34/UBA52/RPL27/UBB/PSMA2/UBE2D2/PSMD8/RPL31/RPL38/ELOC/RPL17/RPL39/RPL26/RPL35/PSMC1/RPL39L/PSMD7/ADRM1/RPLP0/RPL23/UFD1/PSMC2/RPL13A/PSMA6/PSMA3/PSMA5/RPL22L1/PSMC3/RPL26L1/PSMB6/PSMB4/PSMD1/PSMA1/PSMD14/PSMD13/PSMD11/PSMC4/PSMA4/PSMC5/PSMB3/TCF25/LTN1/UBE2D1/PSMD3/RPL36A/VCP/PSMD2/PSMB7/NEMF/ANKZF1/RBX1/PSMC6/NPLOC4/RCHY1/PSMB5/PSMB2/PSMD6/CUL2/PSMD12/KLHDC10",101,"aPT","DKD_vs_Normal"
"R-HSA-376176","Signaling by ROBO receptors","170/4619","205/11230",0.829268292682927,2.01616863538196,12.2733850925374,2.42806980856946e-35,3.37704042541869e-33,1.84874087178797e-33,"RPS2/RPL10A/RPL13/RPL8/UBC/RPS27A/RPS3/RPL18/RPL18A/RPL9/RPL10/RPL19/ELOB/RPS14/RPS18/RPL30/RPL24/RPS7/RPS12/RPLP1/RPS23/RPS9/RPL23A/RPL15/RPS24/RPS19/RPL3/RPS5/RPS13/RPL21/FAU/RPL5/SEM1/RPS4Y1/RPL7A/RPS3A/RPL6/RPL37A/RAC1/RPL28/RPL37/PSMB1/RPL35A/RPS15/PSMA7/RPS4X/RPS8/RPL12/RPS25/RPL7/RPL36/RPL14/RPS6/RPL41/RPS16/RPL29/RPL32/RPS11/RBM8A/RPS17/RPL27A/RPL11/RPS28/RPL36AL/RPS15A/RPS27/RPSA/RPL22/RPL4/RPLP2/RPL34/UBA52/RPL27/MAGOHB/UBB/PSMA2/PSMD8/RPL31/RPL38/ELOC/RPL17/RPL39/RPL26/NRP1/RPL35/RPS29/PSMC1/RPS20/RPL39L/PSMD7/ADRM1/RPLP0/RPL23/FLRT3/PSMC2/RPL13A/PSMA6/PFN1/CXCL12/PRKACB/PSMA3/CAP1/PABPC1/GSPT1/RNPS1/PSMA5/PAK2/MAGOH/VASP/RPL22L1/RPS10/RPS21/PSMC3/RPL26L1/PSMB6/PSMB4/PSMD1/PSMA1/PSMD14/PSMD13/RPS27L/PSMD11/PSMC4/PRKAR2A/PSMA4/PFN2/PSMC5/ENAH/PSMB3/USP33/SOS1/PSMD3/DAG1/RPL36A/PSMD2/RPS26/RHOA/NCK1/PSMB7/ABL1/RBX1/PSMC6/CDC42/PSMB5/EVL/PSMB2/ETF1/CLASP1/UPF2/NCK2/EIF4G1/SRC/CLASP2/PAK1/PSMD6/ZSWIM8/CUL2/SOS2/GPC1/EIF4A3/PRKCA/PAK4/CASC3/PSMD12/PPP3CB/NCBP2/UPF3A/PRKACA/SRGAP1/CAP2",170,"aPT","DKD_vs_Normal"
"R-HSA-9010553","Regulation of expression of SLITs and ROBOs","139/4619","159/11230",0.874213836477987,2.12544303607876,11.9464700447639,2.99278650964779e-34,3.84227744969397e-32,2.10343213795488e-32,"RPS2/RPL10A/RPL13/RPL8/UBC/RPS27A/RPS3/RPL18/RPL18A/RPL9/RPL10/RPL19/ELOB/RPS14/RPS18/RPL30/RPL24/RPS7/RPS12/RPLP1/RPS23/RPS9/RPL23A/RPL15/RPS24/RPS19/RPL3/RPS5/RPS13/RPL21/FAU/RPL5/SEM1/RPS4Y1/RPL7A/RPS3A/RPL6/RPL37A/RPL28/RPL37/PSMB1/RPL35A/RPS15/PSMA7/RPS4X/RPS8/RPL12/RPS25/RPL7/RPL36/RPL14/RPS6/RPL41/RPS16/RPL29/RPL32/RPS11/RBM8A/RPS17/RPL27A/RPL11/RPS28/RPL36AL/RPS15A/RPS27/RPSA/RPL22/RPL4/RPLP2/RPL34/UBA52/RPL27/MAGOHB/UBB/PSMA2/PSMD8/RPL31/RPL38/ELOC/RPL17/RPL39/RPL26/RPL35/RPS29/PSMC1/RPS20/RPL39L/PSMD7/ADRM1/RPLP0/RPL23/PSMC2/RPL13A/PSMA6/PSMA3/PABPC1/GSPT1/RNPS1/PSMA5/MAGOH/RPL22L1/RPS10/RPS21/PSMC3/RPL26L1/PSMB6/PSMB4/PSMD1/PSMA1/PSMD14/PSMD13/RPS27L/PSMD11/PSMC4/PSMA4/PSMC5/PSMB3/USP33/PSMD3/DAG1/RPL36A/PSMD2/RPS26/PSMB7/RBX1/PSMC6/PSMB5/PSMB2/ETF1/UPF2/EIF4G1/PSMD6/ZSWIM8/CUL2/EIF4A3/CASC3/PSMD12/NCBP2/UPF3A",139,"aPT","DKD_vs_Normal"
"R-HSA-72187","mRNA 3'-end processing","134/4619","152/11230",0.881578947368421,2.14334955162316,11.8626326772009,6.2970102129465e-34,7.5069357467198e-32,4.10962771792298e-32,"UBC/RPS27A/U2AF1/RBM8A/SF3B6/SNRPB/HNRNPA1/SRSF7/UBA52/MAGOHB/YBX1/UBB/SNRPD1/HNRNPH1/RBM39/SRSF5/HNRNPA2B1/SRSF3/SNRPN/POLR2L/SRSF2/PPP1CB/SNRPG/TRA2B/DDX5/PPP1R10/SRSF8/DDX39B/HNRNPF/PRPF40A/ZC3H11A/SRSF9/SNRPA1/RNPS1/FUS/MAGOH/SNRPB2/SNRPF/POLR2C/PAPOLA/HNRNPK/FIP1L1/ALYREF/DDX39A/RBMX/POLR2I/SRSF6/SRSF11/RBM25/HNRNPD/HNRNPA3/POLR2J/THOC2/CSTF3/DDX46/SNRPD3/POLR2K/SRRM1/RBBP6/SNRPD2/PPP1CA/PCBP1/SRRM2/CDC40/SF3B1/PABPN1/TCERG1/RBM17/SF3B5/SNRPA/SF3B4/SNRPC/PTBP1/PUF60/POLR2B/HNRNPC/HTATSF1/POLR2H/THOC1/SNRPE/SARNP/SRSF4/U2SURP/DDX42/DHX15/WDR33/SRSF1/RBM5/POLR2F/SNRNP70/CCAR1/SLU7/HNRNPR/CPSF6/POLR2E/HNRNPH2/SRSF10/DHX9/HNRNPM/NUDT21/HNRNPU/XRN2/FYTTD1/POLR2A/CHTOP/DNAJC8/CPSF7/CPSF2/PCBP2/SF3B2/THOC7/CHERP/GTF2F2/CPSF1/U2AF2/SRRT/SF3B3/PHF5A/EIF4A3/POLR2G/SYMPK/SF3A1/GTF2F1/CASC3/RBM10/U2AF1L4/NCBP2/SF3A2/POLDIP3/PCF11/SF3A3/HNRNPL/THOC6/SMNDC1",134,"aPT","DKD_vs_Normal"
