"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","CellType","Condition"
"R-HSA-72766","Translation","306/4430","368/11230",0.831521739130435,2.10789822357444,17.4416201406156,9.66423511402733e-69,1.61296084053116e-65,8.84023190956816e-66,"RPL37A/SPCS3/RPS10/RPS21/SRP14/MT-ATP8/RPS25/TRAM1/PSMB4/RPL4/EIF4H/EIF3L/RPS4Y1/PSMA1/MTIF2/SSR4/PPA1/MRPS12/RPL7A/RPS7/UBA52/MRPS18B/MT-CYB/SEC61G/RPL41/RPL21/RPL39L/PSMB1/GSPT1/EIF3K/RPL30/SPCS1/MTRF1L/RPL23A/PTCD3/MRPL52/RPL22/EIF2S1/RPL13/SRP72/MRPS18A/OXA1L/RPL35/NEMF/EEF1A1/MRPS27/EIF3A/MT-ND1/MT-ND6/RPL8/MRPL42/RPL19/RPS24/MRPS23/MRPS10/ASCC2/MRPL54/EIF4A1/EIF5/RPS28/MRPL40/RBX1/MRPS21/PSMC6/RPS13/MRPL28/TCF25/RPS27A/EEF1B2/RPLP0/EIF3M/RPL15/PSMB3/RPS27/RPS23/RPL9/EIF3G/EIF1AX/EIF2S2/MRPS5/PSMB2/MT-ND5/MRPS6/PSMD7/RPS14/SEC11C/MRPL10/MRPS26/EIF2S3/UBE2D1/EEF1E1/EEF1D/SRP19/CARS2/MRPL2/PSMC1/MRPS34/PSMA4/MRPS14/RPL6/MRPL16/MT-ND2/MRPL1/MRPL24/SEM1/MT-ND4L/MRPL3/EIF4E/MRPL23/DAP3/PSMD8/MRPL19/RPL18A/PABPC1/EIF5B/MRPL21/FARSA/ELOB/UBE2D2/PSMD14/RPL10A/RPS12/RPS17/RPS20/RPL13A/MRPL20/PSMD2/PSMC3/MT-ATP6/MRPL48/RPL28/RPL36/RPL3/SSR3/EIF3H/RPS3A/PELO/MRPL43/MALSU1/MRPL22/RPL10/RCHY1/RPS8/ASCC3/MRPS31/PSMC5/RPL14/MRPL18/MRPS25/EIF4B/MRPL46/RPS29/RPL22L1/RPL36AL/RPL17/SSR2/PSMD13/RPL12/MT-ND3/EIF3I/MT-CO1/RPL35A/RPS26/MRPL13/ELOC/FAU/SSR1/EIF2B2/MRPL55/SRPRB/MRPS35/EIF4G1/RPS27L/CUL2/EIF2B3/MRPS18C/GFM2/MRPL44/RPN1/PSMB6/SPCS2/RPLP1/PSMB7/AIMP2/PSMA3/PSMA7/RPL36A/RPL39/SRP9/UBE2D3/MRPS7/ADRM1/EIF2B5/RPS11/MRPL50/SRP54/RPL38/NDUFAB1/EIF4A2/DDOST/MRPS28/RARS2/PSMB5/RPL32/RPL27/GFM1/MRPS15/RPS9/AURKAIP1/RPL7/MRPL53/SEC61B/PSMD1/CHCHD1/UBB/RPL34/APEH/MRPL33/RPS3/RPS16/MRPS22/TUFM/PSMC4/MRPL11/RPLP2/RPL5/RPN2/RPL27A/MRPL57/MRPS9/RPL18/MRPL47/ZNF598/MRPL15/RPS6/EIF3D/TRMT112/MT-CO3/RPS19/EEF2/MRPS16/PSMD3/ABCE1/MT-CO2/HBS1L/RPL26L1/ETF1/IARS2/GADD45GIP1/UBC/MRPL35/EIF3E/RPS5/SRP68/PSMA2/RPL29/NPLOC4/PSMA5/VCP/RPL23/EIF3F/RPL26/MRPS30/MRPL32/MT-ND4/RPL24/PSMD11/MRPL41/AIMP1/MRPL9/MRPS33/MRPL14/MRPL12/KLHDC10/RPSA/PPA2/TSFM/MRPL34/RPS15/PSMD6/RPL31/RPS4X/SEC11A/MRPL49/RPS2/MRPL4/MRPL36/MRPL37/SEC61A1/MRPL17/EIF3B/RPL37/RPS15A/RPL11/MRPL51/UFD1/PSMD12/PSMA6/MRPL39/PSMC2/MRPS11/MRPL27/MTIF3/LTN1/EIF3J/RPS18",306,"Podocytes","DKD_vs_Normal"
"R-HSA-9948299","Ribosome-associated quality control","140/4430","145/11230",0.96551724137931,2.44757530941076,14.1603917061585,3.17668862976737e-50,2.65094666154087e-47,1.45291706277255e-47,"RPL37A/RPS10/RPS21/RPS25/PSMB4/RPL4/RPS4Y1/PSMA1/RPL7A/RPS7/UBA52/RPL41/RPL21/RPL39L/PSMB1/RPL30/RPL23A/RPL22/RPL13/RPL35/NEMF/RPL8/RPL19/RPS24/ASCC2/RPS28/RBX1/PSMC6/RPS13/TCF25/RPS27A/RPLP0/RPL15/PSMB3/RPS27/RPS23/RPL9/PSMB2/PSMD7/RPS14/UBE2D1/PSMC1/PSMA4/RPL6/SEM1/PSMD8/RPL18A/ELOB/UBE2D2/PSMD14/RPL10A/RPS12/RPS17/RPS20/RPL13A/PSMD2/PSMC3/RPL28/RPL36/RPL3/RPS3A/PELO/RPL10/RCHY1/RPS8/ASCC3/PSMC5/RPL14/RPS29/RPL22L1/RPL36AL/RPL17/PSMD13/RPL12/RPL35A/RPS26/ELOC/FAU/RPS27L/CUL2/PSMB6/RPLP1/PSMB7/PSMA3/PSMA7/RPL36A/RPL39/UBE2D3/ADRM1/RPS11/RPL38/PSMB5/RPL32/RPL27/RPS9/RPL7/PSMD1/UBB/RPL34/RPS3/RPS16/PSMC4/RPLP2/RPL5/RPL27A/RPL18/ZNF598/RPS6/RPS19/PSMD3/ABCE1/HBS1L/RPL26L1/UBC/RPS5/PSMA2/RPL29/NPLOC4/PSMA5/VCP/RPL23/RPL26/RPL24/PSMD11/KLHDC10/RPSA/RPS15/PSMD6/RPL31/RPS4X/RPS2/RPL37/RPS15A/RPL11/UFD1/PSMD12/PSMA6/PSMC2/LTN1/RPS18",140,"Podocytes","DKD_vs_Normal"
"R-HSA-72203","Processing of Capped Intron-Containing Pre-mRNA","234/4430","294/11230",0.795918367346939,2.01764407794721,14.2711270243296,4.87227877931495e-46,2.71061109422555e-43,1.48561763481568e-43,"RBMX/GPATCH1/LSM8/PPP1CB/SNRPC/UBA52/U2AF1L4/LUC7L3/SNRNP35/RBM7/THOC7/CASC3/SEC13/DDX46/HNRNPH1/HNRNPM/NSRP1/HNRNPH2/RBM42/NUP205/SF3B1/HNRNPA1/NUDT21/CWC25/SRSF4/LSM4/HNRNPA3/SNRNP200/CCDC12/SNRPF/POLR2E/DNAJC8/WBP4/HNRNPD/POLR2A/CHTOP/ACIN1/PABPN1/LSM3/PRPF40A/WTAP/SRSF5/SNIP1/LSM7/BUD31/SNRPD3/RNPC3/SF3B2/SRSF3/CSTF1/RPS27A/PRCC/U2AF2/SAP18/YBX1/BCAS2/WDR33/POLDIP3/NUP50/NXT1/POLR2L/PCBP2/SMU1/HNRNPC/POLR2J/SNRPD1/LSM2/RBM25/PRPF19/C9orf78/XRN2/HNRNPU/CPSF7/EIF4E/DHX15/PRPF38A/NUP58/NUP54/PCBP1/PHF5A/THOC6/EIF4A3/SNRPB/POLR2G/SRRM2/PRPF6/SF3B4/WDR70/POLR2H/U2AF1/HNRNPK/POLR2B/HNRNPR/SNRPB2/TCERG1/IK/DDX5/SMNDC1/EFTUD2/SRSF11/CPSF2/SNRNP25/CRNKL1/CDC5L/SNRNP40/MAGOHB/NUP155/ZC3H11A/SRSF10/SYF2/SRSF9/DHX8/TRA2B/PPP1CA/CWF19L2/ZCRB1/RBM17/HNRNPL/SNRPN/RBM5/SRSF1/SNRPG/DHX9/POLR2F/NCBP2/SYMPK/FUS/PTBP1/SRSF6/SNRNP70/METTL14/FYTTD1/PRPF8/LENG1/LSM6/RBMX2/DDX42/SNU13/NUP35/WBP11/NUP133/UPF3B/RNPS1/ZMAT5/SNRNP27/HTATSF1/ALYREF/PPIL1/SRRM1/AAAS/FIP1L1/PUF60/POLR2K/HNRNPF/RBM22/HSPA8/RBM10/UBB/MFAP1/CWC22/RBM8A/GTF2F1/RBM39/SNRPD2/PPIE/SNRPA1/CCAR1/SF3B5/DDX23/NUP153/CDC40/ZMAT2/POLR2C/SNW1/PRPF3/CWC15/RAE1/TXNL4A/NUP98/AQR/UBC/PDCD7/SF3B3/DDX41/PAPOLA/NUP37/HNRNPA2B1/PPIH/PQBP1/FAM32A/CSTF3/SLBP/SRSF2/CPSF6/CTNNBL1/UBL5/PLRG1/NUP62/RNF113A/PPWD1/CHERP/RBBP6/TPR/GCFC2/PNN/PPP1R10/NKAP/PCF11/FAM50A/THOC2/SF1/U2SURP/SRSF7/NCBP1/SNRPE/SF3B6/SNRPA/CWC27/MAGOH/NXF1/TFIP11/SF3A1/PRKRIP1/PRPF31/SLU7/SARNP/POLR2I/PPIG/RANBP2/SF3A3/SART1/LSM5/PRPF18/PPIL4",234,"Podocytes","DKD_vs_Normal"
"R-HSA-72172","mRNA Splicing","183/4430","213/11230",0.859154929577465,2.17794804947064,14.0088411925261,1.88394369358178e-45,7.86075506146996e-43,4.3082817624278e-43,"RBMX/GPATCH1/LSM8/SNRPC/U2AF1L4/LUC7L3/SNRNP35/RBM7/CASC3/DDX46/HNRNPH1/HNRNPM/NSRP1/HNRNPH2/RBM42/SF3B1/HNRNPA1/CWC25/SRSF4/LSM4/HNRNPA3/SNRNP200/CCDC12/SNRPF/POLR2E/DNAJC8/WBP4/HNRNPD/POLR2A/ACIN1/LSM3/PRPF40A/SRSF5/SNIP1/LSM7/BUD31/SNRPD3/RNPC3/SF3B2/SRSF3/PRCC/U2AF2/SAP18/YBX1/BCAS2/POLR2L/PCBP2/SMU1/HNRNPC/POLR2J/SNRPD1/LSM2/RBM25/PRPF19/C9orf78/HNRNPU/DHX15/PRPF38A/PCBP1/PHF5A/EIF4A3/SNRPB/POLR2G/SRRM2/PRPF6/SF3B4/WDR70/POLR2H/U2AF1/HNRNPK/POLR2B/HNRNPR/SNRPB2/TCERG1/IK/DDX5/SMNDC1/EFTUD2/SRSF11/SNRNP25/CRNKL1/CDC5L/SNRNP40/MAGOHB/SRSF10/SYF2/SRSF9/DHX8/TRA2B/CWF19L2/ZCRB1/RBM17/HNRNPL/SNRPN/RBM5/SRSF1/SNRPG/DHX9/POLR2F/NCBP2/FUS/PTBP1/SRSF6/SNRNP70/PRPF8/LENG1/LSM6/RBMX2/DDX42/SNU13/WBP11/UPF3B/RNPS1/ZMAT5/SNRNP27/HTATSF1/ALYREF/PPIL1/SRRM1/PUF60/POLR2K/HNRNPF/RBM22/HSPA8/RBM10/MFAP1/CWC22/RBM8A/GTF2F1/RBM39/SNRPD2/PPIE/SNRPA1/CCAR1/SF3B5/DDX23/CDC40/ZMAT2/POLR2C/SNW1/PRPF3/CWC15/TXNL4A/AQR/PDCD7/SF3B3/DDX41/HNRNPA2B1/PPIH/PQBP1/FAM32A/SRSF2/CTNNBL1/UBL5/PLRG1/RNF113A/PPWD1/CHERP/GCFC2/PNN/NKAP/FAM50A/SF1/U2SURP/SRSF7/NCBP1/SNRPE/SF3B6/SNRPA/CWC27/MAGOH/TFIP11/SF3A1/PRKRIP1/PRPF31/SLU7/POLR2I/PPIG/SF3A3/SART1/LSM5/PRPF18/PPIL4",183,"Podocytes","DKD_vs_Normal"
"R-HSA-72163","mRNA Splicing - Major Pathway","177/4430","205/11230",0.863414634146341,2.18874635247481,13.8641987796388,1.22547128158356e-44,4.09062313792591e-42,2.24196746041286e-42,"RBMX/GPATCH1/LSM8/SNRPC/U2AF1L4/LUC7L3/RBM7/CASC3/DDX46/HNRNPH1/HNRNPM/NSRP1/HNRNPH2/RBM42/SF3B1/HNRNPA1/CWC25/SRSF4/LSM4/HNRNPA3/SNRNP200/CCDC12/SNRPF/POLR2E/DNAJC8/WBP4/HNRNPD/POLR2A/ACIN1/LSM3/PRPF40A/SRSF5/SNIP1/LSM7/BUD31/SNRPD3/SF3B2/SRSF3/PRCC/U2AF2/SAP18/YBX1/BCAS2/POLR2L/PCBP2/SMU1/HNRNPC/POLR2J/SNRPD1/LSM2/RBM25/PRPF19/C9orf78/HNRNPU/DHX15/PRPF38A/PCBP1/PHF5A/EIF4A3/SNRPB/POLR2G/SRRM2/PRPF6/SF3B4/WDR70/POLR2H/U2AF1/HNRNPK/POLR2B/HNRNPR/SNRPB2/TCERG1/IK/DDX5/SMNDC1/EFTUD2/SRSF11/CRNKL1/CDC5L/SNRNP40/MAGOHB/SRSF10/SYF2/SRSF9/DHX8/TRA2B/CWF19L2/RBM17/HNRNPL/SNRPN/RBM5/SRSF1/SNRPG/DHX9/POLR2F/NCBP2/FUS/PTBP1/SRSF6/SNRNP70/PRPF8/LENG1/LSM6/RBMX2/DDX42/SNU13/WBP11/UPF3B/RNPS1/SNRNP27/HTATSF1/ALYREF/PPIL1/SRRM1/PUF60/POLR2K/HNRNPF/RBM22/HSPA8/RBM10/MFAP1/CWC22/RBM8A/GTF2F1/RBM39/SNRPD2/PPIE/SNRPA1/CCAR1/SF3B5/DDX23/CDC40/ZMAT2/POLR2C/SNW1/PRPF3/CWC15/TXNL4A/AQR/SF3B3/DDX41/HNRNPA2B1/PPIH/PQBP1/FAM32A/SRSF2/CTNNBL1/UBL5/PLRG1/RNF113A/PPWD1/CHERP/GCFC2/PNN/NKAP/FAM50A/SF1/U2SURP/SRSF7/NCBP1/SNRPE/SF3B6/SNRPA/CWC27/MAGOH/TFIP11/SF3A1/PRKRIP1/PRPF31/SLU7/POLR2I/PPIG/SF3A3/SART1/LSM5/PRPF18/PPIL4",177,"Podocytes","DKD_vs_Normal"
"R-HSA-376176","Signaling by ROBO receptors","175/4430","205/11230",0.853658536585366,2.16401475527171,13.5757572807034,1.1218951937339e-42,3.12073846390313e-40,1.7103981111487e-40,"CXCL12/RPL37A/RPS10/RPS21/RPS25/PSMB4/RPL4/RPS4Y1/PSMA1/CLASP2/RPL7A/RPS7/UBA52/COL4A5/FLRT3/RPL41/RPL21/RPL39L/PSMB1/CASC3/GSPT1/RPL30/SRGAP2/RPL23A/MYO9B/RPL22/RPL13/RPL35/NCK1/SOS2/ZSWIM8/NCK2/ROBO2/CDC42/PRKAR2A/RPL8/RPL19/RPS24/RPS28/RBX1/PSMC6/RPS13/NRP1/RPS27A/RPLP0/RPL15/PSMB3/RPS27/RPS23/RPL9/PSMB2/PSMD7/RPS14/EVL/PSMC1/PSMA4/RPL6/CLASP1/SEM1/DAG1/PSMD8/SRGAP1/RPL18A/PABPC1/ELOB/PFN2/PSMD14/RPL10A/RPS12/RPS17/RPS20/RPL13A/PSMD2/EIF4A3/PSMC3/CAP1/RPL28/RPL36/RPL3/RPS3A/SOS1/PAK2/RPL10/PAK1/RPS8/PSMC5/RPL14/RPS29/UPF2/RPL22L1/RPL36AL/RPL17/MAGOHB/PSMD13/RPL12/RHOA/RPL35A/RPS26/UPF3A/ELOC/FAU/EIF4G1/RPS27L/CUL2/NCBP2/PSMB6/RPLP1/PSMB7/ROBO1/PSMA3/PSMA7/RPL36A/RPL39/ADRM1/RPS11/RPL38/UPF3B/RNPS1/PSMB5/RPL32/RPL27/RPS9/RPL7/PSMD1/UBB/GPC1/RPL34/USP33/RPS3/RBM8A/RPS16/PFN1/PSMC4/RPLP2/RPL5/RPL27A/RPL18/RPS6/RPS19/PPP3CB/PRKACB/PSMD3/RPL26L1/ETF1/UBC/RPS5/PSMA2/RPL29/PSMA5/RPL23/VASP/PRKCA/RPL26/SLIT3/RPL24/PSMD11/PRKACA/ABL1/RPSA/NCBP1/RPS15/PSMD6/RPL31/RAC1/RPS4X/PAK4/RPS2/MAGOH/RPL37/RPS15A/RPL11/PSMD12/PSMA6/PSMC2/RPS18",175,"Podocytes","DKD_vs_Normal"
"R-HSA-9010553","Regulation of expression of SLITs and ROBOs","144/4430","159/11230",0.905660377358491,2.29583883470335,13.2823241716746,4.55002475363585e-42,1.08485590197403e-39,5.94582182091663e-40,"RPL37A/RPS10/RPS21/RPS25/PSMB4/RPL4/RPS4Y1/PSMA1/RPL7A/RPS7/UBA52/COL4A5/RPL41/RPL21/RPL39L/PSMB1/CASC3/GSPT1/RPL30/RPL23A/RPL22/RPL13/RPL35/ZSWIM8/ROBO2/RPL8/RPL19/RPS24/RPS28/RBX1/PSMC6/RPS13/RPS27A/RPLP0/RPL15/PSMB3/RPS27/RPS23/RPL9/PSMB2/PSMD7/RPS14/PSMC1/PSMA4/RPL6/SEM1/DAG1/PSMD8/RPL18A/PABPC1/ELOB/PSMD14/RPL10A/RPS12/RPS17/RPS20/RPL13A/PSMD2/EIF4A3/PSMC3/RPL28/RPL36/RPL3/RPS3A/RPL10/RPS8/PSMC5/RPL14/RPS29/UPF2/RPL22L1/RPL36AL/RPL17/MAGOHB/PSMD13/RPL12/RPL35A/RPS26/UPF3A/ELOC/FAU/EIF4G1/RPS27L/CUL2/NCBP2/PSMB6/RPLP1/PSMB7/ROBO1/PSMA3/PSMA7/RPL36A/RPL39/ADRM1/RPS11/RPL38/UPF3B/RNPS1/PSMB5/RPL32/RPL27/RPS9/RPL7/PSMD1/UBB/RPL34/USP33/RPS3/RBM8A/RPS16/PSMC4/RPLP2/RPL5/RPL27A/RPL18/RPS6/RPS19/PSMD3/RPL26L1/ETF1/UBC/RPS5/PSMA2/RPL29/PSMA5/RPL23/RPL26/RPL24/PSMD11/RPSA/NCBP1/RPS15/PSMD6/RPL31/RPS4X/RPS2/MAGOH/RPL37/RPS15A/RPL11/PSMD12/PSMA6/PSMC2/RPS18",144,"Podocytes","DKD_vs_Normal"
"R-HSA-72706","GTP hydrolysis and joining of the 60S ribosomal subunit","109/4430","113/11230",0.964601769911504,2.4452545995725,12.4625733319971,3.77904641523614e-39,7.88403558378639e-37,4.3210412300529e-37,"RPL37A/RPS10/RPS21/RPS25/RPL4/EIF4H/EIF3L/RPS4Y1/RPL7A/RPS7/UBA52/RPL41/RPL21/RPL39L/EIF3K/RPL30/RPL23A/RPL22/EIF2S1/RPL13/RPL35/EIF3A/RPL8/RPL19/RPS24/EIF4A1/EIF5/RPS28/RPS13/RPS27A/RPLP0/EIF3M/RPL15/RPS27/RPS23/RPL9/EIF3G/EIF1AX/EIF2S2/RPS14/EIF2S3/RPL6/EIF4E/RPL18A/EIF5B/RPL10A/RPS12/RPS17/RPS20/RPL13A/RPL28/RPL36/RPL3/EIF3H/RPS3A/RPL10/RPS8/RPL14/EIF4B/RPS29/RPL22L1/RPL36AL/RPL17/RPL12/EIF3I/RPL35A/RPS26/FAU/EIF4G1/RPS27L/RPLP1/RPL36A/RPL39/RPS11/RPL38/EIF4A2/RPL32/RPL27/RPS9/RPL7/RPL34/RPS3/RPS16/RPLP2/RPL5/RPL27A/RPL18/RPS6/EIF3D/RPS19/RPL26L1/EIF3E/RPS5/RPL29/RPL23/EIF3F/RPL26/RPL24/RPSA/RPS15/RPL31/RPS4X/RPS2/EIF3B/RPL37/RPS15A/RPL11/EIF3J/RPS18",109,"Podocytes","DKD_vs_Normal"
"R-HSA-156827","L13a-mediated translational silencing of Ceruloplasmin expression","108/4430","112/11230",0.964285714285714,2.44445340212835,12.3998708061043,9.37924074685514e-39,1.73932808961125e-36,9.53281895791476e-37,"RPL37A/RPS10/RPS21/RPS25/RPL4/EIF4H/EIF3L/RPS4Y1/RPL7A/RPS7/UBA52/RPL41/RPL21/RPL39L/EIF3K/RPL30/RPL23A/RPL22/EIF2S1/RPL13/RPL35/EIF3A/RPL8/RPL19/RPS24/EIF4A1/RPS28/RPS13/RPS27A/RPLP0/EIF3M/RPL15/RPS27/RPS23/RPL9/EIF3G/EIF1AX/EIF2S2/RPS14/EIF2S3/RPL6/EIF4E/RPL18A/PABPC1/RPL10A/RPS12/RPS17/RPS20/RPL13A/RPL28/RPL36/RPL3/EIF3H/RPS3A/RPL10/RPS8/RPL14/EIF4B/RPS29/RPL22L1/RPL36AL/RPL17/RPL12/EIF3I/RPL35A/RPS26/FAU/EIF4G1/RPS27L/RPLP1/RPL36A/RPL39/RPS11/RPL38/EIF4A2/RPL32/RPL27/RPS9/RPL7/RPL34/RPS3/RPS16/RPLP2/RPL5/RPL27A/RPL18/RPS6/EIF3D/RPS19/RPL26L1/EIF3E/RPS5/RPL29/RPL23/EIF3F/RPL26/RPL24/RPSA/RPS15/RPL31/RPS4X/RPS2/EIF3B/RPL37/RPS15A/RPL11/EIF3J/RPS18",108,"Podocytes","DKD_vs_Normal"
"R-HSA-1799339","SRP-dependent cotranslational protein targeting to membrane","108/4430","113/11230",0.955752212389381,2.42282107113606,12.2691267978589,1.30343438309821e-37,2.17543198539092e-35,1.19229945148668e-35,"RPL37A/SPCS3/RPS10/RPS21/SRP14/RPS25/TRAM1/RPL4/RPS4Y1/SSR4/RPL7A/RPS7/UBA52/SEC61G/RPL41/RPL21/RPL39L/RPL30/SPCS1/RPL23A/RPL22/RPL13/SRP72/RPL35/RPL8/RPL19/RPS24/RPS28/RPS13/RPS27A/RPLP0/RPL15/RPS27/RPS23/RPL9/RPS14/SEC11C/SRP19/RPL6/RPL18A/RPL10A/RPS12/RPS17/RPS20/RPL13A/RPL28/RPL36/RPL3/SSR3/RPS3A/RPL10/RPS8/RPL14/RPS29/RPL22L1/RPL36AL/RPL17/SSR2/RPL12/RPL35A/RPS26/FAU/SSR1/SRPRB/RPS27L/RPN1/SPCS2/RPLP1/RPL36A/RPL39/SRP9/RPS11/SRP54/RPL38/DDOST/RPL32/RPL27/RPS9/RPL7/SEC61B/RPL34/RPS3/RPS16/RPLP2/RPL5/RPN2/RPL27A/RPL18/RPS6/RPS19/RPL26L1/RPS5/SRP68/RPL29/RPL23/RPL26/RPL24/RPSA/RPS15/RPL31/RPS4X/SEC11A/RPS2/SEC61A1/RPL37/RPS15A/RPL11/RPS18",108,"Podocytes","DKD_vs_Normal"
"R-HSA-72613","Eukaryotic Translation Initiation","113/4430","120/11230",0.941666666666667,2.38711437170805,12.3300208972699,1.85054226895717e-37,2.57379587240793e-35,1.41063265940683e-35,"RPL37A/RPS10/RPS21/RPS25/RPL4/EIF4H/EIF3L/RPS4Y1/RPL7A/RPS7/UBA52/RPL41/RPL21/RPL39L/EIF3K/RPL30/RPL23A/RPL22/EIF2S1/RPL13/RPL35/EIF3A/RPL8/RPL19/RPS24/EIF4A1/EIF5/RPS28/RPS13/RPS27A/RPLP0/EIF3M/RPL15/RPS27/RPS23/RPL9/EIF3G/EIF1AX/EIF2S2/RPS14/EIF2S3/RPL6/EIF4E/RPL18A/PABPC1/EIF5B/RPL10A/RPS12/RPS17/RPS20/RPL13A/RPL28/RPL36/RPL3/EIF3H/RPS3A/RPL10/RPS8/RPL14/EIF4B/RPS29/RPL22L1/RPL36AL/RPL17/RPL12/EIF3I/RPL35A/RPS26/FAU/EIF2B2/EIF4G1/RPS27L/EIF2B3/RPLP1/RPL36A/RPL39/EIF2B5/RPS11/RPL38/EIF4A2/RPL32/RPL27/RPS9/RPL7/RPL34/RPS3/RPS16/RPLP2/RPL5/RPL27A/RPL18/RPS6/EIF3D/RPS19/RPL26L1/EIF3E/RPS5/RPL29/RPL23/EIF3F/RPL26/RPL24/RPSA/RPS15/RPL31/RPS4X/RPS2/EIF3B/RPL37/RPS15A/RPL11/EIF3J/RPS18",113,"Podocytes","DKD_vs_Normal"
"R-HSA-72737","Cap-dependent Translation Initiation","113/4430","120/11230",0.941666666666667,2.38711437170805,12.3300208972699,1.85054226895717e-37,2.57379587240793e-35,1.41063265940683e-35,"RPL37A/RPS10/RPS21/RPS25/RPL4/EIF4H/EIF3L/RPS4Y1/RPL7A/RPS7/UBA52/RPL41/RPL21/RPL39L/EIF3K/RPL30/RPL23A/RPL22/EIF2S1/RPL13/RPL35/EIF3A/RPL8/RPL19/RPS24/EIF4A1/EIF5/RPS28/RPS13/RPS27A/RPLP0/EIF3M/RPL15/RPS27/RPS23/RPL9/EIF3G/EIF1AX/EIF2S2/RPS14/EIF2S3/RPL6/EIF4E/RPL18A/PABPC1/EIF5B/RPL10A/RPS12/RPS17/RPS20/RPL13A/RPL28/RPL36/RPL3/EIF3H/RPS3A/RPL10/RPS8/RPL14/EIF4B/RPS29/RPL22L1/RPL36AL/RPL17/RPL12/EIF3I/RPL35A/RPS26/FAU/EIF2B2/EIF4G1/RPS27L/EIF2B3/RPLP1/RPL36A/RPL39/EIF2B5/RPS11/RPL38/EIF4A2/RPL32/RPL27/RPS9/RPL7/RPL34/RPS3/RPS16/RPLP2/RPL5/RPL27A/RPL18/RPS6/EIF3D/RPS19/RPL26L1/EIF3E/RPS5/RPL29/RPL23/EIF3F/RPL26/RPL24/RPSA/RPS15/RPL31/RPS4X/RPS2/EIF3B/RPL37/RPS15A/RPL11/EIF3J/RPS18",113,"Podocytes","DKD_vs_Normal"
"R-HSA-927802","Nonsense-Mediated Decay (NMD)","110/4430","116/11230",0.948275862068966,2.40386860745699,12.2669955789541,2.55921760618751e-37,3.05095298909068e-35,1.67215045096011e-35,"RPL37A/RPS10/RPS21/RPS25/RPL4/RPS4Y1/RPL7A/RPS7/UBA52/RPL41/RPL21/RPL39L/CASC3/GSPT1/RPL30/RPL23A/RPL22/RPL13/RPL35/RPL8/RPL19/RPS24/RPS28/RPS13/RPS27A/RPLP0/RPL15/RPS27/PPP2CA/RPS23/RPL9/SMG5/RPS14/RPL6/RPL18A/PABPC1/RPL10A/RPS12/RPS17/RPS20/RPL13A/EIF4A3/RPL28/RPL36/RPL3/RPS3A/RPL10/RPS8/RPL14/RPS29/UPF2/RPL22L1/RPL36AL/RPL17/MAGOHB/RPL12/RPL35A/RPS26/UPF3A/FAU/EIF4G1/RPS27L/NCBP2/RPLP1/RPL36A/RPL39/PPP2R1A/RPS11/RPL38/UPF3B/RNPS1/RPL32/RPL27/RPS9/RPL7/DCP1A/RPL34/RPS3/RBM8A/RPS16/RPLP2/RPL5/RPL27A/RPL18/UPF1/RPS6/RPS19/RPL26L1/ETF1/RPS5/RPL29/RPL23/SMG1/RPL26/SMG7/RPL24/PPP2R2A/RPSA/NCBP1/RPS15/RPL31/PNRC2/RPS4X/RPS2/MAGOH/RPL37/RPS15A/RPL11/SMG6/RPS18",110,"Podocytes","DKD_vs_Normal"
"R-HSA-975957","Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC)","110/4430","116/11230",0.948275862068966,2.40386860745699,12.2669955789541,2.55921760618751e-37,3.05095298909068e-35,1.67215045096011e-35,"RPL37A/RPS10/RPS21/RPS25/RPL4/RPS4Y1/RPL7A/RPS7/UBA52/RPL41/RPL21/RPL39L/CASC3/GSPT1/RPL30/RPL23A/RPL22/RPL13/RPL35/RPL8/RPL19/RPS24/RPS28/RPS13/RPS27A/RPLP0/RPL15/RPS27/PPP2CA/RPS23/RPL9/SMG5/RPS14/RPL6/RPL18A/PABPC1/RPL10A/RPS12/RPS17/RPS20/RPL13A/EIF4A3/RPL28/RPL36/RPL3/RPS3A/RPL10/RPS8/RPL14/RPS29/UPF2/RPL22L1/RPL36AL/RPL17/MAGOHB/RPL12/RPL35A/RPS26/UPF3A/FAU/EIF4G1/RPS27L/NCBP2/RPLP1/RPL36A/RPL39/PPP2R1A/RPS11/RPL38/UPF3B/RNPS1/RPL32/RPL27/RPS9/RPL7/DCP1A/RPL34/RPS3/RBM8A/RPS16/RPLP2/RPL5/RPL27A/RPL18/UPF1/RPS6/RPS19/RPL26L1/ETF1/RPS5/RPL29/RPL23/SMG1/RPL26/SMG7/RPL24/PPP2R2A/RPSA/NCBP1/RPS15/RPL31/PNRC2/RPS4X/RPS2/MAGOH/RPL37/RPS15A/RPL11/SMG6/RPS18",110,"Podocytes","DKD_vs_Normal"
