"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","CellType","Condition"
"R-HSA-72766","Translation","290/2662","368/11230",0.78804347826087,3.32446591317414,25.2712677765037,1.64861195589424e-114,2.68558887615171e-111,1.81347315148366e-111,"RPS4Y1/EEF1G/RPS2/RPL17/MT-CYB/SEC61G/RPS26/RPS10/MT-ATP8/RPSA/RPL37A/MT-ND4/RPL39/EEF1A1/RPL5/RBX1/EIF4A1/EIF3L/RPL4/EEF1B2/RPL6/PSMA4/EIF3F/RPL22/MRPL41/RPL9/UFD1/RPS19/MRPS21/EIF5/RPL38/RPL28/MRPL58/PSMB2/RPS29/MRPL19/MT-ND1/RPS27/SRP9/RPL37/RPL19/TUFM/MT-ND5/SSR3/RPL30/SRP14/PSMB3/MRPL33/TRAM1/PSMA7/EIF4B/RPL15/EIF4A2/RPL12/TCF25/SEM1/MRPL21/MRPL17/MRPL42/SSR4/MRPS28/MRPL13/MRPL4/EIF4H/MRPL52/EIF4E/GADD45GIP1/RPL7A/RPS21/RPL13/MT-ND6/SEC61B/OXA1L/RPL27A/MRPL28/EEF2/PSMB6/MRPL32/SPCS3/MRPL51/MRPL50/RPS27A/PSMC4/MIEF1/MT-ATP6/MRPL1/MRPL36/MRPL43/RPL36AL/PSMA2/EEF1D/RPLP2/RPS3A/SEC61A1/PSMB4/SEC11A/MRPS10/RCHY1/EIF3K/RPS25/EIF2S3/MRPL55/MRPS23/RPL23A/RPL31/MRPS31/PPA1/RPL3/RPS13/PSMB7/RPL22L1/PPA2/PSMB5/EIF2B2/MRPS6/EIF4G1/MT-CO1/PSMD2/RPS7/ELOB/MT-ND2/SSR1/MRPL18/MRPS26/EEF1E1/EIF1AX/RPL29/MRPS5/MRPS33/MRPL20/MRPL12/PSMA5/MRPS16/VCP/CARS2/MRPL57/PSMC1/MRPS34/DAP3/DDOST/UBE2D2/FAU/EIF3D/EIF3H/PSMD14/RPL27/IARS2/PSMD8/RPL35A/RPL10/TRIP4/RPS12/PSMD11/SSR2/PSMD13/EIF5B/PSMC5/MRPL34/MRPL47/PSMD7/ADRM1/RPS6/UBA52/RPL7/FARSA/MT-CO3/MRPL22/PSMA1/EIF3B/RPS17/MRPL49/RPL36A/EIF2S1/MRPL35/RPS4X/EIF3I/PSMB1/EIF3G/UBB/RPS28/RPN2/PABPC1/MRPL9/SEC11C/MTIF3/MRPS7/MRPL54/SRP54/RPS14/APEH/PSMA3/TSFM/GSPT1/RPLP1/MRPL2/GFM1/AIMP1/RPL24/PSMC2/PTCD3/RPLP0/RPS23/SPCS1/RPL8/MRPS18B/RPL10A/MRPS15/RPL14/PSMD3/RPS16/MRPS11/RPL35/MRPL11/CHCHD1/MRPL24/MRPS25/RPN1/MT-CO2/MRPS14/EIF4EBP1/MRPL48/PSMC6/RPL23/RPS15/PSMD6/MRPS22/MRPL23/RPS18/RPS27L/EIF3M/NPLOC4/EIF3E/PSMC3/MRPS12/RPL34/RPL11/ABCE1/RPS15A/EIF2S2/RPS24/MRPL44/EIF3A/SRP72/AURKAIP1/RPS20/ETF1/SPCS2/MRPL15/RPL32/ELOC/RPL26/MRPL40/MRPL3/MRPS18A/UBE2D3/RPL21/RPL41/UBC/MRPS30/RPL18/EIF3J/MT-ND4L/MRPS2/MALSU1/MRPL10/RPL18A/RPL13A/RPS3/SRP19/RPL36/MRPL27/NDUFAB1/RPS8/KLHDC10/MRPL39/RPS11/MRPL14/MRPL37/RPS5/MRPS35/RPL26L1/MT-ND3/RPS9/PSMD1/MRPL16/MRPS18C/MRPS9/PSMD12/TRMT112/MRPL46",290,"PT","DKD_vs_Normal"
"R-HSA-9948299","Ribosome-associated quality control","130/2662","145/11230",0.896551724137931,3.78222233736625,18.7950213351612,9.29060068593762e-65,7.56719425869619e-62,5.10983037726569e-62,"RPS4Y1/RPS2/RPL17/RPS26/RPS10/RPSA/RPL37A/RPL39/RPL5/RBX1/RPL4/RPL6/PSMA4/RPL22/RPL9/UFD1/RPS19/RPL38/RPL28/PSMB2/RPS29/RPS27/RPL37/RPL19/RPL30/PSMB3/PSMA7/RPL15/RPL12/TCF25/SEM1/RPL7A/RPS21/RPL13/RPL27A/PSMB6/RPS27A/PSMC4/RPL36AL/PSMA2/RPLP2/RPS3A/PSMB4/RCHY1/RPS25/RPL23A/RPL31/RPL3/RPS13/PSMB7/RPL22L1/PSMB5/PSMD2/RPS7/ELOB/RPL29/PSMA5/VCP/PSMC1/UBE2D2/FAU/PSMD14/RPL27/PSMD8/RPL35A/RPL10/TRIP4/RPS12/PSMD11/PSMD13/PSMC5/PSMD7/ADRM1/RPS6/UBA52/RPL7/PSMA1/RPS17/RPL36A/RPS4X/PSMB1/UBB/RPS28/RPS14/PSMA3/RPLP1/RPL24/PSMC2/RPLP0/RPS23/RPL8/RPL10A/RPL14/PSMD3/RPS16/RPL35/PSMC6/RPL23/RPS15/PSMD6/RPS18/RPS27L/NPLOC4/PSMC3/RPL34/RPL11/ABCE1/RPS15A/RPS24/RPS20/RPL32/ELOC/RPL26/UBE2D3/RPL21/RPL41/UBC/RPL18/RPL18A/RPL13A/RPS3/RPL36/RPS8/KLHDC10/RPS11/RPS5/RPL26L1/RPS9/PSMD1/PSMD12",130,"PT","DKD_vs_Normal"
"R-HSA-72706","GTP hydrolysis and joining of the 60S ribosomal subunit","108/2662","113/11230",0.955752212389381,4.03196744745783,18.0553034006806,2.17071557496582e-61,1.17869855720644e-58,7.95929044154133e-59,"RPS4Y1/RPS2/RPL17/RPS26/RPS10/RPSA/RPL37A/RPL39/RPL5/EIF4A1/EIF3L/RPL4/RPL6/EIF3F/RPL22/RPL9/RPS19/EIF5/RPL38/RPL28/RPS29/RPS27/RPL37/RPL19/RPL30/EIF4B/RPL15/EIF4A2/RPL12/EIF4H/EIF4E/RPL7A/RPS21/RPL13/RPL27A/RPS27A/RPL36AL/RPLP2/RPS3A/EIF3K/RPS25/EIF2S3/RPL23A/RPL31/RPL3/RPS13/RPL22L1/EIF4G1/RPS7/EIF1AX/RPL29/FAU/EIF3D/EIF3H/RPL27/RPL35A/RPL10/RPS12/EIF5B/RPS6/UBA52/RPL7/EIF3B/RPS17/RPL36A/EIF2S1/RPS4X/EIF3I/EIF3G/RPS28/RPS14/RPLP1/RPL24/RPLP0/RPS23/RPL8/RPL10A/RPL14/RPS16/RPL35/RPL23/RPS15/RPS18/RPS27L/EIF3M/EIF3E/RPL34/RPL11/RPS15A/EIF2S2/RPS24/EIF3A/RPS20/RPL32/RPL26/RPL21/RPL41/RPL18/EIF3J/RPL18A/RPL13A/RPS3/RPL36/RPS8/RPS11/RPS5/RPL26L1/RPS9",108,"PT","DKD_vs_Normal"
"R-HSA-71291","Metabolism of amino acids and derivatives","229/2662","358/11230",0.639664804469274,2.69851080172425,18.2049689336049,5.12217244914293e-61,2.08600472991346e-58,1.40859742351431e-58,"RPS4Y1/HPD/ASS1/RPS2/RPL17/SLC3A2/BHMT/PRODH2/GLS/RPS26/RPS10/RIDA/RPSA/ECHS1/RPL37A/RPL39/DIO1/RPL5/AHCY/IYD/RPL4/AGXT/ADI1/TSTD1/RPL6/PSMA4/RPL22/BBOX1/RPL9/FMO1/ARG2/PIPOX/RPS19/PHGDH/SHMT1/RPL38/RPL28/BHMT2/AGMAT/PAH/PSMB2/RPS29/RPS27/DMGDH/RPL37/RPL19/RPL30/KMO/GSR/PSMB3/PSMA7/KYNU/RPL15/RPL12/ETHE1/HIBCH/SEM1/SLC6A8/SMS/SERINC1/FOLH1/AGXT2/GLUD1/RPL7A/RPS21/FTCD/RPL13/CRYM/RPL27A/PSMB6/RPS27A/PSMC4/GATM/GAMT/RPL36AL/PSMA2/SLC25A10/RPLP2/RPS3A/PSMB4/SUOX/RPS25/QDPR/RPL23A/RPL31/RPL3/DAO/OAT/RPS13/SAT1/HNMT/PSMB7/RPL22L1/PSMB5/PSMD2/RPS7/SLC25A13/EEF1E1/SARDH/PSPH/RPL29/TXNRD1/ALDH6A1/HSD17B10/PSMA5/HOGA1/PSMC1/MCCC2/CHDH/FAU/ODC1/OAZ2/PSMD14/RPL27/HGD/PSMD8/RPL35A/RPL10/IVD/RPS12/PSMD11/ASRGL1/PSMD13/SEPHS2/PSMC5/DHTKD1/ASPA/TST/GOT2/NQO1/PSMD7/ADRM1/RPS6/UBA52/RPL7/MCCC1/ALDH9A1/PSMA1/ACMSD/RPS17/GCSH/RPL36A/AMD1/ACAD8/RPS4X/GRHPR/PSMB1/DLD/PPM1K/RPS28/GLUL/ACADSB/HIBADH/RPS14/AFMID/PSAT1/PSMA3/SERINC2/RPLP1/DBT/AIMP1/RPL24/PSMC2/AUH/ACAT1/TXN2/RPLP0/RPS23/RPL8/MPST/DDC/RPL10A/RPL14/PSMD3/AZIN1/RPS16/GLDC/RPL35/GPT/ALDH7A1/OAZ1/PSMC6/RPL23/RPS15/OGDH/PSMD6/HAAO/RPS18/RPS27L/PSMC3/FAH/RPL34/RPL11/RPS15A/SDSL/RPS24/GOT1/RPS20/NMRAL1/SECISBP2/RPL32/GPT2/ENOPH1/RPL26/GSTZ1/GCDH/CKB/DLST/RPL21/RPL41/RPL18/SRM/PXMP2/BCKDK/RPL18A/RPL13A/RPS3/RPL36/RPS8/PCBD1/RPS11/BCKDHB/ASL/RPS5/ALDH4A1/RPL26L1/RPS9/PSMD1/PSMD12",229,"PT","DKD_vs_Normal"
"R-HSA-156827","L13a-mediated translational silencing of Ceruloplasmin expression","107/2662","112/11230",0.955357142857143,4.03030079424708,17.9645463112994,9.02904492241562e-61,2.94166283572301e-58,1.98638988293144e-58,"RPS4Y1/RPS2/RPL17/RPS26/RPS10/RPSA/RPL37A/RPL39/RPL5/EIF4A1/EIF3L/RPL4/RPL6/EIF3F/RPL22/RPL9/RPS19/RPL38/RPL28/RPS29/RPS27/RPL37/RPL19/RPL30/EIF4B/RPL15/EIF4A2/RPL12/EIF4H/EIF4E/RPL7A/RPS21/RPL13/RPL27A/RPS27A/RPL36AL/RPLP2/RPS3A/EIF3K/RPS25/EIF2S3/RPL23A/RPL31/RPL3/RPS13/RPL22L1/EIF4G1/RPS7/EIF1AX/RPL29/FAU/EIF3D/EIF3H/RPL27/RPL35A/RPL10/RPS12/RPS6/UBA52/RPL7/EIF3B/RPS17/RPL36A/EIF2S1/RPS4X/EIF3I/EIF3G/RPS28/PABPC1/RPS14/RPLP1/RPL24/RPLP0/RPS23/RPL8/RPL10A/RPL14/RPS16/RPL35/RPL23/RPS15/RPS18/RPS27L/EIF3M/EIF3E/RPL34/RPL11/RPS15A/EIF2S2/RPS24/EIF3A/RPS20/RPL32/RPL26/RPL21/RPL41/RPL18/EIF3J/RPL18A/RPL13A/RPS3/RPL36/RPS8/RPS11/RPS5/RPL26L1/RPS9",107,"PT","DKD_vs_Normal"
"R-HSA-1428517","Aerobic respiration and respiratory electron transport","183/2662","258/11230",0.709302325581395,2.99228591896284,18.0448574904575,3.03989338772302e-59,8.25331054766801e-57,5.57313787749221e-57,"PDK4/MT-CYB/SUCLG1/NDUFS5/MDH1/COA3/NDUFA13/MT-ATP8/SCO2/ATP5F1B/MT-ND4/NDUFB2/ATP5PD/HAGH/PKM/UQCR10/ATP5F1A/NDUFC2/COX7A2/COX16/UQCC2/LDHA/PDHA1/VDAC1/COX5B/HIGD1A/COX6B1/COX7B/LDHB/NDUFS7/NDUFB10/UQCRQ/COX4I1/PNKD/NDUFS8/MT-ND1/NDUFB11/ATP5F1C/NDUFS6/ATP5ME/MT-ND5/PET100/NDUFA7/PDK2/NDUFA6/NDUFB7/ACO2/NDUFB8/NDUFB4/ATP5PO/ATP5MC3/NDUFA11/NDUFV1/MT-ND6/ETFA/OXA1L/NDUFA8/SLC25A11/COX6A1/HIGD2A/ATP5MG/ISCU/ATP5MC2/RPS27A/FAHD1/MT-ATP6/NDUFV3/ATP5F1E/NDUFA12/PC/NDUFB9/LETM1/SDHA/NDUFA9/ATP5F1D/ATP5PB/HSPA9/SURF1/TMEM126B/COX6C/NDUFS3/COX8A/SFXN4/UQCRFS1/ETFB/NDUFB3/MT-CO1/PDHB/SLC25A13/ATP5PF/MT-ND2/NDUFAF8/NDUFAF1/NDUFA1/NDUFA5/COX20/UQCRB/NDUFB6/NDUFV2/NDUFAF2/SUCLA2/NDUFAF3/SDHC/ISCA1/GOT2/TRAP1/ETFDH/COA5/UBA52/MT-CO3/ATP5MF/NDUFS1/NNT/TIMMDC1/UQCRC1/MPC2/LYRM4/DLD/UBB/NDUFC1/MPC1/MAEA/D2HGDH/COX17/SDHD/FH/ISCA2/NDUFA2/IDH3G/ACAT1/LYRM2/CYC1/IDH2/ATP5MC1/NDUFAF4/NDUFS2/COX14/NDUFS4/UQCR11/CMC1/GPT/COX7A1/MT-CO2/OGDH/SCO1/UQCRC2/SDHB/TACO1/PYURF/COX11/TMEM126A/GLO1/HSCB/GOT1/UQCC3/NDUFA10/NDUFA3/NDUFB1/NFS1/UQCRH/PKLR/MDH2/COQ10B/COA1/GSTZ1/DLST/UBC/IDH3B/COX5A/SDHAF1/NDUFAB1/DMAC1/NDUFB5/COX7C/MKLN1/SDHAF2/RMND5A/SUCLG2/MT-ND3/RAB5IF/SDHAF3/SMIM20/COX7A2L",183,"PT","DKD_vs_Normal"
"R-HSA-72613","Eukaryotic Translation Initiation","111/2662","120/11230",0.925,3.90223516153268,17.8156236818796,6.97470312113418e-59,1.42022392304095e-56,9.5902167915595e-57,"RPS4Y1/RPS2/RPL17/RPS26/RPS10/RPSA/RPL37A/RPL39/RPL5/EIF4A1/EIF3L/RPL4/RPL6/EIF3F/RPL22/RPL9/RPS19/EIF5/RPL38/RPL28/RPS29/RPS27/RPL37/RPL19/RPL30/EIF4B/RPL15/EIF4A2/RPL12/EIF4H/EIF4E/RPL7A/RPS21/RPL13/RPL27A/RPS27A/RPL36AL/RPLP2/RPS3A/EIF3K/RPS25/EIF2S3/RPL23A/RPL31/RPL3/RPS13/RPL22L1/EIF2B2/EIF4G1/RPS7/EIF1AX/RPL29/FAU/EIF3D/EIF3H/RPL27/RPL35A/RPL10/RPS12/EIF5B/RPS6/UBA52/RPL7/EIF3B/RPS17/RPL36A/EIF2S1/RPS4X/EIF3I/EIF3G/RPS28/PABPC1/RPS14/RPLP1/RPL24/RPLP0/RPS23/RPL8/RPL10A/RPL14/RPS16/RPL35/EIF4EBP1/RPL23/RPS15/RPS18/RPS27L/EIF3M/EIF3E/RPL34/RPL11/RPS15A/EIF2S2/RPS24/EIF3A/RPS20/RPL32/RPL26/RPL21/RPL41/RPL18/EIF3J/RPL18A/RPL13A/RPS3/RPL36/RPS8/RPS11/RPS5/RPL26L1/RPS9",111,"PT","DKD_vs_Normal"
"R-HSA-72737","Cap-dependent Translation Initiation","111/2662","120/11230",0.925,3.90223516153268,17.8156236818796,6.97470312113418e-59,1.42022392304095e-56,9.5902167915595e-57,"RPS4Y1/RPS2/RPL17/RPS26/RPS10/RPSA/RPL37A/RPL39/RPL5/EIF4A1/EIF3L/RPL4/RPL6/EIF3F/RPL22/RPL9/RPS19/EIF5/RPL38/RPL28/RPS29/RPS27/RPL37/RPL19/RPL30/EIF4B/RPL15/EIF4A2/RPL12/EIF4H/EIF4E/RPL7A/RPS21/RPL13/RPL27A/RPS27A/RPL36AL/RPLP2/RPS3A/EIF3K/RPS25/EIF2S3/RPL23A/RPL31/RPL3/RPS13/RPL22L1/EIF2B2/EIF4G1/RPS7/EIF1AX/RPL29/FAU/EIF3D/EIF3H/RPL27/RPL35A/RPL10/RPS12/EIF5B/RPS6/UBA52/RPL7/EIF3B/RPS17/RPL36A/EIF2S1/RPS4X/EIF3I/EIF3G/RPS28/PABPC1/RPS14/RPLP1/RPL24/RPLP0/RPS23/RPL8/RPL10A/RPL14/RPS16/RPL35/EIF4EBP1/RPL23/RPS15/RPS18/RPS27L/EIF3M/EIF3E/RPL34/RPL11/RPS15A/EIF2S2/RPS24/EIF3A/RPS20/RPL32/RPL26/RPL21/RPL41/RPL18/EIF3J/RPL18A/RPL13A/RPS3/RPL36/RPS8/RPS11/RPS5/RPL26L1/RPS9",111,"PT","DKD_vs_Normal"
"R-HSA-1799339","SRP-dependent cotranslational protein targeting to membrane","105/2662","113/11230",0.929203539823009,3.91996835169511,17.3883511033222,3.00141796717177e-56,5.43256652058091e-54,3.66839973765439e-54,"RPS4Y1/RPS2/RPL17/SEC61G/RPS26/RPS10/RPSA/RPL37A/RPL39/RPL5/RPL4/RPL6/RPL22/RPL9/RPS19/RPL38/RPL28/RPS29/RPS27/SRP9/RPL37/RPL19/SSR3/RPL30/SRP14/TRAM1/RPL15/RPL12/SSR4/RPL7A/RPS21/RPL13/SEC61B/RPL27A/SPCS3/RPS27A/RPL36AL/RPLP2/RPS3A/SEC61A1/SEC11A/RPS25/RPL23A/RPL31/RPL3/RPS13/RPL22L1/RPS7/SSR1/RPL29/DDOST/FAU/RPL27/RPL35A/RPL10/RPS12/SSR2/RPS6/UBA52/RPL7/RPS17/RPL36A/RPS4X/RPS28/RPN2/SEC11C/SRP54/RPS14/RPLP1/RPL24/RPLP0/RPS23/SPCS1/RPL8/RPL10A/RPL14/RPS16/RPL35/RPN1/RPL23/RPS15/RPS18/RPS27L/RPL34/RPL11/RPS15A/RPS24/SRP72/RPS20/SPCS2/RPL32/RPL26/RPL21/RPL41/RPL18/RPL18A/RPL13A/RPS3/SRP19/RPL36/RPS8/RPS11/RPS5/RPL26L1/RPS9",105,"PT","DKD_vs_Normal"
"R-HSA-9010553","Regulation of expression of SLITs and ROBOs","131/2662","159/11230",0.823899371069182,3.47572875173062,17.5243950436494,9.00050948254865e-56,1.46618299470717e-53,9.90056043080351e-54,"RPS4Y1/RPS2/RPL17/RPS26/RPS10/RPSA/RPL37A/RPL39/RPL5/RBX1/RPL4/RPL6/PSMA4/RPL22/RPL9/RPS19/RPL38/RPL28/PSMB2/RPS29/RPS27/RPL37/RPL19/RPL30/PSMB3/PSMA7/RPL15/RPL12/SEM1/RPL7A/RPS21/RPL13/RPL27A/PSMB6/RPS27A/PSMC4/RPL36AL/PSMA2/RPLP2/RPS3A/PSMB4/RPS25/RPL23A/RPL31/RPL3/USP33/RPS13/PSMB7/RPL22L1/PSMB5/EIF4G1/PSMD2/RPS7/ELOB/RPL29/PSMA5/PSMC1/FAU/PSMD14/RPL27/PSMD8/RPL35A/RPL10/RPS12/PSMD11/PSMD13/PSMC5/PSMD7/ADRM1/RPS6/UBA52/RPL7/PSMA1/RPS17/RPL36A/EIF4A3/RPS4X/PSMB1/UBB/RPS28/PABPC1/RNPS1/RPS14/UPF3A/PSMA3/GSPT1/RPLP1/RPL24/PSMC2/RPLP0/RPS23/RPL8/RPL10A/RPL14/PSMD3/RPS16/RPL35/RBM8A/NCBP2/PSMC6/RPL23/RPS15/PSMD6/RPS18/RPS27L/PSMC3/RPL34/RPL11/RPS15A/RPS24/RPS20/ETF1/RPL32/ELOC/RPL26/RPL21/RPL41/UBC/MAGOH/RPL18/RPL18A/RPL13A/RPS3/RPL36/RPS8/RPS11/RPS5/RPL26L1/RPS9/PSMD1/PSMD12",131,"PT","DKD_vs_Normal"
"R-HSA-72689","Formation of a pool of free 40S subunits","97/2662","102/11230",0.950980392156863,4.01183689102989,17.0316927348656,1.34416748666368e-54,1.99058985070467e-52,1.34416748666368e-52,"RPS4Y1/RPS2/RPL17/RPS26/RPS10/RPSA/RPL37A/RPL39/RPL5/EIF3L/RPL4/RPL6/EIF3F/RPL22/RPL9/RPS19/RPL38/RPL28/RPS29/RPS27/RPL37/RPL19/RPL30/RPL15/RPL12/RPL7A/RPS21/RPL13/RPL27A/RPS27A/RPL36AL/RPLP2/RPS3A/EIF3K/RPS25/RPL23A/RPL31/RPL3/RPS13/RPL22L1/RPS7/EIF1AX/RPL29/FAU/EIF3D/EIF3H/RPL27/RPL35A/RPL10/RPS12/RPS6/UBA52/RPL7/EIF3B/RPS17/RPL36A/RPS4X/EIF3I/EIF3G/RPS28/RPS14/RPLP1/RPL24/RPLP0/RPS23/RPL8/RPL10A/RPL14/RPS16/RPL35/RPL23/RPS15/RPS18/RPS27L/EIF3M/EIF3E/RPL34/RPL11/RPS15A/RPS24/EIF3A/RPS20/RPL32/RPL26/RPL21/RPL41/RPL18/EIF3J/RPL18A/RPL13A/RPS3/RPL36/RPS8/RPS11/RPS5/RPL26L1/RPS9",97,"PT","DKD_vs_Normal"
"R-HSA-156842","Eukaryotic Translation Elongation","89/2662","94/11230",0.946808510638298,3.99423725562287,16.2487651984485,1.10134944491805e-49,1.49508187147625e-47,1.00957032450821e-47,"RPS4Y1/EEF1G/RPS2/RPL17/RPS26/RPS10/RPSA/RPL37A/RPL39/EEF1A1/RPL5/RPL4/EEF1B2/RPL6/RPL22/RPL9/RPS19/RPL38/RPL28/RPS29/RPS27/RPL37/RPL19/RPL30/RPL15/RPL12/RPL7A/RPS21/RPL13/RPL27A/EEF2/RPS27A/RPL36AL/EEF1D/RPLP2/RPS3A/RPS25/RPL23A/RPL31/RPL3/RPS13/RPL22L1/RPS7/RPL29/FAU/RPL27/RPL35A/RPL10/RPS12/RPS6/UBA52/RPL7/RPS17/RPL36A/RPS4X/RPS28/RPS14/RPLP1/RPL24/RPLP0/RPS23/RPL8/RPL10A/RPL14/RPS16/RPL35/RPL23/RPS15/RPS18/RPS27L/RPL34/RPL11/RPS15A/RPS24/RPS20/RPL32/RPL26/RPL21/RPL41/RPL18/RPL18A/RPL13A/RPS3/RPL36/RPS8/RPS11/RPS5/RPL26L1/RPS9",89,"PT","DKD_vs_Normal"
"R-HSA-975956","Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC)","90/2662","96/11230",0.9375,3.95496806912096,16.2068136282516,3.31546526023825e-49,4.15453300686777e-47,2.80539368174005e-47,"RPS4Y1/RPS2/RPL17/RPS26/RPS10/RPSA/RPL37A/RPL39/RPL5/RPL4/RPL6/RPL22/RPL9/RPS19/RPL38/RPL28/RPS29/RPS27/RPL37/RPL19/RPL30/RPL15/RPL12/RPL7A/RPS21/RPL13/RPL27A/RPS27A/RPL36AL/UPF1/RPLP2/RPS3A/RPS25/RPL23A/RPL31/RPL3/RPS13/RPL22L1/EIF4G1/RPS7/RPL29/FAU/RPL27/RPL35A/RPL10/RPS12/RPS6/UBA52/RPL7/RPS17/RPL36A/RPS4X/RPS28/PABPC1/RPS14/GSPT1/RPLP1/RPL24/RPLP0/RPS23/RPL8/RPL10A/RPL14/RPS16/RPL35/NCBP2/RPL23/RPS15/RPS18/RPS27L/RPL34/RPL11/RPS15A/RPS24/RPS20/ETF1/RPL32/RPL26/RPL21/RPL41/RPL18/RPL18A/RPL13A/RPS3/RPL36/RPS8/RPS11/RPS5/RPL26L1/RPS9",90,"PT","DKD_vs_Normal"
"R-HSA-156902","Peptide chain elongation","86/2662","90/11230",0.955555555555556,4.03113782452625,16.0923392987948,5.38129539295645e-49,5.8440867967507e-47,3.94628328816806e-47,"RPS4Y1/RPS2/RPL17/RPS26/RPS10/RPSA/RPL37A/RPL39/EEF1A1/RPL5/RPL4/RPL6/RPL22/RPL9/RPS19/RPL38/RPL28/RPS29/RPS27/RPL37/RPL19/RPL30/RPL15/RPL12/RPL7A/RPS21/RPL13/RPL27A/EEF2/RPS27A/RPL36AL/RPLP2/RPS3A/RPS25/RPL23A/RPL31/RPL3/RPS13/RPL22L1/RPS7/RPL29/FAU/RPL27/RPL35A/RPL10/RPS12/RPS6/UBA52/RPL7/RPS17/RPL36A/RPS4X/RPS28/RPS14/RPLP1/RPL24/RPLP0/RPS23/RPL8/RPL10A/RPL14/RPS16/RPL35/RPL23/RPS15/RPS18/RPS27L/RPL34/RPL11/RPS15A/RPS24/RPS20/RPL32/RPL26/RPL21/RPL41/RPL18/RPL18A/RPL13A/RPS3/RPL36/RPS8/RPS11/RPS5/RPL26L1/RPS9",86,"PT","DKD_vs_Normal"
"R-HSA-192823","Viral mRNA Translation","86/2662","90/11230",0.955555555555556,4.03113782452625,16.0923392987948,5.38129539295645e-49,5.8440867967507e-47,3.94628328816806e-47,"RPS4Y1/RPS2/RPL17/RPS26/RPS10/RPSA/RPL37A/RPL39/RPL5/RPL4/RPL6/RPL22/RPL9/RPS19/RPL38/RPL28/RPS29/RPS27/RPL37/RPL19/RPL30/RPL15/RPL12/RPL7A/RPS21/RPL13/RPL27A/RPS27A/RPL36AL/RPLP2/RPS3A/RPS25/RPL23A/RPL31/RPL3/RPS13/RPL22L1/RPS7/RPL29/FAU/RPL27/GRSF1/RPL35A/RPL10/RPS12/RPS6/UBA52/RPL7/RPS17/RPL36A/RPS4X/RPS28/RPS14/RPLP1/RPL24/RPLP0/RPS23/RPL8/RPL10A/RPL14/RPS16/RPL35/DNAJC3/RPL23/RPS15/RPS18/RPS27L/RPL34/RPL11/RPS15A/RPS24/RPS20/RPL32/RPL26/RPL21/RPL41/RPL18/RPL18A/RPL13A/RPS3/RPL36/RPS8/RPS11/RPS5/RPL26L1/RPS9",86,"PT","DKD_vs_Normal"
"R-HSA-9954709","Ribosome Quality Control (RQC) complex extracts and degrades nascent peptide","94/2662","103/11230",0.912621359223301,3.85001422392099,16.1961366896929,1.17163261715866e-48,1.19286845834466e-46,8.05497424296577e-47,"RPL17/RPL37A/RPL39/RPL5/RBX1/RPL4/RPL6/PSMA4/RPL22/RPL9/UFD1/RPL38/RPL28/PSMB2/RPL37/RPL19/RPL30/PSMB3/PSMA7/RPL15/RPL12/TCF25/SEM1/RPL7A/RPL13/RPL27A/PSMB6/RPS27A/PSMC4/RPL36AL/PSMA2/RPLP2/PSMB4/RCHY1/RPL23A/RPL31/RPL3/PSMB7/RPL22L1/PSMB5/PSMD2/ELOB/RPL29/PSMA5/VCP/PSMC1/UBE2D2/PSMD14/RPL27/PSMD8/RPL35A/RPL10/PSMD11/PSMD13/PSMC5/PSMD7/ADRM1/UBA52/RPL7/PSMA1/RPL36A/PSMB1/UBB/PSMA3/RPLP1/RPL24/PSMC2/RPLP0/RPL8/RPL10A/RPL14/PSMD3/RPL35/PSMC6/RPL23/PSMD6/NPLOC4/PSMC3/RPL34/RPL11/RPL32/ELOC/RPL26/RPL21/RPL41/UBC/RPL18/RPL18A/RPL13A/RPL36/KLHDC10/RPL26L1/PSMD1/PSMD12",94,"PT","DKD_vs_Normal"
"R-HSA-72764","Eukaryotic Translation Termination","88/2662","94/11230",0.936170212765957,3.94935818533498,16.0052208787513,5.45451273896597e-48,5.22670661869151e-46,3.52939059580151e-46,"RPS4Y1/RPS2/RPL17/RPS26/RPS10/RPSA/RPL37A/RPL39/RPL5/RPL4/RPL6/RPL22/RPL9/RPS19/RPL38/RPL28/RPS29/RPS27/RPL37/RPL19/RPL30/RPL15/RPL12/RPL7A/RPS21/RPL13/RPL27A/RPS27A/RPL36AL/RPLP2/RPS3A/RPS25/RPL23A/RPL31/RPL3/RPS13/RPL22L1/RPS7/RPL29/FAU/RPL27/RPL35A/RPL10/RPS12/RPS6/UBA52/RPL7/RPS17/RPL36A/RPS4X/RPS28/RPS14/APEH/GSPT1/RPLP1/RPL24/RPLP0/RPS23/RPL8/RPL10A/RPL14/RPS16/RPL35/RPL23/RPS15/RPS18/RPS27L/RPL34/RPL11/RPS15A/RPS24/RPS20/ETF1/RPL32/RPL26/RPL21/RPL41/RPL18/RPL18A/RPL13A/RPS3/RPL36/RPS8/RPS11/RPS5/RPL26L1/RPS9/TRMT112",88,"PT","DKD_vs_Normal"
