"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","CellType","Condition"
"R-HSA-72766","Translation","325/4656","368/11230",0.883152173913043,2.13011145039594,18.5503651258994,5.79801610765619e-81,9.65369681924756e-78,5.21211132204041e-78,"RPS4Y1/EEF1G/MRPS24/MT-ND3/SEM1/RPL38/RPL37A/RPS10/MT-CYB/PSMA6/RPL13A/MT-ATP6/RPL35/EIF2S3/RPS28/MT-ND1/MRPL27/RPL37/MT-CO2/MRPL33/RPL17/UBC/MRPL38/MRPL12/ELOB/RPL36A/SSR2/MRPL18/RPS29/FAU/MRPL20/RPS26/RPL24/RPS2/RPS13/RPL31/RPL21/MT-ND4/RPS14/RPL18/MRPL19/MRPS18B/RPL32/MRPL2/MT-ND2/SEC61G/MRPL17/RPL7/RPL8/RPL39/RPL41/RPL22L1/RPL34/PSMC5/RPS24/UBB/RPLP2/YARS2/EEF1D/RPL36/RPL35A/RPLP1/SEC61B/MRPL57/ELOC/RPL22/MRPS18A/MRPL47/HBS1L/RPS3A/EIF4A1/PSMB5/MRPL41/RPS20/RPL29/PSMD12/RPS11/ETF1/RBX1/RPSA/MT-CO3/MRPL55/GADD45GIP1/RPL9/MRPS17/UFD1/RPL27/ADRM1/RPL28/SPCS2/MRPL34/MRPS12/IARS2/MRPL51/RPS25/RPS3/RPS18/RPL11/MRPL52/PSMD14/EIF4B/RPS15/PSMB4/RPL27A/SPCS3/FARSA/MT-ND5/PSMC6/LTN1/RPL19/RPN2/EEF1E1/MRPS26/RPL13/UBA52/MRPL37/SRP72/RPL10/RPL18A/EIF3K/MRPS31/MRPL16/TSFM/NEMF/MRPL36/RPL14/RPL39L/UBE2D2/RPS21/RPS5/TCF25/RPL23A/MT-CO1/PSMC3/PABPC1/PSMB1/MT-ATP8/EIF5/LARS2/MRPL54/MIEF1/EIF1AX/PSMA4/RPS27L/PSMB3/RPS27/MRPS23/MRPS11/SRP54/RPS23/EIF3F/MRPL40/PTCD3/PSMC4/MRPL39/PSMD11/MRPL42/EIF4G1/MRPS28/EEF1A1/RPS12/MT-ND4L/RPL26L1/PSMA2/MRPS18C/EIF3J/PSMD6/RPS9/PSMA7/DDOST/SRP9/MRPS21/MRPL11/RPL6/RPL30/FARSB/SRP19/MRPL23/RCHY1/PSMC1/MRPL22/MRPL48/SPCS1/TRAM1/TRMT112/GFM1/PSMD1/NDUFAB1/SSR3/MRPL15/RPL5/MTIF3/MRPL9/SRP14/EIF2S2/PSMD8/MRPL43/EIF2S1/RPS27A/MRPL35/MT-ND6/RPL15/PPA1/SRPRB/MRPL21/MRPS6/EEF1B2/MRPL4/RPL7A/RPS4X/RPL4/MRPL50/EIF3D/AURKAIP1/MRPS2/EIF5B/PSMB6/MRPS25/MTFMT/MRPL13/RPS7/OXA1L/PPA2/MRPS33/MRPS14/EIF2B5/EIF4A2/RPL23/PELO/MRPL49/PSMA3/RPL26/PSMA1/MRPL14/ASCC3/CUL2/RPL3/EIF4H/MRPL28/PSMA5/EIF3A/MRPS27/EEF2/CHCHD1/MRPS10/MRPL44/SRPRA/RPL12/TUFM/EIF4E/PSMC2/MRPS15/GSPT1/NPLOC4/MTRF1L/SEC11A/RPS6/MRPS9/MRPL1/RPS8/PSMB7/MRPL3/EIF3E/VCP/SEC11C/MRPL24/MRPL32/MRPL58/RPL36AL/PSMD2/MRPS34/EIF3L/ASCC2/PSMD13/EIF3G/PSMD3/UBE2D1/MRPS22/DAP3/EIF2B2/SRP68/RPN1/MRPL46/MRPS16/UBE2D3/RPS17/WARS2/NARS2/RPS19/RPL10A/RARS2/MRPS5/RPS16/MALSU1/MRPS30/GFM2/RPS15A/EIF3M/CARS2/EIF2B4/MRPL30/ERAL1/MRPS7/AIMP2/EIF3I/ABCE1/MRPL53/APEH/AIMP1/MRRF/SSR4/EIF2B1/EIF3H/EIF3B/MRPL10/RPLP0/SSR1/PSMB2/EIF2B3/FARS2/MRPS35/TRIP4/KLHDC10/SEC61A1/PSMD7",325,"dC_IC_A","DKD_vs_Normal"
"R-HSA-72203","Processing of Capped Intron-Containing Pre-mRNA","248/4656","294/11230",0.843537414965986,2.0345629660799,15.1273731319418,2.66216889956759e-53,2.21625560889002e-50,1.19657486327933e-50,"HSPA8/SNU13/DDX39B/POLR2L/UBC/RANBP2/SRSF5/XRN2/SNRPD2/IK/POLR2I/DDX5/SNRPG/PPP1CB/HNRNPH1/SARNP/SF1/UBL5/SRSF6/UBB/SNRPF/PPP1CA/SYMPK/FUS/MFAP1/SAP18/LSM8/HNRNPL/SRSF3/SRSF7/DDX42/RBM8A/SNRPB/SRSF2/LUC7L3/SF3B6/SYF2/BCAS2/U2AF1/NSRP1/PPWD1/HNRNPH2/NUP98/THOC1/SRSF11/POLR2E/UBA52/SF3B1/POLR2K/POLR2J/RBMX/HNRNPA2B1/CRNKL1/CCAR1/ALYREF/PUF60/HNRNPK/LSM6/WDR33/TRA2B/HNRNPD/SRRM1/PPIG/RBM22/AQR/TXNL4A/PPP1R10/SNRNP40/SF3B4/ACIN1/SLU7/NCBP2/SNRPB2/SF3B5/SNRPA1/PABPN1/SNRPC/MAGOHB/SRSF1/PLRG1/FYTTD1/SRSF8/DHX15/CWC15/SMU1/GTF2F1/PNN/THOC2/HNRNPM/LSM5/LSM4/SNRPE/PAPOLA/NXT1/SRRM2/THOC3/LENG1/GCFC2/DDX46/RPS27A/CSTF3/POLR2G/NUP88/RBM25/NUP37/CASC3/FAM50A/WTAP/DDX39A/U2AF1L4/CPSF6/RBM39/PPIL4/RNPC3/NKAP/PRPF31/RBM10/PRPF38A/SRSF4/C9orf78/SNRNP70/MTREX/HNRNPA1/NUP50/YJU2/LSM3/POLR2B/NUP160/POLR2F/NUDT21/SF3A1/ZC3H11A/HNRNPC/HNRNPU/DNAJC8/NUP153/HTATSF1/PRKRIP1/PCBP2/NUP35/CTNNBL1/POLDIP3/SNRPN/PRPF19/SF3B2/SRSF10/CPSF1/PQBP1/SDE2/BUD31/SRRT/METTL3/PRPF40A/CHTOP/ZMAT5/XAB2/RBM7/TPR/POLR2C/PCBP1/SNRNP27/NXF1/POLR2H/SNRPD1/CCDC12/FAM32A/EIF4E/LSM7/MAGOH/PHF5A/TCERG1/SMNDC1/PCF11/YBX1/PRPF8/U2SURP/PTBP1/PRPF6/RBMX2/GTF2F2/RBBP6/ZCRB1/CWF19L2/AAAS/SNRPA/PPIH/SNRPD3/NUP54/CPSF7/WBP4/CDC40/RBM5/SNRNP200/USP39/SART1/RAE1/WBP11/RNPS1/EIF4A3/SEC13/RBM42/POM121/GLE1/SLBP/SF3A2/PPP1R8/NUP214/SF3A3/DDX41/PRPF18/CHERP/SRSF9/HNRNPR/THOC7/PPIE/SNW1/CWC25/CDC5L/METTL14/SF3B3/RBM17/WDR70/NUP62/CWC22/FIP1L1/ZMAT2/POLR2A/CPSF2/SNRNP35/PDCD7/U2AF2/PAPOLG/PRCC/HNRNPF/DHX9/PPIL1/PPIL2/SEH1L/PPIL3/SNRNP25/THOC6/DDX23/NCBP1/CSTF1/LSM2/CWC27/HNRNPA3/NUP205",248,"dC_IC_A","DKD_vs_Normal"
"R-HSA-9948299","Ribosome-associated quality control","140/4656","145/11230",0.96551724137931,2.3287711814196,13.552784406546,3.176864627285e-47,1.76315986814318e-44,9.51944698842594e-45,"RPS4Y1/SEM1/RPL38/RPL37A/RPS10/PSMA6/RPL13A/RPL35/RPS28/RPL37/RPL17/UBC/ELOB/RPL36A/RPS29/FAU/RPS26/RPL24/RPS2/RPS13/RPL31/RPL21/RPS14/RPL18/RPL32/RPL7/RPL8/RPL39/RPL41/RPL22L1/RPL34/PSMC5/RPS24/UBB/RPLP2/RPL36/RPL35A/RPLP1/ELOC/RPL22/HBS1L/RPS3A/PSMB5/RPS20/RPL29/PSMD12/RPS11/RBX1/RPSA/RPL9/UFD1/RPL27/ADRM1/RPL28/RPS25/RPS3/RPS18/RPL11/PSMD14/RPS15/PSMB4/RPL27A/PSMC6/LTN1/RPL19/RPL13/UBA52/RPL10/RPL18A/NEMF/RPL14/RPL39L/UBE2D2/RPS21/RPS5/TCF25/RPL23A/PSMC3/PSMB1/PSMA4/RPS27L/PSMB3/RPS27/RPS23/PSMC4/PSMD11/RPS12/RPL26L1/PSMA2/PSMD6/RPS9/PSMA7/RPL6/RPL30/RCHY1/PSMC1/PSMD1/RPL5/PSMD8/RPS27A/RPL15/RPL7A/RPS4X/RPL4/PSMB6/RPS7/RPL23/PELO/PSMA3/RPL26/PSMA1/ASCC3/CUL2/RPL3/PSMA5/RPL12/PSMC2/NPLOC4/RPS6/RPS8/PSMB7/VCP/RPL36AL/PSMD2/ASCC2/PSMD13/PSMD3/UBE2D1/UBE2D3/RPS17/RPS19/RPL10A/RPS16/RPS15A/ABCE1/RPLP0/PSMB2/TRIP4/KLHDC10/PSMD7",140,"dC_IC_A","DKD_vs_Normal"
"R-HSA-72172","mRNA Splicing","188/4656","213/11230",0.882629107981221,2.1288498459255,13.9976935690902,8.34112341666176e-47,3.47199262218546e-44,1.87455773627083e-44,"HSPA8/SNU13/DDX39B/POLR2L/SRSF5/SNRPD2/IK/POLR2I/DDX5/SNRPG/HNRNPH1/SF1/UBL5/SRSF6/SNRPF/FUS/MFAP1/SAP18/LSM8/HNRNPL/SRSF3/SRSF7/DDX42/RBM8A/SNRPB/SRSF2/LUC7L3/SF3B6/SYF2/BCAS2/U2AF1/NSRP1/PPWD1/HNRNPH2/SRSF11/POLR2E/SF3B1/POLR2K/POLR2J/RBMX/HNRNPA2B1/CRNKL1/CCAR1/ALYREF/PUF60/HNRNPK/LSM6/TRA2B/HNRNPD/SRRM1/PPIG/RBM22/AQR/TXNL4A/SNRNP40/SF3B4/ACIN1/SLU7/NCBP2/SNRPB2/SF3B5/SNRPA1/SNRPC/MAGOHB/SRSF1/PLRG1/SRSF8/DHX15/CWC15/SMU1/GTF2F1/PNN/HNRNPM/LSM5/LSM4/SNRPE/SRRM2/LENG1/GCFC2/DDX46/POLR2G/RBM25/CASC3/FAM50A/U2AF1L4/RBM39/PPIL4/RNPC3/NKAP/PRPF31/RBM10/PRPF38A/SRSF4/C9orf78/SNRNP70/MTREX/HNRNPA1/YJU2/LSM3/POLR2B/POLR2F/SF3A1/HNRNPC/HNRNPU/DNAJC8/HTATSF1/PRKRIP1/PCBP2/CTNNBL1/SNRPN/PRPF19/SF3B2/SRSF10/PQBP1/SDE2/BUD31/SRRT/PRPF40A/ZMAT5/XAB2/RBM7/POLR2C/PCBP1/SNRNP27/POLR2H/SNRPD1/CCDC12/FAM32A/LSM7/MAGOH/PHF5A/TCERG1/SMNDC1/YBX1/PRPF8/U2SURP/PTBP1/PRPF6/RBMX2/GTF2F2/ZCRB1/CWF19L2/SNRPA/PPIH/SNRPD3/WBP4/CDC40/RBM5/SNRNP200/USP39/SART1/WBP11/RNPS1/EIF4A3/RBM42/SF3A2/PPP1R8/SF3A3/DDX41/PRPF18/CHERP/SRSF9/HNRNPR/PPIE/SNW1/CWC25/CDC5L/SF3B3/RBM17/WDR70/CWC22/ZMAT2/POLR2A/SNRNP35/PDCD7/U2AF2/PRCC/HNRNPF/DHX9/PPIL1/PPIL2/PPIL3/SNRNP25/DDX23/NCBP1/LSM2/CWC27/HNRNPA3",188,"dC_IC_A","DKD_vs_Normal"
"R-HSA-1428517","Aerobic respiration and respiratory electron transport","217/4656","258/11230",0.84108527131783,2.02864853885293,14.0668269210101,2.8917365006608e-46,9.62948254720047e-44,5.19903783487226e-44,"PDK4/ATP5ME/ATP5MF/NDUFA3/ATP5MG/ATP5PD/ATP5PF/COX7A1/COX8A/UQCR11/ATP5MC3/ATP5F1E/NDUFB1/ATP5PO/ATP5MC1/ATP5F1D/COX7B/MT-ND3/NDUFB8/COX17/NDUFAF8/COA3/COX6B1/ATP5F1B/SCO2/MT-CYB/MPC1/MT-ATP6/ATP5MC2/NDUFS6/ATP5F1A/NDUFAF4/NDUFB7/ATP5PB/COX5B/MT-ND1/ATP5F1C/MT-CO2/UQCRQ/UBC/UQCRB/UCP2/NDUFA5/NDUFS8/COX7C/MT-ND4/NDUFA1/GOT1/NDUFA6/NDUFB11/COX5A/COX16/COX6C/CYC1/LYRM4/NDUFAF1/MT-ND2/TMEM126A/NDUFC1/NDUFB6/NDUFC2/ISCA1/UBB/SDHD/DMAC1/HSPA9/GLO1/HIGD1A/NDUFA11/UQCR10/FAHD1/MT-CO3/NDUFA7/COX7A2L/LDHA/COX4I1/OGDH/COX6A1/NNT/NDUFV3/NDUFS2/COX7A2/PKM/PET100/NDUFB9/ME2/DMAC2/MT-ND5/NDUFA12/UQCRH/NDUFA8/LYRM7/UQCRFS1/UBA52/NDUFV1/D2HGDH/CS/ETFB/RMND5A/PNKD/IDH3G/NDUFS7/NDUFB2/UQCRC1/UQCC3/LDHB/MT-CO1/MPC2/MT-ATP8/GID8/IDH3A/ETFA/TACO1/VDAC1/FH/COX15/MDH1/NDUFB5/NDUFB10/IDH2/HAGH/NDUFB3/PDPR/SDHAF3/MKLN1/PDHB/NDUFS5/ISCU/NDUFA9/NDUFA13/DLD/RMND5B/BCS1L/SLC25A13/GOT2/MDH2/COA5/RAB5IF/NFS1/NDUFAB1/ACAT1/SDHAF2/RPS27A/COX20/MT-ND6/ARMC8/COX11/NDUFAF5/WDR26/NDUFAF3/LETM1/SDHAF1/SDHAF4/SLC25A11/ISCA2/CMC1/NDUFS4/OXA1L/SDHA/SDHC/PDHX/HIGD2A/SURF1/TIMMDC1/NDUFV2/RANBP9/COX14/FXN/ME3/SDHB/SCO1/SLC25A12/PDP1/GSTZ1/LYRM2/UQCC2/COQ10B/TMEM177/ACO2/COA1/UQCRC2/COX19/PDK2/ETFDH/SFXN4/PET117/SUCLG1/NDUFS1/NDUFAF7/NDUFB4/UQCC1/ACAD9/SUCLG2/NEK1/TMEM126B/TIMM21/NDUFAF6/TRAP1/NDUFA2/TTC19/SMIM20/TMEM223/DLAT/PDHA1/SUCLA2/NDUFS3/TMEM186/PYURF/COQ10A/MAEA/IDH3B/DLST/HSCB/FOXRED1/NDUFAF2/NDUFA10/HCCS",217,"dC_IC_A","DKD_vs_Normal"
"R-HSA-72163","mRNA Splicing - Major Pathway","182/4656","205/11230",0.88780487804878,2.14133350096388,13.8791341467589,3.47239486046333e-46,9.63589573778575e-44,5.20250036988717e-44,"HSPA8/SNU13/DDX39B/POLR2L/SRSF5/SNRPD2/IK/POLR2I/DDX5/SNRPG/HNRNPH1/SF1/UBL5/SRSF6/SNRPF/FUS/MFAP1/SAP18/LSM8/HNRNPL/SRSF3/SRSF7/DDX42/RBM8A/SNRPB/SRSF2/LUC7L3/SF3B6/SYF2/BCAS2/U2AF1/NSRP1/PPWD1/HNRNPH2/SRSF11/POLR2E/SF3B1/POLR2K/POLR2J/RBMX/HNRNPA2B1/CRNKL1/CCAR1/ALYREF/PUF60/HNRNPK/LSM6/TRA2B/HNRNPD/SRRM1/PPIG/RBM22/AQR/TXNL4A/SNRNP40/SF3B4/ACIN1/SLU7/NCBP2/SNRPB2/SF3B5/SNRPA1/SNRPC/MAGOHB/SRSF1/PLRG1/SRSF8/DHX15/CWC15/SMU1/GTF2F1/PNN/HNRNPM/LSM5/LSM4/SNRPE/SRRM2/LENG1/GCFC2/DDX46/POLR2G/RBM25/CASC3/FAM50A/U2AF1L4/RBM39/PPIL4/NKAP/PRPF31/RBM10/PRPF38A/SRSF4/C9orf78/SNRNP70/MTREX/HNRNPA1/YJU2/LSM3/POLR2B/POLR2F/SF3A1/HNRNPC/HNRNPU/DNAJC8/HTATSF1/PRKRIP1/PCBP2/CTNNBL1/SNRPN/PRPF19/SF3B2/SRSF10/PQBP1/SDE2/BUD31/SRRT/PRPF40A/XAB2/RBM7/POLR2C/PCBP1/SNRNP27/POLR2H/SNRPD1/CCDC12/FAM32A/LSM7/MAGOH/PHF5A/TCERG1/SMNDC1/YBX1/PRPF8/U2SURP/PTBP1/PRPF6/RBMX2/GTF2F2/CWF19L2/SNRPA/PPIH/SNRPD3/WBP4/CDC40/RBM5/SNRNP200/USP39/SART1/WBP11/RNPS1/EIF4A3/RBM42/SF3A2/PPP1R8/SF3A3/DDX41/PRPF18/CHERP/SRSF9/HNRNPR/PPIE/SNW1/CWC25/CDC5L/SF3B3/RBM17/WDR70/CWC22/ZMAT2/POLR2A/U2AF2/PRCC/HNRNPF/DHX9/PPIL1/PPIL2/PPIL3/DDX23/NCBP1/LSM2/CWC27/HNRNPA3",182,"dC_IC_A","DKD_vs_Normal"
"R-HSA-611105","Respiratory electron transport","144/4656","157/11230",0.917197452229299,2.21222667279533,12.8725085432963,9.42861498057198e-41,2.24266342037891e-38,1.21083266066293e-38,"NDUFA3/COX7A1/COX8A/UQCR11/NDUFB1/COX7B/MT-ND3/NDUFB8/COX17/NDUFAF8/COA3/COX6B1/SCO2/MT-CYB/NDUFS6/NDUFAF4/NDUFB7/COX5B/MT-ND1/MT-CO2/UQCRQ/UQCRB/NDUFA5/NDUFS8/COX7C/MT-ND4/NDUFA1/GOT1/NDUFA6/NDUFB11/COX5A/COX16/COX6C/CYC1/LYRM4/NDUFAF1/MT-ND2/TMEM126A/NDUFC1/NDUFB6/NDUFC2/SDHD/DMAC1/HSPA9/HIGD1A/NDUFA11/UQCR10/MT-CO3/NDUFA7/COX7A2L/COX4I1/COX6A1/NDUFV3/NDUFS2/COX7A2/PET100/NDUFB9/DMAC2/MT-ND5/NDUFA12/UQCRH/NDUFA8/LYRM7/UQCRFS1/NDUFV1/ETFB/PNKD/NDUFS7/NDUFB2/UQCRC1/UQCC3/MT-CO1/ETFA/TACO1/COX15/MDH1/NDUFB5/NDUFB10/NDUFB3/NDUFS5/ISCU/NDUFA9/NDUFA13/BCS1L/SLC25A13/GOT2/MDH2/COA5/RAB5IF/NFS1/NDUFAB1/COX20/MT-ND6/COX11/NDUFAF5/NDUFAF3/LETM1/SLC25A11/CMC1/NDUFS4/OXA1L/SDHA/SDHC/HIGD2A/SURF1/TIMMDC1/NDUFV2/COX14/FXN/SDHB/SCO1/SLC25A12/LYRM2/UQCC2/COQ10B/TMEM177/COA1/UQCRC2/COX19/ETFDH/SFXN4/PET117/NDUFS1/NDUFAF7/NDUFB4/UQCC1/ACAD9/TMEM126B/TIMM21/NDUFAF6/TRAP1/NDUFA2/TTC19/SMIM20/TMEM223/NDUFS3/TMEM186/PYURF/COQ10A/HSCB/FOXRED1/NDUFAF2/NDUFA10/HCCS",144,"dC_IC_A","DKD_vs_Normal"
"R-HSA-72187","mRNA 3'-end processing","139/4656","152/11230",0.914473684210526,2.20565710345451,12.5943889001977,5.41851283482614e-39,1.12772798374819e-36,6.08869731702832e-37,"DDX39B/POLR2L/UBC/SRSF5/XRN2/SNRPD2/POLR2I/DDX5/SNRPG/PPP1CB/HNRNPH1/SARNP/SRSF6/UBB/SNRPF/PPP1CA/SYMPK/FUS/HNRNPL/SRSF3/SRSF7/DDX42/RBM8A/SNRPB/SRSF2/SF3B6/U2AF1/HNRNPH2/THOC1/SRSF11/POLR2E/UBA52/SF3B1/POLR2K/POLR2J/RBMX/HNRNPA2B1/CCAR1/ALYREF/PUF60/HNRNPK/WDR33/TRA2B/HNRNPD/SRRM1/PPP1R10/SF3B4/SLU7/NCBP2/SNRPB2/SF3B5/SNRPA1/PABPN1/SNRPC/MAGOHB/SRSF1/FYTTD1/SRSF8/DHX15/GTF2F1/THOC2/HNRNPM/SNRPE/PAPOLA/SRRM2/THOC3/DDX46/RPS27A/CSTF3/POLR2G/RBM25/CASC3/DDX39A/U2AF1L4/CPSF6/RBM39/RBM10/SRSF4/SNRNP70/HNRNPA1/POLR2B/POLR2F/NUDT21/SF3A1/ZC3H11A/HNRNPC/HNRNPU/DNAJC8/HTATSF1/PCBP2/POLDIP3/SNRPN/SF3B2/SRSF10/CPSF1/SRRT/PRPF40A/CHTOP/POLR2C/PCBP1/POLR2H/SNRPD1/MAGOH/PHF5A/TCERG1/SMNDC1/PCF11/YBX1/U2SURP/PTBP1/GTF2F2/RBBP6/SNRPA/SNRPD3/CPSF7/CDC40/RBM5/RNPS1/EIF4A3/SF3A2/PPP1R8/SF3A3/CHERP/SRSF9/HNRNPR/THOC7/SF3B3/RBM17/FIP1L1/POLR2A/CPSF2/U2AF2/PAPOLG/HNRNPF/DHX9/THOC6/NCBP1/CSTF1/HNRNPA3",139,"dC_IC_A","DKD_vs_Normal"
"R-HSA-72613","Eukaryotic Translation Initiation","115/4656","120/11230",0.958333333333333,2.31144401489118,12.1547358717355,6.57869785398689e-38,1.09535319268882e-35,5.91390312347875e-36,"RPS4Y1/RPL38/RPL37A/RPS10/RPL13A/RPL35/EIF2S3/RPS28/RPL37/RPL17/RPL36A/RPS29/FAU/RPS26/RPL24/RPS2/RPS13/RPL31/RPL21/RPS14/RPL18/RPL32/RPL7/RPL8/RPL39/RPL41/RPL22L1/RPL34/RPS24/RPLP2/RPL36/RPL35A/RPLP1/RPL22/RPS3A/EIF4A1/RPS20/RPL29/RPS11/RPSA/RPL9/RPL27/RPL28/RPS25/RPS3/RPS18/RPL11/EIF4B/RPS15/RPL27A/RPL19/RPL13/UBA52/RPL10/RPL18A/EIF3K/RPL14/RPL39L/RPS21/RPS5/RPL23A/PABPC1/EIF5/EIF1AX/RPS27L/RPS27/RPS23/EIF3F/EIF4G1/RPS12/RPL26L1/EIF3J/RPS9/RPL6/RPL30/RPL5/EIF2S2/EIF2S1/RPS27A/RPL15/RPL7A/RPS4X/RPL4/EIF3D/EIF5B/RPS7/EIF2B5/EIF4A2/RPL23/RPL26/RPL3/EIF4H/EIF3A/RPL12/EIF4E/RPS6/RPS8/EIF3E/RPL36AL/EIF3L/EIF3G/EIF2B2/RPS17/RPS19/RPL10A/RPS16/RPS15A/EIF3M/EIF2B4/EIF3I/EIF2B1/EIF3H/EIF3B/RPLP0/EIF2B3",115,"dC_IC_A","DKD_vs_Normal"
"R-HSA-72737","Cap-dependent Translation Initiation","115/4656","120/11230",0.958333333333333,2.31144401489118,12.1547358717355,6.57869785398689e-38,1.09535319268882e-35,5.91390312347875e-36,"RPS4Y1/RPL38/RPL37A/RPS10/RPL13A/RPL35/EIF2S3/RPS28/RPL37/RPL17/RPL36A/RPS29/FAU/RPS26/RPL24/RPS2/RPS13/RPL31/RPL21/RPS14/RPL18/RPL32/RPL7/RPL8/RPL39/RPL41/RPL22L1/RPL34/RPS24/RPLP2/RPL36/RPL35A/RPLP1/RPL22/RPS3A/EIF4A1/RPS20/RPL29/RPS11/RPSA/RPL9/RPL27/RPL28/RPS25/RPS3/RPS18/RPL11/EIF4B/RPS15/RPL27A/RPL19/RPL13/UBA52/RPL10/RPL18A/EIF3K/RPL14/RPL39L/RPS21/RPS5/RPL23A/PABPC1/EIF5/EIF1AX/RPS27L/RPS27/RPS23/EIF3F/EIF4G1/RPS12/RPL26L1/EIF3J/RPS9/RPL6/RPL30/RPL5/EIF2S2/EIF2S1/RPS27A/RPL15/RPL7A/RPS4X/RPL4/EIF3D/EIF5B/RPS7/EIF2B5/EIF4A2/RPL23/RPL26/RPL3/EIF4H/EIF3A/RPL12/EIF4E/RPS6/RPS8/EIF3E/RPL36AL/EIF3L/EIF3G/EIF2B2/RPS17/RPS19/RPL10A/RPS16/RPS15A/EIF3M/EIF2B4/EIF3I/EIF2B1/EIF3H/EIF3B/RPLP0/EIF2B3",115,"dC_IC_A","DKD_vs_Normal"
"R-HSA-1799339","SRP-dependent cotranslational protein targeting to membrane","109/4656","113/11230",0.964601769911504,2.3265631177204,11.9271179542615,8.00611937417798e-37,1.11084906316719e-34,5.99756661890175e-35,"RPS4Y1/RPL38/RPL37A/RPS10/RPL13A/RPL35/RPS28/RPL37/RPL17/RPL36A/SSR2/RPS29/FAU/RPS26/RPL24/RPS2/RPS13/RPL31/RPL21/RPS14/RPL18/RPL32/SEC61G/RPL7/RPL8/RPL39/RPL41/RPL22L1/RPL34/RPS24/RPLP2/RPL36/RPL35A/RPLP1/SEC61B/RPL22/RPS3A/RPS20/RPL29/RPS11/RPSA/RPL9/RPL27/RPL28/SPCS2/RPS25/RPS3/RPS18/RPL11/RPS15/RPL27A/SPCS3/RPL19/RPN2/RPL13/UBA52/SRP72/RPL10/RPL18A/RPL14/RPL39L/RPS21/RPS5/RPL23A/RPS27L/RPS27/SRP54/RPS23/RPS12/RPL26L1/RPS9/DDOST/SRP9/RPL6/RPL30/SRP19/SPCS1/TRAM1/SSR3/RPL5/SRP14/RPS27A/RPL15/SRPRB/RPL7A/RPS4X/RPL4/RPS7/RPL23/RPL26/RPL3/SRPRA/RPL12/SEC11A/RPS6/RPS8/SEC11C/RPL36AL/SRP68/RPN1/RPS17/RPS19/RPL10A/RPS16/RPS15A/SSR4/RPLP0/SSR1/SEC61A1",109,"dC_IC_A","DKD_vs_Normal"
"R-HSA-72706","GTP hydrolysis and joining of the 60S ribosomal subunit","109/4656","113/11230",0.964601769911504,2.3265631177204,11.9271179542615,8.00611937417798e-37,1.11084906316719e-34,5.99756661890175e-35,"RPS4Y1/RPL38/RPL37A/RPS10/RPL13A/RPL35/EIF2S3/RPS28/RPL37/RPL17/RPL36A/RPS29/FAU/RPS26/RPL24/RPS2/RPS13/RPL31/RPL21/RPS14/RPL18/RPL32/RPL7/RPL8/RPL39/RPL41/RPL22L1/RPL34/RPS24/RPLP2/RPL36/RPL35A/RPLP1/RPL22/RPS3A/EIF4A1/RPS20/RPL29/RPS11/RPSA/RPL9/RPL27/RPL28/RPS25/RPS3/RPS18/RPL11/EIF4B/RPS15/RPL27A/RPL19/RPL13/UBA52/RPL10/RPL18A/EIF3K/RPL14/RPL39L/RPS21/RPS5/RPL23A/EIF5/EIF1AX/RPS27L/RPS27/RPS23/EIF3F/EIF4G1/RPS12/RPL26L1/EIF3J/RPS9/RPL6/RPL30/RPL5/EIF2S2/EIF2S1/RPS27A/RPL15/RPL7A/RPS4X/RPL4/EIF3D/EIF5B/RPS7/EIF4A2/RPL23/RPL26/RPL3/EIF4H/EIF3A/RPL12/EIF4E/RPS6/RPS8/EIF3E/RPL36AL/EIF3L/EIF3G/RPS17/RPS19/RPL10A/RPS16/RPS15A/EIF3M/EIF3I/EIF3H/EIF3B/RPLP0",109,"dC_IC_A","DKD_vs_Normal"
"R-HSA-156827","L13a-mediated translational silencing of Ceruloplasmin expression","108/4656","112/11230",0.964285714285714,2.32580081001473,11.8668685959605,1.88834023847522e-36,2.4185280746625e-34,1.30578345235453e-34,"RPS4Y1/RPL38/RPL37A/RPS10/RPL13A/RPL35/EIF2S3/RPS28/RPL37/RPL17/RPL36A/RPS29/FAU/RPS26/RPL24/RPS2/RPS13/RPL31/RPL21/RPS14/RPL18/RPL32/RPL7/RPL8/RPL39/RPL41/RPL22L1/RPL34/RPS24/RPLP2/RPL36/RPL35A/RPLP1/RPL22/RPS3A/EIF4A1/RPS20/RPL29/RPS11/RPSA/RPL9/RPL27/RPL28/RPS25/RPS3/RPS18/RPL11/EIF4B/RPS15/RPL27A/RPL19/RPL13/UBA52/RPL10/RPL18A/EIF3K/RPL14/RPL39L/RPS21/RPS5/RPL23A/PABPC1/EIF1AX/RPS27L/RPS27/RPS23/EIF3F/EIF4G1/RPS12/RPL26L1/EIF3J/RPS9/RPL6/RPL30/RPL5/EIF2S2/EIF2S1/RPS27A/RPL15/RPL7A/RPS4X/RPL4/EIF3D/RPS7/EIF4A2/RPL23/RPL26/RPL3/EIF4H/EIF3A/RPL12/EIF4E/RPS6/RPS8/EIF3E/RPL36AL/EIF3L/EIF3G/RPS17/RPS19/RPL10A/RPS16/RPS15A/EIF3M/EIF3I/EIF3H/EIF3B/RPLP0",108,"dC_IC_A","DKD_vs_Normal"
