"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","CellType","Condition"
"R-HSA-72766","Translation","273/3325","368/11230",0.741847826086957,2.50554919908467,19.0449304446704,4.28498048651513e-72,7.07450278323649e-69,3.79333535700971e-69,"EEF1G/RPL17/RPS17/MRPS24/MT-CYB/ELOB/UBC/PSMA6/RPS4Y1/MT-ND3/MT-CO2/PSMA2/SEM1/RPL35A/MT-ATP8/RPL37/RPL30/RPS27/RPL34/RPL36A/RPL38/RPL37A/RPS3A/RPL7A/RPL32/RPL9/RPS23/RPL13/RPL10/RPLP1/RPL24/MRPL57/RPS7/RPS13/FAU/RPS29/RPL15/RPS27A/MT-CO3/UBB/RPS18/RPL3/RPS3/RPL39/RPL6/RPL11/RPS8/RPL19/RPL27A/RPL27/MT-ND4L/RPL5/RPL29/RPS25/RPL22/MT-ND5/RPL14/RPL18/MT-ATP6/RPL41/RPL18A/MT-CO1/RPS26/RPL8/MT-ND1/RPS24/RPL35/PSMA7/PSMB1/RPS9/RPS14/EEF1A1/SRP14/ELOC/RPL21/RPL23A/RPS19/MRPL23/SEC61B/RPS15A/MT-ND2/RPS12/EIF2S3/RPL36AL/RPS15/RPS28/RPL36/MRPL14/MT-ND6/RPLP2/EIF2S1/EIF4A2/PSMA3/TRMT112/EIF4A1/RPS2/MRPL36/UBE2D2/EEF1B2/MRPL33/RPL10A/PSMD13/SSR3/TRAM1/RPS27L/MRPL34/EEF1D/SRPRA/RPL7/RPS4X/MRPS5/UFD1/EEF2/RPS16/EIF3L/RPS6/UBA52/CUL2/PSMC5/OXA1L/MRPS31/UBE2D3/PABPC1/EIF4B/RPL31/SEC61A1/RPS20/EIF4H/SSR2/RPL13A/EIF5/EIF3E/RPLP0/MRPL41/MRPS34/PSMD1/EIF3I/MRPS14/NDUFAB1/SRP19/MTRF1L/NPLOC4/MRPL11/RPL22L1/RPS10/EIF3K/MRPL18/RPN1/PSMB6/MRPL40/PSMB7/RPS11/RPL23/SEC61G/MRPL42/EIF2S2/EIF3D/RPL26L1/MRPL1/EIF3B/RARS2/PSMC6/MRPL17/RPL28/TUFM/RBX1/SSR1/SEC11A/MRPS16/PSMA4/EIF4E/HBS1L/MRPL51/MRPL12/RPSA/PSMA1/MRPL55/SEC11C/MRPL20/PPA1/SPCS3/PSMB5/PSMC2/MALSU1/MRPS7/ABCE1/ETF1/TCF25/EIF3F/SRP54/RPS5/MRPL47/MRPL9/RPS21/IARS2/PSMC4/PSMD11/RPL12/MRPL54/PSMD14/ASCC3/PSMD12/GADD45GIP1/VCP/MTIF3/MRPL27/MRPS18A/MRPL28/MRPL21/RPL26/PSMB2/UBE2D1/AIMP1/PELO/MRPL4/MRPL19/MRPS18B/PSMC1/MRPS21/MRPS26/MRPL43/ADRM1/EIF5B/MRPS12/PSMD3/MRPL2/MRPS33/MRPS23/MRPS28/KLHDC10/RPL4/GSPT1/PSMB4/DDOST/PSMD8/MRPS15/PSMB3/EIF3M/PSMD2/PSMA5/MT-ND4/MRPL32/LTN1/AURKAIP1/EIF3J/RPN2/EIF3G/PSMD7/MRPS11/PSMD6/MRPS18C/SPCS1/NEMF/GFM1/PSMC3/MRPL13/EIF2B5/PTCD3/SPCS2/SSR4/CHCHD1/EIF4G1/EIF1AX/EIF3H/DAP3/EIF3A/SRP72/MRPL52/MRPL16/MRPL22/MRPS10/MRPL50/SRP9",273,"EC_PTC","DKD_vs_Normal"
"R-HSA-9948299","Ribosome-associated quality control","136/3325","145/11230",0.937931034482759,3.16780917811771,17.0393346184339,5.26919023782008e-61,4.34971654132048e-58,2.33230999474036e-58,"RPL17/RPS17/ELOB/UBC/PSMA6/RPS4Y1/PSMA2/SEM1/RPL35A/RPL37/RPL30/RPS27/RPL34/RPL36A/RPL38/RPL37A/RPS3A/RPL7A/RPL32/RPL9/RPS23/RPL13/RPL10/RPLP1/RPL24/RPS7/RPS13/FAU/RPS29/RPL15/RPS27A/UBB/RPS18/RPL3/RPS3/RPL39/RPL6/RPL11/RPS8/RPL19/RPL27A/RPL27/RPL5/RPL29/RPS25/RPL22/RPL14/RPL18/RPL41/RPL18A/RPS26/RPL8/RPS24/RPL35/PSMA7/PSMB1/RPS9/RPS14/ELOC/RPL21/RPL23A/RPS19/RPS15A/RPS12/RPL36AL/RPS15/RPS28/RPL36/RPLP2/PSMA3/RPS2/UBE2D2/RPL10A/PSMD13/RPS27L/RPL7/RPS4X/UFD1/RPS16/RPS6/UBA52/CUL2/PSMC5/UBE2D3/RPL31/RPS20/RPL13A/RPLP0/PSMD1/NPLOC4/RPL22L1/RPS10/PSMB6/PSMB7/RPS11/RPL23/RPL26L1/PSMC6/RPL28/RBX1/PSMA4/HBS1L/RPSA/PSMA1/PSMB5/PSMC2/ABCE1/TCF25/RPS5/RPS21/PSMC4/PSMD11/RPL12/PSMD14/ASCC3/PSMD12/VCP/RPL26/PSMB2/UBE2D1/PELO/PSMC1/ADRM1/PSMD3/KLHDC10/RPL4/PSMB4/PSMD8/PSMB3/PSMD2/PSMA5/LTN1/PSMD7/PSMD6/NEMF/PSMC3",136,"EC_PTC","DKD_vs_Normal"
"R-HSA-72163","mRNA Splicing - Major Pathway","168/3325","205/11230",0.819512195121951,2.76785622593068,16.5672338481452,2.52095764770603e-55,1.38736702545422e-52,7.43903642709042e-53,"U2AF1/SF3B6/DDX39B/LSM8/DDX5/TRA2B/SRSF8/HSPA8/SRSF7/RBM8A/SNU13/SNRPN/HNRNPA2B1/RBM39/MTREX/SRSF9/FUS/NSRP1/SRSF2/RBM17/SRSF5/HNRNPK/SF1/SAP18/SRSF3/SNRNP70/SNW1/SNRPD1/PNN/SNRPB/RNPS1/CWC25/PHF5A/PPIL4/POLR2F/BUD31/HNRNPH1/HNRNPA1/SNRPD2/SNRPA1/HNRNPF/SRSF11/U2SURP/PCBP1/CWC22/MAGOH/LUC7L3/HNRNPR/HNRNPC/YBX1/SRSF4/CRNKL1/RBM42/NKAP/PRPF6/SNRPA/ZNF830/LSM6/RBM22/PUF60/UBL5/ACIN1/WDR70/POLR2G/AQR/PRPF38A/POLR2L/SNRPG/CWC15/SNRPE/POLR2A/PCBP2/SRRM2/CWF19L2/ALYREF/WBP11/POLR2K/PRPF8/PPIH/HNRNPM/POLR2H/RBM7/FAM32A/SF3B5/PTBP1/PRKRIP1/MFAP1/PLRG1/DHX15/SRRM1/PPIG/SMU1/POLR2B/HNRNPH2/PPWD1/POLR2I/FAM50A/HNRNPD/SNRPF/CTNNBL1/DDX46/BCAS2/LSM4/U2AF2/DDX42/HNRNPA3/RBM25/SRSF10/LENG1/EIF4A3/SDE2/LSM3/RBM5/CCDC12/DHX38/ZMAT2/WBP4/SYF2/GTF2F1/SF3B1/SRSF6/PRPF40A/PRPF31/SNRPD3/SART1/HTATSF1/POLR2J/SNRNP40/SNRPB2/XAB2/DDX23/C9orf78/PRPF3/PRPF18/SF3A3/NCBP2/LSM7/SLU7/LSM2/POLR2C/IK/DHX9/SNRNP27/TCERG1/CASC3/POLR2E/ISY1/TXNL4A/RBMX/SF3B2/SF3A2/HNRNPU/DNAJC8/HNRNPL/SRSF1/PQBP1/SNRPC/SF3A1/CDC5L/SF3B3/SF3B4/SNRNP200/PPIE/LSM5/CCAR1/SMNDC1/CHERP/CDC40",168,"EC_PTC","DKD_vs_Normal"
"R-HSA-72172","mRNA Splicing","172/3325","213/11230",0.807511737089202,2.72732535564263,16.5062228322368,8.00143280402406e-55,3.30259138986093e-52,1.77084341794322e-52,"U2AF1/SF3B6/DDX39B/LSM8/DDX5/TRA2B/SRSF8/HSPA8/SRSF7/RBM8A/SNU13/SNRPN/HNRNPA2B1/RBM39/MTREX/SRSF9/FUS/NSRP1/SRSF2/RBM17/SRSF5/HNRNPK/SF1/SAP18/SRSF3/SNRNP70/SNW1/SNRPD1/PNN/SNRPB/RNPS1/CWC25/PHF5A/PPIL4/POLR2F/BUD31/HNRNPH1/HNRNPA1/SNRPD2/SNRPA1/HNRNPF/SRSF11/U2SURP/PCBP1/CWC22/MAGOH/LUC7L3/HNRNPR/HNRNPC/YBX1/SRSF4/CRNKL1/RBM42/NKAP/PRPF6/SNRPA/ZNF830/LSM6/RBM22/PUF60/UBL5/ACIN1/WDR70/POLR2G/AQR/PRPF38A/POLR2L/SNRPG/CWC15/SNRPE/POLR2A/PCBP2/SRRM2/CWF19L2/ALYREF/WBP11/POLR2K/PRPF8/PPIH/HNRNPM/POLR2H/RBM7/FAM32A/SF3B5/PTBP1/PRKRIP1/MFAP1/PLRG1/PDCD7/DHX15/SRRM1/PPIG/SMU1/POLR2B/HNRNPH2/SNRNP35/PPWD1/POLR2I/FAM50A/HNRNPD/SNRPF/CTNNBL1/DDX46/BCAS2/LSM4/U2AF2/DDX42/HNRNPA3/ZCRB1/RBM25/SRSF10/LENG1/EIF4A3/SDE2/LSM3/RBM5/CCDC12/DHX38/ZMAT2/WBP4/SYF2/GTF2F1/SF3B1/SRSF6/PRPF40A/PRPF31/SNRPD3/SART1/HTATSF1/POLR2J/SNRNP40/SNRPB2/XAB2/DDX23/C9orf78/PRPF3/PRPF18/SF3A3/NCBP2/LSM7/SLU7/LSM2/POLR2C/IK/DHX9/SNRNP27/TCERG1/CASC3/POLR2E/ISY1/TXNL4A/RBMX/SF3B2/SF3A2/HNRNPU/DNAJC8/HNRNPL/SRSF1/PQBP1/SNRPC/SF3A1/CDC5L/SF3B3/SF3B4/RNPC3/SNRNP200/PPIE/LSM5/CCAR1/SMNDC1/CHERP/CDC40",172,"EC_PTC","DKD_vs_Normal"
"R-HSA-72706","GTP hydrolysis and joining of the 60S ribosomal subunit","108/3325","113/11230",0.955752212389381,3.22799920154368,15.4374611755395,6.13113289871913e-51,2.02450008315706e-48,1.08553321427848e-48,"RPL17/RPS17/RPS4Y1/RPL35A/RPL37/RPL30/RPS27/RPL34/RPL36A/RPL38/RPL37A/RPS3A/RPL7A/RPL32/RPL9/RPS23/RPL13/RPL10/RPLP1/RPL24/RPS7/RPS13/FAU/RPS29/RPL15/RPS27A/RPS18/RPL3/RPS3/RPL39/RPL6/RPL11/RPS8/RPL19/RPL27A/RPL27/RPL5/RPL29/RPS25/RPL22/RPL14/RPL18/RPL41/RPL18A/RPS26/RPL8/RPS24/RPL35/RPS9/RPS14/RPL21/RPL23A/RPS19/RPS15A/RPS12/EIF2S3/RPL36AL/RPS15/RPS28/RPL36/RPLP2/EIF2S1/EIF4A2/EIF4A1/RPS2/RPL10A/RPS27L/RPL7/RPS4X/RPS16/EIF3L/RPS6/UBA52/EIF4B/RPL31/RPS20/EIF4H/RPL13A/EIF5/EIF3E/RPLP0/EIF3I/RPL22L1/RPS10/EIF3K/RPS11/RPL23/EIF2S2/EIF3D/RPL26L1/EIF3B/RPL28/EIF4E/RPSA/EIF3F/RPS5/RPS21/RPL12/RPL26/EIF5B/RPL4/EIF3M/EIF3J/EIF3G/EIF4G1/EIF1AX/EIF3H/EIF3A",108,"EC_PTC","DKD_vs_Normal"
"R-HSA-72203","Processing of Capped Intron-Containing Pre-mRNA","210/3325","294/11230",0.714285714285714,2.4124597207304,15.9160727243018,8.36920028290865e-51,2.3029249445137e-48,1.23482411191687e-48,"U2AF1/UBC/SF3B6/DDX39B/LSM8/DDX5/TRA2B/PPP1R10/SRSF8/HSPA8/SRSF7/RBM8A/RPS27A/SNU13/UBB/SNRPN/SARNP/ZC3H11A/HNRNPA2B1/RBM39/MTREX/SRSF9/FUS/NSRP1/SRSF2/RBM17/SRSF5/HNRNPK/SF1/SAP18/SRSF3/SNRNP70/SNW1/SNRPD1/PNN/NUDT21/SNRPB/RNPS1/NUP62/CWC25/PHF5A/PPIL4/POLR2F/TPR/BUD31/PABPN1/HNRNPH1/HNRNPA1/UBA52/SNRPD2/SNRPA1/HNRNPF/RANBP2/SRSF11/U2SURP/THOC7/PCBP1/CWC22/MAGOH/LUC7L3/HNRNPR/HNRNPC/YBX1/SRSF4/CRNKL1/RBM42/NKAP/PRPF6/SNRPA/ZNF830/LSM6/RBM22/PUF60/UBL5/CPSF6/ACIN1/WDR70/POLR2G/CHTOP/AQR/PRPF38A/POLR2L/NXT1/SNRPG/CWC15/SNRPE/POLR2A/PCBP2/SRRM2/EIF4E/CWF19L2/ALYREF/WBP11/POLR2K/CPSF2/PRPF8/PPIH/PPP1CA/HNRNPM/POLR2H/WDR33/RBM7/FAM32A/SF3B5/PTBP1/PRKRIP1/NUP50/MFAP1/XRN2/PLRG1/PDCD7/WTAP/DHX15/NUP214/SRRM1/PPIG/SMU1/POLR2B/PAPOLA/HNRNPH2/SNRNP35/PPWD1/FIP1L1/POLR2I/FAM50A/HNRNPD/SNRPF/CTNNBL1/DDX46/BCAS2/LSM4/U2AF2/DDX42/PPP1CB/THOC2/HNRNPA3/ZCRB1/RBM25/SRSF10/LENG1/NUP160/EIF4A3/SDE2/LSM3/RBM5/CCDC12/DHX38/ZMAT2/WBP4/SYF2/GTF2F1/SF3B1/SRSF6/PRPF40A/PRPF31/SNRPD3/SART1/HTATSF1/POLR2J/SNRNP40/RBBP6/SNRPB2/XAB2/DDX23/C9orf78/PRPF3/PRPF18/SF3A3/NCBP2/LSM7/SLU7/LSM2/POLR2C/PCF11/IK/DHX9/SNRNP27/SEC13/TCERG1/CASC3/POLDIP3/POLR2E/ISY1/TXNL4A/RBMX/SF3B2/SF3A2/METTL14/HNRNPU/DNAJC8/HNRNPL/SRSF1/PQBP1/SNRPC/SF3A1/CDC5L/SF3B3/FYTTD1/SF3B4/NUP153/NUP54/RNPC3/SNRNP200/PPIE/LSM5/CCAR1/DDX39A/SMNDC1/CHERP/CDC40",210,"EC_PTC","DKD_vs_Normal"
"R-HSA-9010553","Regulation of expression of SLITs and ROBOs","137/3325","159/11230",0.861635220125786,2.91012436752258,15.7319374252318,1.6511496142184e-50,3.89435430439226e-48,2.08814560234237e-48,"RPL17/RPS17/ELOB/UBC/PSMA6/RPS4Y1/PSMA2/SEM1/RPL35A/RPL37/RPL30/RPS27/RPL34/RPL36A/RPL38/RPL37A/RPS3A/RPL7A/RPL32/RPL9/RPS23/RPL13/RPL10/RPLP1/RPL24/RPS7/RPS13/FAU/RPS29/RBM8A/RPL15/RPS27A/UBB/RPS18/RPL3/RPS3/RPL39/RPL6/RPL11/RPS8/RPL19/RPL27A/RPL27/RPL5/RPL29/RPS25/RPL22/RPL14/RPL18/RPL41/RPL18A/RPS26/RPL8/RPS24/RPL35/PSMA7/PSMB1/RPS9/RPS14/ELOC/RPL21/RPL23A/RPS19/RPS15A/RPS12/RPL36AL/RPS15/RPS28/RPL36/RPLP2/PSMA3/RPS2/RPL10A/PSMD13/RNPS1/RPS27L/RPL7/RPS4X/RPS16/RPS6/UBA52/CUL2/PSMC5/MAGOH/PABPC1/RPL31/RPS20/ZSWIM8/RPL13A/RPLP0/PSMD1/UPF3A/RPL22L1/RPS10/PSMB6/PSMB7/RPS11/RPL23/RPL26L1/PSMC6/RPL28/RBX1/PSMA4/RPSA/PSMA1/PSMB5/PSMC2/ETF1/USP33/RPS5/RPS21/PSMC4/PSMD11/RPL12/PSMD14/PSMD12/UPF2/RPL26/PSMB2/PSMC1/ADRM1/EIF4A3/PSMD3/RPL4/GSPT1/PSMB4/PSMD8/PSMB3/PSMD2/PSMA5/NCBP2/CASC3/PSMD7/PSMD6/PSMC3/DAG1/EIF4G1",137,"EC_PTC","DKD_vs_Normal"
"R-HSA-156827","L13a-mediated translational silencing of Ceruloplasmin expression","107/3325","112/11230",0.955357142857143,3.22666487647691,15.3591069200462,2.0249073866896e-50,4.17890261928066e-48,2.24071988448152e-48,"RPL17/RPS17/RPS4Y1/RPL35A/RPL37/RPL30/RPS27/RPL34/RPL36A/RPL38/RPL37A/RPS3A/RPL7A/RPL32/RPL9/RPS23/RPL13/RPL10/RPLP1/RPL24/RPS7/RPS13/FAU/RPS29/RPL15/RPS27A/RPS18/RPL3/RPS3/RPL39/RPL6/RPL11/RPS8/RPL19/RPL27A/RPL27/RPL5/RPL29/RPS25/RPL22/RPL14/RPL18/RPL41/RPL18A/RPS26/RPL8/RPS24/RPL35/RPS9/RPS14/RPL21/RPL23A/RPS19/RPS15A/RPS12/EIF2S3/RPL36AL/RPS15/RPS28/RPL36/RPLP2/EIF2S1/EIF4A2/EIF4A1/RPS2/RPL10A/RPS27L/RPL7/RPS4X/RPS16/EIF3L/RPS6/UBA52/PABPC1/EIF4B/RPL31/RPS20/EIF4H/RPL13A/EIF3E/RPLP0/EIF3I/RPL22L1/RPS10/EIF3K/RPS11/RPL23/EIF2S2/EIF3D/RPL26L1/EIF3B/RPL28/EIF4E/RPSA/EIF3F/RPS5/RPS21/RPL12/RPL26/RPL4/EIF3M/EIF3J/EIF3G/EIF4G1/EIF1AX/EIF3H/EIF3A",107,"EC_PTC","DKD_vs_Normal"
"R-HSA-1799339","SRP-dependent cotranslational protein targeting to membrane","106/3325","113/11230",0.938053097345133,3.16822143855213,15.0232703200386,1.02452397161202e-47,1.87943230792383e-45,1.00774814049791e-45,"RPL17/RPS17/RPS4Y1/RPL35A/RPL37/RPL30/RPS27/RPL34/RPL36A/RPL38/RPL37A/RPS3A/RPL7A/RPL32/RPL9/RPS23/RPL13/RPL10/RPLP1/RPL24/RPS7/RPS13/FAU/RPS29/RPL15/RPS27A/RPS18/RPL3/RPS3/RPL39/RPL6/RPL11/RPS8/RPL19/RPL27A/RPL27/RPL5/RPL29/RPS25/RPL22/RPL14/RPL18/RPL41/RPL18A/RPS26/RPL8/RPS24/RPL35/RPS9/RPS14/SRP14/RPL21/RPL23A/RPS19/SEC61B/RPS15A/RPS12/RPL36AL/RPS15/RPS28/RPL36/RPLP2/RPS2/RPL10A/SSR3/TRAM1/RPS27L/SRPRA/RPL7/RPS4X/RPS16/RPS6/UBA52/RPL31/SEC61A1/RPS20/SSR2/RPL13A/RPLP0/SRP19/RPL22L1/RPS10/RPN1/RPS11/RPL23/SEC61G/RPL26L1/RPL28/SSR1/SEC11A/RPSA/SEC11C/SPCS3/SRP54/RPS5/RPS21/RPL12/RPL26/RPL4/DDOST/RPN2/SPCS1/SPCS2/SSR4/SRP72/SRP9",106,"EC_PTC","DKD_vs_Normal"
"R-HSA-72613","Eukaryotic Translation Initiation","110/3325","120/11230",0.916666666666667,3.09598997493734,14.970566103495,7.83904919665056e-47,1.17657002033364e-44,6.30874676974461e-45,"RPL17/RPS17/RPS4Y1/RPL35A/RPL37/RPL30/RPS27/RPL34/RPL36A/RPL38/RPL37A/RPS3A/RPL7A/RPL32/RPL9/RPS23/RPL13/RPL10/RPLP1/RPL24/RPS7/RPS13/FAU/RPS29/RPL15/RPS27A/RPS18/RPL3/RPS3/RPL39/RPL6/RPL11/RPS8/RPL19/RPL27A/RPL27/RPL5/RPL29/RPS25/RPL22/RPL14/RPL18/RPL41/RPL18A/RPS26/RPL8/RPS24/RPL35/RPS9/RPS14/RPL21/RPL23A/RPS19/RPS15A/RPS12/EIF2S3/RPL36AL/RPS15/RPS28/RPL36/RPLP2/EIF2S1/EIF4A2/EIF4A1/RPS2/RPL10A/RPS27L/RPL7/RPS4X/RPS16/EIF3L/RPS6/UBA52/PABPC1/EIF4B/RPL31/RPS20/EIF4H/RPL13A/EIF5/EIF3E/RPLP0/EIF3I/RPL22L1/RPS10/EIF3K/RPS11/RPL23/EIF2S2/EIF3D/RPL26L1/EIF3B/RPL28/EIF4E/RPSA/EIF3F/RPS5/RPS21/RPL12/RPL26/EIF5B/RPL4/EIF3M/EIF3J/EIF3G/EIF2B5/EIF4G1/EIF1AX/EIF3H/EIF3A",110,"EC_PTC","DKD_vs_Normal"
"R-HSA-72737","Cap-dependent Translation Initiation","110/3325","120/11230",0.916666666666667,3.09598997493734,14.970566103495,7.83904919665056e-47,1.17657002033364e-44,6.30874676974461e-45,"RPL17/RPS17/RPS4Y1/RPL35A/RPL37/RPL30/RPS27/RPL34/RPL36A/RPL38/RPL37A/RPS3A/RPL7A/RPL32/RPL9/RPS23/RPL13/RPL10/RPLP1/RPL24/RPS7/RPS13/FAU/RPS29/RPL15/RPS27A/RPS18/RPL3/RPS3/RPL39/RPL6/RPL11/RPS8/RPL19/RPL27A/RPL27/RPL5/RPL29/RPS25/RPL22/RPL14/RPL18/RPL41/RPL18A/RPS26/RPL8/RPS24/RPL35/RPS9/RPS14/RPL21/RPL23A/RPS19/RPS15A/RPS12/EIF2S3/RPL36AL/RPS15/RPS28/RPL36/RPLP2/EIF2S1/EIF4A2/EIF4A1/RPS2/RPL10A/RPS27L/RPL7/RPS4X/RPS16/EIF3L/RPS6/UBA52/PABPC1/EIF4B/RPL31/RPS20/EIF4H/RPL13A/EIF5/EIF3E/RPLP0/EIF3I/RPL22L1/RPS10/EIF3K/RPS11/RPL23/EIF2S2/EIF3D/RPL26L1/EIF3B/RPL28/EIF4E/RPSA/EIF3F/RPS5/RPS21/RPL12/RPL26/EIF5B/RPL4/EIF3M/EIF3J/EIF3G/EIF2B5/EIF4G1/EIF1AX/EIF3H/EIF3A",110,"EC_PTC","DKD_vs_Normal"
"R-HSA-9954709","Ribosome Quality Control (RQC) complex extracts and degrades nascent peptide","98/3325","103/11230",0.951456310679612,3.21349003576903,14.6360056421174,9.19283006109253e-46,1.26478020257198e-43,6.78172814156036e-44,"RPL17/ELOB/UBC/PSMA6/PSMA2/SEM1/RPL35A/RPL37/RPL30/RPL34/RPL36A/RPL38/RPL37A/RPL7A/RPL32/RPL9/RPL13/RPL10/RPLP1/RPL24/RPL15/RPS27A/UBB/RPL3/RPL39/RPL6/RPL11/RPL19/RPL27A/RPL27/RPL5/RPL29/RPL22/RPL14/RPL18/RPL41/RPL18A/RPL8/RPL35/PSMA7/PSMB1/ELOC/RPL21/RPL23A/RPL36AL/RPL36/RPLP2/PSMA3/UBE2D2/RPL10A/PSMD13/RPL7/UFD1/UBA52/CUL2/PSMC5/RPL31/RPL13A/RPLP0/PSMD1/NPLOC4/RPL22L1/PSMB6/PSMB7/RPL23/RPL26L1/PSMC6/RPL28/RBX1/PSMA4/PSMA1/PSMB5/PSMC2/TCF25/PSMC4/PSMD11/RPL12/PSMD14/PSMD12/VCP/RPL26/PSMB2/UBE2D1/PSMC1/ADRM1/PSMD3/KLHDC10/RPL4/PSMB4/PSMD8/PSMB3/PSMD2/PSMA5/LTN1/PSMD7/PSMD6/NEMF/PSMC3",98,"EC_PTC","DKD_vs_Normal"
"R-HSA-72689","Formation of a pool of free 40S subunits","97/3325","102/11230",0.950980392156863,3.21188264779596,14.5535531938824,3.01590054942004e-45,3.83019369776346e-43,2.05374280328928e-43,"RPL17/RPS17/RPS4Y1/RPL35A/RPL37/RPL30/RPS27/RPL34/RPL36A/RPL38/RPL37A/RPS3A/RPL7A/RPL32/RPL9/RPS23/RPL13/RPL10/RPLP1/RPL24/RPS7/RPS13/FAU/RPS29/RPL15/RPS27A/RPS18/RPL3/RPS3/RPL39/RPL6/RPL11/RPS8/RPL19/RPL27A/RPL27/RPL5/RPL29/RPS25/RPL22/RPL14/RPL18/RPL41/RPL18A/RPS26/RPL8/RPS24/RPL35/RPS9/RPS14/RPL21/RPL23A/RPS19/RPS15A/RPS12/RPL36AL/RPS15/RPS28/RPL36/RPLP2/RPS2/RPL10A/RPS27L/RPL7/RPS4X/RPS16/EIF3L/RPS6/UBA52/RPL31/RPS20/RPL13A/EIF3E/RPLP0/EIF3I/RPL22L1/RPS10/EIF3K/RPS11/RPL23/EIF3D/RPL26L1/EIF3B/RPL28/RPSA/EIF3F/RPS5/RPS21/RPL12/RPL26/RPL4/EIF3M/EIF3J/EIF3G/EIF1AX/EIF3H/EIF3A",97,"EC_PTC","DKD_vs_Normal"
"R-HSA-376176","Signaling by ROBO receptors","157/3325","205/11230",0.765853658536585,2.58662754447093,14.8688729171515,1.40170910956056e-44,1.65301552848892e-42,8.86343880556714e-43,"RPL17/RPS17/ELOB/UBC/PSMA6/RPS4Y1/PSMA2/SEM1/RPL35A/RPL37/RPL30/RPS27/RPL34/RPL36A/RPL38/RPL37A/RPS3A/RPL7A/RPL32/RPL9/RPS23/RPL13/RPL10/RPLP1/RPL24/RPS7/RPS13/FAU/RPS29/RBM8A/RPL15/RPS27A/UBB/RPS18/RPL3/RPS3/RPL39/RPL6/RPL11/RPS8/RPL19/RPL27A/RPL27/RPL5/RPL29/RPS25/RPL22/RPL14/RPL18/RPL41/RPL18A/RPS26/RPL8/RPS24/RPL35/PSMA7/PSMB1/RPS9/CXCL12/RPS14/ELOC/RPL21/RPL23A/RPS19/PAK4/RPS15A/RPS12/RPL36AL/RPS15/RPS28/RPL36/RPLP2/PSMA3/RPS2/RPL10A/PSMD13/RNPS1/RAC1/RPS27L/RPL7/RPS4X/RPS16/RPS6/UBA52/ENAH/CUL2/PSMC5/MAGOH/PABPC1/SRGAP2/RPL31/PFN1/RPS20/ZSWIM8/RHOA/RPL13A/RPLP0/PSMD1/PRKAR2A/UPF3A/RPL22L1/RPS10/PSMB6/PSMB7/RPS11/RPL23/RPL26L1/PSMC6/RPL28/RBX1/SOS1/PSMA4/RPSA/PSMA1/PSMB5/PSMC2/ETF1/CDC42/USP33/RPS5/RPS21/PSMC4/PSMD11/RPL12/PSMD14/PSMD12/UPF2/SOS2/RPL26/PSMB2/PSMC1/NRP1/NCK1/ADRM1/EIF4A3/PSMD3/CAP1/RPL4/GSPT1/PSMB4/PRKACA/PSMD8/PSMB3/PSMD2/PPP3CB/PSMA5/NCBP2/PAK2/CASC3/VASP/PSMD7/PSMD6/PSMC3/DAG1/EIF4G1/CLASP1/CLASP2",157,"EC_PTC","DKD_vs_Normal"
"R-HSA-927802","Nonsense-Mediated Decay (NMD)","104/3325","116/11230",0.896551724137931,3.02805289084781,14.2392955410931,4.01303371231791e-42,4.14094916189805e-40,2.22036931056537e-40,"RPL17/RPS17/RPS4Y1/RPL35A/RPL37/RPL30/RPS27/RPL34/RPL36A/RPL38/RPL37A/RPS3A/RPL7A/RPL32/RPL9/RPS23/RPL13/RPL10/RPLP1/RPL24/RPS7/RPS13/FAU/RPS29/RBM8A/RPL15/RPS27A/RPS18/RPL3/RPS3/RPL39/RPL6/RPL11/RPS8/RPL19/RPL27A/RPL27/RPL5/RPL29/RPS25/RPL22/RPL14/RPL18/RPL41/RPL18A/RPS26/RPL8/PNRC2/RPS24/RPL35/RPS9/RPS14/RPL21/RPL23A/RPS19/RPS15A/RPS12/RPL36AL/RPS15/RPS28/RPL36/RPLP2/RPS2/RPL10A/RNPS1/RPS27L/RPL7/RPS4X/RPS16/RPS6/UBA52/MAGOH/PABPC1/RPL31/RPS20/RPL13A/RPLP0/UPF3A/RPL22L1/RPS10/RPS11/RPL23/RPL26L1/RPL28/RPSA/ETF1/RPS5/SMG1/RPS21/RPL12/UPF2/RPL26/EIF4A3/RPL4/GSPT1/UPF1/NCBP2/PPP2R2A/DCP1A/CASC3/PPP2R1A/SMG7/PPP2CA/EIF4G1",104,"EC_PTC","DKD_vs_Normal"
