"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","CellType","Condition"
"R-HSA-72766","Translation","287/3352","368/11230",0.779891304347826,2.61282200114143,20.5196527468555,6.32798444809466e-84,1.05297661216295e-80,5.7351522208521e-81,"MT-CYB/UBC/EEF1G/MT-ATP6/RPS2/MRPS24/MT-CO3/RPL17/MT-CO2/RPS16/ELOB/MRPL57/EIF4A1/RPL10/RPL37A/RPL13/RPSA/MRPS6/PSMA6/RPS14/RPL7A/RPS3/MT-ND1/SEM1/RPL9/MT-CO1/RPL27A/EIF5/ELOC/RPL6/RPL3/MRPL33/RPL15/MRPS21/RPS23/RPL12/RPL10A/SEC61G/EEF1A1/MT-ND2/RPL4/PABPC1/RPL32/EEF1D/RPL35A/RPS8/RPL11/RPS17/RPL14/RPS11/RPL19/RPS24/RPL5/RPS5/RPL36A/RPL24/RPL8/MT-ATP8/RPL38/RPS12/RBX1/RPL31/RPL7/RPL23A/MT-ND3/MRPL42/MRPS14/RPL41/RPS9/APEH/PSMB5/RPL30/RPS25/RPLP1/EIF3E/PSMA4/RPL27/RPS4X/RPL29/EIF4A2/RPL36AL/RPS27/RPS29/MRPL12/RPL18A/PPA2/RPL37/RPL18/MRPS34/UBA52/EIF4B/EIF4G1/UFD1/RPL22/RPLP2/RPS18/RPS6/PSMC5/EIF3L/RPS13/RPS3A/VCP/EEF1B2/UBB/MRPL21/MRPL18/EIF3H/EIF3I/MRPL19/RPL13A/PSMB6/DDOST/CUL2/MRPS9/MT-ND4/PSMD12/RPLP0/RPS15/SEC61B/RPS10/PSMA2/MRPL41/EIF3K/AURKAIP1/SRP9/MT-ND6/RPL34/SSR4/HBS1L/RPS19/RPS7/RPS4Y1/TRAM1/RPN2/SSR1/SEC11A/ABCE1/RPS26/TRMT112/SSR3/RPS27A/RPL26/RPL28/PSMA5/EIF4H/EIF3M/RPS15A/PSMD8/MRPL35/MRPL4/EIF1AX/RPL35/SEC11C/PELO/EIF2B1/RPL22L1/UBE2D2/MRPL51/MTIF3/ADRM1/PSMA7/SRP72/MRPS18B/EEF2/ETF1/PSMB4/NDUFAB1/RPS27L/MRPL50/RPN1/UBE2D3/EIF4EBP1/PSMD7/EIF3F/RPL36/EIF5B/MRPS15/MRPS16/CHCHD1/SRP19/MRPL54/RPL21/PSMB1/TUFM/PSMD11/AIMP1/PSMC2/RCHY1/MRPL52/MRPS22/PPA1/TCF25/RPS20/SSR2/EIF4E/OXA1L/PSMA3/MRPL32/SPCS1/MT-ND5/MRPL13/FAU/NEMF/EIF2S2/MRPL14/RPL23/MRPL40/SRP68/MRPL27/EEF1E1/MRPL34/PSMD13/UBE2D1/MRPL3/PSMC3/RARS2/EIF3D/SRP14/GFM1/SRP54/EIF2B2/GADD45GIP1/MT-ND4L/RPL39/MRPL17/PSMD14/MRPL22/PSMC6/PSMD1/PSMC4/EIF2S1/EIF3B/MRPL36/PSMD3/PSMD6/MRPL47/MRPL2/EIF2S3/MRPL20/RPS21/PSMC1/MRPL24/PTCD3/PSMB2/MRPS18C/SEC61A1/MRPL16/MRPS18A/MRPS26/MALSU1/MRPS7/EIF3A/PSMB7/LTN1/MRPL1/MRPL43/MRPS25/ASCC3/MRPL28/MRPS5/RPL26L1/MRPS35/SPCS3/TSFM/SRPRA/EIF3G/MRPS12/PSMA1/EIF2B3/MRPS10/PSMB3/MRPS28/PSMD2/SPCS2/RPS28/MRPS23/MRPL11/MRPS31/EIF3J/MRPL55/MRPS33/MRPL23/MRPL9/GSPT1/MRPL15/IARS2/MRPL10",287,"VSMC_P","DKD_vs_Normal"
"R-HSA-9948299","Ribosome-associated quality control","135/3352","145/11230",0.931034482758621,3.11918772117521,16.7532912646534,5.24266448591121e-59,4.36189685227812e-56,2.37575480124713e-56,"UBC/RPS2/RPL17/RPS16/ELOB/RPL10/RPL37A/RPL13/RPSA/PSMA6/RPS14/RPL7A/RPS3/SEM1/RPL9/RPL27A/ELOC/RPL6/RPL3/RPL15/RPS23/RPL12/RPL10A/RPL4/RPL32/RPL35A/RPS8/RPL11/RPS17/RPL14/RPS11/RPL19/RPS24/RPL5/RPS5/RPL36A/RPL24/RPL8/RPL38/RPS12/RBX1/RPL31/RPL7/RPL23A/RPL41/RPS9/PSMB5/RPL30/RPS25/RPLP1/PSMA4/RPL27/RPS4X/RPL29/RPL36AL/RPS27/RPS29/RPL18A/RPL37/RPL18/UBA52/UFD1/RPL22/RPLP2/RPS18/RPS6/PSMC5/RPS13/RPS3A/VCP/UBB/RPL13A/PSMB6/CUL2/PSMD12/RPLP0/RPS15/RPS10/PSMA2/RPL34/HBS1L/RPS19/RPS7/RPS4Y1/ABCE1/RPS26/RPS27A/RPL26/RPL28/PSMA5/RPS15A/PSMD8/RPL35/PELO/RPL22L1/UBE2D2/ADRM1/PSMA7/PSMB4/RPS27L/UBE2D3/PSMD7/RPL36/RPL21/PSMB1/PSMD11/PSMC2/RCHY1/TCF25/RPS20/PSMA3/FAU/NEMF/RPL23/PSMD13/UBE2D1/PSMC3/RPL39/PSMD14/PSMC6/PSMD1/PSMC4/PSMD3/PSMD6/RPS21/PSMC1/PSMB2/PSMB7/LTN1/ASCC3/RPL26L1/PSMA1/PSMB3/PSMD2/RPS28",135,"VSMC_P","DKD_vs_Normal"
"R-HSA-9010553","Regulation of expression of SLITs and ROBOs","138/3352","159/11230",0.867924528301887,2.90775431170352,15.8030945395039,3.08715523537847e-51,1.71234210388992e-48,9.32645844793284e-49,"UBC/RPS2/RPL17/RPS16/ELOB/RPL10/RPL37A/RPL13/RPSA/PSMA6/RPS14/RPL7A/RPS3/SEM1/RPL9/RPL27A/ELOC/RPL6/RPL3/RPL15/RPS23/RPL12/RPL10A/RPL4/PABPC1/RPL32/RPL35A/RPS8/RPL11/RPS17/RPL14/RPS11/RPL19/RPS24/RPL5/RPS5/UPF3A/RPL36A/RPL24/RPL8/RPL38/RPS12/RBX1/RPL31/CASC3/RPL7/RBM8A/RPL23A/RPL41/RPS9/PSMB5/MAGOH/RPL30/RPS25/RPLP1/PSMA4/RPL27/RPS4X/RPL29/RPL36AL/RPS27/RPS29/RPL18A/RPL37/RPL18/UBA52/USP33/EIF4G1/RPL22/RPLP2/RPS18/RPS6/PSMC5/RPS13/RPS3A/UBB/RPL13A/PSMB6/CUL2/PSMD12/RPLP0/RPS15/RPS10/PSMA2/RNPS1/RPL34/RPS19/RPS7/RPS4Y1/RPS26/RPS27A/RPL26/RPL28/PSMA5/RPS15A/PSMD8/RPL35/RPL22L1/COL4A5/ADRM1/PSMA7/ETF1/PSMB4/RPS27L/PSMD7/RPL36/DAG1/RPL21/PSMB1/PSMD11/PSMC2/RPS20/UPF3B/PSMA3/FAU/EIF4A3/RPL23/PSMD13/PSMC3/UPF2/RPL39/PSMD14/PSMC6/PSMD1/NCBP2/PSMC4/PSMD3/PSMD6/RPS21/PSMC1/PSMB2/PSMB7/RPL26L1/PSMA1/PSMB3/PSMD2/RPS28/GSPT1",138,"VSMC_P","DKD_vs_Normal"
"R-HSA-72613","Eukaryotic Translation Initiation","113/3352","120/11230",0.941666666666667,3.15480807478122,15.4794934778833,6.62121058733783e-51,2.20353888346603e-48,1.20018154014692e-48,"RPS2/RPL17/RPS16/EIF4A1/RPL10/RPL37A/RPL13/RPSA/RPS14/RPL7A/RPS3/RPL9/RPL27A/EIF5/RPL6/RPL3/RPL15/RPS23/RPL12/RPL10A/RPL4/PABPC1/RPL32/RPL35A/RPS8/RPL11/RPS17/RPL14/RPS11/RPL19/RPS24/RPL5/RPS5/RPL36A/RPL24/RPL8/RPL38/RPS12/RPL31/RPL7/RPL23A/RPL41/RPS9/RPL30/RPS25/RPLP1/EIF3E/RPL27/RPS4X/RPL29/EIF4A2/RPL36AL/RPS27/RPS29/RPL18A/RPL37/RPL18/UBA52/EIF4B/EIF4G1/RPL22/RPLP2/RPS18/RPS6/EIF3L/RPS13/RPS3A/EIF3H/EIF3I/RPL13A/RPLP0/RPS15/RPS10/EIF3K/RPL34/RPS19/RPS7/RPS4Y1/RPS26/RPS27A/RPL26/RPL28/EIF4H/EIF3M/RPS15A/EIF1AX/RPL35/EIF2B1/RPL22L1/RPS27L/EIF4EBP1/EIF3F/RPL36/EIF5B/RPL21/RPS20/EIF4E/FAU/EIF2S2/RPL23/EIF3D/EIF2B2/RPL39/EIF2S1/EIF3B/EIF2S3/RPS21/EIF3A/RPL26L1/EIF3G/EIF2B3/RPS28/EIF3J",113,"VSMC_P","DKD_vs_Normal"
"R-HSA-72737","Cap-dependent Translation Initiation","113/3352","120/11230",0.941666666666667,3.15480807478122,15.4794934778833,6.62121058733783e-51,2.20353888346603e-48,1.20018154014692e-48,"RPS2/RPL17/RPS16/EIF4A1/RPL10/RPL37A/RPL13/RPSA/RPS14/RPL7A/RPS3/RPL9/RPL27A/EIF5/RPL6/RPL3/RPL15/RPS23/RPL12/RPL10A/RPL4/PABPC1/RPL32/RPL35A/RPS8/RPL11/RPS17/RPL14/RPS11/RPL19/RPS24/RPL5/RPS5/RPL36A/RPL24/RPL8/RPL38/RPS12/RPL31/RPL7/RPL23A/RPL41/RPS9/RPL30/RPS25/RPLP1/EIF3E/RPL27/RPS4X/RPL29/EIF4A2/RPL36AL/RPS27/RPS29/RPL18A/RPL37/RPL18/UBA52/EIF4B/EIF4G1/RPL22/RPLP2/RPS18/RPS6/EIF3L/RPS13/RPS3A/EIF3H/EIF3I/RPL13A/RPLP0/RPS15/RPS10/EIF3K/RPL34/RPS19/RPS7/RPS4Y1/RPS26/RPS27A/RPL26/RPL28/EIF4H/EIF3M/RPS15A/EIF1AX/RPL35/EIF2B1/RPL22L1/RPS27L/EIF4EBP1/EIF3F/RPL36/EIF5B/RPL21/RPS20/EIF4E/FAU/EIF2S2/RPL23/EIF3D/EIF2B2/RPL39/EIF2S1/EIF3B/EIF2S3/RPS21/EIF3A/RPL26L1/EIF3G/EIF2B3/RPS28/EIF3J",113,"VSMC_P","DKD_vs_Normal"
"R-HSA-376176","Signaling by ROBO receptors","164/3352","205/11230",0.8,2.68019093078759,15.8365590796663,1.05182907241622e-50,2.91707262750097e-48,1.58881549359712e-48,"UBC/RPS2/RPL17/CDC42/RPS16/ELOB/RPL10/RPL37A/RPL13/RPSA/PSMA6/RPS14/RPL7A/RPS3/SEM1/RPL9/RPL27A/ELOC/RPL6/RPL3/RPL15/RPS23/RPL12/RPL10A/RPL4/PABPC1/RPL32/RPL35A/RPS8/RPL11/RPS17/RPL14/ABL2/RPS11/RPL19/RPS24/RPL5/RPS5/UPF3A/SLIT3/PRKACB/RPL36A/RPL24/RPL8/RPL38/RPS12/RBX1/RPL31/CASC3/RPL7/RBM8A/NRP1/RPL23A/CLASP2/RPL41/RPS9/PSMB5/MAGOH/RPL30/RPS25/RPLP1/PSMA4/RPL27/RPS4X/RPL29/RPL36AL/RPS27/CXCL12/RPS29/RPL18A/RPL37/RPL18/UBA52/USP33/EIF4G1/ENAH/RPL22/RPLP2/RPS18/RPS6/PSMC5/RPS13/RPS3A/UBB/RPL13A/PSMB6/PFN1/CUL2/PSMD12/RPLP0/RPS15/RPS10/PFN2/PSMA2/RAC1/RNPS1/RPL34/RPS19/RPS7/RPS4Y1/RPS26/RPS27A/RPL26/RPL28/PSMA5/RPS15A/PSMD8/RPL35/PRKACA/RPL22L1/COL4A5/ADRM1/PSMA7/ETF1/PSMB4/RPS27L/RHOA/PSMD7/RPL36/DAG1/RPL21/PSMB1/CAP1/PSMD11/PSMC2/ABL1/PPP3CB/RPS20/UPF3B/PSMA3/NCK2/FAU/EIF4A3/RPL23/PSMD13/PSMC3/PAK2/UPF2/NCK1/VASP/RPL39/PSMD14/PSMC6/PSMD1/NCBP2/PSMC4/PSMD3/PSMD6/EVL/PRKCA/RPS21/PSMC1/SOS1/PSMB2/SOS2/PSMB7/CAP2/RPL26L1/PSMA1/PSMB3/PSMD2/RPS28/PRKAR2A/GSPT1",164,"VSMC_P","DKD_vs_Normal"
"R-HSA-72706","GTP hydrolysis and joining of the 60S ribosomal subunit","108/3352","113/11230",0.955752212389381,3.20199801465774,15.3453535786672,1.46471846596057e-50,3.48184503908342e-48,1.89642496119106e-48,"RPS2/RPL17/RPS16/EIF4A1/RPL10/RPL37A/RPL13/RPSA/RPS14/RPL7A/RPS3/RPL9/RPL27A/EIF5/RPL6/RPL3/RPL15/RPS23/RPL12/RPL10A/RPL4/RPL32/RPL35A/RPS8/RPL11/RPS17/RPL14/RPS11/RPL19/RPS24/RPL5/RPS5/RPL36A/RPL24/RPL8/RPL38/RPS12/RPL31/RPL7/RPL23A/RPL41/RPS9/RPL30/RPS25/RPLP1/EIF3E/RPL27/RPS4X/RPL29/EIF4A2/RPL36AL/RPS27/RPS29/RPL18A/RPL37/RPL18/UBA52/EIF4B/EIF4G1/RPL22/RPLP2/RPS18/RPS6/EIF3L/RPS13/RPS3A/EIF3H/EIF3I/RPL13A/RPLP0/RPS15/RPS10/EIF3K/RPL34/RPS19/RPS7/RPS4Y1/RPS26/RPS27A/RPL26/RPL28/EIF4H/EIF3M/RPS15A/EIF1AX/RPL35/RPL22L1/RPS27L/EIF3F/RPL36/EIF5B/RPL21/RPS20/EIF4E/FAU/EIF2S2/RPL23/EIF3D/RPL39/EIF2S1/EIF3B/EIF2S3/RPS21/EIF3A/RPL26L1/EIF3G/RPS28/EIF3J",108,"VSMC_P","DKD_vs_Normal"
"R-HSA-156827","L13a-mediated translational silencing of Ceruloplasmin expression","107/3352","112/11230",0.955357142857143,3.20067443743607,15.267433356776,4.79723339982359e-50,9.97824547163307e-48,5.4347604700633e-48,"RPS2/RPL17/RPS16/EIF4A1/RPL10/RPL37A/RPL13/RPSA/RPS14/RPL7A/RPS3/RPL9/RPL27A/RPL6/RPL3/RPL15/RPS23/RPL12/RPL10A/RPL4/PABPC1/RPL32/RPL35A/RPS8/RPL11/RPS17/RPL14/RPS11/RPL19/RPS24/RPL5/RPS5/RPL36A/RPL24/RPL8/RPL38/RPS12/RPL31/RPL7/RPL23A/RPL41/RPS9/RPL30/RPS25/RPLP1/EIF3E/RPL27/RPS4X/RPL29/EIF4A2/RPL36AL/RPS27/RPS29/RPL18A/RPL37/RPL18/UBA52/EIF4B/EIF4G1/RPL22/RPLP2/RPS18/RPS6/EIF3L/RPS13/RPS3A/EIF3H/EIF3I/RPL13A/RPLP0/RPS15/RPS10/EIF3K/RPL34/RPS19/RPS7/RPS4Y1/RPS26/RPS27A/RPL26/RPL28/EIF4H/EIF3M/RPS15A/EIF1AX/RPL35/RPL22L1/RPS27L/EIF3F/RPL36/RPL21/RPS20/EIF4E/FAU/EIF2S2/RPL23/EIF3D/RPL39/EIF2S1/EIF3B/EIF2S3/RPS21/EIF3A/RPL26L1/EIF3G/RPS28/EIF3J",107,"VSMC_P","DKD_vs_Normal"
"R-HSA-72163","mRNA Splicing - Major Pathway","163/3352","205/11230",0.795121951219512,2.66384830316084,15.6825224263398,1.01285493437658e-49,1.87265623422515e-47,1.01996268830203e-47,"DDX5/HSPA8/RBM39/HNRNPA1/U2AF1/HNRNPA2B1/SF3B6/BCAS2/LSM8/DDX39B/SNRPF/SRSF5/HNRNPH1/HNRNPU/SF3B1/SRRM2/YBX1/CASC3/RBM8A/SNRNP70/MAGOH/HNRNPC/SYF2/PPIG/SMU1/SNU13/SRSF7/U2AF1L4/SRSF8/XAB2/HNRNPM/SRSF3/CDC5L/POLR2A/SNRPN/FUS/HNRNPK/SRSF2/SRSF9/PRPF18/AQR/PCBP1/SAP18/SNRPB/POLR2H/LSM6/RNPS1/ZMAT2/SF1/UBL5/WBP4/HNRNPD/RBM25/U2SURP/CWC22/POLR2F/BUD31/SNRNP40/SNW1/DDX46/LSM3/SRSF11/PRPF8/MFAP1/LUC7L3/PNN/DDX23/RBMX/GTF2F1/CWF19L2/RBM17/SNRPA1/DHX15/HNRNPF/WBP11/PPIL4/RBM5/SNRPG/SRRM1/SNRPD3/NSRP1/DNAJC8/POLR2E/LSM7/LSM2/SRSF10/CWC15/SNRPD1/RBM10/UPF3B/FAM32A/SMNDC1/CDC40/PQBP1/HNRNPR/PRPF40A/SNRPC/EIF4A3/PPIL2/CTNNBL1/ACIN1/CCAR1/ALYREF/SF3A1/PRPF38A/PPIE/PCBP2/SNRPB2/IK/HNRNPL/MTREX/SF3B2/CRNKL1/LSM4/DDX42/NCBP2/POLR2L/LSM5/SF3A3/ZNF830/PTBP1/SNRNP27/RBM42/SNRPD2/HNRNPA3/POLR2B/SNRPA/SRSF1/TRA2B/PUF60/POLR2C/PRPF6/PHF5A/PLRG1/SRSF6/SRSF4/PRPF31/SF3B5/C9orf78/SNRPE/POLR2G/U2AF2/PRKRIP1/PPWD1/HNRNPH2/RBM22/CWC27/HTATSF1/SLU7/NKAP/TXNL4A/WDR70/FAM50A/POLR2K/RBMX2/SF3B4/DHX9/CCDC12/POLR2I/SNRNP200/SART1/TCERG1/POLR2J",163,"VSMC_P","DKD_vs_Normal"
"R-HSA-72172","mRNA Splicing","167/3352","213/11230",0.784037558685446,2.62671294273197,15.634485957634,2.30219799155307e-49,3.83085745794432e-47,2.08651839023915e-47,"DDX5/HSPA8/RBM39/HNRNPA1/U2AF1/HNRNPA2B1/SF3B6/BCAS2/LSM8/DDX39B/SNRPF/SRSF5/HNRNPH1/HNRNPU/SF3B1/SRRM2/YBX1/CASC3/RBM8A/SNRNP70/MAGOH/HNRNPC/SYF2/PPIG/SMU1/SNU13/SRSF7/U2AF1L4/SRSF8/XAB2/HNRNPM/SRSF3/CDC5L/POLR2A/SNRPN/FUS/HNRNPK/SRSF2/SRSF9/PRPF18/AQR/PCBP1/SAP18/SNRPB/POLR2H/LSM6/RNPS1/ZMAT2/SF1/UBL5/WBP4/HNRNPD/RBM25/U2SURP/CWC22/POLR2F/BUD31/SNRNP40/SNW1/DDX46/LSM3/SRSF11/PRPF8/MFAP1/LUC7L3/PNN/DDX23/RBMX/GTF2F1/CWF19L2/RBM17/SNRPA1/DHX15/HNRNPF/WBP11/ZCRB1/PPIL4/RBM5/SNRPG/SRRM1/SNRPD3/NSRP1/DNAJC8/POLR2E/LSM7/LSM2/SRSF10/CWC15/SNRPD1/RBM10/UPF3B/FAM32A/SMNDC1/CDC40/PQBP1/HNRNPR/PRPF40A/SNRPC/EIF4A3/PPIL2/CTNNBL1/ACIN1/CCAR1/ALYREF/SF3A1/PRPF38A/PPIE/PCBP2/SNRPB2/IK/HNRNPL/MTREX/SF3B2/CRNKL1/LSM4/DDX42/NCBP2/POLR2L/LSM5/SF3A3/ZNF830/PTBP1/SNRNP27/RBM42/SNRPD2/HNRNPA3/POLR2B/SNRPA/SRSF1/TRA2B/PUF60/POLR2C/PRPF6/PHF5A/PDCD7/PLRG1/SRSF6/SRSF4/PRPF31/SF3B5/C9orf78/SNRPE/POLR2G/U2AF2/PRKRIP1/PPWD1/HNRNPH2/RBM22/CWC27/HTATSF1/RNPC3/SLU7/NKAP/TXNL4A/WDR70/FAM50A/POLR2K/RBMX2/SF3B4/DHX9/CCDC12/POLR2I/SNRNP200/SNRNP35/SART1/TCERG1/POLR2J",167,"VSMC_P","DKD_vs_Normal"
"R-HSA-1799339","SRP-dependent cotranslational protein targeting to membrane","107/3352","113/11230",0.946902654867257,3.17234988489239,15.1387407519675,6.42270830537137e-49,9.71580601830723e-47,5.29181995303804e-47,"RPS2/RPL17/RPS16/RPL10/RPL37A/RPL13/RPSA/RPS14/RPL7A/RPS3/RPL9/RPL27A/RPL6/RPL3/RPL15/RPS23/RPL12/RPL10A/SEC61G/RPL4/RPL32/RPL35A/RPS8/RPL11/RPS17/RPL14/RPS11/RPL19/RPS24/RPL5/RPS5/RPL36A/RPL24/RPL8/RPL38/RPS12/RPL31/RPL7/RPL23A/RPL41/RPS9/RPL30/RPS25/RPLP1/RPL27/RPS4X/RPL29/RPL36AL/RPS27/RPS29/RPL18A/RPL37/RPL18/UBA52/RPL22/RPLP2/RPS18/RPS6/RPS13/RPS3A/RPL13A/DDOST/RPLP0/RPS15/SEC61B/RPS10/SRP9/RPL34/SSR4/RPS19/RPS7/RPS4Y1/TRAM1/RPN2/SSR1/SEC11A/RPS26/SSR3/RPS27A/RPL26/RPL28/RPS15A/RPL35/SEC11C/RPL22L1/SRP72/RPS27L/RPN1/RPL36/SRP19/RPL21/RPS20/SSR2/SPCS1/FAU/RPL23/SRP68/SRP14/SRP54/RPL39/RPS21/SEC61A1/RPL26L1/SPCS3/SRPRA/SPCS2/RPS28",107,"VSMC_P","DKD_vs_Normal"
"R-HSA-72689","Formation of a pool of free 40S subunits","97/3352","102/11230",0.950980392156863,3.18601127801956,14.4663338455725,6.57336795263244e-45,9.11507022765032e-43,4.96462263790924e-43,"RPS2/RPL17/RPS16/RPL10/RPL37A/RPL13/RPSA/RPS14/RPL7A/RPS3/RPL9/RPL27A/RPL6/RPL3/RPL15/RPS23/RPL12/RPL10A/RPL4/RPL32/RPL35A/RPS8/RPL11/RPS17/RPL14/RPS11/RPL19/RPS24/RPL5/RPS5/RPL36A/RPL24/RPL8/RPL38/RPS12/RPL31/RPL7/RPL23A/RPL41/RPS9/RPL30/RPS25/RPLP1/EIF3E/RPL27/RPS4X/RPL29/RPL36AL/RPS27/RPS29/RPL18A/RPL37/RPL18/UBA52/RPL22/RPLP2/RPS18/RPS6/EIF3L/RPS13/RPS3A/EIF3H/EIF3I/RPL13A/RPLP0/RPS15/RPS10/EIF3K/RPL34/RPS19/RPS7/RPS4Y1/RPS26/RPS27A/RPL26/RPL28/EIF3M/RPS15A/EIF1AX/RPL35/RPL22L1/RPS27L/EIF3F/RPL36/RPL21/RPS20/FAU/RPL23/EIF3D/RPL39/EIF3B/RPS21/EIF3A/RPL26L1/EIF3G/RPS28/EIF3J",97,"VSMC_P","DKD_vs_Normal"
"R-HSA-927802","Nonsense-Mediated Decay (NMD)","106/3352","116/11230",0.913793103448276,3.06142498559789,14.5571343997723,1.81354074773742e-44,2.15552271731076e-42,1.17402901037738e-42,"RPS2/RPL17/RPS16/RPL10/RPL37A/RPL13/RPSA/RPS14/RPL7A/RPS3/RPL9/RPL27A/RPL6/RPL3/PNRC2/RPL15/RPS23/RPL12/RPL10A/RPL4/PABPC1/RPL32/RPL35A/RPS8/RPL11/RPS17/RPL14/RPS11/RPL19/RPS24/RPL5/RPS5/UPF3A/UPF1/RPL36A/RPL24/SMG1/RPL8/RPL38/RPS12/RPL31/CASC3/RPL7/RBM8A/RPL23A/RPL41/RPS9/MAGOH/RPL30/RPS25/RPLP1/RPL27/RPS4X/RPL29/RPL36AL/RPS27/RPS29/RPL18A/RPL37/RPL18/UBA52/EIF4G1/RPL22/RPLP2/RPS18/RPS6/RPS13/RPS3A/SMG7/RPL13A/RPLP0/RPS15/RPS10/RNPS1/RPL34/RPS19/RPS7/RPS4Y1/RPS26/RPS27A/RPL26/RPL28/RPS15A/RPL35/RPL22L1/ETF1/RPS27L/RPL36/RPL21/RPS20/UPF3B/PPP2R1A/FAU/EIF4A3/RPL23/UPF2/RPL39/DCP1A/NCBP2/RPS21/PPP2CA/RPL26L1/PPP2R2A/RPS28/SMG6/GSPT1",106,"VSMC_P","DKD_vs_Normal"
"R-HSA-975957","Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC)","106/3352","116/11230",0.913793103448276,3.06142498559789,14.5571343997723,1.81354074773742e-44,2.15552271731076e-42,1.17402901037738e-42,"RPS2/RPL17/RPS16/RPL10/RPL37A/RPL13/RPSA/RPS14/RPL7A/RPS3/RPL9/RPL27A/RPL6/RPL3/PNRC2/RPL15/RPS23/RPL12/RPL10A/RPL4/PABPC1/RPL32/RPL35A/RPS8/RPL11/RPS17/RPL14/RPS11/RPL19/RPS24/RPL5/RPS5/UPF3A/UPF1/RPL36A/RPL24/SMG1/RPL8/RPL38/RPS12/RPL31/CASC3/RPL7/RBM8A/RPL23A/RPL41/RPS9/MAGOH/RPL30/RPS25/RPLP1/RPL27/RPS4X/RPL29/RPL36AL/RPS27/RPS29/RPL18A/RPL37/RPL18/UBA52/EIF4G1/RPL22/RPLP2/RPS18/RPS6/RPS13/RPS3A/SMG7/RPL13A/RPLP0/RPS15/RPS10/RNPS1/RPL34/RPS19/RPS7/RPS4Y1/RPS26/RPS27A/RPL26/RPL28/RPS15A/RPL35/RPL22L1/ETF1/RPS27L/RPL36/RPL21/RPS20/UPF3B/PPP2R1A/FAU/EIF4A3/RPL23/UPF2/RPL39/DCP1A/NCBP2/RPS21/PPP2CA/RPL26L1/PPP2R2A/RPS28/SMG6/GSPT1",106,"VSMC_P","DKD_vs_Normal"
"R-HSA-72203","Processing of Capped Intron-Containing Pre-mRNA","202/3352","294/11230",0.687074829931973,2.30186465994512,14.7545106432391,4.6394773730455e-44,5.14672689916514e-42,2.80322106539802e-42,"UBC/DDX5/HSPA8/RBM39/HNRNPA1/U2AF1/HNRNPA2B1/SF3B6/BCAS2/LSM8/DDX39B/SNRPF/SRSF5/HNRNPH1/NXT1/HNRNPU/PPP1CB/PPP1R10/SARNP/SF3B1/SRRM2/YBX1/CASC3/RBM8A/SNRNP70/MAGOH/HNRNPC/SYF2/PPIG/SMU1/SNU13/SRSF7/U2AF1L4/SRSF8/XAB2/HNRNPM/SRSF3/CDC5L/POLR2A/SNRPN/FUS/HNRNPK/UBA52/SRSF2/SRSF9/UBB/PRPF18/AQR/WDR33/PCBP1/SAP18/SEC13/SNRPB/POLR2H/LSM6/RNPS1/ZMAT2/SF1/UBL5/WBP4/HNRNPD/RBM25/U2SURP/RPS27A/CWC22/POLR2F/BUD31/SNRNP40/SNW1/DDX46/LSM3/SRSF11/PRPF8/MFAP1/LUC7L3/PNN/DDX23/CPSF6/RBMX/GTF2F1/PABPN1/CWF19L2/THOC2/RBM17/SNRPA1/DHX15/HNRNPF/WBP11/ZC3H11A/ZCRB1/PPIL4/RBM5/TPR/SNRPG/SRRM1/SNRPD3/RBBP6/NSRP1/DNAJC8/POLR2E/LSM7/LSM2/FYTTD1/SRSF10/CWC15/SNRPD1/EIF4E/RBM10/UPF3B/NXF1/FAM32A/SMNDC1/CDC40/PQBP1/HNRNPR/PRPF40A/SNRPC/EIF4A3/PPIL2/CTNNBL1/THOC7/ACIN1/PCF11/CCAR1/ALYREF/FIP1L1/SF3A1/PRPF38A/PPIE/RANBP2/PCBP2/XRN2/SNRPB2/IK/HNRNPL/MTREX/SF3B2/METTL14/CRNKL1/LSM4/DDX42/NCBP2/POLR2L/LSM5/SF3A3/ZNF830/PAPOLA/PTBP1/SNRNP27/RBM42/SNRPD2/HNRNPA3/POLR2B/SNRPA/SRSF1/TRA2B/PUF60/POLR2C/PRPF6/PHF5A/CPSF7/PDCD7/SLBP/PLRG1/SRSF6/SRSF4/PRPF31/SF3B5/NUP54/C9orf78/NUDT21/SNRPE/POLR2G/U2AF2/SYMPK/PRKRIP1/PPWD1/HNRNPH2/RBM22/CWC27/HTATSF1/RNPC3/SLU7/NKAP/CHTOP/TXNL4A/CSTF3/WDR70/FAM50A/POLR2K/RBMX2/SF3B4/DHX9/CCDC12/POLR2I/SNRNP200/SNRNP35/SART1/PPP1CA/WTAP/TCERG1/POLR2J",202,"VSMC_P","DKD_vs_Normal"
